,Navn,Long,Lat
1400224,"Nordre Gommershaugen 12, Fana",60.291717,5.274767
1400225,"Nordre Gommershaugen 11C, Fana",60.291914,5.276356
1400226,"Nordre Gommershaugen 11B, Fana",60.291756,5.276809
1400227,"Nordre Gommershaugen 10, Fana",60.291324,5.275174
1400228,"Nordre Gommershaugen 9, Fana",60.291443,5.276537
1400229,"Nordre Gommershaugen 8, Fana",60.29117,5.275789
1400230,"Nordre Gommershaugen 7, Fana",60.291125,5.276718
1400231,"Nordre Gommershaugen 6, Fana",60.290584,5.276019
1400232,"Nordre Gommershaugen 5, Fana",60.290494,5.276681
1400233,"Nordre Gommershaugen 3, Fana",60.290305,5.276666
1400234,"Nordre Gommershaugen 2B, Fana",60.290095,5.275586
1400235,"Nordre Gommershaugen 2A, Fana",60.29016,5.275958
1400236,"Nordre Gommershaugen 2, Fana",60.290156,5.276158
1400237,"Nordre Gommershaugen 1B, Fana",60.290278,5.277303
1400238,"Nordre Gommershaugen 1, Fana",60.290569,5.277089
1400240,"Nordre Gommershaugen 48, Fana",60.293196,5.27525
1400241,"Nordre Gommershaugen 46B, Fana",60.292853,5.274891
1400242,"Nordre Gommershaugen 46, Fana",60.292926,5.275245
1400243,"Nordre Gommershaugen 36B, Fana",60.29246,5.275021
1400244,"Nordre Gommershaugen 42, Fana",60.292302,5.275769
1400245,"Nordre Gommershaugen 40, Fana",60.291853,5.275458
1400246,"Nordre Gommershaugen 38, Fana",60.291507,5.275606
1400247,"Nordre Gommershaugen 36, Fana",60.292153,5.275261
1400248,"Nordre Gommershaugen 24, Fana",60.292767,5.273742
1400249,"Nordre Gommershaugen 22, Fana",60.292614,5.274375
1400250,"Nordre Gommershaugen 21, Fana",60.293481,5.275797
1400251,"Nordre Gommershaugen 17, Fana",60.292693,5.276249
1400252,"Nordre Gommershaugen 16, Fana",60.292167,5.27448
1400253,"Nordre Gommershaugen 15, Fana",60.292515,5.276288
1400254,"Nordre Gommershaugen 14, Fana",60.29192,5.274617
1400255,"Nordre Gommershaugen 13, Fana",60.292249,5.276427
1400267,"Nordre Gommershaugen 56, Fana",60.293391,5.274504
1400268,"Nordre Gommershaugen 54B, Fana",60.293406,5.27376
1400269,"Nordre Gommershaugen 54A, Fana",60.293308,5.273789
1400270,"Nordre Gommershaugen 52, Fana",60.293177,5.273949
1400271,"Nordre Gommershaugen 50, Fana",60.293081,5.274702
1408156,"Sandslivegen 133, Søreide",60.299668,5.289727
1408157,"Sandslivegen 135, Søreide",60.299664,5.289582
1408158,"Sandslivegen 137, Søreide",60.299661,5.289456
1408159,"Sandslivegen 201, Søreide",60.30263,5.286674
1408160,"Sandslivegen 203, Søreide",60.302541,5.286684
1408161,"Sandslivegen 205, Søreide",60.30245,5.286676
1408162,"Sandslivegen 207, Søreide",60.302361,5.286686
1408163,"Sandslivegen 209, Søreide",60.302195,5.286868
1408164,"Sandslivegen 211, Søreide",60.302155,5.287035
1408165,"Sandslivegen 213, Søreide",60.302124,5.287202
1408166,"Sandslivegen 215, Søreide",60.302092,5.287351
1408167,"Sandslivegen 217, Søreide",60.302051,5.287482
1408168,"Sandslivegen 219, Søreide",60.30197,5.287817
1408169,"Sandslivegen 221, Søreide",60.301938,5.287966
1408170,"Sandslivegen 223, Søreide",60.301897,5.288097
1408171,"Sandslivegen 225, Søreide",60.301856,5.288247
1408172,"Sandslivegen 101, Søreide",60.299447,5.289535
1408173,"Sandslivegen 103, Søreide",60.299452,5.289715
1408174,"Sandslivegen 105, Søreide",60.299453,5.290041
1408175,"Sandslivegen 107, Søreide",60.299457,5.290204
1408176,"Sandslivegen 109, Søreide",60.299486,5.290581
1408177,"Sandslivegen 111, Søreide",60.299535,5.290738
1408178,"Sandslivegen 113, Søreide",60.299601,5.290857
1408179,"Sandslivegen 115, Søreide",60.299741,5.291041
1408180,"Sandslivegen 117, Søreide",60.299798,5.291161
1408181,"Sandslivegen 119, Søreide",60.299893,5.290697
1408182,"Sandslivegen 121, Søreide",60.299872,5.290591
1408183,"Sandslivegen 123, Søreide",60.299825,5.290506
1408184,"Sandslivegen 125, Søreide",60.299786,5.290402
1408185,"Sandslivegen 127, Søreide",60.299756,5.290296
1408186,"Sandslivegen 129, Søreide",60.299717,5.290192
1408187,"Sandslivegen 131, Søreide",60.299663,5.289854
1408188,"Sandslivegen 261, Søreide",60.303582,5.286656
1408189,"Sandslivegen 263, Søreide",60.303288,5.286092
1408190,"Sandslivegen 265, Søreide",60.303292,5.286218
1408191,"Sandslivegen 267, Søreide",60.303295,5.286344
1408192,"Sandslivegen 269, Søreide",60.303308,5.286488
1408193,"Sandslivegen 271, Søreide",60.303311,5.286596
1408194,"Sandslivegen 273, Søreide",60.303315,5.286723
1408195,"Sandslivegen 275, Søreide",60.30331,5.286868
1408196,"Sandslivegen 277, Søreide",60.303058,5.286534
1408197,"Sandslivegen 279, Søreide",60.303055,5.286426
1408198,"Sandslivegen 281, Søreide",60.303051,5.2863
1408199,"Sandslivegen 283, Søreide",60.303048,5.286173
1408200,"Sandslivegen 285, Søreide",60.303044,5.286029
1408201,"Sandslimarka 2, Fana",60.291538,5.285362
1408202,"Sandslimarka 4, Fana",60.291488,5.284861
1408203,"Sandslimarka 6, Fana",60.291338,5.284316
1408204,"Sandslivegen 227, Søreide",60.30221,5.287736
1408205,"Sandslivegen 229, Søreide",60.302235,5.287642
1408206,"Sandslivegen 231, Søreide",60.302259,5.287531
1408207,"Sandslivegen 233, Søreide",60.302292,5.287437
1408208,"Sandslivegen 235, Søreide",60.302343,5.287322
1408209,"Sandslivegen 237, Søreide",60.302359,5.287248
1408210,"Sandslivegen 239, Søreide",60.302408,5.287097
1408211,"Sandslivegen 243, Søreide",60.303215,5.28735
1408212,"Sandslivegen 245, Søreide",60.303279,5.287361
1408213,"Sandslivegen 247, Søreide",60.30335,5.287353
1408214,"Sandslivegen 249, Søreide",60.303568,5.287418
1408215,"Sandslivegen 251, Søreide",60.303564,5.287292
1408216,"Sandslivegen 253, Søreide",60.303561,5.287166
1408217,"Sandslivegen 255, Søreide",60.303566,5.287038
1408218,"Sandslivegen 257, Søreide",60.303581,5.28691
1408219,"Sandslivegen 259, Søreide",60.303577,5.286783
1408267,"Sandslivegen 11, Fana",60.292216,5.28648
1408268,"Sandslivegen 90, Fana",60.297014,5.285772
1408308,"Sandslimarka 237, Fana",60.295239,5.278223
1408309,"Sandslimarka 239, Fana",60.295061,5.278316
1408310,"Sandslimarka 241, Fana",60.294999,5.278323
1408311,"Sandslimarka 243, Fana",60.294936,5.27833
1408312,"Sandslimarka 245, Fana",60.294819,5.278325
1408313,"Sandslimarka 247, Fana",60.294756,5.278332
1408314,"Sandslimarka 251, Fana",60.297363,5.27704
1408315,"Sandslimarka 260, Fana",60.298275,5.278819
