,Navn,Long,Lat
1395277,"Blomstølvegen 3, Fana",60.282173,5.249624
1395278,"Blomstølvegen 2, Fana",60.281947,5.249578
1395279,"Blomstølvegen 1, Fana",60.282144,5.249881
1395298,"Blomstølvegen 18, Fana",60.283007,5.249239
1395299,"Blomstølvegen 16, Fana",60.283011,5.249057
1395300,"Blomstølvegen 14, Fana",60.282643,5.248756
1395301,"Blomstølvegen 12, Fana",60.282337,5.24908
1395302,"Blomstølvegen 10, Fana",60.282221,5.248478
1395303,"Blomstølvegen 9, Fana",60.283198,5.249959
1395304,"Blomstølvegen 8, Fana",60.282127,5.248959
1395305,"Blomstølvegen 7, Fana",60.28283,5.249965
1395306,"Blomstølvegen 6, Fana",60.281871,5.249134
1395307,"Blomstølvegen 5, Fana",60.282432,5.249558
1395308,"Blomstølvegen 4, Fana",60.281717,5.25002
1395391,"Espelandsvegen 50, Fana",60.27525,5.24383
1395392,"Espelandsvegen 27, Fana",60.277223,5.247513
1395393,"Espelandsvegen 23, Fana",60.277352,5.248873
1395394,"Espelandsvegen 17, Fana",60.27782,5.248259
1395395,"Espelandsvegen 13, Fana",60.277503,5.249761
1395396,"Espelandsvegen 9, Fana",60.277906,5.250023
1395397,"Espelandsvegen 3, Fana",60.277662,5.250938
1395407,"Espelandsvegen 95, Fana",60.27465,5.240134
1395408,"Espelandsvegen 93, Fana",60.274777,5.241115
1395409,"Espelandsvegen 91, Fana",60.2755,5.241557
1395410,"Espelandsvegen 90, Fana",60.273865,5.241274
1395411,"Espelandsvegen 89, Fana",60.275166,5.241848
1395412,"Espelandsvegen 81, Fana",60.275685,5.24302
1395413,"Espelandsvegen 77, Fana",60.276061,5.243212
1395414,"Espelandsvegen 75, Fana",60.276752,5.243241
1395415,"Espelandsvegen 71, Fana",60.277139,5.242292
1395416,"Espelandsvegen 67, Fana",60.277587,5.242258
1395417,"Espelandsvegen 65, Fana",60.277591,5.24271
1395418,"Espelandsvegen 63, Fana",60.277512,5.243117
1395419,"Espelandsvegen 61, Fana",60.277849,5.243568
1395420,"Espelandsvegen 55, Fana",60.276841,5.244172
1395421,"Espelandsvegen 52, Fana",60.275031,5.243402
1395422,"Espelandsvegen 51, Fana",60.27592,5.244006
1395488,"Espelandsvegen 176, Fana",60.272422,5.22812
1395489,"Espelandsvegen 174, Fana",60.271999,5.228097
1395490,"Espelandsvegen 173, Fana",60.273191,5.22767
1395491,"Espelandsvegen 167, Fana",60.273439,5.229433
1395492,"Espelandsvegen 165, Fana",60.273183,5.23024
1395493,"Espelandsvegen 155, Fana",60.276075,5.232369
1395494,"Espelandsvegen 151, Fana",60.27524,5.232067
1395495,"Espelandsvegen 118, Fana",60.272647,5.237957
1395496,"Espelandsvegen 115, Fana",60.273831,5.236916
1395497,"Espelandsvegen 110, Fana",60.269857,5.239744
1395498,"Espelandsvegen 108, Fana",60.270143,5.239675
1395499,"Espelandsvegen 107, Fana",60.274286,5.238077
1395500,"Espelandsvegen 103, Fana",60.27457,5.239184
1395501,"Espelandsvegen 100, Fana",60.273145,5.238714
1395502,"Espelandsvegen 95B, Fana",60.274958,5.240515
1395503,"Espelandsvegen 210, Fana",60.271648,5.224952
1395504,"Espelandsvegen 208, Fana",60.272087,5.225209
1395505,"Espelandsvegen 206, Fana",60.272039,5.224455
1395506,"Espelandsvegen 204, Fana",60.272287,5.224643
1395507,"Espelandsvegen 201, Fana",60.273122,5.224183
1395508,"Espelandsvegen 200, Fana",60.272774,5.225347
1395509,"Espelandsvegen 198, Fana",60.272552,5.225101
1395510,"Espelandsvegen 197, Fana",60.273253,5.225129
1395511,"Espelandsvegen 196, Fana",60.272347,5.225505
1395512,"Espelandsvegen 191, Fana",60.273813,5.224576
1395513,"Espelandsvegen 187, Fana",60.274223,5.225071
1395514,"Espelandsvegen 185, Fana",60.274059,5.225307
1395515,"Espelandsvegen 183, Fana",60.274026,5.22542
1395516,"Espelandsvegen 181, Fana",60.273771,5.225323
1395517,"Espelandsvegen 178, Fana",60.272688,5.228651
1395518,"Espelandsvegen 177, Fana",60.273369,5.226039
1395523,"Espelandsvegen 258, Fana",60.271421,5.221703
1395525,"Espelandsvegen 254, Fana",60.271367,5.222632
1395526,"Espelandsvegen 252, Fana",60.271276,5.221973
1395527,"Espelandsvegen 250, Fana",60.271154,5.221462
1395528,"Espelandsvegen 246, Fana",60.271077,5.22319
1395529,"Espelandsvegen 234, Fana",60.270035,5.223853
1395530,"Espelandsvegen 230, Fana",60.268805,5.224864
