,Navn,Long,Lat
1392257,"Rognehaugen 11, Arna",60.41589,5.47083
1392365,"Rognehaugen 6, Arna",60.415939,5.471315
1392366,"Rognehaugen 5A, Arna",60.41697,5.470204
1392367,"Rognehaugen 5, Arna",60.416853,5.470217
1392368,"Rognehaugen 3, Arna",60.417255,5.470118
1392369,"Rognehaugen 2, Arna",60.416769,5.470753
1392370,"Rognehaugen 1, Arna",60.417195,5.470543
1392381,"Rognehaugen 9, Arna",60.416189,5.470561
1392382,"Rognehaugen 7, Arna",60.416498,5.470364
1392827,"Vollavegen 23B, Arna",60.418785,5.471879
1392828,"Vollavegen 23A, Arna",60.418815,5.47164
1392829,"Vollavegen 22B, Arna",60.417653,5.473256
1392830,"Vollavegen 22, Arna",60.41743,5.472971
1392831,"Vollavegen 21, Arna",60.419527,5.471399
1392832,"Vollavegen 20, Arna",60.418008,5.472743
1392833,"Vollavegen 19, Arna",60.419776,5.471299
1392834,"Vollavegen 18, Arna",60.418044,5.473068
1392835,"Vollavegen 17, Arna",60.420001,5.471293
1392836,"Vollavegen 16, Arna",60.418248,5.472646
1392837,"Vollavegen 14, Arna",60.418555,5.473031
1392838,"Vollavegen 13, Arna",60.420424,5.471338
1392839,"Vollavegen 12C, Arna",60.418622,5.472515
1392840,"Vollavegen 12B, Arna",60.418685,5.472508
1392841,"Vollavegen 12A, Arna",60.418747,5.472465
1392842,"Vollavegen 11, Arna",60.420656,5.471258
1392843,"Vollavegen 33B, Arna",60.417254,5.472427
1392844,"Vollavegen 33A, Arna",60.417334,5.472418
1392845,"Vollavegen 32B, Arna",60.415944,5.473532
1392846,"Vollavegen 32A, Arna",60.415897,5.473119
1392847,"Vollavegen 31B, Arna",60.417468,5.472385
1392848,"Vollavegen 31A, Arna",60.417549,5.472377
1392849,"Vollavegen 31, Arna",60.417602,5.472353
1392851,"Vollavegen 30, Arna",60.416213,5.473194
1392852,"Vollavegen 28B, Arna",60.416439,5.473224
1392853,"Vollavegen 28A, Arna",60.41658,5.473118
1392854,"Vollavegen 27B, Arna",60.418384,5.471995
1392855,"Vollavegen 27A, Arna",60.418446,5.47197
1392856,"Vollavegen 26, Arna",60.416749,5.473176
1392857,"Vollavegen 25B, Arna",60.418561,5.471576
1392858,"Vollavegen 25A, Arna",60.418641,5.471531
1392859,"Vollavegen 24, Arna",60.417016,5.472961
1392860,"Vollavegen 45A, Arna",60.417247,5.471846
1392861,"Vollavegen 43B, Arna",60.417358,5.471943
1392862,"Vollavegen 43A, Arna",60.417431,5.47199
1392863,"Vollavegen 41C, Arna",60.41619,5.472651
1392864,"Vollavegen 41B, Arna",60.41626,5.472589
1392865,"Vollavegen 41A, Arna",60.416339,5.472526
1392866,"Vollavegen 39C, Arna",60.416486,5.472619
1392867,"Vollavegen 39B, Arna",60.416554,5.472484
1392868,"Vollavegen 39A, Arna",60.416626,5.472495
1392869,"Vollavegen 37C, Arna",60.41677,5.472479
1392870,"Vollavegen 37B, Arna",60.416815,5.472493
1392871,"Vollavegen 37A, Arna",60.416905,5.472483
1392873,"Vollavegen 36, Arna",60.415475,5.473474
1392874,"Vollavegen 35B, Arna",60.417076,5.472501
1392875,"Vollavegen 35A, Arna",60.417147,5.472457
1392876,"Vollavegen 34, Arna",60.415697,5.473359
1392877,"Vollavegen 55A, Arna",60.416937,5.471661
1392878,"Vollavegen 53E, Arna",60.417361,5.471379
1392879,"Vollavegen 53D, Arna",60.417397,5.471412
1392880,"Vollavegen 53C, Arna",60.417434,5.471426
1392881,"Vollavegen 53B, Arna",60.417462,5.471459
1392882,"Vollavegen 53A, Arna",60.417507,5.471472
1392883,"Vollavegen 51C, Arna",60.416043,5.472176
1392884,"Vollavegen 51B, Arna",60.416116,5.472223
1392885,"Vollavegen 51A, Arna",60.416212,5.47214
1392886,"Vollavegen 49B, Arna",60.416338,5.472126
1392887,"Vollavegen 49A, Arna",60.416437,5.472134
1392888,"Vollavegen 47C, Arna",60.416828,5.471982
1392889,"Vollavegen 47B, Arna",60.416867,5.472087
1392890,"Vollavegen 47A, Arna",60.416928,5.472026
1392891,"Vollavegen 45C, Arna",60.417111,5.471788
1392892,"Vollavegen 45B, Arna",60.417166,5.471818
1392941,"Vollavegen 10G, Arna",60.418866,5.472906
1392942,"Vollavegen 10F, Arna",60.418919,5.472864
1392943,"Vollavegen 10E, Arna",60.418981,5.472821
1392944,"Vollavegen 10D, Arna",60.419052,5.472795
1392945,"Vollavegen 10C, Arna",60.419193,5.472707
1392946,"Vollavegen 10B, Arna",60.419245,5.472611
1392947,"Vollavegen 10A, Arna",60.419317,5.472639
1392948,"Vollavegen 8B, Arna",60.419541,5.472252
1392949,"Vollavegen 8, Arna",60.41969,5.472108
1392950,"Vollavegen 7, Arna",60.421169,5.471293
1392951,"Vollavegen 6, Arna",60.420346,5.471764
1392952,"Vollavegen 4, Arna",60.420578,5.471721
1392953,"Vollavegen 3, Arna",60.421646,5.471987
1392954,"Vollavegen 2, Arna",60.421195,5.472272
1392979,"Vollavegen 59A, Arna",60.415902,5.472628
1392980,"Vollavegen 57C, Arna",60.416492,5.471819
1392981,"Vollavegen 57B, Arna",60.416572,5.47181
1392982,"Vollavegen 57A, Arna",60.416619,5.471896
