,Navn,Long,Lat
1673796,"Storebotn 2C, Strusshamn",60.44283,5.186588
1673797,"Storebotn 4, Strusshamn",60.442521,5.187437
1673798,"Storebotn 2A, Strusshamn",60.442711,5.186391
1673799,"Storebotn 2B, Strusshamn",60.442782,5.186457
1673800,"Storebotn 8A, Strusshamn",60.442432,5.186083
1673801,"Storebotn 6A, Strusshamn",60.44255,5.186876
1673802,"Storebotn 6B, Strusshamn",60.442402,5.186942
1673885,"Storebotn 55F, Strusshamn",60.438585,5.188017
1673888,"Storebotn 55E, Strusshamn",60.438445,5.188097
1673892,"Storebotn 55D, Strusshamn",60.438491,5.187912
1673896,"Storebotn 55C, Strusshamn",60.438343,5.188
1673897,"Storebotn 57B, Strusshamn",60.438212,5.188452
1673898,"Storebotn 57A, Strusshamn",60.438116,5.188536
1673899,"Storebotn 55H, Strusshamn",60.438663,5.188163
1673901,"Storebotn 55G, Strusshamn",60.438556,5.188212
1673903,"Storebotn 55B, Strusshamn",60.438367,5.187774
1673912,"Storebotn 51, Strusshamn",60.438833,5.186608
1673924,"Storebotn 27, Strusshamn",60.438649,5.182998
1673925,"Storebotn 45, Strusshamn",60.43963,5.184902
1673926,"Storebotn 15, Strusshamn",60.439624,5.182498
1673928,"Storebotn 47, Strusshamn",60.439381,5.185636
1673931,"Storebotn 31, Strusshamn",60.438506,5.183923
1673932,"Storebotn 25, Strusshamn",60.43821,5.182066
1673952,"Storebotn 73, Strusshamn",60.437717,5.190784
1673953,"Storebotn 71, Strusshamn",60.437914,5.190514
1673955,"Storebotn 69, Strusshamn",60.438196,5.189871
1673963,"Storebotn 39, Strusshamn",60.438851,5.184603
1673975,"Storebotn 57F, Strusshamn",60.438425,5.188664
1673977,"Storebotn 57E, Strusshamn",60.438268,5.188809
1673979,"Storebotn 57D, Strusshamn",60.438314,5.188531
1673982,"Storebotn 67, Strusshamn",60.437959,5.189533
1673983,"Storebotn 65, Strusshamn",60.437507,5.188317
1673984,"Storebotn 57H, Strusshamn",60.438485,5.188875
1673986,"Storebotn 57G, Strusshamn",60.438379,5.188924
1673989,"Storebotn 57C, Strusshamn",60.438176,5.188747
1674019,"Storebotn 13E, Strusshamn",60.43995,5.183511
1674020,"Storebotn 13B, Strusshamn",60.439997,5.183586
1674021,"Storebotn 13D, Strusshamn",60.440097,5.183956
1674022,"Storebotn 13C, Strusshamn",60.440192,5.183818
1674030,"Storebotn 55A, Strusshamn",60.438293,5.187806
1674031,"Storebotn 59, Strusshamn",60.438153,5.187617
1674033,"Storebotn 53H, Strusshamn",60.438797,5.187511
1674053,"Storebotn 53C, Strusshamn",60.438523,5.187361
1674054,"Storebotn 53B, Strusshamn",60.438547,5.187171
1674055,"Storebotn 53A, Strusshamn",60.438454,5.187151
1674057,"Storebotn 53G, Strusshamn",60.438699,5.18754
1674058,"Storebotn 53F, Strusshamn",60.438729,5.187337
1674059,"Storebotn 53E, Strusshamn",60.438606,5.187442
1674060,"Storebotn 53D, Strusshamn",60.438646,5.187266
1674092,"Storebotn 14, Strusshamn",60.441664,5.184056
1674093,"Storebotn 10A, Strusshamn",60.442107,5.185436
1674094,"Storebotn 11, Strusshamn",60.440215,5.182758
1674095,"Storebotn 22, Strusshamn",60.441231,5.184314
1674096,"Storebotn 20, Strusshamn",60.440814,5.1842
1674097,"Storebotn 12A, Strusshamn",60.441917,5.185267
1674102,"Storebotn 7, Strusshamn",60.440293,5.181068
1674103,"Storebotn 8C, Strusshamn",60.442236,5.186143
1674105,"Storebotn 8B, Strusshamn",60.442307,5.186116
1674174,"Storebotn 92, Strusshamn",60.439068,5.190389
1674175,"Storebotn 90, Strusshamn",60.439632,5.190303
1674176,"Storebotn 54, Strusshamn",60.440136,5.189391
1674177,"Storebotn 52, Strusshamn",60.440393,5.187804
1674178,"Storebotn 28, Strusshamn",60.441448,5.187509
1674180,"Storebotn 48, Strusshamn",60.440674,5.185651
1674181,"Storebotn 42, Strusshamn",60.439667,5.188071
1674183,"Storebotn 38, Strusshamn",60.439405,5.188039
1674185,"Storebotn 13A, Strusshamn",60.43992,5.183431
1712343,"Storebotn 17, Strusshamn",60.439266,5.18182
1718319,"Storebotn 10B, Strusshamn",60.441976,5.185631
1743304,"Storebotn 33, Strusshamn",60.438329,5.183616
1836517,"Storebotn 24, Strusshamn",60.441473,5.18587
1892012,"Storebotn 88, Strusshamn",60.440233,5.191884
1949922,"Storebotn 29, Strusshamn",60.43844,5.183267
1956153,"Storebotn 66, Strusshamn",60.441299,5.190129
1963880,"Storebotn 43C, Strusshamn",60.439066,5.184152
1963881,"Storebotn 43D, Strusshamn",60.439091,5.183727
1963882,"Storebotn 43A, Strusshamn",60.439308,5.183973
1963883,"Storebotn 43B, Strusshamn",60.439384,5.183835
1967703,"Storebotn 77, Strusshamn",60.437865,5.192502
1975128,"Storebotn 72A, Strusshamn",60.441821,5.189266
1975129,"Storebotn 72B, Strusshamn",60.441914,5.189201
1975130,"Storebotn 72C, Strusshamn",60.442024,5.189153
1975196,"Storebotn 64, Strusshamn",60.441256,5.189634
1982251,"Storebotn 12B, Strusshamn",60.441887,5.184823
2001298,"Storebotn 58, Strusshamn",60.440719,5.190245
2019252,"Storebotn 30, Strusshamn",60.440882,5.188408
2046470,"Storebotn 40, Strusshamn",60.439531,5.188769
2074044,"Storebotn 75, Strusshamn",60.437949,5.191701
2076536,"Storebotn 62, Strusshamn",60.441116,5.189079
2078982,"Storebotn 96B, Strusshamn",60.437326,5.195383
2381149,"Storebotn 26, Strusshamn",60.44159,5.186826
2438356,"Storebotn 68, Strusshamn",60.441507,5.189632
2438357,"Storebotn 70, Strusshamn",60.44158,5.188661
2438704,"Storebotn 76, Strusshamn",60.442333,5.188564
2439195,"Storebotn 96A, Strusshamn",60.437567,5.194047
2439197,"Storebotn 98, Strusshamn",60.436668,5.194712
2439199,"Storebotn 100, Strusshamn",60.436453,5.195103
2439201,"Storebotn 112, Strusshamn",60.436631,5.193738
2439719,"Storebotn 79, Strusshamn",60.437526,5.192222
2439752,"Storebotn 1, Strusshamn",60.441078,5.182351
2440253,"Storebotn 3, Strusshamn",60.440804,5.181952
2485254,"Storebotn 74A, Strusshamn",60.44186,5.189676
2485255,"Storebotn 74B, Strusshamn",60.441949,5.189626
2485256,"Storebotn 74C, Strusshamn",60.442038,5.189584
2485257,"Storebotn 74D, Strusshamn",60.44211,5.189469
2488969,"Storebotn 9A, Strusshamn",60.440471,5.183121
2489027,"Storebotn 9B, Strusshamn",60.440416,5.183602
2513975,"Storebotn 44, Strusshamn",60.439847,5.187635
