,Navn,Long,Lat
43841,"248/20, Hjelme og Blomvåg",60.590178,4.81589
44124,"206/74, Hjelme og Blomvåg",60.631987,4.808825
853847,"Ådnevikvegen 70, Hjelme og Blomvåg",60.58595,4.832544
853871,"Ådnevikvegen 76, Hjelme og Blomvåg",60.586382,4.83317
853904,"Ådnevikvegen 45, Hjelme og Blomvåg",60.587624,4.831688
853905,"Jensvardvegen 10, Hjelme og Blomvåg",60.591817,4.839007
853962,"Ådnevikvegen 43, Hjelme og Blomvåg",60.587292,4.831784
855709,"Ådnevikvegen 3, Hjelme og Blomvåg",60.588279,4.837251
1442447,"Ådnevikvegen 88, Hjelme og Blomvåg",60.58616,4.832029
1634830,"Ådnevikvegen 8B, Hjelme og Blomvåg",60.587553,4.83727
1753853,"Jensvardvegen 8C, Hjelme og Blomvåg",60.590511,4.838871
1753854,"Jensvardvegen 8F, Hjelme og Blomvåg",60.59025,4.838877
1753855,"Jensvardvegen 8B, Hjelme og Blomvåg",60.590573,4.838861
1753896,"Jensvardvegen 8K, Hjelme og Blomvåg",60.590272,4.838874
1753934,"Jensvardvegen 8G, Hjelme og Blomvåg",60.590563,4.83886
1759006,"Sturevegen 143, Hjelme og Blomvåg",60.624046,4.830842
1759007,"Sturevegen 167, Hjelme og Blomvåg",60.622983,4.829918
1759008,"Sturevegen 135, Hjelme og Blomvåg",60.622924,4.83117
1766475,"Grindevadneset 30, Hjelme og Blomvåg",60.615327,4.834658
1766573,"Hattevegen 18, Hjelme og Blomvåg",60.624204,4.822368
1766666,"Skigardshøyen 6, Hjelme og Blomvåg",60.614745,4.824946
1766793,"Nordvik 7, Hjelme og Blomvåg",60.623795,4.804043
1766794,"Nordvik 9, Hjelme og Blomvåg",60.623838,4.80408
1766821,"Nordvikklubben 2A, Hjelme og Blomvåg",60.62496,4.804592
1766823,"Nordvikklubben 6, Hjelme og Blomvåg",60.624872,4.805244
1766824,"Nordvikklubben 3, Hjelme og Blomvåg",60.624475,4.805772
1766866,"Gjerdhøyen 13, Hjelme og Blomvåg",60.615622,4.824504
1767127,"Tanglevikvegen 18, Hjelme og Blomvåg",60.625049,4.79953
1767230,"Nautnesvegen 2, Hjelme og Blomvåg",60.625791,4.803002
1767231,"Nautnesvegen 9, Hjelme og Blomvåg",60.626433,4.804273
1767297,"Nautnesvegen 71B, Hjelme og Blomvåg",60.631671,4.813621
1767424,"Sturevegen 87, Hjelme og Blomvåg",60.621885,4.839685
1767508,"Sturevegen 15, Hjelme og Blomvåg",60.617543,4.842001
1767509,"Sturevegen 14, Hjelme og Blomvåg",60.6172,4.839374
1767510,"Sturevegen 18, Hjelme og Blomvåg",60.616593,4.839215
1767511,"Sturevegen 127, Hjelme og Blomvåg",60.622903,4.832527
1767599,"Strandavegen 16, Hjelme og Blomvåg",60.625776,4.804834
1767600,"Strandavegen 24, Hjelme og Blomvåg",60.626188,4.805933
1767601,"Alvøyvegen 23, Hjelme og Blomvåg",60.590425,4.84308
1767602,"Alvøyvegen 143, Hjelme og Blomvåg",60.596161,4.833292
1767603,"Alvøyvegen 380, Hjelme og Blomvåg",60.615057,4.821394
1767604,"Alvøyvegen 385, Hjelme og Blomvåg",60.615952,4.82071
1767605,"Stormyrvegen 82, Hjelme og Blomvåg",60.628104,4.799645
1767606,"Stormyrvegen 84, Hjelme og Blomvåg",60.628072,4.80007
1767607,"Stormyrvegen 45, Hjelme og Blomvåg",60.628824,4.801674
1767608,"Strandavegen 1, Hjelme og Blomvåg",60.625792,4.802471
1767609,"Stormyrvegen 76, Hjelme og Blomvåg",60.627841,4.799324
1767636,"Stormyrvegen 78, Hjelme og Blomvåg",60.62805,4.79894
1767637,"Stormyrvegen 80, Hjelme og Blomvåg",60.628116,4.799478
1767702,"Alvøyvegen 500, Hjelme og Blomvåg",60.622868,4.80298
1767703,"Alvøyvegen 495, Hjelme og Blomvåg",60.622395,4.805951
1767704,"Alvøyvegen 493, Hjelme og Blomvåg",60.622298,4.805451
1773642,"Dåvøyvegen 56, Hjelme og Blomvåg",60.586295,4.821971
1773643,"Dåvøyvegen 50, Hjelme og Blomvåg",60.586887,4.823065
1773644,"Dåvøyvegen 40, Hjelme og Blomvåg",60.586999,4.824074
1773645,"Dåvøyvegen 39, Hjelme og Blomvåg",60.587934,4.823496
1773681,"Rotevågsvegen 32, Hjelme og Blomvåg",60.586072,4.828227
1773682,"Rotevågsvegen 16, Hjelme og Blomvåg",60.587566,4.828387
1773683,"Rotevågsvegen 24, Hjelme og Blomvåg",60.587157,4.829019
1773708,"Heggøyvegen 68, Hjelme og Blomvåg",60.590598,4.814962
1773709,"Heggøyvegen 72, Hjelme og Blomvåg",60.590112,4.815793
1773710,"Heggøyvegen 62, Hjelme og Blomvåg",60.591447,4.814797
1773711,"Heggøyvegen 64, Hjelme og Blomvåg",60.59139,4.814402
1773712,"Heggøyvegen 76, Hjelme og Blomvåg",60.58964,4.813953
1773743,"Heggøyvegen 43, Hjelme og Blomvåg",60.592909,4.814699
1773744,"Heggøyvegen 65, Hjelme og Blomvåg",60.592016,4.814029
1773745,"Heggøyvegen 60, Hjelme og Blomvåg",60.591369,4.815758
1773746,"Heggøyvegen 53, Hjelme og Blomvåg",60.594612,4.813089
1773747,"Heggøyvegen 55, Hjelme og Blomvåg",60.594606,4.812322
1773786,"Alvheimsvegen 117, Hjelme og Blomvåg",60.593611,4.821317
1773816,"Alvheimsvegen 194, Hjelme og Blomvåg",60.5996,4.814453
1773817,"Alvheimsvegen 23, Hjelme og Blomvåg",60.595691,4.830336
1773818,"Alvheimsvegen 13, Hjelme og Blomvåg",60.595284,4.832271
1773819,"Alvheimsvegen 20, Hjelme og Blomvåg",60.594366,4.831074
1773820,"Alvheimsvegen 101, Hjelme og Blomvåg",60.592073,4.823178
1773838,"Alvheimsvegen 207, Hjelme og Blomvåg",60.60123,4.815961
1773839,"Alvheimsvegen 190, Hjelme og Blomvåg",60.599674,4.815376
1773840,"Alvheimsvegen 198, Hjelme og Blomvåg",60.59987,4.815625
1773962,"Heggøyvegen 101, Hjelme og Blomvåg",60.588295,4.813886
1773986,"Madelestova 14, Hjelme og Blomvåg",60.601135,4.806629
1774010,"Madelestova 15, Hjelme og Blomvåg",60.600223,4.804791
1774011,"Leppegrend 3, Hjelme og Blomvåg",60.600804,4.803252
1774012,"Nappen 2, Hjelme og Blomvåg",60.60284,4.798526
1774013,"Dåvøyvegen 60, Hjelme og Blomvåg",60.585766,4.822003
1774014,"Naustdalsvegen 23, Hjelme og Blomvåg",60.604156,4.799488
1774015,"Naustdalsvegen 11, Hjelme og Blomvåg",60.603303,4.799544
1774045,"Lisneshaugen 11, Hjelme og Blomvåg",60.601032,4.800489
1774077,"Lisneshaugen 7, Hjelme og Blomvåg",60.601231,4.80082
1774116,"Solbergvegen 171, Hjelme og Blomvåg",60.590275,4.796962
1774117,"Bunesdalen 9, Hjelme og Blomvåg",60.600499,4.799562
1774118,"Bunesdalen 3, Hjelme og Blomvåg",60.600902,4.798961
1774152,"Alvheimstræet 40, Hjelme og Blomvåg",60.604873,4.81964
1774184,"Solbergvegen 128, Hjelme og Blomvåg",60.588328,4.800523
1774207,"Solbergvegen 49, Hjelme og Blomvåg",60.59061,4.805601
1774261,"Åkletten 30, Hjelme og Blomvåg",60.604004,4.809548
1774305,"Solbergvegen 85, Hjelme og Blomvåg",60.593109,4.80215
1774306,"Solbergvegen 75, Hjelme og Blomvåg",60.593084,4.803068
1774307,"Solbergvegen 73, Hjelme og Blomvåg",60.592774,4.803528
1774328,"Grønhaugvegen 49, Hjelme og Blomvåg",60.597559,4.848565
1774352,"Øynesvegen 26, Hjelme og Blomvåg",60.59144,4.850006
1774353,"Øynesvegen 76, Hjelme og Blomvåg",60.594503,4.851092
1774391,"Harkestadvegen 49, Hjelme og Blomvåg",60.586414,4.837291
1774428,"Stekkevegen 54, Hjelme og Blomvåg",60.591083,4.829616
1774498,"Øynesvegen 19, Hjelme og Blomvåg",60.58916,4.853022
1778811,"Ådnevikvegen 52, Hjelme og Blomvåg",60.586128,4.834955
1780422,"Åkletten 2, Hjelme og Blomvåg",60.602443,4.807922
1782736,"Støbergvegen 16, Hjelme og Blomvåg",60.584865,4.838349
1782737,"Krekjebærvegen 15, Hjelme og Blomvåg",60.584216,4.840316
1784347,"Nappen 7, Hjelme og Blomvåg",60.602965,4.798061
1801420,"Stormyrvegen 81, Hjelme og Blomvåg",60.631437,4.798149
1801421,"Stormyrvegen 83, Hjelme og Blomvåg",60.631225,4.798817
1801422,"Stormyrvegen 85, Hjelme og Blomvåg",60.63121,4.799496
1801423,"Stormyrvegen 86, Hjelme og Blomvåg",60.631583,4.796482
