,Navn,Long,Lat
875645,"Møkster 40, Austevoll",60.062946,5.093641
875646,"Møkster 76, Austevoll",60.062832,5.095993
875647,"Møkster 97, Austevoll",60.064128,5.097767
875648,"Møkster 99, Austevoll",60.063671,5.098105
875649,"Møkster 81, Austevoll",60.063812,5.096776
875650,"Møkster 63, Austevoll",60.062321,5.099883
875651,"Møkster 65, Austevoll",60.062959,5.100168
875652,"Møkster 136, Austevoll",60.069512,5.09254
875653,"Møkster 152, Austevoll",60.068475,5.095775
875654,"Møkster 2, Austevoll",60.059584,5.095783
875655,"Møkster 162, Austevoll",60.067514,5.096122
875656,"Møkster 158, Austevoll",60.067142,5.095393
875657,"Møkster 22, Austevoll",60.060834,5.093981
875666,"Møkster 173, Austevoll",60.066205,5.098169
875667,"Møkster 116, Austevoll",60.066729,5.094506
875668,"Møkster 100, Austevoll",60.06457,5.094456
875669,"Møkster 51, Austevoll",60.060892,5.095916
875670,"Møkster 170, Austevoll",60.067345,5.0983
875671,"Møkster 156, Austevoll",60.067553,5.095002
875689,"Møkster 128, Austevoll",60.06834,5.092427
875691,"Møkster 10, Austevoll",60.05925,5.093593
876550,"Møkster 166, Austevoll",60.067795,5.097096
876570,"Møkster 69, Austevoll",60.063615,5.100144
876756,"Møkster 95A, Austevoll",60.064783,5.098078
877208,"Møkster 120, Austevoll",60.066834,5.092282
877241,"Møkster 4, Austevoll",60.059525,5.095287
877322,"Møkster 122, Austevoll",60.067104,5.092591
877351,"Møkster 55, Austevoll",60.059406,5.098879
877353,"Møkster 6, Austevoll",60.059334,5.09484
877355,"Møkster 177, Austevoll",60.065649,5.099634
877376,"Møkster 93, Austevoll",60.064082,5.098614
877438,"Møkster 154, Austevoll",60.067702,5.09547
877454,"Møkster 161, Austevoll",60.067182,5.096143
877463,"Horgo 8, Austevoll",60.097383,5.09547
877464,"Horgo 7, Austevoll",60.097058,5.095994
877473,"Møkster 150, Austevoll",60.06816,5.094859
877493,"Horgo 6, Austevoll",60.096728,5.094251
877494,"Horgo 11, Austevoll",60.098871,5.095708
877497,"Horgo 1, Austevoll",60.088606,5.113404
877498,"Horgo 2, Austevoll",60.089496,5.111445
877499,"Horgo 10, Austevoll",60.098666,5.098504
877500,"Horgo 9, Austevoll",60.09812,5.100562
877525,"Møkster 57, Austevoll",60.059565,5.099688
877541,"Møkster 61, Austevoll",60.061811,5.100861
877593,"Møkster 30, Austevoll",60.061184,5.081323
877599,"Møkster 26, Austevoll",60.060424,5.085596
877601,"Møkster 24, Austevoll",60.060486,5.085841
877614,"Møkster 85, Austevoll",60.063636,5.098739
877644,"Møkster 103, Austevoll",60.065036,5.09593
877676,"Møkster 134, Austevoll",60.068921,5.093851
877679,"Møkster 146, Austevoll",60.069275,5.094547
877726,"Møkster 132, Austevoll",60.068473,5.09358
877742,"Møkster 48, Austevoll",60.062976,5.095089
877787,"Møkster 124, Austevoll",60.067358,5.092957
877839,"Møkster 78, Austevoll",60.062802,5.096679
877849,"Møkster 83, Austevoll",60.063105,5.098618
877864,"Møkster 164, Austevoll",60.067603,5.096381
877898,"Møkster 142, Austevoll",60.070324,5.093617
877968,"Møkster 42, Austevoll",60.064018,5.093119
877990,"Møkster 44, Austevoll",60.064174,5.093226
878048,"Møkster 114, Austevoll",60.066355,5.093646
878071,"Møkster 111, Austevoll",60.065425,5.097538
878248,"Møkster 130, Austevoll",60.068353,5.093775
1776617,"Møkster 108, Austevoll",60.065494,5.095277
1776622,"Møkster 106, Austevoll",60.065469,5.094911
1868787,"Møkster 138, Austevoll",60.069785,5.092824
1969989,"Møkster 28, Austevoll",60.060394,5.078008
1970075,"Møkster 102, Austevoll",60.064781,5.094973
1970076,"Møkster 115, Austevoll",60.066434,5.095176
1970077,"Møkster 73, Austevoll",60.063119,5.099142
1970078,"Møkster 71, Austevoll",60.063384,5.099524
1970079,"Møkster 53C, Austevoll",60.059592,5.098767
1970213,"Møkster 140, Austevoll",60.070075,5.093051
1970216,"Møkster 109, Austevoll",60.065459,5.095727
1970450,"Møkster 178, Austevoll",60.065771,5.099859
2035753,"Møkster 86, Austevoll",60.064154,5.095818
2035754,"Møkster 88, Austevoll",60.064063,5.095879
2035868,"Møkster 84, Austevoll",60.06389,5.095983
2035869,"Møkster 82, Austevoll",60.063808,5.096035
2048111,"Hestamarka 29, Austevoll",60.058727,5.091972
2051857,"Møkster 92, Austevoll",60.06418,5.095907
2051858,"Møkster 90, Austevoll",60.06407,5.095972
2101622,"Møkster 53B, Austevoll",60.059601,5.098935
2101716,"Møkster 53A, Austevoll",60.059666,5.099154
2462431,"Møkster 104, Austevoll",60.065116,5.094661
2491002,"Møkster 95B, Austevoll",60.064705,5.098618
2491003,"Møkster 95C, Austevoll",60.064511,5.09808
