,Navn,Long,Lat
20265,"Husøy, 26/38, Stord",59.783633,5.52585
20270,"Fyrøyo, 26/64, Stord",59.779281,5.541758
36815,"26/77, Stord",59.787877,5.540817
1086300,"Amlievegen 14, Stord",59.792917,5.517661
1086301,"Amlievegen 15, Stord",59.792864,5.51838
1086302,"Amlievegen 16, Stord",59.793205,5.517684
1086303,"Amlievegen 17, Stord",59.793082,5.518464
1086304,"Amlievegen 8A, Stord",59.792327,5.517913
1086305,"Amlievegen 9, Stord",59.792594,5.51839
1086306,"Amlievegen 12, Stord",59.792844,5.517142
1086307,"Amlievegen 13, Stord",59.792905,5.51891
1086308,"Amlievegen 1, Stord",59.792079,5.519138
1086309,"Amlievegen 2, Stord",59.791936,5.518525
1086310,"Amlievegen 6, Stord",59.792211,5.518163
1086311,"Apalvegen 13, Stord",59.801972,5.520519
1086312,"Apalvegen 14, Stord",59.802137,5.521372
1086313,"Apalvegen 16, Stord",59.802247,5.521789
1086314,"Apalvegen 17, Stord",59.801372,5.520988
1086315,"Apalvegen 8, Stord",59.804463,5.519595
1086316,"Apalvegen 10, Stord",59.804096,5.520329
1086317,"Apalvegen 11, Stord",59.802179,5.520565
1086318,"Apalvegen 12A, Stord",59.802672,5.520852
1086319,"Apalvegen 3, Stord",59.802895,5.519759
1086320,"Apalvegen 4, Stord",59.803743,5.519546
1086321,"Apalvegen 6, Stord",59.804176,5.519625
1086322,"Apalvegen 7, Stord",59.802754,5.520202
1086323,"Amlievegen 18, Stord",59.793346,5.517937
1086324,"Amlievegen 19, Stord",59.793366,5.518345
1086325,"Apalvegen 1, Stord",59.803139,5.51984
1086326,"Apalvegen 2, Stord",59.803556,5.519601
1086553,"Aslaksbrekko 24, Stord",59.788829,5.527235
1086554,"Aslaksbrekko 26, Stord",59.788391,5.527316
1086555,"Aslaksbrekko 27, Stord",59.787696,5.526889
1086556,"Aslaksbrekko 7, Stord",59.788459,5.526168
1086557,"Aslaksbrekko 10, Stord",59.789474,5.525795
1086558,"Aslaksbrekko 11, Stord",59.788763,5.526439
1086559,"Aslaksbrekko 12, Stord",59.789646,5.526169
1086560,"Aslaksbrekko 1, Stord",59.788073,5.525851
1086561,"Aslaksbrekko 2, Stord",59.788361,5.525162
1086562,"Aslaksbrekko 3, Stord",59.788016,5.526731
1086563,"Aslaksbrekko 5, Stord",59.788323,5.526512
1086566,"Aslaksbrekko 32, Stord",59.78769,5.528334
1086567,"Aslaksbrekko 16, Stord",59.789974,5.527481
1086568,"Aslaksbrekko 22, Stord",59.789171,5.526784
1086569,"Aslaksbrekko 20, Stord",59.789349,5.527225
1086572,"Aslaksbrekko 34, Stord",59.787706,5.528735
1086574,"Aslaksbrekko 28, Stord",59.788017,5.527444
1086575,"Aslaksbrekko 29, Stord",59.787385,5.527011
1086576,"Aslaksbrekko 30, Stord",59.787788,5.527628
1086577,"Aslaksbrekko 31, Stord",59.787358,5.528047
1086578,"Apalvegen 30, Stord",59.80134,5.521812
1086579,"Apalvegen 31, Stord",59.801534,5.523379
1086580,"Apalvegen 32, Stord",59.801317,5.521957
1086581,"Apalvegen 33, Stord",59.801784,5.523656
1086582,"Apalvegen 26, Stord",59.801427,5.521714
1086583,"Apalvegen 27, Stord",59.801165,5.522669
1086584,"Apalvegen 28, Stord",59.801384,5.521754
1086585,"Apalvegen 29, Stord",59.801356,5.523095
1086586,"Apalvegen 22, Stord",59.801903,5.5217
1086587,"Apalvegen 23, Stord",59.80088,5.522074
1086588,"Apalvegen 24, Stord",59.801723,5.521326
1086589,"Apalvegen 25, Stord",59.80097,5.522439
1086590,"Apalvegen 18, Stord",59.802084,5.522459
1086591,"Apalvegen 19, Stord",59.80114,5.521369
1086592,"Apalvegen 20, Stord",59.802004,5.522099
1086593,"Apalvegen 21, Stord",59.800985,5.521617
1086594,"Apalvegen 58, Stord",59.801831,5.523027
1086595,"Apalvegen 60, Stord",59.801842,5.523097
1086596,"Apalvegen 62, Stord",59.801889,5.523182
1086597,"Apalvegen 64, Stord",59.801909,5.523269
1086598,"Apalvegen 50, Stord",59.8017,5.522488
1086599,"Apalvegen 52, Stord",59.80172,5.522575
1086600,"Apalvegen 54, Stord",59.801741,5.522698
1086601,"Apalvegen 56, Stord",59.801792,5.522924
1086602,"Apalvegen 42, Stord",59.801617,5.522086
1086603,"Apalvegen 44, Stord",59.801638,5.522191
1086604,"Apalvegen 46, Stord",59.801667,5.522277
1086605,"Apalvegen 48, Stord",59.801688,5.522382
1086606,"Apalvegen 34, Stord",59.801264,5.521998
1086607,"Apalvegen 36, Stord",59.801212,5.522057
1086608,"Apalvegen 38, Stord",59.80116,5.522116
