,Navn,Long,Lat
1085243,"Stølsvegen 24, Bremnes",59.813395,5.264775
1085244,"Søresjøvegen 19, Bremnes",59.813841,5.268403
1085245,"Stølsvegen 20, Bremnes",59.813342,5.265138
1085246,"Stølsvegen 22, Bremnes",59.813288,5.265144
1085247,"Stølsvegen 8, Bremnes",59.813365,5.265938
1085248,"Stølsvegen 13, Bremnes",59.813745,5.265075
1085249,"Skårabrekka 20, Bremnes",59.819584,5.263671
1085250,"Stølsvegen 6, Bremnes",59.813616,5.266181
1085251,"Skårabrekka 10, Bremnes",59.818951,5.265393
1085252,"Skårabrekka 12, Bremnes",59.819274,5.265115
1085253,"Rolvsnesvegen 83, Bremnes",59.818793,5.258297
1085254,"Rolvsnesvegen 89, Bremnes",59.81882,5.256741
1085325,"Ramskleiva 13, Bremnes",59.816615,5.257257
1085326,"Ramskleiva 14, Bremnes",59.816693,5.257783
1085327,"Ramskleiva 10, Bremnes",59.817117,5.257861
1085328,"Ramskleiva 12, Bremnes",59.817064,5.257867
1085329,"Ramskleiva 6, Bremnes",59.817307,5.257893
1085330,"Ramskleiva 8, Bremnes",59.817189,5.257853
1085331,"Ramskleiva 2, Bremnes",59.817434,5.257932
1085332,"Ramskleiva 4, Bremnes",59.817371,5.257921
1085333,"Ramsbråtet 10, Bremnes",59.817883,5.25383
1085334,"Ramsbråtet 12, Bremnes",59.817762,5.25304
1085335,"Ramsbråtet 8, Bremnes",59.81802,5.254529
1085337,"Ramsbråtet 9, Bremnes",59.818066,5.253302
1085338,"Ramsbråtet 5, Bremnes",59.81835,5.25442
1085339,"Ramsbråtet 6, Bremnes",59.818083,5.255164
1085340,"Ramsbråtet 3, Bremnes",59.818448,5.255318
1085341,"Ramsbråtet 4, Bremnes",59.817914,5.255861
1085343,"Lyngvegen 13, Bremnes",59.818804,5.264686
1085344,"Ramsbråtet 2, Bremnes",59.818111,5.256446
1085345,"Lyngvegen 11, Bremnes",59.818572,5.265087
1085346,"Lyngvegen 12, Bremnes",59.818533,5.264342
1085347,"Lyngvegen 8, Bremnes",59.818364,5.2647
1085348,"Lyngvegen 9, Bremnes",59.818263,5.265282
1085349,"Lyngvegen 5, Bremnes",59.817972,5.265779
1085350,"Lyngvegen 7, Bremnes",59.818059,5.266001
1085351,"Hetlevegen 28, Bremnes",59.813268,5.267912
1085352,"Lyngvegen 4, Bremnes",59.817899,5.265127
1085353,"Hetlevegen 26, Bremnes",59.813059,5.267861
1085354,"Hetlevegen 27, Bremnes",59.813027,5.268296
1085356,"Hetlevegen 24, Bremnes",59.812844,5.267852
1085357,"Hetlevegen 25, Bremnes",59.812964,5.268928
1085358,"Hetlevegen 19, Bremnes",59.812109,5.267917
1085359,"Hetlevegen 23, Bremnes",59.812601,5.268469
1085360,"Rolvsnesvegen 43, Bremnes",59.81922,5.263836
1085361,"Rolvsnesvegen 77, Bremnes",59.818665,5.258847
1085362,"Rolvsnesvegen 39, Bremnes",59.819022,5.263519
1085363,"Rolvsnesvegen 41, Bremnes",59.818862,5.264198
1085364,"Rolvsnesvegen 35, Bremnes",59.818349,5.26388
1085365,"Rolvsnesvegen 37, Bremnes",59.818591,5.263452
1085366,"Rolvsnesvegen 31, Bremnes",59.818034,5.264851
1085367,"Rolvsnesvegen 33, Bremnes",59.818147,5.264349
1085368,"Rolvsnesvegen 15, Bremnes",59.816779,5.267189
1085369,"Rolvsnesvegen 20, Bremnes",59.816716,5.266491
1085370,"Rolvsnesvegen 12, Bremnes",59.816498,5.26673
1085371,"Rolvsnesvegen 14, Bremnes",59.816424,5.266024
1085372,"Rolvsnesvegen 10, Bremnes",59.816277,5.266879
1085373,"Wichmannvegen 4A, Bremnes",59.816533,5.267332
1085374,"Ramsmyra 11, Bremnes",59.817445,5.256576
1085375,"Ramsmyra 14, Bremnes",59.81766,5.255122
1085376,"Ramsmyra 8, Bremnes",59.817213,5.256172
1085377,"Ramsmyra 9, Bremnes",59.817414,5.25668
1085378,"Ramsmyra 1, Bremnes",59.817229,5.257045
1085379,"Ramsmyra 2, Bremnes",59.816709,5.257103
1085380,"Ramskleiva 26, Bremnes",59.815477,5.258348
1085381,"Ramskleiva 49, Bremnes",59.814286,5.257554
1085382,"Ramskleiva 24, Bremnes",59.815644,5.258205
1085383,"Ramskleiva 25, Bremnes",59.815395,5.257679
1085384,"Ramskleiva 22, Bremnes",59.815833,5.258219
1085385,"Ramskleiva 23, Bremnes",59.815546,5.257591
1085386,"Ramskleiva 19, Bremnes",59.816071,5.257407
1085387,"Ramskleiva 20, Bremnes",59.816219,5.25789
1085388,"Ramskleiva 17, Bremnes",59.816214,5.257373
1085389,"Ramskleiva 18, Bremnes",59.81637,5.25782
1085390,"Ramskleiva 15, Bremnes",59.816471,5.257255
1085391,"Ramskleiva 16, Bremnes",59.816545,5.257961
1085392,"Austbøvegen 6, Bremnes",59.815887,5.269618
1085395,"Austbøvegen 25, Bremnes",59.815246,5.271706
1085397,"Arnesvegen 25, Bremnes",59.814497,5.272558
1085399,"Arnesvegen 20, Bremnes",59.814119,5.274153
1085400,"Arnesvegen 22, Bremnes",59.813888,5.274232
1085401,"Arnesvegen 18, Bremnes",59.81435,5.274359
1085402,"Arnesvegen 19, Bremnes",59.814455,5.273615
1085403,"Arnesvegen 16, Bremnes",59.814196,5.274965
1085404,"Arnesvegen 17, Bremnes",59.814592,5.27401
1085405,"Arnesvegen 14, Bremnes",59.813911,5.274729
1085406,"Arnesvegen 15, Bremnes",59.814853,5.274356
1085407,"Arnesvegen 10, Bremnes",59.813484,5.275187
1085408,"Arnesvegen 12, Bremnes",59.813525,5.274754
1085409,"Arnesvegen 6, Bremnes",59.814133,5.275579
1085410,"Arnesvegen 8, Bremnes",59.813793,5.275331
1085411,"Arnesvegen 2, Bremnes",59.814636,5.275576
1085412,"Arnesvegen 4, Bremnes",59.814384,5.275574
1085413,"Arnesvegen 1, Bremnes",59.81458,5.274868
1085416,"Hetlevegen 17, Bremnes",59.812325,5.267607
1085418,"Hetlevegen 18, Bremnes",59.812622,5.267645
1085420,"Hetlevegen 15, Bremnes",59.812327,5.267072
1085421,"Hetlevegen 16, Bremnes",59.81262,5.267235
1085423,"Hetlevegen 12, Bremnes",59.813061,5.267257
1085425,"Hetlevegen 14, Bremnes",59.812832,5.267104
1085426,"Hetlevegen 9, Bremnes",59.811984,5.267324
1085427,"Hetlevegen 10, Bremnes",59.813268,5.266948
1085428,"Hetlevegen 7, Bremnes",59.811949,5.266739
1085429,"Hetlevegen 8, Bremnes",59.813082,5.266416
1085430,"Hetlevegen 3, Bremnes",59.81202,5.266053
1085431,"Hetlevegen 5, Bremnes",59.812274,5.266471
1085432,"Bedehusvegen 15, Bremnes",59.81574,5.265047
1085433,"Bedehusvegen 18, Bremnes",59.814923,5.264157
1085434,"Bedehusvegen 11, Bremnes",59.815698,5.26548
1085435,"Bedehusvegen 13, Bremnes",59.815511,5.265841
1085436,"Bedehusvegen 8, Bremnes",59.815323,5.264951
1085437,"Bedehusvegen 9, Bremnes",59.815934,5.265543
1085438,"Bedehusvegen 6, Bremnes",59.815277,5.265849
1085439,"Bedehusvegen 7, Bremnes",59.815908,5.266242
1085440,"Bedehusvegen 1, Bremnes",59.816036,5.266828
1085441,"Bedehusvegen 5, Bremnes",59.815559,5.266281
1085442,"Austbøstien 10, Bremnes",59.817465,5.274528
1085443,"Austbøstien 11, Bremnes",59.817087,5.275142
1085444,"Austbøvegen 44, Bremnes",59.816126,5.275336
1085445,"Austbøstien 5, Bremnes",59.816589,5.274376
1085446,"Austbøvegen 40, Bremnes",59.817014,5.272901
1085447,"Austbøvegen 43, Bremnes",59.815958,5.274001
1085448,"Austbøvegen 34, Bremnes",59.817592,5.27173
1085449,"Ramsbakkane 9, Bremnes",59.81607,5.256764
1085450,"Wichmannvegen 18, Bremnes",59.817899,5.267019
1085451,"Wichmannvegen 14, Bremnes",59.817839,5.26649
1085452,"Wichmannvegen 22, Bremnes",59.817364,5.267489
1085453,"Wichmannvegen 20, Bremnes",59.817708,5.267237
1085454,"Rubbvegen 9, Bremnes",59.815278,5.266722
1085455,"Rubbvegen 5, Bremnes",59.81525,5.267726
1085456,"Rubbvegen 41, Bremnes",59.812601,5.264043
1085457,"Rubbvegen 11, Bremnes",59.814941,5.266672
1085458,"Stølsvegen 62, Bremnes",59.812316,5.263016
1085459,"Rubbvegen 44, Bremnes",59.812167,5.264288
1085460,"Stølsvegen 64, Bremnes",59.812194,5.262475
1085461,"Rubbvegen 52, Bremnes",59.811712,5.263446
1085462,"Rubbvegen 58, Bremnes",59.8115,5.262953
1085463,"Søresjøvegen 2, Bremnes",59.815432,5.269401
1085464,"Rubbvegen 62, Bremnes",59.811092,5.26282
1085465,"Søresjøvegen 7, Bremnes",59.814822,5.267915
1085466,"Søresjøvegen 6, Bremnes",59.815215,5.269525
1085467,"Austbøvegen 16, Bremnes",59.815871,5.271262
1085468,"Rubbvegen 57, Bremnes",59.811866,5.262216
1085469,"Søresjøvegen 12, Bremnes",59.814929,5.270046
1085470,"Søresjøvegen 21, Bremnes",59.813585,5.268944
1085471,"Kaibrekka 5, Bremnes",59.816211,5.251912
1085472,"Søresjøvegen 37, Bremnes",59.813632,5.270602
1085473,"Wichmannvegen 3, Bremnes",59.816187,5.268139
1085474,"Stølsvegen 2, Bremnes",59.814019,5.26649
1085475,"Wichmannvegen 10, Bremnes",59.817334,5.266666
1085476,"Solberg 15, Bremnes",59.814682,5.265452
1085477,"Solberg 13, Bremnes",59.814575,5.265196
1085478,"Solberg 16, Bremnes",59.814645,5.264795
1085479,"Kaibrekka 2, Bremnes",59.815789,5.269004
1085480,"Hetlevegen 29, Bremnes",59.813317,5.268353
1085481,"Kaibrekka 4, Bremnes",59.815976,5.268948
1085482,"Furunesvegen 1, Bremnes",59.812385,5.265316
1085483,"Furunesvegen 72, Bremnes",59.810646,5.270026
1085484,"Furunesvegen 99, Bremnes",59.808851,5.271904
1085485,"Furunesvegen 38, Bremnes",59.810324,5.268367
1085486,"Furunesvegen 96, Bremnes",59.809245,5.272484
1085487,"Furunesvegen 98, Bremnes",59.809444,5.272837
1085488,"Furunesvegen 78, Bremnes",59.810204,5.270147
1085489,"Furunesvegen 90, Bremnes",59.80984,5.2719
1085490,"Furunesvegen 34, Bremnes",59.810945,5.269653
1085491,"Furunesvegen 62, Bremnes",59.810119,5.269085
1085492,"Ramsbakkane 28, Bremnes",59.816666,5.254324
1085493,"Ramsbakkane 29, Bremnes",59.817085,5.255133
1085494,"Ramsbakkane 20, Bremnes",59.816358,5.253912
1085495,"Ramsbakkane 27, Bremnes",59.816545,5.255123
1085496,"Ramsbakkane 16, Bremnes",59.816065,5.254677
1085497,"Ramsbakkane 18, Bremnes",59.816198,5.254287
1085498,"Ramsbakkane 14, Bremnes",59.815934,5.255138
1085499,"Ramsbakkane 15, Bremnes",59.816455,5.255486
1085500,"Ramsbakkane 12, Bremnes",59.815797,5.255689
1085501,"Ramsbakkane 13, Bremnes",59.816287,5.255848
1085502,"Ramsbakkane 7, Bremnes",59.816486,5.256034
1085503,"Ramsbakkane 11, Bremnes",59.816155,5.256255
1085504,"Furunesvegen 100, Bremnes",59.808944,5.272322
1085505,"Ramsbakkane 26, Bremnes",59.81687,5.253908
1085506,"Wichmannvegen 12, Bremnes",59.817543,5.266505
1085583,"Ramsåsen 4, Bremnes",59.815541,5.258698
1085584,"Ramsåsen 3, Bremnes",59.816277,5.25833
1085585,"Ramsåsen 6, Bremnes",59.815419,5.258837
1085587,"Ramsåsen 5, Bremnes",59.816172,5.25877
1085589,"Ramsåsen 12, Bremnes",59.81618,5.25934
1085590,"Ramsåsen 8, Bremnes",59.815767,5.259065
1085591,"Ramsåsen 16, Bremnes",59.81646,5.259077
1085593,"Ramsåsen 14, Bremnes",59.816315,5.259343
1085594,"Ramsåsen 18, Bremnes",59.816594,5.259044
1085595,"Ramsåsen 17, Bremnes",59.816315,5.258718
1085596,"Ramsåsen 20, Bremnes",59.816804,5.258842
1085597,"Ramsåsen 19, Bremnes",59.81662,5.258381
1085598,"Ramsåsen 22, Bremnes",59.816916,5.258669
1085599,"Ramsåsen 21, Bremnes",59.816703,5.258157
1085600,"Nordpynt 7, Bremnes",59.817837,5.258585
1085601,"Nordpynt 9, Bremnes",59.81755,5.258824
1085603,"Nordpynt 3, Bremnes",59.817688,5.259117
1085605,"Nordpynt 5, Bremnes",59.817879,5.258932
1085607,"Nordpynt 1, Bremnes",59.81776,5.259998
1085609,"Nordpynt 2, Bremnes",59.817196,5.260315
1085611,"Nordpynt 11, Bremnes",59.817176,5.258961
1085613,"Nordpynt 10, Bremnes",59.817354,5.259548
1085615,"Nordpynt 16, Bremnes",59.816909,5.260008
1085617,"Nordpynt 13, Bremnes",59.816994,5.259195
1085618,"Nordpynt 18, Bremnes",59.816921,5.260453
1085619,"Nordpynt 17, Bremnes",59.816449,5.259869
1085620,"Nordpynt 21, Bremnes",59.816776,5.260719
1085621,"Nordpynt 19, Bremnes",59.81659,5.260187
1085622,"Solhøgda 2, Bremnes",59.81478,5.261885
1085623,"Solhøgda 1, Bremnes",59.815224,5.261768
1085625,"Solhøgda 6, Bremnes",59.814305,5.262317
1085626,"Solhøgda 4, Bremnes",59.814573,5.261627
1085627,"Bergevegen 12, Bremnes",59.811071,5.264286
1085628,"Bergevegen 9, Bremnes",59.811432,5.263728
1085629,"Bergevegen 16, Bremnes",59.810149,5.263479
1085630,"Bergevegen 42, Bremnes",59.808638,5.262488
1085631,"Furunesvegen 24, Bremnes",59.811059,5.268302
1085632,"Furunesvegen 2, Bremnes",59.812738,5.266497
1085633,"Furunesvegen 14, Bremnes",59.811467,5.266525
1085634,"Furunesvegen 12, Bremnes",59.81168,5.266412
1085635,"Furunesvegen 20, Bremnes",59.811186,5.266602
1085636,"Furunesvegen 16, Bremnes",59.811518,5.267037
1085637,"Furunesvegen 22, Bremnes",59.810921,5.267568
1085638,"Furunesvegen 21, Bremnes",59.810878,5.266342
1085639,"Furunesvegen 33, Bremnes",59.810107,5.267053
1085640,"Furunesvegen 30, Bremnes",59.811247,5.269227
1085641,"Furunesvegen 35, Bremnes",59.81041,5.266644
1085642,"Furunesvegen 37, Bremnes",59.81065,5.266563
1085643,"Furunesvegen 36, Bremnes",59.810588,5.268778
1085644,"Furunesvegen 51, Bremnes",59.810135,5.266439
1085645,"Furunesvegen 39, Bremnes",59.810479,5.265904
1085646,"Furunesvegen 47, Bremnes",59.80972,5.267042
1085647,"Furunesvegen 49, Bremnes",59.809613,5.266448
1085648,"Furunesvegen 43, Bremnes",59.809912,5.268413
1085649,"Furunesvegen 45, Bremnes",59.809873,5.267685
1085650,"Furunesvegen 61, Bremnes",59.809897,5.269164
1085651,"Furunesvegen 53, Bremnes",59.810073,5.265878
1085652,"Ramsåsen 2, Bremnes",59.815674,5.258612
1085653,"Ramsåsen 1, Bremnes",59.816143,5.25838
1085655,"Sollia 37, Bremnes",59.815529,5.261734
1085657,"Sollia 35, Bremnes",59.815787,5.260705
1085659,"Sollia 40, Bremnes",59.815332,5.263042
1085661,"Sollia 38, Bremnes",59.815284,5.262459
1085662,"Sollia 44, Bremnes",59.814609,5.263532
1085664,"Sollia 42, Bremnes",59.81501,5.26315
1085665,"Sollia 47, Bremnes",59.814611,5.262354
1085666,"Sollia 46, Bremnes",59.814897,5.262618
1085667,"Sollia 50, Bremnes",59.814263,5.263053
1085668,"Sollia 48, Bremnes",59.814543,5.262799
1085669,"Sollia 52, Bremnes",59.814023,5.263148
1085670,"Sollia 51, Bremnes",59.814023,5.262509
1085672,"Sollia 61, Bremnes",59.813522,5.261514
1085674,"Sollia 53, Bremnes",59.813776,5.262469
1085676,"Sollia 54, Bremnes",59.813771,5.263164
1085678,"Sollia 55, Bremnes",59.813537,5.262378
1085680,"Sollia 56, Bremnes",59.813409,5.263028
1085685,"Sollia 57, Bremnes",59.813485,5.261881
1085697,"Solhøgda 10, Bremnes",59.813985,5.262121
1085699,"Solhøgda 8, Bremnes",59.814227,5.26179
1085700,"Solhøgda 15, Bremnes",59.814986,5.261295
1085701,"Solhøgda 14, Bremnes",59.814155,5.261174
1085702,"Solhøgda 17, Bremnes",59.815285,5.261099
1085703,"Solhøgda 25, Bremnes",59.815962,5.259684
1085704,"Solhøgda 19, Bremnes",59.815517,5.261123
1085706,"Solhøgda 29, Bremnes",59.815332,5.26029
1085708,"Solhøgda 27, Bremnes",59.81576,5.259842
1085711,"Solhøgda 31, Bremnes",59.815305,5.260206
1085713,"Solhøgda 33, Bremnes",59.815292,5.260064
1085715,"Ramsbråtet 1, Bremnes",59.818525,5.255987
1085717,"Solhøgda 37, Bremnes",59.815222,5.259787
1085719,"Solhøgda 35, Bremnes",59.8153,5.259689
1085722,"Solhøgda 41, Bremnes",59.815117,5.259906
1085723,"Solhøgda 39, Bremnes",59.815178,5.259827
1085725,"Solhøgda 45, Bremnes",59.814987,5.260081
1085727,"Solhøgda 43, Bremnes",59.814921,5.259963
1085728,"Solhøgda 49, Bremnes",59.814994,5.260312
1085729,"Solhøgda 47, Bremnes",59.814999,5.260187
1085730,"Solhøgda 52, Bremnes",59.814489,5.261154
