,Navn,Long,Lat
20301,"25/1, Fitjar",59.912037,5.130242
20302,"24/1, Fitjar",59.916849,5.152097
20303,"36/5, Fitjar",59.891972,5.167071
20395,"23/1-2, Fitjar",59.922912,5.162711
20407,"25/1-1, Fitjar",59.911925,5.130076
20414,"Eidøy, 24/2-1, Fitjar",59.915127,5.152225
20419,"22/2, Fitjar",59.911388,5.17199
38519,"36/2-1, Fitjar",59.896951,5.157171
40586,"Eggøy Austre, 23/1, Fitjar",59.922758,5.162218
47192,"Eidøy, 24/2, Fitjar",59.916885,5.151788
47193,"Eggøy Austre, 23/4, Fitjar",59.924251,5.162986
47194,"Eggøy Austre, 23/3, Fitjar",59.923323,5.162001
47195,"Torsdagsøy, 22/5, Fitjar",59.933937,5.215997
47196,"Torsdagsøy, 22/6, Fitjar",59.934656,5.216596
47197,"Tverdarvik, 36/8, Fitjar",59.891235,5.167103
47198,"Tverdarvik, 36/9, Fitjar",59.889521,5.170592
47199,"Tverdarvik, 36/6, Fitjar",59.891365,5.16537
47200,"Tverdarvik, 36/3, Fitjar",59.897588,5.158658
47201,"Tverdarvik, 36/4, Fitjar",59.898805,5.152022
47202,"Kvernenes, 34/2, Fitjar",59.905278,5.155424
47203,"Tverdarvik, 36/2, Fitjar",59.897012,5.15774
47206,"Torsdagsøy, 22/3, Fitjar",59.934988,5.216253
47207,"Torsdagsøy, 22/4, Fitjar",59.934342,5.213819
47209,"Torsdagsøy, 22/1, Fitjar",59.911421,5.172184
1783427,"Brandasundvegen 472, Bremnes",59.89523,5.090226
1783428,"Brandasundvegen 456, Bremnes",59.895893,5.090111
1783429,"Brandasundvegen 500, Bremnes",59.895447,5.090825
1783430,"Brandasundvegen 476, Bremnes",59.895646,5.090569
1783432,"Brandasundvegen 494, Bremnes",59.895162,5.090551
1783433,"Brandasundvegen 498, Bremnes",59.895272,5.090803
1783434,"Brandasundvegen 505, Bremnes",59.895077,5.090779
1783436,"Brandasundvegen 480, Bremnes",59.894996,5.089869
1783437,"Brandasundvegen 503, Bremnes",59.895051,5.090784
1783438,"Brandasundvegen 459, Bremnes",59.899739,5.085238
1783439,"Brandasundvegen 481, Bremnes",59.894566,5.089319
1783448,"Brandasundvegen 451, Bremnes",59.898398,5.090013
1783449,"Brandasundvegen 455, Bremnes",59.899324,5.087882
1783450,"Brandasundvegen 398, Bremnes",59.899079,5.097824
1783451,"Brandasundvegen 501, Bremnes",59.895021,5.090857
1783452,"Brandasundvegen 487, Bremnes",59.892536,5.090595
1783453,"Brandasundvegen 493, Bremnes",59.893444,5.090256
1783454,"Brandasundvegen 483, Bremnes",59.893209,5.089353
1783455,"Brandasundvegen 485, Bremnes",59.892436,5.090571
1783501,"Kvarven 27, Bremnes",59.895114,5.095964
1783504,"Kvarven 25, Bremnes",59.895245,5.096449
1783507,"Kvarven 23, Bremnes",59.895055,5.0964
1783509,"Kvarven 17, Bremnes",59.893713,5.097209
1783553,"Kvarven 47, Bremnes",59.892735,5.096012
1783566,"Kvarven 33, Bremnes",59.894041,5.096762
1783567,"Kvernanesvegen 245, Bremnes",59.892822,5.115632
1783568,"Kvernanesvegen 247, Bremnes",59.892767,5.115635
1783569,"Kvernanesvegen 253, Bremnes",59.893563,5.114896
1783571,"Kvarven 61, Bremnes",59.892658,5.094409
1783572,"Kvarven 59, Bremnes",59.892837,5.094889
1783573,"Kvernanesvegen 238, Bremnes",59.891397,5.11438
1783574,"Kvarven 57, Bremnes",59.892202,5.095107
1783575,"Kvernanesvegen 240, Bremnes",59.891305,5.114301
1783576,"Kvernanesvegen 244, Bremnes",59.891467,5.113674
1783577,"Kvarven 45, Bremnes",59.892462,5.095989
1783578,"Kvernanesvegen 246, Bremnes",59.891757,5.11407
1783579,"Kvarven 43, Bremnes",59.892765,5.096424
1783580,"Kvernanesvegen 250, Bremnes",59.892118,5.114135
1783581,"Kvarven 41, Bremnes",59.892809,5.09697
1783582,"Kvernanesvegen 256, Bremnes",59.893627,5.112545
1783583,"Kvarven 35, Bremnes",59.893695,5.096918
1783584,"Kvernanesvegen 258, Bremnes",59.894126,5.112045
1783601,"Kvarven 48, Bremnes",59.891796,5.095638
1783602,"Kvarven 46, Bremnes",59.892203,5.09602
1783603,"Kvarven 42, Bremnes",59.8921,5.096708
1783605,"Kvarven 40, Bremnes",59.89184,5.097345
1783608,"Kvernanesvegen 59, Bremnes",59.880957,5.105442
1783610,"Kvernanesvegen 57, Bremnes",59.881309,5.105619
1783624,"Kvernanesvegen 55, Bremnes",59.88146,5.105508
1783625,"Kvernanesvegen 53, Bremnes",59.88165,5.104543
1783626,"Kvernanesvegen 49, Bremnes",59.882009,5.104228
1783627,"Kvarven 52, Bremnes",59.892097,5.09484
1783629,"Kvarven 50A, Bremnes",59.89195,5.09508
1783641,"Brandasundvegen 387, Bremnes",59.898317,5.105406
1783644,"Brandasundvegen 381, Bremnes",59.89801,5.099684
1783646,"Brandasundvegen 383, Bremnes",59.89824,5.09918
1783647,"Brandasundvegen 379, Bremnes",59.897715,5.100394
1783648,"Brandasundvegen 396, Bremnes",59.898986,5.098014
1783651,"Brandasundvegen 391, Bremnes",59.900575,5.103269
1783653,"Brandasundvegen 395, Bremnes",59.899789,5.101767
1783656,"Brandasundvegen 311, Bremnes",59.891313,5.104211
1783659,"Kvernanesvegen 265, Bremnes",59.893465,5.113459
1783661,"Kvernanesvegen 269, Bremnes",59.89394,5.113099
1783670,"Kvernanesvegen 257, Bremnes",59.893797,5.114634
1783672,"Kvernanesvegen 261, Bremnes",59.894103,5.113836
1783674,"Kvernanesvegen 263, Bremnes",59.893691,5.113826
1783676,"Kvernanesvegen 69, Bremnes",59.878044,5.103619
1783677,"Kvernanesvegen 73, Bremnes",59.877217,5.104539
1783678,"Kvernanesvegen 77, Bremnes",59.875433,5.104367
1783679,"Kvernanesvegen 180, Bremnes",59.891985,5.11856
1783680,"Kvernanesvegen 212, Bremnes",59.890425,5.114637
1783681,"Kvernanesvegen 214, Bremnes",59.890497,5.114324
1783682,"Kvernanesvegen 228, Bremnes",59.891022,5.114138
1783684,"Kvernanesvegen 63, Bremnes",59.880083,5.103863
1783685,"Brandasundvegen 370, Bremnes",59.896597,5.099923
1783686,"Kvernanesvegen 65, Bremnes",59.879896,5.104114
1783687,"Kvernanesvegen 67, Bremnes",59.878941,5.10355
1783694,"Brandasundvegen 349, Bremnes",59.893724,5.101262
1783695,"Brandasundvegen 373, Bremnes",59.896341,5.101599
1783697,"Brandasundvegen 368, Bremnes",59.896924,5.099419
1783698,"Brandasundvegen 367, Bremnes",59.896335,5.100777
1783699,"Brandasundvegen 371, Bremnes",59.896666,5.102223
1783700,"Brandasundvegen 361, Bremnes",59.895656,5.100302
1783701,"Brandasundvegen 363, Bremnes",59.895924,5.100556
1783702,"Brandasundvegen 359, Bremnes",59.895254,5.102066
1783703,"Brandasundvegen 145, Bremnes",59.878934,5.098758
1783704,"Brandasundvegen 191, Bremnes",59.882149,5.096538
1783705,"Brandasundvegen 109, Bremnes",59.876151,5.099471
1783706,"Brandasundvegen 141, Bremnes",59.878317,5.09816
1783707,"Brandasundvegen 101, Bremnes",59.875287,5.098921
1783708,"Brandasundvegen 105, Bremnes",59.875855,5.099227
1783709,"Brandasundvegen 70, Bremnes",59.872921,5.100322
1783710,"Brandasundvegen 193, Bremnes",59.882334,5.09793
1783720,"Kvarven 9, Bremnes",59.893063,5.097761
1783721,"Kvarven 5, Bremnes",59.895856,5.096145
1783722,"Kvarven 1, Bremnes",59.894255,5.09975
1783723,"Brandasundvegen 497, Bremnes",59.894125,5.090836
1783724,"Brandasundvegen 464, Bremnes",59.896379,5.090576
1783725,"Brandasundvegen 466, Bremnes",59.896282,5.090525
1783726,"Brandasundvegen 460, Bremnes",59.896693,5.090446
1783727,"Brandasundvegen 458, Bremnes",59.896754,5.090444
1783731,"Brandasundvegen 350, Bremnes",59.895136,5.099146
1783741,"Kvarven 15, Bremnes",59.893232,5.097384
1783783,"Brandasundvegen 301, Bremnes",59.891575,5.107293
1783785,"Brandasundvegen 305, Bremnes",59.89288,5.105428
1783787,"Brandasundvegen 243, Bremnes",59.884774,5.09735
1783789,"Brandasundvegen 247, Bremnes",59.885066,5.099702
1783791,"Brandasundvegen 205, Bremnes",59.882647,5.096641
1783792,"Brandasundvegen 241, Bremnes",59.885009,5.097544
1783793,"Brandasundvegen 201, Bremnes",59.882515,5.097658
1784203,"Kvernanesvegen 255, Bremnes",59.893549,5.114665
1804777,"Risøya 3, Bremnes",59.879991,5.154521
1804782,"Risøya 2, Bremnes",59.885674,5.155509
1804783,"Slåtterøy fyr 1, Bremnes",59.908317,5.068081
1804785,"Slåtterøy fyr 2, Bremnes",59.904394,5.068277
1804788,"Risøya 1, Bremnes",59.886569,5.150451
1943191,"Brandasundvegen 300, Bremnes",59.889648,5.101404
1956099,"Brandasundvegen 470, Bremnes",59.895956,5.090644
1975157,"Brandasundvegen 492, Bremnes",59.895204,5.090406
1975546,"Brandasundvegen 351, Bremnes",59.893509,5.101604
2023391,"Kvarven 50B, Bremnes",59.891899,5.095023
2023452,"Kvarven 50C, Bremnes",59.891884,5.095003
2039788,"Brandasundvegen 468, Bremnes",59.896211,5.09103
2071773,"Brandasundvegen 452, Bremnes",59.895514,5.090028
2258254,"Kvernanesvegen 218, Bremnes",59.890873,5.115075
2477471,"Kvernanesvegen 210, Bremnes",59.890505,5.115712
