,Navn,Long,Lat
1085740,"Stølane 18, Bremnes",59.795289,5.187407
1085741,"Stølane 19, Bremnes",59.795592,5.187319
1085742,"Stølane 15, Bremnes",59.795735,5.187927
1085743,"Stølane 16, Bremnes",59.79532,5.18785
1085744,"Stølane 11, Bremnes",59.796009,5.18836
1085745,"Stølane 13, Bremnes",59.796025,5.187983
1085746,"Stølane 7, Bremnes",59.795754,5.189165
1085747,"Stølane 9, Bremnes",59.795792,5.18862
1085748,"Stølane 3, Bremnes",59.796003,5.189716
1085749,"Stølane 5, Bremnes",59.795946,5.189009
1085751,"Stølane 1, Bremnes",59.795667,5.189897
1085752,"Tverråvegen 81, Bremnes",59.787292,5.170238
1085753,"Tverråvegen 85, Bremnes",59.787044,5.169749
1085754,"Tverråvegen 83, Bremnes",59.78708,5.169745
1085755,"Tverråvegen 58, Bremnes",59.789206,5.171124
1085756,"Tongane 38, Bremnes",59.794898,5.195087
1085757,"Tongane 40, Bremnes",59.795057,5.195077
1085758,"Vinkelen 20, Bremnes",59.794577,5.186722
1085759,"Vinkelen 17, Bremnes",59.794961,5.186946
1085760,"Vinkelen 19, Bremnes",59.794944,5.186359
1085761,"Vinkelen 15, Bremnes",59.794985,5.187478
1085762,"Vinkelen 16, Bremnes",59.794705,5.187792
1085763,"Vinkelen 13, Bremnes",59.79502,5.188045
1085764,"Vinkelen 14, Bremnes",59.794673,5.188191
1085765,"Vinkelen 10, Bremnes",59.794733,5.189647
1085766,"Vinkelen 12, Bremnes",59.794685,5.188903
1085767,"Vinkelen 4, Bremnes",59.795022,5.189382
1085768,"Vinkelen 6, Bremnes",59.795004,5.189552
1085769,"Vinkelen 2, Bremnes",59.795331,5.189169
1085770,"Vinkelen 3, Bremnes",59.795041,5.18847
1085771,"Stølane 36, Bremnes",59.795767,5.18375
1085772,"Vinkelen 1, Bremnes",59.795336,5.188419
1085773,"Stølane 32, Bremnes",59.795014,5.18368
1085774,"Stølane 34, Bremnes",59.795282,5.183405
1085775,"Stølane 30, Bremnes",59.795048,5.184385
1085776,"Stølane 31, Bremnes",59.795763,5.184232
1085777,"Stølane 28, Bremnes",59.79507,5.184846
1085778,"Stølane 29, Bremnes",59.795365,5.184154
1085779,"Stølane 26, Bremnes",59.79514,5.185373
1085780,"Stølane 27, Bremnes",59.795432,5.184912
1085781,"Stølane 24, Bremnes",59.795247,5.186399
1085782,"Stølane 25, Bremnes",59.795505,5.185563
1085783,"Stølane 22, Bremnes",59.795224,5.186719
1085784,"Stølane 23, Bremnes",59.795519,5.186193
1085785,"Stølane 20, Bremnes",59.795292,5.186893
1085786,"Stølane 21, Bremnes",59.795584,5.186749
1085787,"Tverråvegen 25, Bremnes",59.791786,5.170382
1085788,"Tverråvegen 28, Bremnes",59.791276,5.17028
1085789,"Tverråvegen 17, Bremnes",59.792498,5.170907
1085790,"Tverråvegen 18, Bremnes",59.7922,5.171779
1085791,"Svortlandsvegen 1, Bremnes",59.792891,5.172948
1085792,"Tverråvegen 15, Bremnes",59.792654,5.17162
1085793,"Svortlandsvegen 7, Bremnes",59.793041,5.173787
1085794,"Svortlandsvegen 5, Bremnes",59.792895,5.17466
1085795,"Svortlandsvegen 11, Bremnes",59.793539,5.173605
1085796,"Svortlandsvegen 9, Bremnes",59.793436,5.173457
1085797,"Svortlandsvegen 4, Bremnes",59.793344,5.17298
1085798,"Svortlandsvegen 2, Bremnes",59.79333,5.172898
1085799,"Svortlandsvegen 6, Bremnes",59.793365,5.172864
1085800,"Svortlandsvegen 8, Bremnes",59.793501,5.173125
1085801,"Olakjosen 38, Bremnes",59.796546,5.154048
1085802,"Olakjosen 10, Bremnes",59.79526,5.150985
1085803,"Olakjosen 12, Bremnes",59.795536,5.1509
1085804,"Olakjosen 34, Bremnes",59.796191,5.153304
1085805,"Tverråvegen 111, Bremnes",59.786014,5.167121
1085806,"Tverråvegen 64, Bremnes",59.788824,5.170986
1085807,"Tverråvegen 101, Bremnes",59.785706,5.169475
1085808,"Tverråvegen 103, Bremnes",59.785673,5.169889
1085809,"Tverråvegen 95, Bremnes",59.786525,5.170433
1085810,"Tverråvegen 97, Bremnes",59.78623,5.170181
1085811,"Tverråvegen 90, Bremnes",59.78706,5.172458
1085812,"Tverråvegen 93, Bremnes",59.787075,5.171136
1085813,"Tverråvegen 88, Bremnes",59.787541,5.172617
1085814,"Tverråvegen 73, Bremnes",59.787834,5.169712
1085815,"Tverråvegen 70, Bremnes",59.788462,5.171295
1085816,"Tverråvegen 71, Bremnes",59.787896,5.169384
1085817,"Tverråvegen 68, Bremnes",59.788317,5.170648
1085818,"Tverråvegen 69, Bremnes",59.788252,5.169236
1085819,"Tverråvegen 65, Bremnes",59.78827,5.168624
1085820,"Tverråvegen 66, Bremnes",59.788398,5.170253
1085821,"Tverråvegen 61, Bremnes",59.788515,5.168082
1085822,"Tverråvegen 63, Bremnes",59.788422,5.168289
1085823,"Tverråvegen 56, Bremnes",59.789453,5.171595
1085824,"Tverråvegen 62, Bremnes",59.788878,5.170359
1085825,"Tverråvegen 53, Bremnes",59.789322,5.169256
1085826,"Tverråvegen 54, Bremnes",59.789534,5.170676
1085827,"Tverråvegen 50, Bremnes",59.789695,5.169949
1085828,"Tverråvegen 52, Bremnes",59.789484,5.170182
1085829,"Tverråvegen 44, Bremnes",59.790506,5.169792
1085830,"Tverråvegen 48, Bremnes",59.790002,5.169445
1085831,"Tverråvegen 40, Bremnes",59.790385,5.171185
1085832,"Tverråvegen 41, Bremnes",59.790993,5.167369
1085833,"Tverråvegen 36, Bremnes",59.790688,5.16986
1085834,"Tverråvegen 38, Bremnes",59.790575,5.17061
1085839,"Tongane 5, Bremnes",59.794668,5.191779
1085840,"Tongane 3, Bremnes",59.794659,5.191395
1085843,"Tongane 45, Bremnes",59.794616,5.196136
1085844,"Dåvane 14, Bremnes",59.794288,5.193055
1085846,"Svortlandsjøen 11A, Bremnes",59.789143,5.166826
1085875,"Stavlandsvegen 31, Bremnes",59.7935,5.170162
1085877,"Kulturhusvegen 1, Bremnes",59.793443,5.16973
1085879,"Stavlandsvegen 5, Bremnes",59.793373,5.171514
1085881,"Kulturhusvegen 12, Bremnes",59.794167,5.168949
1085883,"Kulturhusvegen 14, Bremnes",59.794151,5.169611
1085885,"Stavlandsvegen 7, Bremnes",59.793498,5.171566
1085887,"Bankbrekko 5, Bremnes",59.793653,5.171734
1085889,"Stavlandsvegen 9, Bremnes",59.793571,5.171622
1085891,"Bankbrekko 9, Bremnes",59.793592,5.172686
1085893,"Bankbrekko 7, Bremnes",59.793674,5.171847
1085895,"Stavlandsvegen 3, Bremnes",59.793278,5.171825
1085897,"Bankbrekko 16, Bremnes",59.793829,5.172222
1085898,"Svortlandsvegen 10, Bremnes",59.793569,5.173181
1085899,"Stavlandsvegen 1, Bremnes",59.793402,5.172018
1085901,"Bankbrekko 15, Bremnes",59.793586,5.173027
1085902,"Bankbrekko 11, Bremnes",59.79352,5.172974
1085903,"Raunevarden 60, Bremnes",59.795876,5.193084
1085904,"Raunevarden 62, Bremnes",59.795953,5.192968
1085906,"Raunevarden 56, Bremnes",59.795877,5.193441
1085908,"Raunevarden 58, Bremnes",59.795872,5.193263
1085910,"Raunevarden 52, Bremnes",59.795953,5.193885
1085912,"Raunevarden 54, Bremnes",59.795961,5.193538
1085914,"Raunevarden 48, Bremnes",59.795813,5.19434
1085916,"Raunevarden 50, Bremnes",59.795817,5.193976
1085917,"Raunevarden 44, Bremnes",59.795787,5.194985
1085919,"Raunevarden 46, Bremnes",59.795786,5.194629
1085921,"Raunevarden 38, Bremnes",59.796296,5.194856
1085922,"Raunevarden 42, Bremnes",59.795939,5.19495
1085924,"Raunevarden 34, Bremnes",59.796276,5.194501
1085926,"Raunevarden 36, Bremnes",59.796197,5.194849
1085927,"Raunevarden 30, Bremnes",59.796267,5.193878
1085928,"Raunevarden 32, Bremnes",59.796276,5.19418
1085929,"Olakjosen 76, Bremnes",59.79467,5.153836
1085930,"Olakjosen 70, Bremnes",59.794756,5.152792
1085931,"Olakjosen 80, Bremnes",59.793724,5.154534
1085932,"Olakjosen 77, Bremnes",59.794004,5.153503
1085933,"Stavlandsvegen 113, Bremnes",59.793431,5.158528
1085934,"Stavlandsvegen 115, Bremnes",59.793307,5.158899
1085935,"Stavlandsvegen 109, Bremnes",59.792947,5.159172
1085936,"Stavlandsvegen 111, Bremnes",59.793589,5.159312
