,Navn,Long,Lat
810612,"Dyrnesvegen 43, Fjelberg og Eid",59.714325,5.717283
810614,"Dyrnesvegen 45, Fjelberg og Eid",59.715214,5.717996
814463,"Karteidvegen 10, Fjelberg og Eid",59.730339,5.696846
814464,"Øvrebøvegen 196, Fjelberg og Eid",59.719296,5.682349
814465,"Kvernaviksvegen 54, Fjelberg og Eid",59.715235,5.672789
814466,"Nautanesvegen 44, Fjelberg og Eid",59.71366,5.68442
814467,"Kvernaviksvegen 66, Fjelberg og Eid",59.714562,5.673532
814468,"Sæbøvegen 33, Fjelberg og Eid",59.715019,5.680585
814469,"Sæbøvegen 37, Fjelberg og Eid",59.715422,5.683
814470,"Sæbøvegen 102, Fjelberg og Eid",59.712079,5.681268
814471,"Sæbøvegen 46, Fjelberg og Eid",59.714734,5.675027
814472,"Aksdalsvegen 308, Fjelberg og Eid",59.72685,5.64984
814473,"Aksdalsvegen 311, Fjelberg og Eid",59.727151,5.649744
814474,"Aksdalsvegen 280, Fjelberg og Eid",59.730127,5.655129
814475,"Aksdalsvegen 274, Fjelberg og Eid",59.730915,5.651516
814476,"Aksdalsvegen 258, Fjelberg og Eid",59.729451,5.657173
814477,"Aksdalsvegen 264, Fjelberg og Eid",59.73246,5.656765
814478,"Karteidvegen 2, Fjelberg og Eid",59.730901,5.69526
814479,"Øvrebøvegen 2, Fjelberg og Eid",59.731174,5.694325
814480,"Fjelbergvegen 9A, Fjelberg og Eid",59.738935,5.707052
814481,"Hamn 18, Fjelberg og Eid",59.742571,5.708158
814482,"Hamn 68, Fjelberg og Eid",59.739821,5.698687
814483,"Fjelbergvegen 119, Fjelberg og Eid",59.747638,5.70877
814484,"Fjelbergvegen 123, Fjelberg og Eid",59.747849,5.70837
814496,"Dyrnesvegen 41, Fjelberg og Eid",59.714062,5.717184
814497,"Bjellebøvegen 121, Fjelberg og Eid",59.709393,5.706596
814498,"Bjellebøvegen 75, Fjelberg og Eid",59.708994,5.712914
814499,"Nesjavegen 163, Fjelberg og Eid",59.716787,5.706865
814500,"Nesjavegen 143, Fjelberg og Eid",59.718158,5.706357
814501,"Nesjavegen 141, Fjelberg og Eid",59.718211,5.705248
814502,"Nesjavegen 161, Fjelberg og Eid",59.716492,5.7071
814503,"Nesjavegen 145, Fjelberg og Eid",59.717736,5.707804
814504,"Nesjavegen 125, Fjelberg og Eid",59.721745,5.708904
814505,"Nesjavegen 112, Fjelberg og Eid",59.718102,5.69985
814506,"Nesjavegen 98, Fjelberg og Eid",59.716775,5.694434
814507,"Nesjavegen 26, Fjelberg og Eid",59.717333,5.691084
814508,"Øvrebøvegen 176A, Fjelberg og Eid",59.720663,5.682781
814509,"Øvrebøvegen 130, Fjelberg og Eid",59.725129,5.685748
814510,"Øvrebøvegen 165, Fjelberg og Eid",59.721528,5.685669
814511,"Karteidvegen 1, Fjelberg og Eid",59.731033,5.695496
815916,"Karteidvegen 6, Fjelberg og Eid",59.730348,5.694883
815917,"Aksdalsvegen 288, Fjelberg og Eid",59.728985,5.652928
815919,"Øvrebøvegen 85, Fjelberg og Eid",59.72834,5.68923
815947,"Øvrebøvegen 9, Fjelberg og Eid",59.730564,5.694029
815949,"Fjelbergvegen 21, Fjelberg og Eid",59.738906,5.7041
815952,"Fjelbergvegen 26, Fjelberg og Eid",59.738845,5.709833
