,Navn,Long,Lat
810613,"Kyrkjevegen 63, Kvinnherad",59.987361,6.013014
811602,"Skålagato 54, Kvinnherad",59.985578,6.011668
811603,"Skålagato 52, Kvinnherad",59.985578,6.011668
814701,"Hålandsvegen 31, Kvinnherad",59.985039,6.028109
814703,"Hålandsvegen 30, Kvinnherad",59.984484,6.027816
814706,"Hålandsvegen 29, Kvinnherad",59.985197,6.027429
814708,"Baronivegen 47, Kvinnherad",59.993487,6.026811
814710,"Hålandsvegen 54, Kvinnherad",59.985389,6.031949
815154,"Neslia 15, Kvinnherad",59.997128,5.983376
815155,"Neslia 14, Kvinnherad",59.996766,5.98445
815156,"Neslia 13, Kvinnherad",59.99688,5.983542
815157,"Neslia 12, Kvinnherad",59.996525,5.984526
815158,"Neslia 11, Kvinnherad",59.996468,5.983993
815159,"Neslia 10, Kvinnherad",59.99621,5.984518
815160,"Neslia 9, Kvinnherad",59.996199,5.984017
815161,"Neslia 8, Kvinnherad",59.995949,5.98447
815162,"Neslia 7, Kvinnherad",59.995956,5.984003
815163,"Neslia 6, Kvinnherad",59.995616,5.984447
815164,"Neslia 5, Kvinnherad",59.995713,5.98399
815165,"Neslia 3, Kvinnherad",59.99539,5.984001
815166,"Neslia 2, Kvinnherad",59.995125,5.984599
815167,"Neslia 1, Kvinnherad",59.995131,5.984078
815185,"Neslia 50, Kvinnherad",60.000573,5.985108
815186,"Neslia 48, Kvinnherad",60.00049,5.985008
815187,"Neslia 46, Kvinnherad",60.000534,5.984609
815188,"Neslia 45, Kvinnherad",60.000032,5.982663
815189,"Neslia 44, Kvinnherad",60.00047,5.984561
815190,"Neslia 43, Kvinnherad",59.99983,5.982861
815191,"Neslia 42, Kvinnherad",60.000415,5.984512
815192,"Neslia 41, Kvinnherad",60.000071,5.984005
815193,"Neslia 40, Kvinnherad",60.000369,5.984462
815194,"Neslia 39, Kvinnherad",59.999879,5.983861
815195,"Neslia 38, Kvinnherad",59.999921,5.984503
815196,"Neslia 37, Kvinnherad",59.999615,5.983688
815197,"Neslia 36, Kvinnherad",59.999693,5.984345
815198,"Neslia 35, Kvinnherad",59.99959,5.982991
815199,"Neslia 34, Kvinnherad",59.999492,5.984219
815200,"Neslia 33, Kvinnherad",59.999358,5.983065
815201,"Neslia 32, Kvinnherad",59.999247,5.984098
815202,"Neslia 31, Kvinnherad",59.999323,5.983481
815203,"Neslia 30, Kvinnherad",59.998992,5.98396
815204,"Neslia 29, Kvinnherad",59.999076,5.983306
815205,"Neslia 28, Kvinnherad",59.998731,5.983948
815206,"Neslia 27, Kvinnherad",59.998817,5.983384
815207,"Neslia 26, Kvinnherad",59.998498,5.983951
815208,"Neslia 25, Kvinnherad",59.998574,5.98337
815209,"Neslia 24, Kvinnherad",59.998218,5.983923
815210,"Neslia 23, Kvinnherad",59.998203,5.983225
815211,"Neslia 22, Kvinnherad",59.997958,5.983946
815212,"Neslia 20, Kvinnherad",59.99769,5.984007
815213,"Neslia 19, Kvinnherad",59.99771,5.983287
815214,"Neslia 18, Kvinnherad",59.997235,5.984156
815215,"Neslia 17, Kvinnherad",59.997387,5.983317
815216,"Neslia 16, Kvinnherad",59.997041,5.984299
815217,"Neslia 94, Kvinnherad",60.002564,5.985752
815218,"Neslia 92, Kvinnherad",60.002344,5.985556
815219,"Neslia 90, Kvinnherad",60.002087,5.985293
815220,"Neslia 86, Kvinnherad",60.001841,5.984759
815221,"Neslia 84, Kvinnherad",60.001788,5.984818
815222,"Neslia 82, Kvinnherad",60.001735,5.984858
815223,"Neslia 80, Kvinnherad",60.001664,5.984901
815224,"Neslia 78, Kvinnherad",60.001674,5.985312
815225,"Neslia 76, Kvinnherad",60.001612,5.985372
815226,"Neslia 74, Kvinnherad",60.001559,5.985413
815227,"Neslia 73, Kvinnherad",60.003024,5.985423
815228,"Neslia 72, Kvinnherad",60.001497,5.985454
815229,"Neslia 71, Kvinnherad",60.002813,5.985209
815230,"Neslia 70, Kvinnherad",60.001298,5.985454
815231,"Neslia 69, Kvinnherad",60.002593,5.985049
815232,"Neslia 68, Kvinnherad",60.001236,5.985442
815233,"Neslia 67, Kvinnherad",60.00245,5.984309
815234,"Neslia 66, Kvinnherad",60.001182,5.985429
815235,"Neslia 65, Kvinnherad",60.002317,5.984769
815236,"Neslia 64, Kvinnherad",60.00111,5.9854
815237,"Neslia 63, Kvinnherad",60.002155,5.984371
815238,"Neslia 62, Kvinnherad",60.001046,5.985387
815239,"Neslia 61, Kvinnherad",60.001953,5.984175
815240,"Neslia 60, Kvinnherad",60.000983,5.985357
815241,"Neslia 59, Kvinnherad",60.002255,5.983609
