,Navn,Long,Lat
48467,"Hillesdal, 277/7, Åkra",59.793015,6.05128
817863,"Bygdavegen 155, Åkra",59.81978,6.109812
968190,"Bygdavegen 47, Åkra",59.793587,6.089437
968254,"Bygdavegen 43, Åkra",59.793899,6.088108
968269,"Bygdavegen 83, Åkra",59.79627,6.087224
968270,"Bygdavegen 101, Åkra",59.796279,6.090468
968271,"Bygdavegen 79, Åkra",59.795888,6.089843
968274,"Bygdavegen 72, Åkra",59.795635,6.088991
968276,"Bygdavegen 48, Åkra",59.793915,6.089622
968277,"Bygdavegen 39, Åkra",59.792579,6.090149
968278,"Bygdavegen 21, Åkra",59.791377,6.093106
968313,"Brekkevegen 119, Åkra",59.777546,6.08891
968314,"Brekkevegen 111, Åkra",59.778782,6.089551
968316,"Brekkevegen 115, Åkra",59.778229,6.089327
968318,"Brekkevegen 80, Åkra",59.782039,6.091386
968320,"Brekkevegen 83, Åkra",59.781472,6.091313
968321,"Brekkevegen 63, Åkra",59.783682,6.09456
968374,"Haugstølsvegen 51, Åkra",59.76286,6.048882
968376,"Fatlandsvegen 101, Åkra",59.773461,6.05477
968377,"Fatlandsvegen 108, Åkra",59.774292,6.060987
968378,"Fatlandsvegen 66, Åkra",59.771151,6.060372
968379,"Fatlandsvegen 94, Åkra",59.77211,6.057865
968380,"Fatlandsvegen 91, Åkra",59.771874,6.05573
968426,"Fatlandsvegen 62, Åkra",59.772323,6.059343
968427,"Vågsnesvegen 34, Åkra",59.788156,6.107929
968428,"Vågsnesvegen 40, Åkra",59.787633,6.106717
968431,"Vågsnesvegen 103, Åkra",59.783171,6.116329
968432,"Brekkevegen 61, Åkra",59.783557,6.09494
968433,"Haugstølsvegen 82, Åkra",59.768796,6.043102
968436,"Haugstølsvegen 123, Åkra",59.765847,6.040246
968438,"Haugstølsvegen 80, Åkra",59.768909,6.043359
968440,"Haugstølsvegen 103, Åkra",59.765371,6.042265
968441,"Haugstølsvegen 121, Åkra",59.765653,6.040423
968442,"Haugstølsvegen 72, Åkra",59.764604,6.048122
968443,"Haugstølsvegen 74, Åkra",59.76465,6.047335
968446,"Haugstølsvegen 60, Åkra",59.76766,6.049349
968503,"Bygdavegen 19, Åkra",59.791049,6.093645
968506,"Bygdavegen 4, Åkra",59.791482,6.096199
968548,"Bygdavegen 38, Åkra",59.793535,6.094241
968549,"Bygdavegen 191, Åkra",59.791645,6.099109
968550,"Bygdavegen 190, Åkra",59.792085,6.098696
968551,"Bygdavegen 177, Åkra",59.793371,6.099333
968552,"Bygdavegen 178, Åkra",59.793357,6.098122
968553,"Bygdavegen 171, Åkra",59.794342,6.099177
968554,"Bygdavegen 169, Åkra",59.794483,6.098666
968555,"Bygdavegen 142, Åkra",59.797001,6.098533
968556,"Bygdavegen 140, Åkra",59.797148,6.098488
968557,"Bygdavegen 139, Åkra",59.797406,6.099981
968558,"Bygdavegen 113, Åkra",59.7974,6.095649
968559,"Bygdavegen 109, Åkra",59.796691,6.093988
968561,"Bygdavegen 107, Åkra",59.796367,6.093652
968562,"Bygdavegen 105, Åkra",59.796832,6.093113
968563,"Bygdavegen 97, Åkra",59.797545,6.090019
968564,"Bygdavegen 91, Åkra",59.797012,6.087174
968565,"Bygdavegen 93, Åkra",59.796715,6.088255
968567,"Bygdavegen 87, Åkra",59.796368,6.084773
968615,"Vågsnesvegen 50, Åkra",59.787766,6.111068
968616,"Vågsnesvegen 42, Åkra",59.787531,6.107345
968618,"Vågsnesvegen 52, Åkra",59.788034,6.110752
968621,"Vågsnesvegen 21, Åkra",59.789498,6.106479
968624,"Vågsnesvegen 17, Åkra",59.789519,6.105408
968626,"Vågsnesvegen 8, Åkra",59.7897,6.103806
968647,"Vågsnesvegen 101, Åkra",59.783463,6.116038
968648,"Vågsnesvegen 99, Åkra",59.783913,6.116445
968651,"Vågsnesvegen 100, Åkra",59.783527,6.115267
968653,"Vågsnesvegen 96, Åkra",59.784235,6.11558
968655,"Vågsnesvegen 84, Åkra",59.785721,6.114917
