,Navn,Long,Lat
384141,"Kritlevegen 19, Vår Frelser",59.414684,5.288459
384144,"Kritlevegen 13, Vår Frelser",59.414609,5.287409
384145,"Kritlevegen 12, Vår Frelser",59.414765,5.287197
384146,"Kritlevegen 17B, Vår Frelser",59.414604,5.288185
384147,"Kritlevegen 15, Vår Frelser",59.414709,5.28775
384164,"Kritlevegen 10, Vår Frelser",59.414905,5.287059
384165,"Kritlevegen 9, Vår Frelser",59.414699,5.286446
384166,"Kritlevegen 11B, Vår Frelser",59.414355,5.287313
384167,"Kritlevegen 11, Vår Frelser",59.41452,5.287101
384168,"Kritlevegen 2, Vår Frelser",59.416031,5.288082
384170,"Kritlevegen 4, Vår Frelser",59.415519,5.28715
384171,"Kritlevegen 3, Vår Frelser",59.415446,5.286488
384326,"Leitevegen 27B, Vår Frelser",59.413472,5.287886
384327,"Leitevegen 27, Vår Frelser",59.413644,5.28762
384329,"Leitevegen 28, Vår Frelser",59.413865,5.28749
384330,"Leitevegen 25, Vår Frelser",59.413519,5.287316
384331,"Leitevegen 24, Vår Frelser",59.413755,5.286762
384332,"Leitevegen 26, Vår Frelser",59.413785,5.287199
384333,"Leitevegen 25B, Vår Frelser",59.413328,5.287567
384342,"Leitevegen 13, Vår Frelser",59.413019,5.284902
384343,"Leitevegen 12, Vår Frelser",59.413363,5.284688
384344,"Leitevegen 15, Vår Frelser",59.413003,5.28531
384345,"Leitevegen 14, Vår Frelser",59.413418,5.285035
384346,"Leitevegen 9, Vår Frelser",59.412948,5.284328
384347,"Leitevegen 8, Vår Frelser",59.4132,5.284018
384348,"Leitevegen 11, Vår Frelser",59.413,5.284552
384349,"Leitevegen 10, Vår Frelser",59.413299,5.284325
384350,"Leitevegen 21, Vår Frelser",59.413348,5.286348
384351,"Leitevegen 20, Vår Frelser",59.413609,5.286054
384352,"Leitevegen 23, Vår Frelser",59.41345,5.286777
384353,"Leitevegen 22, Vår Frelser",59.413682,5.286399
384354,"Leitevegen 17, Vår Frelser",59.413216,5.285815
384355,"Leitevegen 16, Vår Frelser",59.413508,5.285342
384356,"Leitevegen 19, Vår Frelser",59.413172,5.286173
384357,"Leitevegen 18, Vår Frelser",59.413547,5.285761
384366,"Leitevegen 5B, Vår Frelser",59.412807,5.283797
384367,"Leitevegen 5, Vår Frelser",59.412765,5.283555
384368,"Leitevegen 7, Vår Frelser",59.412878,5.284054
384369,"Leitevegen 6, Vår Frelser",59.413163,5.28367
384372,"Leitevegen 4, Vår Frelser",59.413052,5.283241
384770,"Litledalsvegen 8, Vår Frelser",59.414726,5.291188
384771,"Litledalsvegen 7, Vår Frelser",59.414405,5.291293
384772,"Litledalsvegen 11, Vår Frelser",59.414477,5.292238
384773,"Litledalsvegen 10, Vår Frelser",59.414779,5.291481
384774,"Litledalsvegen 4, Vår Frelser",59.414525,5.290434
384775,"Litledalsvegen 3, Vår Frelser",59.414218,5.290397
384776,"Litledalsvegen 6, Vår Frelser",59.414608,5.29083
384777,"Litledalsvegen 5, Vår Frelser",59.414255,5.290745
384778,"Litledalsvegen 17B, Vår Frelser",59.414649,5.293559
384779,"Litledalsvegen 17, Vår Frelser",59.414826,5.293434
384781,"Litledalsvegen 19, Vår Frelser",59.41487,5.294029
384782,"Litledalsvegen 14, Vår Frelser",59.414919,5.292277
384783,"Litledalsvegen 12, Vår Frelser",59.414866,5.292001
384784,"Litledalsvegen 15B, Vår Frelser",59.414516,5.292992
384785,"Litledalsvegen 15, Vår Frelser",59.414751,5.293036
