,Navn,Long,Lat
1084757,"Solheimslio 31, Valestrand og Førde",59.616518,5.477892
1084759,"Solheimslio 29, Valestrand og Førde",59.616763,5.477636
1084764,"Solheimslio 36, Valestrand og Førde",59.616159,5.478906
1084766,"Solheimslio 37, Valestrand og Førde",59.615723,5.478738
1084770,"Solheimslio 35, Valestrand og Førde",59.616013,5.478495
1084773,"Solheimslio 33, Valestrand og Førde",59.61622,5.478154
1084803,"Nimannsvegen 7, Valestrand og Førde",59.606531,5.468812
1084804,"Nimannsvegen 9, Valestrand og Førde",59.606208,5.470513
1084805,"Nimannsvegen 2, Valestrand og Førde",59.606939,5.468964
1084806,"Nimannsvegen 3, Valestrand og Førde",59.606821,5.468232
1084816,"Solheimslio 38, Valestrand og Førde",59.61594,5.479124
1084818,"Solheimslio 32, Valestrand og Førde",59.616713,5.47844
1084902,"Hjartåsvegen 4, Valestrand og Førde",59.607203,5.470426
1084904,"Grautalivegen 10, Valestrand og Førde",59.60678,5.463075
1084905,"Hjartåsvegen 3, Valestrand og Førde",59.607425,5.469922
1084906,"Grautalivegen 9, Valestrand og Førde",59.606905,5.463865
1084907,"Hjartåsvegen 2, Valestrand og Førde",59.607762,5.470829
1084908,"Grautalivegen 8, Valestrand og Førde",59.606482,5.462699
1084909,"Hjartåsvegen 1, Valestrand og Førde",59.607642,5.468358
1084910,"Grautalivegen 7, Valestrand og Førde",59.606625,5.463641
1084912,"Hjartåsvegen 11, Valestrand og Førde",59.607395,5.468863
1084914,"Solheimslio 6, Valestrand og Førde",59.614103,5.476992
1084916,"Solheimslio 4, Valestrand og Førde",59.614167,5.477678
1084920,"Hjartåsvegen 6, Valestrand og Førde",59.606723,5.470619
1084922,"Solheimslio 2, Valestrand og Førde",59.614294,5.478072
1084923,"Grautalivegen 11, Valestrand og Førde",59.607556,5.464068
1084925,"Solheimslio 1, Valestrand og Førde",59.613995,5.479664
1084928,"Vollsvikvegen 6, Valestrand og Førde",59.606187,5.45975
1084931,"Vollsvikvegen 8, Valestrand og Førde",59.606879,5.458418
1084934,"Vollsvikvegen 2, Valestrand og Førde",59.605295,5.462327
1084936,"Nimannsvegen 13, Valestrand og Førde",59.606846,5.470162
1084939,"Nimannsvegen 11, Valestrand og Førde",59.606428,5.470667
1084940,"Nimannsvegen 12, Valestrand og Førde",59.60651,5.470038
1084942,"Grautalivegen 5, Valestrand og Førde",59.606425,5.46334
1084943,"Grautalivegen 6, Valestrand og Førde",59.606465,5.462044
1084945,"Grautalivegen 4, Valestrand og Førde",59.606265,5.462296
1084947,"Grautalivegen 2, Valestrand og Førde",59.605926,5.462066
1084949,"Grautalivegen 1, Valestrand og Førde",59.605815,5.462946
1084963,"Solheimslio 25, Valestrand og Førde",59.617263,5.476856
1084966,"Solheimslio 26, Valestrand og Førde",59.617447,5.477653
1084969,"Solheimslio 22, Valestrand og Førde",59.616891,5.476026
1084972,"Solheimslio 23, Valestrand og Førde",59.617009,5.476741
1084975,"Solheimslio 17, Valestrand og Førde",59.614875,5.478632
1084977,"Hjartåsvegen 9, Valestrand og Førde",59.607269,5.469213
1084979,"Solheimslio 8, Valestrand og Førde",59.614207,5.47652
1084982,"Solheimslio 10, Valestrand og Førde",59.614442,5.47623
1084993,"Hjartåsvegen 14, Valestrand og Førde",59.606964,5.467561
1084998,"Solheimslio 27, Valestrand og Førde",59.617007,5.477362
1085075,"Beinmyrvegen 60, Valestrand og Førde",59.613397,5.46245
1085255,"Solheimslio 11, Valestrand og Førde",59.615169,5.477165
1085256,"Solheimslio 9A, Valestrand og Førde",59.61492,5.477726
1085257,"Solheimslio 13, Valestrand og Førde",59.615505,5.476987
1085258,"Solheimslio 15, Valestrand og Førde",59.615404,5.477548
1085259,"Solheimslio 14, Valestrand og Førde",59.61576,5.476428
1085260,"Solheimslio 24, Valestrand og Førde",59.617586,5.477142
1085261,"Solheimslio 18, Valestrand og Førde",59.616384,5.476558
1085262,"Solheimslio 3A, Valestrand og Førde",59.614309,5.479011
1085263,"Solheimslio 7B, Valestrand og Førde",59.614801,5.478017
1085264,"Solheimslio 5A, Valestrand og Førde",59.614555,5.47851
1085273,"Solheimslio 28, Valestrand og Førde",59.617284,5.477954
1085275,"Solheimslio 30, Valestrand og Førde",59.616976,5.478181
1085276,"Hjartåsvegen 7, Valestrand og Førde",59.607134,5.469511
1085277,"Nimannsvegen 5, Valestrand og Førde",59.606499,5.468301
1085279,"Hjartåsvegen 5, Valestrand og Førde",59.607271,5.469822
1085281,"Hjartåsvegen 31, Valestrand og Førde",59.605646,5.466014
1085282,"Hjartåsvegen 28, Valestrand og Førde",59.606314,5.466121
1085283,"Hjartåsvegen 29, Valestrand og Førde",59.605812,5.4655
1085284,"Hjartåsvegen 24, Valestrand og Førde",59.606504,5.466509
1085285,"Hjartåsvegen 26, Valestrand og Førde",59.606075,5.465934
1085286,"Hjartåsvegen 21, Valestrand og Førde",59.606935,5.46598
1085287,"Hjartåsvegen 23, Valestrand og Førde",59.606751,5.465588
1085289,"Hjartåsvegen 35, Valestrand og Førde",59.605695,5.467144
1085291,"Hjartåsvegen 34, Valestrand og Førde",59.605958,5.466921
1085292,"Hjartåsvegen 33, Valestrand og Førde",59.605609,5.466639
1085295,"Hjartåsvegen 32, Valestrand og Førde",59.606006,5.466367
1085296,"Hjartåsvegen 18, Valestrand og Førde",59.606708,5.467073
1085297,"Hjartåsvegen 19, Valestrand og Førde",59.607053,5.466344
1085298,"Hjartåsvegen 16, Valestrand og Førde",59.6065,5.467143
1085299,"Hjartåsvegen 15, Valestrand og Førde",59.607554,5.467428
1085305,"Vollsvikvegen 4B, Valestrand og Førde",59.604746,5.462296
1085307,"Vollsvikvegen 4A, Valestrand og Førde",59.605078,5.462297
1085322,"Solheimslio 20C, Valestrand og Førde",59.616689,5.476226
1085393,"Vollsvikvegen 3A, Valestrand og Førde",59.606119,5.461549
1085394,"Vollsvikvegen 3B, Valestrand og Førde",59.606141,5.461706
1085396,"Vollsvikvegen 1A, Valestrand og Førde",59.60603,5.461593
1085398,"Vollsvikvegen 1B, Valestrand og Førde",59.606052,5.461733
1085526,"Beinmyrvegen 62, Valestrand og Førde",59.615502,5.459415
1085534,"Solheimslio 20A, Valestrand og Førde",59.616597,5.476225
1085553,"Solheimslio 20B, Valestrand og Førde",59.616658,5.476243
1085568,"Solheimslio 19A, Valestrand og Førde",59.615906,5.477194
1085569,"Solheimslio 19B, Valestrand og Førde",59.615979,5.477239
1085602,"Solheimslio 12D, Valestrand og Førde",59.61554,5.476256
1085606,"Solheimslio 12B, Valestrand og Førde",59.615459,5.476444
