,Navn,Long,Lat
20224,"3/1, Etne",59.603996,5.978744
20225,"69/7, Etne",59.685317,6.140229
20226,"61/3, Etne",59.752775,6.176203
20227,"67/7, Etne",59.690178,6.163364
20228,"49/11, Etne",59.700623,6.05433
20233,"117/6, Skånevik",59.750511,6.117527
20244,"32/159, Etne",59.596834,6.116186
20247,"Gongjerd, 80/1/1, Etne",59.660058,6.115959
20248,"32/160, Etne",59.599924,6.138699
20249,"32/158, Etne",59.588971,6.116576
45623,"Bjørgen, 23/1-1, Etne",59.631228,5.836561
51227,"Enge, 32/135, Etne",59.670754,5.932408
1074026,"Sillaåkeren 17, Etne",59.672755,5.951909
1074027,"Gilavegen 76, Etne",59.67913,5.962933
1074028,"Sillavegen 125, Etne",59.677634,5.956938
1074030,"Stødlevegen 386, Etne",59.671877,5.996437
1074031,"Haukelivegen 913, Etne",59.645892,5.925591
1074032,"Vinjavegen 16, Etne",59.729967,6.158687
1074033,"Stødlevegen 384, Etne",59.671755,5.996199
1074034,"Strondavegen 849, Etne",59.654839,5.834105
1082318,"Stødlevegen 23, Etne",59.671323,5.949073
1082319,"Hølen 2, Etne",59.671599,5.947822
1082320,"Stødlevegen 27, Etne",59.671287,5.949467
1082321,"Strondavegen 79, Etne",59.670686,5.946022
1082322,"Enge 5, Etne",59.669554,5.944508
1082323,"Stødlevegen 51, Etne",59.67015,5.953496
1082324,"Øyane 33, Etne",59.662817,5.949615
1082325,"Planteskulevegen 86, Etne",59.663526,5.958076
1082326,"Sillavegen 7, Etne",59.672844,5.948419
1082327,"Sillavegen 12, Etne",59.672934,5.946492
1082328,"Stødlevegen 31, Etne",59.671159,5.950136
1082331,"Fossavegen 89, Etne",59.653366,5.969863
1082332,"Fossavegen 122, Etne",59.653109,5.97507
1082333,"Fossavegen 108, Etne",59.653296,5.973065
1082334,"Fossavegen 126, Etne",59.653061,5.975714
1082335,"Fossavegen 99, Etne",59.653084,5.971285
1082336,"Fossavegen 223, Etne",59.652222,5.99278
1082337,"Haukelivegen 1022, Etne",59.660092,5.959186
1082338,"Haukelivegen 1023, Etne",59.659654,5.958896
1082339,"Grallsetevegen 25, Etne",59.657549,5.960376
1082340,"Litledalsvegen 41, Etne",59.658504,5.973288
