,Navn,Long,Lat
42919,"189/4-1, Fusa",60.161574,5.67297
46965,"Tuft, 184/32, Fusa",60.155093,5.661492
868517,"Furekamben 4, Fusa",60.14836,5.628473
868518,"Strandvikvegen 509, Fusa",60.158889,5.662205
868533,"Vik 14, Fusa",60.161674,5.66517
868683,"Haugsvegen 93, Fusa",60.162354,5.67008
1442644,"Håvikvegen 507, Fusa",60.192208,5.696143
1446927,"Håvikvegen 476, Fusa",60.190048,5.694031
1741988,"Vik 104, Fusa",60.164601,5.657095
1914830,"Strandli 6, Fusa",60.149126,5.629256
1914882,"Raudvoll 16, Fusa",60.155088,5.64671
1914883,"Strandvikvegen 272, Fusa",60.147862,5.628286
1914884,"Strandvikvegen 273, Fusa",60.147675,5.628917
1914938,"Reinsvegen 46, Fusa",60.159641,5.6534
1914939,"Reinsvegen 68, Fusa",60.159089,5.650341
1914940,"Reinsvegen 50, Fusa",60.16026,5.653703
1914999,"Strandvikvegen 322, Fusa",60.149948,5.636473
1915015,"Strandvikvegen 505, Fusa",60.15925,5.661684
1915047,"Strandli 2A, Fusa",60.149069,5.630524
1915383,"Tuft 4, Fusa",60.156721,5.662672
1915523,"Tuft 58, Fusa",60.153696,5.657073
1915524,"Tuft 60, Fusa",60.15323,5.65676
1915553,"Revsfjøra 341, Fusa",60.151348,5.646494
1915554,"Revsfjøra 312, Fusa",60.151584,5.647503
1915840,"Revsfjøra 61, Fusa",60.150225,5.644538
1915842,"Revsfjøra 59, Fusa",60.150014,5.644015
1916699,"Kletten 64, Fusa",60.151926,5.651263
1916700,"Kletten 62, Fusa",60.152113,5.651911
1916701,"Kletten 68, Fusa",60.151574,5.650219
1916702,"Kletten 69, Fusa",60.151782,5.649632
1916733,"Kletten 54, Fusa",60.153071,5.652866
1916912,"Kletten 37, Fusa",60.153775,5.649755
1916913,"Kletten 39, Fusa",60.153731,5.649614
1916914,"Kletten 42, Fusa",60.153347,5.651156
1916915,"Kletten 29, Fusa",60.153563,5.64887
1916916,"Kletten 33, Fusa",60.153206,5.650001
1916983,"Kletten 11, Fusa",60.152699,5.648412
1916984,"Kletten 13, Fusa",60.152564,5.648193
1916985,"Kletten 15, Fusa",60.152896,5.647638
1916986,"Kletten 17, Fusa",60.153188,5.647875
1916987,"Kletten 23, Fusa",60.152898,5.649295
1916988,"Kletten 25, Fusa",60.153353,5.648693
1916989,"Kletten 27, Fusa",60.153454,5.648566
1920117,"Revsfjøra 69, Fusa",60.151424,5.644891
1920322,"Strandvikvegen 504, Fusa",60.159738,5.661661
1944187,"Strandvikvegen 560, Fusa",60.15912,5.664508
1945278,"Strandli 52, Fusa",60.150958,5.627207
1945317,"Strandli 37, Fusa",60.150621,5.629336
1945429,"Kletten 19, Fusa",60.153193,5.648304
1945528,"Strandli 41, Fusa",60.150174,5.628273
1945565,"Vik 90, Fusa",60.164029,5.65799
1950033,"Strandli 54, Fusa",60.151105,5.62775
1962495,"Revsfjøra 505, Fusa",60.150465,5.646465
1965473,"Håvikvegen 6, Fusa",60.158551,5.668061
1965474,"Håvikvegen 11, Fusa",60.158145,5.668119
1965475,"Vik 70, Fusa",60.162757,5.657184
1965667,"Håvikvegen 337, Fusa",60.176264,5.690441
1965703,"Håvikvegen 1, Fusa",60.158974,5.66709
1965704,"Håvikvegen 8, Fusa",60.158497,5.668294
1966378,"Håvikvegen 20, Fusa",60.158643,5.669714
1972647,"Strandvikvegen 516, Fusa",60.159015,5.663016
1972757,"Strandvikvegen 518, Fusa",60.158943,5.663107
1979256,"Strandvikvegen 544, Fusa",60.158944,5.663554
1981449,"Furekamben 16, Fusa",60.147252,5.622898
2011560,"Strandvikvegen 559, Fusa",60.158184,5.665329
2017762,"Strandli 39, Fusa",60.150399,5.628829
2022655,"Strandvikvegen 479, Fusa",60.15733,5.658038
2044720,"Furekamben 18, Fusa",60.147737,5.623018
2053120,"Furekamben 32, Fusa",60.148159,5.625733
2056084,"Tuft 9, Fusa",60.157559,5.662813
2059796,"Haugsvegen 121, Fusa",60.161698,5.675379
2061878,"Furekamben 34, Fusa",60.147954,5.624744
2063789,"Revsfjøra 152, Fusa",60.152842,5.646598
2064134,"Håvikvegen 96E, Fusa",60.161482,5.680394
2066856,"Tuft 11, Fusa",60.157329,5.66262
2070137,"Kletten 44E, Fusa",60.153116,5.651785
2071067,"Kletten 38, Fusa",60.153776,5.651208
2078281,"Raudvoll 19, Fusa",60.155997,5.645052
2081473,"Haugsvegen 155, Fusa",60.162894,5.677023
2108044,"Håvikvegen 135, Fusa",60.162583,5.68538
2108047,"Håvikvegen 137, Fusa",60.163006,5.685085
2108066,"Håvikvegen 141, Fusa",60.162727,5.684816
2108070,"Håvikvegen 131, Fusa",60.162203,5.685025
2108071,"Håvikvegen 133, Fusa",60.162309,5.68513
2108072,"Håvikvegen 139, Fusa",60.162898,5.684997
2108139,"Håvikvegen 143, Fusa",60.162626,5.684719
2116634,"Furekamben 46, Fusa",60.148303,5.623182
2116657,"Furekamben 14, Fusa",60.147446,5.623989
2116658,"Strandvikvegen 255, Fusa",60.147147,5.626327
2116680,"Strandvikvegen 275, Fusa",60.147731,5.629554
2116681,"Strandvikvegen 261, Fusa",60.147186,5.627536
2166591,"Raudvoll 17, Fusa",60.155463,5.64579
2166870,"Strandli 51, Fusa",60.150865,5.628381
2166871,"Strandli 47, Fusa",60.150535,5.627547
2166872,"Strandli 50, Fusa",60.150769,5.627035
2166873,"Strandli 49, Fusa",60.15069,5.627923
2166874,"Strandli 53, Fusa",60.150967,5.628732
2169019,"Revsfjøra 343, Fusa",60.151172,5.645966
2169028,"Revsfjøra 351, Fusa",60.151172,5.64747
2182754,"Haugsvegen 3, Fusa",60.159062,5.669203
