,Navn,Long,Lat
11877,"Kleivane, 151/15, Raundalen",60.702134,6.937966
11878,"144/1, Raundalen",60.677171,6.75461
11879,"147/3, Raundalen",60.673577,6.808157
11884,"134/5, Raundalen",60.680968,6.639062
11885,"Øyeflaten, 135/2, Raundalen",60.679823,6.629641
11886,"Skiple, 140/5, Raundalen",60.679443,6.683875
11928,"Vatnaset, 140/18, Raundalen",60.699227,6.690972
11929,"117/3, Voss",60.674605,6.534699
11930,"Bere, 136/5, Raundalen",60.680448,6.667797
11932,"102/6, Voss",60.697296,6.559769
11933,"104/48, Raundalen",60.698058,6.556725
11934,"104/38, Raundalen",60.698534,6.55722
11935,"106/1/1, Raundalen",60.693574,6.52918
11938,"Kvarekvål, 117/1, Voss",60.659899,6.532848
11942,"Mjølfjell, 149/129, Raundalen",60.690885,6.84248
11957,"146/18, Raundalen",60.672966,6.784709
11959,"Håraldsdalen, 111/98, Voss",60.643949,6.572642
11962,"Hegg, 144/12, Raundalen",60.678345,6.753869
11963,"Singeset, 102/18, Voss",60.696894,6.557876
11965,"107/1, Raundalen",60.697042,6.525322
12041,"106/2, Raundalen",60.702624,6.521154
12057,"Lemme, 106/6, Voss",60.686338,6.51922
20172,"Moldalii, 122/13-1, Raundalen",60.702606,6.583714
29231,"140/8, Raundalen",60.653748,6.702396
29624,"140/35, Raundalen",60.682842,6.678435
29793,"149/112, Raundalen",60.698998,6.843421
31779,"141/106-1, Raundalen",60.685594,6.729012
31953,"85/21-1, Raundalen",60.706688,6.590684
32287,"106/11, Voss",60.690146,6.520746
38399,"140/6, Raundalen",60.684231,6.681626
46407,"Mjølfjell, 149/96, Raundalen",60.696609,6.844863
46409,"Mjølfjell, 149/118, Raundalen",60.697569,6.845367
46411,"Tverberg, 156/9, Voss",60.653165,6.554656
46545,"Kyte, 96/8, Voss",60.676227,6.510184
46546,"Kyte, 96/13, Voss",60.677305,6.511181
46547,"Vinjo, 97/2, Voss",60.64638,6.491613
46556,"Brattåker, 120/1, Raundalen",60.682483,6.573548
47918,"Palmafossen, 191/137, Voss",60.636846,6.463328
47926,"Skytebane, 140/29, Raundalen",60.671126,6.698003
48021,"Kyte, 106/9, Voss",60.676496,6.513093
48023,"Lemme, 107/8, Voss",60.688332,6.521613
48024,"Kyte, 106/10, Voss",60.676102,6.51413
48027,"Håraldsdalen, 111/18, Voss",60.641212,6.559915
48037,"Graue, 114/3, Voss",60.650609,6.519444
48043,"Grauo, 114/6, Voss",60.650312,6.512148
48052,"Skiple, 140/10, Raundalen",60.698559,6.693934
48058,"Vatnaset, 140/26, Raundalen",60.696467,6.691885
48059,"Vatnaset, 140/37, Raundalen",60.69683,6.691584
49089,"Øyatreet, 92/39, Voss",60.641975,6.554974
49136,"Kleivaskarvet, 158/2, Voss",60.637146,6.54881
49137,"Hagen, 152/4/1, Raundalen",60.661718,6.855219
49789,"Selheim, 155/7, Voss",60.655612,6.56836
49997,"Lemme, 49/5, Voss",60.682248,6.520012
50861,"Mjølfjell, 150/59, Raundalen",60.707946,6.896485
51865,"Hegg, 145/19, Raundalen",60.669469,6.767778
51880,"Øyjordi, 99/6, Voss",60.657303,6.487268
51900,"Kleivane, 151/14, Raundalen",60.713581,6.907041
51910,"Mjølfjell, 150/5, Raundalen",60.69284,6.854969
51914,"Hagen, 152/15, Raundalen",60.667746,6.84221
51918,"Lemme, 106/8, Voss",60.678424,6.519758
51927,"Eggjareir, 147/2, Raundalen",60.683024,6.805903
52039,"Kvarekvål, 117/5, Voss",60.66368,6.534832
52041,"Selheim, 155/4, Voss",60.657282,6.561389
52043,"Grotveit, 156/2, Voss",60.654992,6.573787
52223,"Håraldsdalen, 92/20, Voss",60.640118,6.558077
52224,"Grotveit, 156/8, Voss",60.654609,6.574474
52226,"Håraldsdalen, 111/37, Voss",60.643184,6.570047
52228,"Håraldsdalen, 111/36, Voss",60.643194,6.571089
52230,"Potten, 157/6, Voss",60.637364,6.570577
52232,"Potten, 157/5, Voss",60.636901,6.570849
52233,"Håraldsdalen, 111/21, Voss",60.644073,6.57898
52234,"Potten, 157/8, Voss",60.637057,6.570508
52235,"Furteset, 85/4, Raundalen",60.708935,6.595877
52242,"Tverrberg, 156/3, Voss",60.654406,6.575661
52245,"Tverrberg, 156/5, Voss",60.6538,6.56308
52247,"Grotveit, 156/4, Voss",60.654615,6.575316
52764,"Urdland, 124/1-1, Raundalen",60.681263,6.58081
53386,"Vatnaset, 140/23, Raundalen",60.698597,6.691501
53387,"Vatnaset, 140/19, Raundalen",60.698618,6.69316
53389,"Vatnaset, 140/15, Raundalen",60.703217,6.698383
53391,"Øvsthus, 141/12, Raundalen",60.680529,6.722585
53392,"Reime, 143/30, Raundalen",60.678064,6.741968
53393,"Brekke, 142/31, Raundalen",60.68091,6.72069
53394,"Brekke, 142/51, Raundalen",60.698286,6.722061
53407,"Øvsthus, 141/71, Raundalen",60.682518,6.731326
53409,"Kolve, 131/1, Raundalen",60.681972,6.608549
53410,"Kolve, 131/7, Raundalen",60.679175,6.608354
53418,"Fyrjo, 197/6, Raundalen",60.733611,6.616063
53455,"Bjørnset, 140/3, Raundalen",60.656433,6.699655
53459,"Øvsthus, 141/38, Raundalen",60.679961,6.731488
703167,"Raundalsvegen 1052, Raundalen",60.679925,6.627678
703168,"Kolvesvegen 296, Raundalen",60.68237,6.635039
703169,"Raundalsvegen 1342, Raundalen",60.679833,6.684005
703170,"Raundalsvegen 1042, Raundalen",60.678588,6.630137
703171,"Raundalsvegen 1344, Raundalen",60.679601,6.684402
703172,"Raundalsvegen 2008, Raundalen",60.671642,6.766599
703173,"Røyrlii 84, Raundalen",60.689076,6.576
703174,"Raundalsvegen 839, Raundalen",60.679062,6.596532
703175,"Kolvesvegen 25, Raundalen",60.679825,6.58752
703176,"Kolvesvegen 68, Raundalen",60.680226,6.59528
703177,"Kolvesvegen 201, Raundalen",60.681226,6.619135
703178,"Kolvesvegen 162, Raundalen",60.682466,6.611058
704517,"Uppsetevegen 20, Ulvik",60.698386,6.948722
704797,"Uppsetevegen 8, Ulvik",60.697895,6.947379
704849,"Kleivavegen 644, Ulvik",60.698016,6.946139
704949,"Uppsetevegen 40, Ulvik",60.698844,6.950086
705082,"Kleivavegen 398, Raundalen",60.704395,6.907749
705083,"Kleivavegen 408, Raundalen",60.706187,6.908567
705084,"Kleivavegen 402, Raundalen",60.704894,6.909201
705085,"Kleivavegen 400, Raundalen",60.70435,6.908851
705086,"Kleivavegen 396, Raundalen",60.705516,6.908794
705087,"Kleivavegen 404, Raundalen",60.705314,6.90965
705088,"Kleivavegen 414, Raundalen",60.704248,6.910397
705089,"Kleivavegen 410, Raundalen",60.705901,6.909868
705090,"Kleivavegen 420, Raundalen",60.705159,6.910613
705091,"Kleivavegen 418, Raundalen",60.704779,6.910436
705092,"Kleivavegen 416, Raundalen",60.704198,6.911775
705093,"Kleivavegen 412, Raundalen",60.705818,6.910827
705094,"Kleivavegen 422, Raundalen",60.705364,6.911699
705095,"Kleivavegen 426, Raundalen",60.704676,6.91189
705096,"Kleivavegen 430, Raundalen",60.704403,6.912824
705097,"Kleivavegen 424, Raundalen",60.705717,6.911878
705098,"Kleivavegen 428, Raundalen",60.705161,6.9125
705099,"Kleivavegen 432, Raundalen",60.704941,6.913376
705100,"Kleivavegen 442, Raundalen",60.704465,6.91392
705101,"Kleivavegen 434, Raundalen",60.705555,6.912988
705102,"Kleivavegen 438, Raundalen",60.705236,6.914401
705103,"Kleivavegen 440, Raundalen",60.704812,6.914319
705104,"Kleivavegen 372, Raundalen",60.706364,6.905568
705105,"Kleivavegen 436, Raundalen",60.705687,6.913969
705106,"Kleivavegen 327, Raundalen",60.704244,6.89636
705107,"Kleivavegen 325, Raundalen",60.704378,6.895765
705108,"Kleivavegen 446, Raundalen",60.704717,6.915699
705109,"Kleivavegen 377, Raundalen",60.703469,6.903612
705110,"Kleivavegen 454, Raundalen",60.704649,6.917701
705111,"Kleivavegen 444, Raundalen",60.704525,6.91606
705112,"Meringavegen 131, Voss",60.672581,6.566266
705113,"Lindbergsvegen 64, Raundalen",60.676276,6.614539
705114,"Allmenningsvegen 45, Raundalen",60.693982,6.840497
705115,"Allmenningsvegen 99, Raundalen",60.689924,6.834664
705116,"Raundalsvegen 2546, Raundalen",60.687458,6.831973
705117,"Raundalsvegen 2604, Raundalen",60.69105,6.838223
705118,"Klyvsstølen 28, Raundalen",60.69718,6.842406
705119,"Allmenningsvegen 70, Raundalen",60.691879,6.83842
705120,"Klyvsstølen 3, Raundalen",60.695463,6.842965
705121,"Klyvsstølen 5, Raundalen",60.695646,6.843207
705122,"Elvatunet 11, Raundalen",60.692523,6.853307
705123,"Elvatunet 34, Raundalen",60.691283,6.851063
705124,"Kleivavegen 272, Raundalen",60.70279,6.890115
705125,"Kleivavegen 136, Raundalen",60.696393,6.869556
705126,"Kleivavegen 135, Raundalen",60.694718,6.872672
705127,"Elvatunet 20, Raundalen",60.691383,6.8545
705128,"Hedlesmoget 23, Raundalen",60.690802,6.859155
705129,"Hedlesmoget 21, Raundalen",60.691295,6.859635
705130,"Kårdalstunet 20, Raundalen",60.70168,6.891525
705131,"Kleivavegen 519, Raundalen",60.702291,6.926668
705132,"Kårdalstunet 2, Raundalen",60.702373,6.891058
705133,"Kleivavegen 374, Raundalen",60.705173,6.904033
705134,"Ljosandbotnen 136, Raundalen",60.70954,6.911116
705135,"Kleivavegen 378, Raundalen",60.705741,6.905315
705136,"Kleivavegen 376, Raundalen",60.705436,6.904767
705137,"Kleivavegen 406, Raundalen",60.706281,6.907718
705138,"Kleivavegen 370, Raundalen",60.705872,6.904501
705139,"Kleivavegen 384, Raundalen",60.705441,6.906856
705140,"Kleivavegen 382, Raundalen",60.705343,6.905744
705141,"Kleivavegen 390, Raundalen",60.704727,6.907104
705142,"Kleivavegen 386, Raundalen",60.705837,6.906904
705143,"Kleivavegen 394, Raundalen",60.705385,6.907831
705144,"Kleivavegen 392, Raundalen",60.705003,6.907562
705163,"Brekkestølsvegen 108, Raundalen",60.69093,6.726319
705164,"Brekkestølsvegen 104, Raundalen",60.690465,6.726956
705165,"Brekkestølsvegen 74, Raundalen",60.688897,6.728752
705166,"Brekkestølsvegen 110, Raundalen",60.691283,6.725927
705167,"Sverrdalen 103, Raundalen",60.686251,6.723151
705168,"Sverrdalen 89, Raundalen",60.686602,6.725022
705169,"Reimesvegen 28, Raundalen",60.683553,6.743288
705170,"Raundalsvegen 1830, Raundalen",60.682354,6.74555
705171,"Raundalsvegen 1821, Raundalen",60.680727,6.742239
705172,"Reimesvegen 30, Raundalen",60.683669,6.743989
705173,"Raundalsvegen 1815, Raundalen",60.681018,6.741506
705174,"Raundalsvegen 1834, Raundalen",60.680638,6.744851
705175,"Nedre Reime 22, Raundalen",60.679296,6.741295
705176,"Raundalsvegen 1874, Raundalen",60.680209,6.750706
705177,"Raundalsvegen 1843, Raundalen",60.679701,6.745411
705178,"Nedre Reime 5, Raundalen",60.680495,6.741797
705179,"Raundalsvegen 1872, Raundalen",60.680529,6.75069
705180,"Raundalsvegen 1812, Raundalen",60.681403,6.741525
705181,"Raundalsvegen 1878, Raundalen",60.679391,6.75167
705182,"Raundalsvegen 1943, Raundalen",60.674808,6.755003
705183,"Raundalsvegen 1912, Raundalen",60.676963,6.755415
705184,"Raundalsvegen 2006, Raundalen",60.671674,6.766276
705185,"Raundalsvegen 1982, Raundalen",60.672042,6.764843
705186,"Raundalsvegen 2004, Raundalen",60.671105,6.766132
705187,"Raundalsvegen 2015, Raundalen",60.66997,6.766749
705188,"Raundalsvegen 2109, Raundalen",60.669679,6.781861
705189,"Raundalsvegen 2069, Raundalen",60.668905,6.774534
705190,"Raundalsvegen 2275, Raundalen",60.671879,6.808011
705191,"Nedre Reime 39, Raundalen",60.679581,6.737686
705192,"Øvsthusvegen 24, Raundalen",60.681545,6.737731
705193,"Nedre Reime 54, Raundalen",60.678778,6.735344
705194,"Nedre Reime 63, Raundalen",60.678498,6.733354
705195,"Nedre Reime 55, Raundalen",60.679005,6.734412
705196,"Nedre Reime 53, Raundalen",60.679627,6.7337
705197,"Nedre Reime 35, Raundalen",60.680052,6.739484
705198,"Raundalsvegen 1820, Raundalen",60.680955,6.742115
705199,"Raundalsvegen 1814, Raundalen",60.681346,6.742141
705200,"Nedre Reime 49, Raundalen",60.679569,6.73483
705201,"Øvsthusvegen 73, Raundalen",60.685082,6.740029
705202,"Nedre Reime 64, Raundalen",60.678254,6.733018
705203,"Brekkestølsvegen 76, Raundalen",60.689155,6.728074
705204,"Brekkestølsvegen 21, Raundalen",60.68656,6.737123
705205,"Brekkestølsvegen 31, Raundalen",60.687253,6.735132
705206,"Brekkestølsvegen 102, Raundalen",60.690029,6.72717
705207,"Brekkestølsvegen 100, Raundalen",60.689944,6.726425
705208,"Brekkestølsvegen 79, Raundalen",60.690054,6.730182
705209,"Brekkestølsvegen 81, Raundalen",60.690116,6.728593
705210,"Brekkestølsvegen 86, Raundalen",60.688703,6.725818
705211,"Brekkestølsvegen 73, Raundalen",60.689793,6.730684
705222,"Jonsstølsvegen 12, Raundalen",60.710994,6.600013
705226,"Helgasetvegen 14, Raundalen",60.699927,6.577034
705227,"Røyrlii 82, Raundalen",60.689443,6.576449
705228,"Moldalii 3, Raundalen",60.697357,6.58155
705229,"Fagnastølsvegen 181, Raundalen",60.693454,6.583146
705230,"Fagnastølsvegen 57, Raundalen",60.683264,6.579496
705231,"Fagnastølsvegen 28, Raundalen",60.681206,6.580972
705232,"Raundalsvegen 730, Raundalen",60.681499,6.57723
705233,"Fagnastølsvegen 47, Raundalen",60.682255,6.579829
705234,"Raundalsvegen 732, Raundalen",60.681582,6.578359
705235,"Fagnastølsvegen 38, Raundalen",60.681583,6.579916
705236,"Kolvesvegen 13, Raundalen",60.680358,6.585667
705237,"Fagnastølsvegen 25, Raundalen",60.68139,6.582659
705238,"Fagnastølsvegen 187, Raundalen",60.693524,6.586548
705239,"Kolvesvegen 22, Raundalen",60.680147,6.587302
705240,"Kolvesvegen 48, Raundalen",60.679901,6.591708
705241,"Kolvesvegen 32, Raundalen",60.680036,6.588731
705242,"Kolvesvegen 44, Raundalen",60.679995,6.590987
705243,"Raundalsvegen 815, Raundalen",60.678973,6.588078
705244,"Raundalsvegen 837, Raundalen",60.679078,6.596113
705245,"Raundalsvegen 827, Raundalen",60.678883,6.593048
705246,"Langedalsvegen 249, Raundalen",60.762226,6.561978
705247,"Kolvesvegen 278, Raundalen",60.683386,6.625404
705248,"Kolvesvegen 290, Raundalen",60.683473,6.631369
705249,"Kolvesvegen 293, Raundalen",60.681589,6.633027
705250,"Kolvesvegen 311, Raundalen",60.680967,6.636974
705252,"Raundalsvegen 1050, Raundalen",60.68002,6.628132
705255,"Raundalsvegen 1060, Raundalen",60.678671,6.63083
705258,"Raundalsvegen 1056, Raundalen",60.679504,6.630456
705261,"Raundalsvegen 1260, Raundalen",60.681055,6.669929
705263,"Beresvegen 119, Raundalen",60.682099,6.667678
705265,"Beresvegen 79, Raundalen",60.68464,6.672274
705267,"Beresvegen 99, Raundalen",60.683651,6.669122
705270,"Raundalsvegen 1335, Raundalen",60.680007,6.68271
705272,"Beresvegen 61, Raundalen",60.684798,6.675688
705275,"Beresvegen 8, Raundalen",60.680838,6.679911
705277,"Beresvegen 27, Raundalen",60.684017,6.680909
705279,"Beresvegen 4, Raundalen",60.680399,6.681005
705281,"Beresvegen 23, Raundalen",60.681441,6.679959
705283,"Raundalsvegen 1321, Raundalen",60.680125,6.680969
705286,"Raundalsvegen 1367, Raundalen",60.678183,6.687819
705287,"Øvsthusvegen 49, Raundalen",60.683201,6.738201
705288,"Beresvegen 20, Raundalen",60.681467,6.678858
705289,"Øvsthusvegen 76, Raundalen",60.684828,6.736748
705290,"Sverrdalen 25, Raundalen",60.684475,6.73335
705292,"Kolvesvegen 58, Raundalen",60.679904,6.593411
705294,"Kolvesvegen 66, Raundalen",60.680091,6.594749
705295,"Kolvesvegen 75, Raundalen",60.679808,6.596568
705297,"Kolvesvegen 74, Raundalen",60.680141,6.596104
705299,"Raundalsvegen 854, Raundalen",60.679128,6.599161
705301,"Raundalsvegen 858, Raundalen",60.679472,6.600507
705303,"Kolvesvegen 69, Raundalen",60.679843,6.598041
705305,"Kolvesvegen 63, Raundalen",60.679721,6.600038
705307,"Kolvesvegen 73, Raundalen",60.679876,6.596856
705308,"Kolvesvegen 67, Raundalen",60.67984,6.598837
705310,"Raundalsvegen 852, Raundalen",60.67937,6.598732
705312,"Raundalsvegen 848, Raundalen",60.679318,6.594817
705314,"Kolvesvegen 190, Raundalen",60.68209,6.616196
705316,"Raundalsvegen 880, Raundalen",60.679437,6.603657
705318,"Kolvesvegen 181, Raundalen",60.682084,6.614841
705320,"Kolvesvegen 169, Raundalen",60.682162,6.613169
705322,"Kolvesvegen 153, Raundalen",60.682078,6.60997
705323,"Raundalsvegen 897, Raundalen",60.679325,6.606638
705324,"Kolvesvegen 216, Raundalen",60.682089,6.620553
705326,"Kolvesvegen 228, Raundalen",60.682094,6.622478
705327,"Kolvesvegen 197, Raundalen",60.681321,6.617407
705329,"Kolvesvegen 199, Raundalen",60.681226,6.618622
705331,"Kolvesvegen 261, Raundalen",60.681704,6.628825
705333,"Kolvesvegen 200, Raundalen",60.68172,6.617597
705335,"Kolvesvegen 286, Raundalen",60.68384,6.629272
705337,"Kolvesvegen 249, Raundalen",60.682026,6.626219
705339,"Kolvesvegen 280, Raundalen",60.683553,6.626747
705341,"Kolvesvegen 259, Raundalen",60.681579,6.627845
705343,"Kolvesvegen 274, Raundalen",60.682748,6.632503
705345,"Kolvesvegen 273, Raundalen",60.681879,6.631101
705347,"Kolvesvegen 258, Raundalen",60.682146,6.628426
705349,"Kolvesvegen 284, Raundalen",60.68366,6.62788
705373,"Nedre Reime 61, Raundalen",60.678729,6.730842
705374,"Øvsthusvegen 26, Raundalen",60.681158,6.736385
705375,"Brekkestølsvegen 54, Raundalen",60.687483,6.72909
705376,"Sverrdalen 81, Raundalen",60.687206,6.728195
705377,"Brekkestølsvegen 72, Raundalen",60.688099,6.726028
705378,"Brekkestølsvegen 88, Raundalen",60.688512,6.725152
705379,"Sverrdalen 128, Raundalen",60.684854,6.720246
705380,"Brekkestølsvegen 70, Raundalen",60.687922,6.726897
705381,"Sverrdalen 118, Raundalen",60.685334,6.722054
705383,"Sverrdalen 93, Raundalen",60.68767,6.725248
705384,"Øvsthusvegen 75, Raundalen",60.684894,6.739392
705385,"Sverrdalen 124, Raundalen",60.68404,6.719351
705388,"Øvsthusvegen 77, Raundalen",60.684812,6.739128
705390,"Nedre Reime 37, Raundalen",60.67977,6.738222
705391,"Nedre Reime 52, Raundalen",60.677795,6.734589
705393,"Nedre Reime 36, Raundalen",60.679379,6.738506
705395,"Raundalsvegen 1797, Raundalen",60.680577,6.73866
705397,"Nedre Reime 45, Raundalen",60.679331,6.736184
707058,"Gamle Raundalsvegen 27, Voss",60.639628,6.481247
707060,"Gamle Raundalsvegen 35, Voss",60.639921,6.482512
707061,"Gamle Raundalsvegen 49, Voss",60.640475,6.484243
707062,"Gamle Raundalsvegen 46, Voss",60.640573,6.483248
707063,"Gamle Raundalsvegen 63, Voss",60.641315,6.486867
707064,"Gamle Raundalsvegen 59, Voss",60.640685,6.4873
707065,"Gamle Raundalsvegen 72, Voss",60.641696,6.488063
707349,"Gamle Raundalsvegen 73, Voss",60.641496,6.487932
707506,"Tjukkebygdvegen 35, Voss",60.637094,6.470241
707507,"Tjukkebygdvegen 33, Voss",60.637028,6.470099
707508,"Tjukkebygdvegen 38, Voss",60.637454,6.470779
707509,"Tjukkebygdvegen 37, Voss",60.637092,6.470643
707510,"Tjukkebygdvegen 42, Voss",60.637756,6.471542
707511,"Tjukkebygdvegen 40, Voss",60.637486,6.471033
707512,"Gamle Rykkesvegen 41, Voss",60.638666,6.472916
707513,"Tjukkebygdvegen 52, Voss",60.638126,6.471605
707514,"Tjukkebygdvegen 65, Voss",60.638159,6.475297
707515,"Tjukkebygdvegen 99, Voss",60.64016,6.480558
707516,"Tjukkebygdvegen 84, Voss",60.639468,6.476548
707517,"Tjukkebygdvegen 149, Voss",60.642005,6.487728
707518,"Tjukkebygdvegen 157, Voss",60.641882,6.489347
707519,"Tjukkebygdvegen 151, Voss",60.642029,6.488549
707520,"Tjukkebygdvegen 161, Voss",60.642094,6.491068
707521,"Tjukkebygdvegen 159, Voss",60.642393,6.490017
707522,"Tjukkebygdvegen 181, Voss",60.643382,6.494572
707523,"Tjukkebygdvegen 169, Voss",60.642023,6.494952
707524,"Tjukkebygdvegen 188, Voss",60.643745,6.495257
707525,"Tjukkebygdvegen 183, Voss",60.643446,6.494677
707526,"Tjukkebygdvegen 192, Voss",60.643954,6.4959
707527,"Tjukkebygdvegen 189, Voss",60.643379,6.495414
707528,"Tjukkebygdvegen 197, Voss",60.643656,6.497222
707529,"Tjukkebygdvegen 193, Voss",60.643717,6.496192
707531,"Tjukkebygdvegen 207, Voss",60.644449,6.498349
707671,"Tjukkebygdvegen 26, Voss",60.636931,6.468753
707673,"Tjukkebygdvegen 29, Voss",60.636189,6.470123
707674,"Tjukkebygdvegen 28, Voss",60.636987,6.468994
707867,"Kleivavegen 369, Raundalen",60.703122,6.902151
707868,"Kleivavegen 458, Raundalen",60.705471,6.916237
707869,"Ljosandbotnen 79, Raundalen",60.709661,6.905024
707870,"Kleivavegen 31, Raundalen",60.693754,6.852822
707872,"Raundalsvegen 1739, Raundalen",60.67892,6.728851
708002,"Mjølfjelltunet 14, Raundalen",60.692542,6.857299
708004,"Kleivavegen 365, Raundalen",60.702946,6.901191
708181,"Ljosandgrøvene 29, Raundalen",60.711728,6.900395
708183,"Ljosandgrøvene 33, Raundalen",60.711326,6.898958
708211,"Rjoanddalen 44, Raundalen",60.699212,6.845728
708224,"Raundalsvegen 1672, Raundalen",60.679837,6.71941
708238,"Øvsthusvegen 38, Raundalen",60.681844,6.732833
708240,"Ljosandgrøvene 87, Raundalen",60.70869,6.890663
708241,"Ljosandgrøvene 95, Raundalen",60.708857,6.889556
708242,"Ljosandgrøvene 96, Raundalen",60.70774,6.890193
708243,"Ljosandgrøvene 93, Raundalen",60.7082,6.89031
708244,"Ljosandgrøvene 92, Raundalen",60.707874,6.891321
708245,"Ljosandgrøvene 97, Raundalen",60.70816,6.888956
708246,"Ljosandgrøvene 84, Raundalen",60.708617,6.892885
708247,"Ljosandgrøvene 88, Raundalen",60.708051,6.892262
708248,"Ljosandgrøvene 74, Raundalen",60.709188,6.893196
708249,"Ljosandgrøvene 68, Raundalen",60.709531,6.893888
708250,"Ljosandgrøvene 81, Raundalen",60.709289,6.890495
708251,"Ljosandgrøvene 80, Raundalen",60.709008,6.891998
708252,"Ljosandgrøvene 73, Raundalen",60.709828,6.892751
708254,"Ljosandgrøvene 79, Raundalen",60.70956,6.891742
708255,"Ljosandgrøvene 49, Raundalen",60.710328,6.895467
708257,"Ljosandgrøvene 69, Raundalen",60.710053,6.893396
708259,"Ljosandgrøvene 61, Raundalen",60.71058,6.894315
708261,"Ljosandgrøvene 45, Raundalen",60.71087,6.896183
708263,"Ljosandgrøvene 56, Raundalen",60.709586,6.895681
708265,"Ljosandgrøvene 51, Raundalen",60.710079,6.896144
708266,"Ljosandgrøvene 46, Raundalen",60.70981,6.898471
708268,"Ljosandgrøvene 52, Raundalen",60.709591,6.89737
708270,"Ljosandgrøvene 28, Raundalen",60.710722,6.899401
708272,"Ljosandgrøvene 44, Raundalen",60.710239,6.898369
708274,"Ljosandgrøvene 39, Raundalen",60.71117,6.897612
708276,"Ljosandgrøvene 40, Raundalen",60.710708,6.89788
708318,"Kleivavegen 383, Raundalen",60.704274,6.905136
708320,"Kleivavegen 460, Raundalen",60.70563,6.915512
708322,"Beresvegen 33, Raundalen",60.682671,6.678707
708337,"Kleivavegen 448, Raundalen",60.705193,6.915687
708428,"Kleivavegen 71, Raundalen",60.693327,6.859812
708431,"Kleivavegen 387, Raundalen",60.703023,6.906134
708441,"Kleivavegen 552, Raundalen",60.703417,6.937938
708442,"Kleivavegen 450, Raundalen",60.705116,6.916535
708443,"Kleivavegen 591, Raundalen",60.700008,6.940502
708445,"Ljosanddalen 49, Raundalen",60.713761,6.90648
708447,"Ljosanddalen 143, Raundalen",60.722281,6.907979
708448,"Ljosanddalen 39, Raundalen",60.713115,6.905917
708450,"Ljosanddalen 55, Raundalen",60.714512,6.906834
708452,"Kleivavegen 288, Raundalen",60.703558,6.891426
708454,"Kleivavegen 289, Raundalen",60.701987,6.894474
708455,"Kleivavegen 452, Raundalen",60.704789,6.916849
708456,"Kleivavegen 304, Raundalen",60.705062,6.891249
708457,"Rjoandfossen 23, Raundalen",60.697101,6.850281
708458,"Kleivavegen 306, Raundalen",60.705697,6.891629
708459,"Kleivavegen 290, Raundalen",60.703963,6.892182
708460,"Mjølfjelltunet 43, Raundalen",60.690889,6.857092
708462,"Kleivavegen 297, Raundalen",60.70313,6.892365
708463,"Kleivavegen 367, Raundalen",60.702687,6.901868
708464,"Kleivavegen 154, Raundalen",60.696416,6.872724
708465,"Kleivavegen 294, Raundalen",60.70444,6.891813
708466,"Kleivavegen 300, Raundalen",60.704879,6.892745
708467,"Raundalsvegen 2287, Raundalen",60.67166,6.814602
708468,"Hedlesmoget 24, Raundalen",60.690938,6.860344
708470,"Raundalsvegen 2285, Raundalen",60.671963,6.815055
708471,"Kleivavegen 389, Raundalen",60.703161,6.906894
708472,"Elvatunet 30, Raundalen",60.690488,6.852985
708473,"Raundalsvegen 2291, Raundalen",60.670859,6.813499
708474,"Ljosandbotnen 57, Raundalen",60.70709,6.902588
708475,"Kleivavegen 155, Raundalen",60.695753,6.873941
708476,"Ljosandbotnen 19, Raundalen",60.706692,6.900085
708477,"Kleivavegen 150, Raundalen",60.696494,6.871968
708478,"Kleivavegen 336, Raundalen",60.705727,6.899269
708479,"Raundalsvegen 2613, Raundalen",60.691701,6.841497
708480,"Kleivavegen 381, Raundalen",60.703554,6.905073
708481,"Kleivavegen 320, Raundalen",60.707986,6.896519
708482,"Kleivavegen 371, Raundalen",60.703546,6.902819
708483,"Raundalsvegen 2293, Raundalen",60.670527,6.813362
708484,"Kleivavegen 361, Raundalen",60.704167,6.902303
708485,"Elvatunet 32, Raundalen",60.690875,6.851911
