,Navn,Long,Lat
15424,"Djønno Indre, 728/1, Granvin",60.465306,6.75083
15437,"728/46, Granvin",60.472729,6.775413
31889,"725/1-2, Granvin",60.44213,6.707246
704391,"Tjoflotvegen 207, Ulvik",60.479736,6.8058
704392,"Vallavikvegen 1265, Ulvik",60.489469,6.83862
704393,"Hallangervegen 190, Ulvik",60.492687,6.859907
704394,"Hallangervegen 112, Ulvik",60.492035,6.846407
704395,"Tjoflotvegen 71, Ulvik",60.484793,6.824479
704396,"Hallangervegen 116, Ulvik",60.491803,6.848514
704397,"Hallangervegen 192, Ulvik",60.493078,6.861921
704398,"Hallangervegen 83, Ulvik",60.490522,6.841481
704399,"Dalsete 3, Ulvik",60.496148,6.80591
704400,"Dalsete 2, Ulvik",60.496128,6.805238
704401,"Vallavikvegen 1091, Ulvik",60.490069,6.866925
704402,"Nesheimsvegen 50, Ulvik",60.486665,6.874812
704403,"Hallangervegen 110, Ulvik",60.4916,6.845942
704404,"Hallangervegen 80, Ulvik",60.49071,6.840376
704405,"Hallangervegen 155, Ulvik",60.492692,6.855192
704406,"Dalsete 4, Ulvik",60.495683,6.806051
704463,"Hallangervegen 157, Ulvik",60.492748,6.855898
704472,"Tjoflotvegen 199, Ulvik",60.479887,6.807897
704473,"Hallangervegen 152, Ulvik",60.492682,6.854027
704476,"Tjoflotvegen 56, Ulvik",60.486565,6.827364
704522,"Hallangervegen 150, Ulvik",60.492885,6.853213
704933,"Nesheimsvegen 51, Ulvik",60.48688,6.874798
824609,"Ulgenes, Tjoflotvegen 1231, Granvin",60.433223,6.68821
824610,"Ulgenes, Tjoflotvegen 1345, Granvin",60.432518,6.673485
824611,"Ulgenes, Tjoflotvegen 1347, Granvin",60.432606,6.672386
824629,"Tjoflot, Tjoflotvegen 1590, Granvin",60.450043,6.632682
824630,"Tjoflot, Tjoflotvegen 1730, Granvin",60.450559,6.640008
824631,"Tjoflot, Tjoflotvegen 1547, Granvin",60.447277,6.656394
824632,"Tjoflot, Tjoflotvegen 1585, Granvin",60.448741,6.652465
824635,"Naustflot, Tjoflotvegen 1592, Granvin",60.447108,6.641932
824910,"Vikane, Tjoflotvegen 1081, Granvin",60.439378,6.702878
824995,"Djønnaneset 3, Granvin",60.458477,6.753505
825049,"Tjoflot, Tjoflotvegen 1719, Granvin",60.450516,6.643685
825052,"Tjoflot, Tjoflotvegen 1717, Granvin",60.450502,6.643922
825055,"Kaland 38, Granvin",60.473632,6.776926
825057,"Djønno, Tjoflotvegen 565, Granvin",60.469042,6.753706
825075,"Djønno, Tjoflotvegen 597, Granvin",60.469367,6.749063
825077,"Djønno, Tjoflotvegen 558, Granvin",60.468816,6.754668
825078,"Kaland 20, Granvin",60.47314,6.773657
825079,"Djønno, Tjoflotvegen 593, Granvin",60.466815,6.751
825081,"Kaland 41, Granvin",60.473201,6.778929
825083,"Kaland 36, Granvin",60.473431,6.776548
825085,"Djønno, Tjoflotvegen 599, Granvin",60.467289,6.748297
825087,"Vikane, Tjoflotvegen 1055, Granvin",60.441954,6.706895
825089,"Djønno, Tjoflotvegen 603, Granvin",60.467269,6.7503
825090,"Ulgenes, Tjoflotvegen 1339, Granvin",60.432,6.673611
825092,"Djønno, Tjoflotvegen 909, Granvin",60.449456,6.727985
825094,"Djønno, Tjoflotvegen 653, Granvin",60.46156,6.748898
825100,"Djønno, Tjoflotvegen 619, Granvin",60.464812,6.750542
825102,"Djønno, Tjoflotvegen 630, Granvin",60.463733,6.751039
825104,"Djønno, Tjoflotvegen 609, Granvin",60.465449,6.747226
825107,"Djønno, Tjoflotvegen 640, Granvin",60.462313,6.750493
825109,"Djønno, Tjoflotvegen 635, Granvin",60.46291,6.750165
825111,"Djønno, Tjoflotvegen 690, Granvin",60.458574,6.752444
825323,"Ulgenes, Tjoflotvegen 1273, Granvin",60.43028,6.683748
825411,"Djønno, Tjoflotvegen 621, Granvin",60.464476,6.750311
825412,"Djønno, Tjoflotvegen 632, Granvin",60.463638,6.750946
825413,"Djønno, Tjoflotvegen 607, Granvin",60.465579,6.74756
825414,"Djønno, Tjoflotvegen 616, Granvin",60.46513,6.751303
825415,"Djønno, Tjoflotvegen 642, Granvin",60.46249,6.750776
825416,"Djønno, Tjoflotvegen 637, Granvin",60.462799,6.749954
825417,"Djønno, Tjoflotvegen 644, Granvin",60.462202,6.750232
825419,"Djønno, Tjoflotvegen 591, Granvin",60.467306,6.751443
825420,"Kaland 39, Granvin",60.473111,6.777491
825430,"Tjoflot, Tjoflotvegen 1734, Granvin",60.450723,6.641195
825431,"Djønno, Tjoflotvegen 649, Granvin",60.462082,6.749513
825432,"Djønno, Tjoflotvegen 648, Granvin",60.461638,6.749834
825481,"Djønno, Tjoflotvegen 568, Granvin",60.468175,6.754512
825520,"Tjoflot, Tjoflotvegen 1680, Granvin",60.449963,6.648885
825521,"Kaland, Tjoflotvegen 341, Granvin",60.474158,6.790073
825526,"Ulgenes, Tjoflotvegen 1271, Granvin",60.430603,6.684761
825560,"Djønnaneset 9, Granvin",60.458292,6.753285
825562,"Djønno, Tjoflotvegen 541, Granvin",60.470231,6.7587
825604,"Djønnaneset 16, Granvin",60.458547,6.754268
825656,"Djønnaneset 18, Granvin",60.458088,6.753605
825661,"Djønnaneset 10, Granvin",60.459145,6.753643
825662,"Kaland, Tjoflotvegen 371, Granvin",60.473748,6.78375
825664,"Kaland, Tjoflotvegen 343, Granvin",60.474303,6.787934
825665,"Kaland, Tjoflotvegen 342, Granvin",60.473791,6.789024
825667,"Djønnaneset 12, Granvin",60.459033,6.75392
825687,"Tjoflot, Tjoflotvegen 1578, Granvin",60.447712,6.651232
825690,"Ulgenes, Tjoflotvegen 1260, Granvin",60.430764,6.686989
825691,"Tjoflot, Tjoflotvegen 1576, Granvin",60.447721,6.652178
825692,"Djønno, Tjoflotvegen 562, Granvin",60.46636,6.754474
