,Navn,Long,Lat
25486,"44/2, Flåm",60.795106,7.109306
25487,"40/1, Flåm",60.835308,7.13983
25489,"36/162, Flåm",60.864303,7.13179
25515,"36/3, Flåm",60.8613,7.112888
25516,"36/13, Flåm",60.864957,7.132967
25553,"36/20, Flåm",60.853573,7.111374
25554,"36/1, Flåm",60.862079,7.110209
25577,"36/169, Flåm",60.861975,7.112084
25611,"48/3-1, Flåm",60.795314,7.103615
25614,"44/3-1, Flåm",60.794862,7.109835
25615,"40/1-1, Flåm",60.835191,7.1398
25616,"39/1-2, Flåm",60.843373,7.135331
25617,"39/1-1, Flåm",60.843088,7.135531
25630,"48/5-1, Flåm",60.801044,7.106949
25638,"36/3-1, Flåm",60.862079,7.110209
25639,"47/1-1, Flåm",60.7881,7.097404
25681,"49/67, Flåm",60.86485,7.11441
25691,"49/93, Flåm",60.867121,7.119451
25721,"36/151, Flåm",60.86146,7.115328
40610,"46/1, Flåm",60.772604,7.100858
44241,"38/8, Flåm",60.836037,7.121629
1318668,"Fretheimshaugane 52, Flåm",60.858437,7.112394
1318669,"Fretheimshaugane 54, Flåm",60.858478,7.112779
1318670,"Fretheimshaugane 42, Flåm",60.858994,7.110483
1318671,"Fretheimshaugane 46, Flåm",60.858696,7.111053
1318672,"Fretheimshaugane 24, Flåm",60.858179,7.111268
1318673,"Fretheimshaugane 22, Flåm",60.858164,7.112153
1320653,"Fretheimshaugane 28, Flåm",60.858555,7.110565
1320654,"Fretheimshaugane 26, Flåm",60.858332,7.11067
1320655,"Fretheimshaugane 15, Flåm",60.857708,7.110731
1320656,"Fretheimshaugane 18, Flåm",60.858268,7.109992
1320657,"Fretheimshaugane 21, Flåm",60.857926,7.11248
1320658,"Fretheimshaugane 17, Flåm",60.857747,7.111478
1320659,"Flåmsdalsvegen 18, Flåm",60.853909,7.111631
1320660,"Fretheimshaugane 4, Flåm",60.858146,7.10895
1320661,"Fretheimshaugane 6B, Flåm",60.857407,7.110345
1320662,"Lundaåkeren 3, Flåm",60.853113,7.11061
1320663,"Lundaåkeren 1, Flåm",60.852961,7.11003
1320664,"Lundaåkeren 5, Flåm",60.853279,7.110913
1320665,"Fretheimshaugane 73, Flåm",60.861211,7.117479
1320666,"Lundaåkeren 8, Flåm",60.852931,7.111081
1320667,"Lundaåkeren 4, Flåm",60.852722,7.110265
1320668,"Lundaåkeren 6, Flåm",60.85281,7.110738
1320669,"Lunden 5, Flåm",60.852035,7.113122
1320670,"Fretheimshaugane 75, Flåm",60.861475,7.117684
1320671,"Fretheimshaugane 9, Flåm",60.857096,7.112197
1320672,"Lundaåkeren 2, Flåm",60.852626,7.109847
1320673,"Lundaåkeren 9, Flåm",60.852339,7.109809
1320674,"Lundaåkeren 19, Flåm",60.852036,7.110655
1320675,"Lundaåkeren 10, Flåm",60.852127,7.110116
1320676,"Flåmsdalsvegen 57, Flåm",60.848336,7.11577
1320677,"Lundaåkeren 17, Flåm",60.851876,7.110112
1320678,"Lundaåkeren 12, Flåm",60.85227,7.110678
1320679,"Flåmsdalsvegen 24, Flåm",60.852958,7.111687
1320680,"Lunden 28, Flåm",60.854934,7.114921
1320681,"Vollsgjerda 19, Flåm",60.855481,7.112956
1320682,"Lundaåkeren 14, Flåm",60.852459,7.11133
1320683,"Fretheimshaugane 71, Flåm",60.860692,7.117583
1320684,"Lunden 22, Flåm",60.853491,7.114472
1320685,"Fretheimshaugane 79, Flåm",60.861157,7.118025
1320686,"Vollsgjerda 1, Flåm",60.854271,7.112456
1320687,"Fretheimshaugane 77, Flåm",60.861199,7.117896
1320688,"Tunshellevegen 6, Flåm",60.78778,7.097783
1320689,"Vollsgjerda 3, Flåm",60.854368,7.113022
1320690,"Tunshellevegen 25, Flåm",60.794999,7.109992
1320691,"Tunshellevegen 15, Flåm",60.792057,7.10831
1320692,"Tunshellevegen 12, Flåm",60.791792,7.107976
1320693,"Flåmsdalsvegen 143, Flåm",60.811104,7.121655
1320694,"Flåmsdalsvegen 145A, Flåm",60.810838,7.12176
1320695,"Tunshellevegen 22, Flåm",60.794792,7.109324
1320696,"Flåmsdalsvegen 141, Flåm",60.811988,7.120647
1320697,"Holavegen 20, Flåm",60.818335,7.131455
1320698,"Holavegen 22, Flåm",60.818901,7.131477
1320699,"Holavegen 14, Flåm",60.819905,7.124265
1320700,"Ryavegen 50, Flåm",60.840199,7.137006
1320701,"Ryavegen 63, Flåm",60.835416,7.139879
1320702,"Indrelivegen 3, Flåm",60.842657,7.13482
1320703,"Indrelivegen 7, Flåm",60.843139,7.135271
1320704,"Indrelivegen 6, Flåm",60.84291,7.13429
1320705,"Ryavegen 9, Flåm",60.839395,7.123749
1320706,"Ryavegen 5, Flåm",60.838529,7.124131
1320707,"Flåmsdalsvegen 99, Flåm",60.837666,7.12144
1320708,"Flåmsdalsvegen 91, Flåm",60.838473,7.121392
1320709,"Flåmsdalsvegen 93, Flåm",60.83825,7.121461
1320710,"Ryavegen 21, Flåm",60.841899,7.124909
1320711,"Ryavegen 22, Flåm",60.842332,7.124405
1320712,"Ryavegen 17, Flåm",60.840639,7.123455
1320713,"Ryavegen 15, Flåm",60.840252,7.123386
1320714,"Flåmsdalsvegen 79, Flåm",60.842181,7.118083
1320715,"Ryavegen 28, Flåm",60.84373,7.124176
1320716,"Ryavegen 3, Flåm",60.839779,7.122273
1320717,"Flåmsdalsvegen 72, Flåm",60.843243,7.120735
1320718,"Flåmsdalsvegen 84, Flåm",60.84095,7.121265
1320719,"Flåmsdalsvegen 77, Flåm",60.842587,7.11849
1320720,"Flåmsdalsvegen 85, Flåm",60.840872,7.120202
1320721,"Flåmsdalsvegen 94, Flåm",60.837943,7.122049
1320722,"Ryavegen 16, Flåm",60.841674,7.122971
1320723,"Flåmsdalsvegen 88, Flåm",60.840448,7.121646
1320724,"Flåmsdalsvegen 70, Flåm",60.845309,7.120218
1320725,"Flåmsdalsvegen 100, Flåm",60.836961,7.122456
1320726,"Vollsgjerda 25, Flåm",60.856254,7.11361
1320727,"Fretheimshaugane 38, Flåm",60.859378,7.110332
1320728,"Fretheimshaugane 40, Flåm",60.859154,7.110419
1320729,"Vollsgjerda 5, Flåm",60.854351,7.113685
1320783,"Brekkevegen 37, Flåm",60.852679,7.105904
1320785,"Brekkevegen 35, Flåm",60.853131,7.105528
1320786,"Brekkehagen 9, Flåm",60.846412,7.116288
1320787,"Brekkehagen 2, Flåm",60.846875,7.11661
1320788,"Brekkevegen 30, Flåm",60.853917,7.105831
1320789,"Brekkehagen 5, Flåm",60.846249,7.116169
1320790,"Vidmevegen 3, Flåm",60.805772,7.103971
1320791,"Brekkevegen 51, Flåm",60.850042,7.111621
1320792,"Brekkevegen 23, Flåm",60.854565,7.104252
1320794,"Lundaåkeren 15, Flåm",60.85269,7.11115
1320801,"Flåmsdalsvegen 156, Flåm",60.795085,7.103335
1320806,"Fretheimshaugane 7, Flåm",60.856872,7.112247
1320986,"Holavegen 10, Flåm",60.817331,7.124489
1320987,"Flåmsdalsvegen 115, Flåm",60.831722,7.118376
1320988,"Flåmsdalsvegen 67, Flåm",60.846228,7.119133
