,Navn,Long,Lat
14196,"37/51, Skare",59.914057,6.55667
14242,"37/124, Skare",59.902059,6.601885
14265,"37/80, Skare",59.905695,6.599316
14336,"Seljestad, 31/6-1, Skare",59.904392,6.616078
14402,"37/23, Skare",59.914829,6.562947
14613,"37/45, Skare",59.914225,6.562866
15055,"Seljestad, 31/132, Skare",59.893177,6.653389
15056,"Seljestad, 31/128, Skare",59.891923,6.65464
15057,"Seljestad, 31/124, Skare",59.893587,6.655756
15058,"Seljestad, 31/123, Skare",59.891183,6.654424
15059,"Seljestad, 31/122, Skare",59.892596,6.654092
15060,"Seljestad, 31/234, Skare",59.892891,6.65673
15061,"Seljestad, 31/146, Skare",59.890967,6.653444
15062,"Løyning, 33/16, Skare",59.893,6.659641
15063,"Bru, 32/1, Skare",59.897055,6.63014
15064,"Seljestad, 31/239, Skare",59.859383,6.573685
15065,"Seljestad, 31/258, Skare",59.905037,6.6185
15066,"Seljestad, 31/257, Skare",59.886474,6.655346
15067,"Seljestad, 31/254, Skare",59.885487,6.656899
15068,"Seljestad, 31/240, Skare",59.840092,6.596974
15069,"Torekoven, 34/2, Skare",59.910322,6.652161
15105,"31/9, Skare",59.891523,6.642798
15117,"Seljestad, 31/23, Skare",59.902872,6.615025
15118,"Seljestad, 31/13, Skare",59.890523,6.645121
15120,"Seljestad, 31/5, Skare",59.895516,6.634487
15121,"Seljestad, 31/3, Skare",59.872132,6.641955
15136,"Seljestad, 31/97, Skare",59.891781,6.655705
15137,"Seljestad, 31/42, Skare",59.891845,6.653787
15138,"Seljestad, 31/30, Skare",59.889619,6.647312
15139,"Tveit, 40/37, Skare",59.946616,6.662491
15140,"Tveit, 40/47, Skare",59.948052,6.660327
15141,"Tveit, 40/35, Skare",59.94837,6.659534
15142,"Tveit, 40/34, Skare",59.948815,6.660792
15143,"Tveit, 40/33, Skare",59.947906,6.663757
15144,"Tveit, 40/32, Skare",59.94608,6.663617
15145,"Tveit, 40/58, Skare",59.956062,6.601654
15146,"Tveit, 40/57, Skare",59.95245,6.655575
15147,"Seljestad, 31/70, Skare",59.892425,6.656571
15149,"45/10, Skare",59.955331,6.555924
15150,"Tveit, 40/56, Skare",59.951966,6.656146
15151,"Tveit, 40/55, Skare",59.952463,6.657311
15152,"Tveit, 40/51, Skare",59.952593,6.658036
15153,"Tveit, 40/50, Skare",59.94708,6.662777
15154,"Låte, 42/37, Skare",59.946631,6.660212
15155,"Låte, 42/36, Skare",59.947707,6.66164
15158,"Vetrhus, 46/3, Skare",59.95798,6.576347
15159,"Vetrhus, 46/1, Skare",59.956553,6.576434
15160,"Espeland, 45/8, Skare",59.946346,6.566542
15161,"Espeland, 45/7, Skare",59.948595,6.570639
15162,"Espeland, 45/6, Skare",59.955142,6.54985
15163,"41/19, Skare",59.949871,6.659052
15164,"41/18, Skare",59.950528,6.660653
15165,"41/4/2, Skare",59.946143,6.665153
15166,"Berge, 41/17, Skare",59.951026,6.658827
15167,"Berge, 41/15, Skare",59.950653,6.658567
15168,"Berge, 41/14, Skare",59.946021,6.664302
15169,"Juvet, 41/8, Skare",59.958341,6.577879
15170,"Reinsnos, 41/4/1, Skare",59.94716,6.664705
15199,"37/71, Skare",59.916984,6.563862
15200,"37/70, Skare",59.922084,6.566673
15201,"37/64, Skare",59.917066,6.562979
15202,"37/63, Skare",59.914677,6.555748
15203,"Jøsendal, 37/49, Skare",59.914019,6.563865
15204,"37/44, Skare",59.915197,6.564405
15205,"37/39, Skare",59.941191,6.566634
15206,"Reinsnos, 39/7, Skare",59.960595,6.719491
15209,"40/68, Skare",59.947164,6.658557
15212,"41/20, Skare",59.945421,6.666475
