,Navn,Long,Lat
15422,"203/18, Utne",60.403936,6.666847
35673,"202/3-3, Utne",60.399267,6.658833
52086,"Jåstad Indre, 166/5-2, Utne",60.341983,6.623718
52177,"Langsæter Ytre, 201/22, Utne",60.39211,6.624248
824122,"Jåstad, Gamlevegen 130, Utne",60.353014,6.623731
824123,"Jåstad, Gamlevegen 151, Utne",60.357312,6.626482
824124,"Jåstad, Gamlevegen 148, Utne",60.356234,6.624811
824125,"Jåstad, Gamlevegen 125, Utne",60.351369,6.624159
824126,"Jåstad, Gamlevegen 76, Utne",60.34349,6.623082
824127,"Jåstad, Gamlevegen 122, Utne",60.354946,6.621741
824128,"Jåstad, Gamlevegen 126, Utne",60.352003,6.623424
824129,"Jåstad, Fjordavegen 3220, Utne",60.356995,6.626306
824130,"Brandstveit, Gamlevegen 162, Utne",60.361061,6.629165
824131,"Brandstveit, Gamlevegen 157, Utne",60.359254,6.62794
824132,"Jåstad, Gamlevegen 136, Utne",60.354211,6.624333
824133,"Jåstad, Gamlevegen 134, Utne",60.354027,6.624092
824134,"Jåstad, Gamlevegen 152, Utne",60.357585,6.626172
824135,"Jåstad, Gamlevegen 142, Utne",60.354744,6.624511
824136,"Jåstad, Gamlevegen 135, Utne",60.353846,6.624558
824137,"Jåstad, Gamlevegen 70, Utne",60.34257,6.623271
824138,"Jåstad, Gamlevegen 83, Utne",60.344219,6.624189
824139,"Jåstad, Gamlevegen 99, Utne",60.345555,6.625524
824140,"Jåstad, Gamlevegen 106, Utne",60.346779,6.623757
824141,"Jåstad, Gamlevegen 96, Utne",60.345482,6.623953
824142,"Jåstad, Gamlevegen 104, Utne",60.347678,6.622216
824143,"Jåstad, Gamlevegen 88, Utne",60.339833,6.621011
824144,"Jåstad, Gamlevegen 111, Utne",60.347981,6.624568
824145,"Jåstad, Gamlevegen 75, Utne",60.3435,6.624133
824146,"Jåstad, Gamlevegen 52, Utne",60.338562,6.624293
824147,"Jåstad, Gamlevegen 90, Utne",60.34055,6.62143
824148,"Jåstad, Gamlevegen 44, Utne",60.336625,6.621462
824149,"Jåstad, Gamlevegen 62, Utne",60.34021,6.624535
824151,"Jåstad, Gamlevegen 95, Utne",60.3451,6.624198
824161,"Velure, Gamlevegen 22, Utne",60.333178,6.613052
824162,"Velure, Gamlevegen 32, Utne",60.334291,6.616078
824163,"Velure, Gamlevegen 43, Utne",60.336221,6.621455
824164,"Velure, Gamlevegen 24, Utne",60.333205,6.613557
824165,"Velure, Gamlevegen 18, Utne",60.33204,6.608734
824166,"Velure, Gamlevegen 16, Utne",60.33144,6.608215
824167,"Velure, Gamlevegen 4, Utne",60.331234,6.608422
824168,"Velure, Gamlevegen 38, Utne",60.33543,6.618432
824201,"Haustveit, Gamlevegen 196, Utne",60.368334,6.636599
824202,"Haustveit, Gamlevegen 170, Utne",60.362857,6.630685
