,Navn,Long,Lat
71917,"Alvermarka 39, Knarvik",60.564502,5.243495
71918,"Alvermarka 40, Knarvik",60.564589,5.242426
71919,"Alvermarka 37, Knarvik",60.563321,5.24177
71920,"Alvermarka 38, Knarvik",60.562982,5.240276
71921,"Alvermarka 34, Knarvik",60.562593,5.240796
71922,"Alvermarka 35, Knarvik",60.563237,5.241323
71923,"Alvermarka 32, Knarvik",60.562418,5.24098
71924,"Alvermarka 33, Knarvik",60.562954,5.241192
71931,"Alvermarka 42, Knarvik",60.564841,5.242452
71933,"Alvermarka 18, Knarvik",60.559459,5.245706
71934,"Alvermarka 19, Knarvik",60.5603,5.244276
71935,"Alvermarka 14, Knarvik",60.559177,5.246542
71936,"Alvermarka 16, Knarvik",60.559372,5.246136
71937,"Alvermarka 11, Knarvik",60.55978,5.245943
71938,"Alvermarka 12, Knarvik",60.559091,5.246698
71939,"Alvermarka 9, Knarvik",60.559632,5.246434
71940,"Alvermarka 10, Knarvik",60.559011,5.247346
71941,"Alvermarka 29, Knarvik",60.561651,5.242165
71942,"Alvermarka 31, Knarvik",60.561861,5.24194
71943,"Alvermarka 26, Knarvik",60.560055,5.243884
71944,"Alvermarka 27, Knarvik",60.561438,5.242263
71945,"Alvermarka 24, Knarvik",60.559916,5.244375
71946,"Alvermarka 25, Knarvik",60.561101,5.242411
71947,"Alvermarka 20, Knarvik",60.559623,5.245139
71948,"Alvermarka 22, Knarvik",60.559792,5.244773
71949,"Alvermarka 6, Knarvik",60.559809,5.248897
71950,"Alvermarka 8, Knarvik",60.559239,5.249401
71951,"Alvermarka 3, Knarvik",60.559299,5.248007
71952,"Alvermarka 5, Knarvik",60.559327,5.247419
71953,"Alvermarka 1, Knarvik",60.559534,5.248381
71954,"Alvermarka 2, Knarvik",60.560647,5.249274
72135,"Rishaugane 15, Knarvik",60.561259,5.245132
72136,"Rishaugane 16, Knarvik",60.561405,5.245863
72137,"Rishaugane 13, Knarvik",60.561598,5.245074
72138,"Rishaugane 14A, Knarvik",60.561685,5.245904
72139,"Rishaugane 11, Knarvik",60.56195,5.245435
72140,"Rishaugane 12, Knarvik",60.561831,5.246307
72141,"Rishaugane 9, Knarvik",60.562104,5.245782
72142,"Rishaugane 10, Knarvik",60.561726,5.246739
72143,"Rishaugane 23, Knarvik",60.560748,5.246798
72144,"Rishaugane 24, Knarvik",60.560836,5.247682
72145,"Rishaugane 21, Knarvik",60.560872,5.2464
72146,"Rishaugane 22, Knarvik",60.561056,5.2472
72147,"Rishaugane 19, Knarvik",60.560942,5.246009
72148,"Rishaugane 20, Knarvik",60.561186,5.246692
72149,"Rishaugane 17, Knarvik",60.56111,5.245606
72150,"Rishaugane 18, Knarvik",60.561309,5.246295
72151,"Rishaugane 7, Knarvik",60.562207,5.246245
72152,"Rishaugane 8, Knarvik",60.561584,5.247103
72153,"Rishaugane 5, Knarvik",60.562082,5.246917
72154,"Rishaugane 6, Knarvik",60.56136,5.247457
72220,"Buheim 14, Knarvik",60.564572,5.240547
72233,"Furumarka 12, Knarvik",60.564422,5.23841
72235,"Furumarka 8, Knarvik",60.564097,5.239014
72236,"Furumarka 11, Knarvik",60.564545,5.239272
72237,"Furumarka 4, Knarvik",60.563515,5.240031
72238,"Furumarka 6, Knarvik",60.563651,5.239449
72256,"Furumarka 2, Knarvik",60.563373,5.240413
72263,"Buheim 15, Knarvik",60.564989,5.24132
72264,"Buheim 16, Knarvik",60.564264,5.239816
72265,"Buheim 13, Knarvik",60.564842,5.241831
72266,"Buheim 11, Knarvik",60.564336,5.242364
72267,"Buheim 12, Knarvik",60.564745,5.240929
72268,"Buheim 9, Knarvik",60.564098,5.242228
72269,"Buheim 10, Knarvik",60.56455,5.241372
72272,"Buheim 33, Knarvik",60.564804,5.239845
72274,"Buheim 25, Knarvik",60.565096,5.240304
72275,"Buheim 31, Knarvik",60.565099,5.239482
72276,"Buheim 17, Knarvik",60.565244,5.24109
72277,"Buheim 19, Knarvik",60.565506,5.240822
72278,"Buhaugen 5, Knarvik",60.565821,5.241808
72279,"Buhaugen 6, Knarvik",60.565321,5.241592
72280,"Buhaugen 3, Knarvik",60.565625,5.242196
72281,"Buhaugen 4, Knarvik",60.565109,5.242073
72282,"Buhaugen 1, Knarvik",60.565456,5.242563
72283,"Buhaugen 2, Knarvik",60.565089,5.242642
72286,"Buheim 7, Knarvik",60.563956,5.24197
72287,"Buheim 8, Knarvik",60.564343,5.241651
72288,"Buheim 5, Knarvik",60.563854,5.241544
72289,"Buheim 6, Knarvik",60.564185,5.241158
72290,"Buheim 3, Knarvik",60.563678,5.241053
72291,"Buheim 4, Knarvik",60.564375,5.240881
72292,"Buheim 1, Knarvik",60.563743,5.240461
72293,"Buheim 2, Knarvik",60.564043,5.240262
72368,"Rishaugane 27, Knarvik",60.56038,5.247754
72369,"Rishaugane 29, Knarvik",60.560173,5.248088
72370,"Rishaugane 25, Knarvik",60.560549,5.247387
72371,"Rishaugane 26, Knarvik",60.560547,5.248264
72388,"Rishaugane 3, Knarvik",60.561957,5.247278
72389,"Rishaugane 4, Knarvik",60.561152,5.248066
72390,"Risdalen 2, Knarvik",60.559735,5.247865
72391,"Risdalen 3, Knarvik",60.560666,5.244507
72392,"Risbekken 16, Knarvik",60.562801,5.247235
72393,"Risdalen 1, Knarvik",60.560611,5.245134
72394,"Risbekken 13, Knarvik",60.563167,5.247485
72395,"Risbekken 14, Knarvik",60.562621,5.247566
72396,"Risbekken 11, Knarvik",60.562963,5.247892
72397,"Risbekken 12, Knarvik",60.562478,5.247273
72398,"Risdalen 14, Knarvik",60.560194,5.245328
72399,"Rishaugane 1, Knarvik",60.561617,5.24835
72400,"Risdalen 10, Knarvik",60.560391,5.245908
72401,"Risdalen 12, Knarvik",60.56007,5.245708
72402,"Risdalen 7, Knarvik",60.560243,5.244812
72403,"Risdalen 8, Knarvik",60.560233,5.246383
72404,"Risdalen 4, Knarvik",60.559868,5.247466
72405,"Risdalen 6, Knarvik",60.56011,5.246799
72406,"Risbekken 1, Knarvik",60.562181,5.24979
72407,"Risbekken 2, Knarvik",60.56173,5.249441
72413,"Risbekken 9, Knarvik",60.562766,5.248243
72414,"Risbekken 10, Knarvik",60.56224,5.247757
72415,"Risbekken 7, Knarvik",60.562655,5.248768
72416,"Risbekken 8, Knarvik",60.562444,5.247989
72417,"Risbekken 5, Knarvik",60.562587,5.248885
72418,"Risbekken 6, Knarvik",60.562178,5.24875
72419,"Risbekken 3, Knarvik",60.562222,5.249676
72420,"Risbekken 4, Knarvik",60.562019,5.24917
72448,"Lyngmarka 26, Knarvik",60.561324,5.242988
72449,"Lyngmarka 27, Knarvik",60.563115,5.242123
72450,"Lyngmarka 24, Knarvik",60.560951,5.242831
72451,"Lyngmarka 25, Knarvik",60.562835,5.242393
72452,"Lyngmarka 22, Knarvik",60.560809,5.243212
72453,"Lyngmarka 23, Knarvik",60.562629,5.242727
72454,"Lyngmarka 20, Knarvik",60.561054,5.243604
72455,"Lyngmarka 21, Knarvik",60.562455,5.242948
