,Navn,Long,Lat
72126,"Kubbaleitet 14, Knarvik",60.555182,5.26369
72127,"Kubbaleitet 18, Knarvik",60.554934,5.26319
72128,"Kubbaleitet 60, Knarvik",60.556408,5.26092
72130,"Kubbaleitet 6, Knarvik",60.555844,5.263578
72131,"Kubbaleitet 10, Knarvik",60.555528,5.263851
72380,"Juvikstølen 8, Knarvik",60.552081,5.279764
72381,"Juvikstølen 9, Knarvik",60.550255,5.281982
72382,"Juvikstølen 4, Knarvik",60.551576,5.28068
72383,"Juvikstølen 6, Knarvik",60.551861,5.280282
72385,"Juvikstølen 1, Knarvik",60.550906,5.280849
72590,"Juvikstølen 51, Knarvik",60.551576,5.282305
72591,"Juvikstølen 52, Knarvik",60.552013,5.281835
72592,"Juvikstølen 49, Knarvik",60.551315,5.28197
72593,"Juvikstølen 50, Knarvik",60.551763,5.28159
72594,"Juvikstølen 47, Knarvik",60.551185,5.282459
72595,"Juvikstølen 48, Knarvik",60.552006,5.281288
72596,"Juvikstølen 45, Knarvik",60.551144,5.28292
72597,"Juvikstølen 46, Knarvik",60.552246,5.280841
72602,"Juvikstølen 56, Knarvik",60.552456,5.281309
72603,"Juvikstølen 58, Knarvik",60.552646,5.281014
72604,"Juvikstølen 53, Knarvik",60.551482,5.282808
72605,"Juvikstølen 54, Knarvik",60.552285,5.281621
72606,"Juvikstølen 25, Knarvik",60.552106,5.285201
72607,"Juvikstølen 30, Knarvik",60.553206,5.276605
72608,"Juvikstølen 18, Knarvik",60.552552,5.277009
72609,"Juvikstølen 20, Knarvik",60.552845,5.276537
72610,"Juvikstølen 16, Knarvik",60.552399,5.277629
72611,"Juvikstølen 17, Knarvik",60.550748,5.284846
72612,"Juvikstølen 12, Knarvik",60.552174,5.278586
72613,"Juvikstølen 14, Knarvik",60.552404,5.278157
72614,"Juvikstølen 43, Knarvik",60.551208,5.283278
72615,"Juvikstølen 44, Knarvik",60.552394,5.280349
72616,"Juvikstølen 40, Knarvik",60.552711,5.278852
72617,"Juvikstølen 42, Knarvik",60.552759,5.279577
72618,"Juvikstølen 36, Knarvik",60.553168,5.277832
72619,"Juvikstølen 38, Knarvik",60.552835,5.278455
72620,"Juvikstølen 32, Knarvik",60.553217,5.277316
72621,"Juvikstølen 34, Knarvik",60.552878,5.277738
72752,"Kubbaleitet 30, Knarvik",60.55524,5.263191
72780,"Kubbaleitet 28, Knarvik",60.55528,5.263004
72798,"Kubbaleitet 24, Knarvik",60.555166,5.26236
72799,"Kubbaleitet 26, Knarvik",60.555376,5.262591
72801,"Kubbaleitet 22, Knarvik",60.554968,5.262163
73119,"Isdalstøbakken 69A, Knarvik",60.555561,5.264319
73953,"Kubbaleitet 12A, Knarvik",60.555349,5.264106
74145,"Orresteinen 47, Knarvik",60.554463,5.275913
74146,"Øykjetona 17J, Knarvik",60.553847,5.273895
74148,"Orresteinen 49, Knarvik",60.55441,5.275937
74149,"Øykjetona 17K, Knarvik",60.553788,5.27411
74151,"Orresteinen 43, Knarvik",60.554632,5.275838
74152,"Øykjetona 17H, Knarvik",60.553927,5.273788
74154,"Orresteinen 45, Knarvik",60.554569,5.275846
74155,"Øykjetona 17I, Knarvik",60.553863,5.274002
74157,"Orresteinen 39, Knarvik",60.554821,5.275853
74158,"Øykjetona 17F, Knarvik",60.553969,5.273871
74160,"Orresteinen 41, Knarvik",60.554758,5.275842
74161,"Øykjetona 17G, Knarvik",60.554067,5.273685
74163,"Lonsvegen 152B, Knarvik",60.552984,5.278967
74164,"Øykjetona 17D, Knarvik",60.554142,5.273629
74166,"Orresteinen 37, Knarvik",60.554938,5.275876
74167,"Øykjetona 17E, Knarvik",60.554056,5.273807
74172,"Orresteinen 51, Knarvik",60.554295,5.276023
74173,"Øykjetona 17L, Knarvik",60.553739,5.274028
74174,"Orresteinen 53, Knarvik",60.554262,5.2761
74175,"Lonsvegen 156B, Knarvik",60.553265,5.279354
74176,"Orresteinen 29A, Knarvik",60.554898,5.275406
74177,"Lonsvegen 156A, Knarvik",60.553292,5.279351
74179,"Øykjetona 11, Knarvik",60.554229,5.272859
74180,"Orresteinen 14B, Knarvik",60.553956,5.275131
74181,"Øykjetona 17B, Knarvik",60.554267,5.273659
74182,"Lonsvegen 152A, Knarvik",60.552927,5.279156
74183,"Øykjetona 17C, Knarvik",60.554185,5.27374
74184,"Orresteinen 28B, Knarvik",60.555438,5.275107
74185,"Orresteinen 14A, Knarvik",60.554011,5.27518
74186,"Øykjetona 17A, Knarvik",60.554288,5.27355
74187,"Orresteinen 25B, Knarvik",60.554465,5.275346
74188,"Orresteinen 28A, Knarvik",60.555438,5.275107
74189,"Orresteinen 29B, Knarvik",60.554968,5.275343
74190,"Orresteinen 25A, Knarvik",60.554468,5.275437
74191,"Orresteinen 38, Knarvik",60.554836,5.276793
74192,"Orresteinen 23A, Knarvik",60.554248,5.275574
74193,"Orresteinen 34, Knarvik",60.555258,5.276387
74195,"Orresteinen 36, Knarvik",60.55505,5.276648
74197,"Orresteinen 18A, Knarvik",60.554412,5.274732
74198,"Orresteinen 30, Knarvik",60.555685,5.2759
74200,"Orresteinen 12, Knarvik",60.553743,5.275557
74201,"Orresteinen 16, Knarvik",60.554215,5.274827
74202,"Øykjetona 15, Knarvik",60.55445,5.273505
74204,"Øykjetona 7, Knarvik",60.55468,5.273973
74206,"Øykjetona 6A, Knarvik",60.554398,5.274217
74208,"Orresteinen 33, Knarvik",60.555188,5.275811
74210,"Orresteinen 35, Knarvik",60.554993,5.275888
74212,"Orresteinen 27, Knarvik",60.554717,5.275336
74214,"Orresteinen 31, Knarvik",60.555203,5.275389
74215,"Orresteinen 21B, Knarvik",60.554038,5.275834
74217,"Øykjetona 24, Knarvik",60.553543,5.275142
74218,"Orresteinen 21A, Knarvik",60.554038,5.275834
74220,"Øykjetona 20, Knarvik",60.553687,5.274852
74222,"Øykjetona 22, Knarvik",60.553638,5.275022
74224,"Øykjetona 16, Knarvik",60.553841,5.27456
74226,"Øykjetona 18, Knarvik",60.553754,5.27468
74228,"Orresteinen 4A, Knarvik",60.553484,5.278277
74229,"Orresteinen 8A, Knarvik",60.553481,5.276792
74230,"Lonsvegen 154, Knarvik",60.553173,5.278635
74232,"Lonsvegen 158A, Knarvik",60.553441,5.278896
74236,"Orresteinen 22F, Knarvik",60.554889,5.27444
74237,"Orresteinen 22G, Knarvik",60.554765,5.274509
74238,"Orresteinen 22D, Knarvik",60.554756,5.27451
74240,"Orresteinen 22E, Knarvik",60.554809,5.274467
74241,"Orresteinen 22B, Knarvik",60.554809,5.274449
74243,"Orresteinen 22C, Knarvik",60.554889,5.274422
74245,"Orresteinen 24I, Knarvik",60.555145,5.274246
74247,"Orresteinen 22A, Knarvik",60.554756,5.274492
74249,"Øykjetona 12, Knarvik",60.554079,5.274323
74250,"Øykjetona 14, Knarvik",60.55398,5.274398
74251,"Øykjetona 8, Knarvik",60.554236,5.274205
74252,"Øykjetona 10, Knarvik",60.554139,5.274271
74253,"Orresteinen 22H, Knarvik",60.554818,5.274466
74254,"Orresteinen 22I, Knarvik",60.554898,5.274439
74255,"Orresteinen 26E, Knarvik",60.555267,5.274761
74256,"Orresteinen 26F, Knarvik",60.555327,5.274663
74258,"Orresteinen 26C, Knarvik",60.555327,5.274681
74259,"Orresteinen 26D, Knarvik",60.555231,5.274784
74260,"Orresteinen 26A, Knarvik",60.555232,5.274802
74261,"Orresteinen 26B, Knarvik",60.555267,5.27478
74262,"Orresteinen 24G, Knarvik",60.55502,5.274297
74264,"Orresteinen 24H, Knarvik",60.555065,5.274292
74266,"Orresteinen 24E, Knarvik",60.555056,5.274293
74267,"Orresteinen 10B, Knarvik",60.553583,5.276251
74268,"Orresteinen 24F, Knarvik",60.555136,5.274247
74270,"Orresteinen 24C, Knarvik",60.555135,5.274229
74271,"Orresteinen 24D, Knarvik",60.555011,5.274298
74272,"Orresteinen 10A, Knarvik",60.553583,5.276251
74273,"Orresteinen 24A, Knarvik",60.555011,5.27428
74275,"Orresteinen 24B, Knarvik",60.555055,5.274275
74276,"Orresteinen 32, Knarvik",60.55545,5.276164
74459,"Orresteinen 6B, Knarvik",60.553505,5.277337
74461,"Orresteinen 6A, Knarvik",60.553502,5.277538
74480,"Orresteinen 1C, Knarvik",60.553842,5.278138
74481,"Orresteinen 1D, Knarvik",60.553842,5.278138
74482,"Orresteinen 1A, Knarvik",60.553842,5.278138
74483,"Orresteinen 1B, Knarvik",60.553842,5.278138
74484,"Orresteinen 5B, Knarvik",60.554568,5.277105
74485,"Orresteinen 5C, Knarvik",60.554568,5.277105
74486,"Orresteinen 1E, Knarvik",60.553842,5.278138
74487,"Orresteinen 1F, Knarvik",60.553842,5.278138
74488,"Orresteinen 11A, Knarvik",60.55399,5.277008
74489,"Orresteinen 11B, Knarvik",60.55399,5.277008
74490,"Orresteinen 17A, Knarvik",60.553884,5.277485
74491,"Orresteinen 15B, Knarvik",60.55398,5.276495
74492,"Orresteinen 15C, Knarvik",60.55398,5.276495
74493,"Orresteinen 13C, Knarvik",60.554151,5.27663
74494,"Orresteinen 15A, Knarvik",60.55398,5.276495
74495,"Orresteinen 13A, Knarvik",60.554151,5.27663
74497,"Orresteinen 13B, Knarvik",60.554151,5.27663
74498,"Orresteinen 5A, Knarvik",60.554568,5.277105
74499,"Orresteinen 11C, Knarvik",60.55399,5.277008
74501,"Orresteinen 3A, Knarvik",60.554499,5.277347
74504,"Orresteinen 3H, Knarvik",60.554192,5.277735
74505,"Orresteinen 3K, Knarvik",60.554149,5.277804
74506,"Orresteinen 3F, Knarvik",60.554268,5.277624
74507,"Orresteinen 3G, Knarvik",60.554226,5.277641
74508,"Orresteinen 3D, Knarvik",60.554372,5.277516
74509,"Orresteinen 3E, Knarvik",60.554321,5.27759
74510,"Orresteinen 3B, Knarvik",60.554461,5.277431
74511,"Orresteinen 3C, Knarvik",60.554414,5.277476
74512,"Lonsvegen 150A, Knarvik",60.553084,5.279725
74514,"Lonsvegen 150B, Knarvik",60.553027,5.279856
74515,"Lonsvegen 150C, Knarvik",60.552982,5.280016
74527,"Orresteinen 9A, Knarvik",60.554056,5.277427
74569,"Juvikstølen 22A, Knarvik",60.552988,5.276192
74570,"Juvikstølen 22B, Knarvik",60.552988,5.276192
118326,"Lonsvegen 140, Knarvik",60.553076,5.282106
211074,"Øykjetona 6B, Knarvik",60.554384,5.274169
1049797,"Juvikstølen 24A, Knarvik",60.553114,5.275701
1049798,"Juvikstølen 24B, Knarvik",60.553091,5.275669
1449030,"Orresteinen 8B, Knarvik",60.553467,5.276788
1541292,"Kubbaleitet 34, Knarvik",60.555726,5.26309
1643023,"Lonsvegen 158C, Knarvik",60.553426,5.278942
1643025,"Lonsvegen 158B, Knarvik",60.55342,5.278737
1650107,"Orresteinen 18B, Knarvik",60.554451,5.274683
1651529,"Kubbaleitet 12B, Knarvik",60.555282,5.264081
1666479,"Orresteinen 4B, Knarvik",60.553454,5.278386
1699430,"Åse 139B, Knarvik",60.575653,5.288852
1699432,"Åse 129, Knarvik",60.574136,5.288076
1699433,"Åse 115, Knarvik",60.576424,5.28279
1699435,"Åse 143, Knarvik",60.57678,5.286512
1699436,"Åse 139A, Knarvik",60.575667,5.28885
1699437,"Åse 141, Knarvik",60.576197,5.290762
1699438,"Åse 137, Knarvik",60.576227,5.287413
1699439,"Åse 127, Knarvik",60.574107,5.287961
1699441,"Åse 65, Knarvik",60.578341,5.276545
1699453,"Isdal 11, Knarvik",60.562003,5.272212
1699504,"Isdal 9, Knarvik",60.561851,5.271702
1699514,"Åse 68, Knarvik",60.580233,5.279812
1699516,"Isdal 73, Knarvik",60.567212,5.272509
1699518,"Isdal 75, Knarvik",60.567436,5.272697
1699519,"Isdal 5, Knarvik",60.561348,5.271742
1699521,"Isdal 77, Knarvik",60.567705,5.272434
1699522,"Åse 44, Knarvik",60.581298,5.274794
1699523,"Åse 35, Knarvik",60.580367,5.27302
1699525,"Åse 144, Knarvik",60.576842,5.285537
1699526,"Isdal 85, Knarvik",60.56845,5.272092
1699541,"Isdal 57, Knarvik",60.566216,5.27224
1699547,"Isdal 55, Knarvik",60.565597,5.273553
1699548,"Isdal 79, Knarvik",60.56786,5.272197
1699550,"Isdal 3, Knarvik",60.561443,5.271275
1699552,"Isdal 26, Knarvik",60.56398,5.26943
1699554,"Isdal 13, Knarvik",60.562435,5.270097
1699556,"Isdal 17, Knarvik",60.562895,5.270779
1699558,"Isdal 69, Knarvik",60.566914,5.272123
1699560,"Isdal 1, Knarvik",60.560667,5.270853
1701559,"Lindåsvegen 143, Knarvik",60.556482,5.271212
1701560,"Lindåsvegen 141, Knarvik",60.556337,5.271553
1701561,"Lindåsvegen 161A, Knarvik",60.556651,5.269929
1701562,"Lindåsvegen 161B, Knarvik",60.556614,5.269914
1701563,"Lindåsvegen 90, Knarvik",60.551598,5.277593
1701564,"Lindåsvegen 133, Knarvik",60.554586,5.271937
1701571,"Lindåsvegen 134, Knarvik",60.55381,5.271003
1703418,"Lindåsvegen 160, Knarvik",60.556934,5.269129
1703419,"Lindåsvegen 94, Knarvik",60.552056,5.27661
1703421,"Lindåsvegen 131, Knarvik",60.554272,5.272281
1703422,"Lindåsvegen 161C, Knarvik",60.556614,5.269914
1703423,"Lindåsvegen 200, Knarvik",60.561178,5.269808
1703424,"Lindåsvegen 146, Knarvik",60.554837,5.27001
1703480,"Lindåsvegen 157, Knarvik",60.556394,5.269757
1703481,"Lindåsvegen 92, Knarvik",60.551743,5.276992
1703498,"Lindåsvegen 156A, Knarvik",60.555778,5.268824
1703500,"Lindåsvegen 152A, Knarvik",60.555385,5.268888
1703501,"Lindåsvegen 154, Knarvik",60.555749,5.268938
1703510,"Lindåsvegen 158, Knarvik",60.556512,5.268484
1703511,"Lindåsvegen 150, Knarvik",60.555266,5.268931
1703513,"Lindåsvegen 98, Knarvik",60.552227,5.275987
1703565,"Lindåsvegen 163B, Knarvik",60.556455,5.270131
1703570,"Lindåsvegen 144, Knarvik",60.554574,5.269894
1703573,"Lindåsvegen 100, Knarvik",60.552469,5.275303
1703574,"Lindåsvegen 148, Knarvik",60.555021,5.269496
1703576,"Lindåsvegen 163A, Knarvik",60.556477,5.270131
1703593,"Lindåsvegen 153, Knarvik",60.555657,5.269422
1703595,"Lindåsvegen 165, Knarvik",60.557087,5.270097
1703597,"Lindåsvegen 280, Knarvik",60.569523,5.27027
1703600,"Lindåsvegen 198, Knarvik",60.560605,5.269272
1703603,"Lindåsvegen 142, Knarvik",60.554543,5.270409
1703606,"Lindåsvegen 196A, Knarvik",60.559788,5.269293
