,Navn,Long,Lat
1538,"491/19, Radøy",60.609404,5.091704
1541,"Haugstad, 464/82, Radøy",60.664232,5.07734
1542,"Hella, 433/52, Radøy",60.659099,4.978104
1543,"Lervik, 458/3, Radøy",60.662866,5.0584
1544,"Halland, 460/8, Radøy",60.648343,5.079036
1546,"448/6, Radøy",60.641731,5.061425
31240,"433/167, Radøy",60.657714,4.984962
34644,"429/10, Radøy",60.678593,4.944895
269257,"Raunholmskogen 4D, Radøy",60.639188,5.037756
269258,"Raunholmskogen 4C, Radøy",60.639172,5.037813
269259,"Raunholmskogen 4B, Radøy",60.639103,5.037895
269260,"Raunholmskogen 4A, Radøy",60.639096,5.037969
269261,"Idrettsvegen 4, Radøy",60.639405,5.045381
269262,"Langhøyane 20, Radøy",60.639376,5.027409
269264,"Raunholmskogen 4E, Radøy",60.639207,5.037772
269265,"Solendmyra 1, Radøy",60.640197,5.054839
269266,"Langhøyane 25, Radøy",60.641647,5.030918
269269,"Langhøyane 28, Radøy",60.640161,5.028136
269270,"Langhøyane 31, Radøy",60.640889,5.031744
269271,"Langhøyane 8, Radøy",60.639817,5.028654
269272,"Huldredalen 9, Radøy",60.639425,5.030588
269365,"Raunholmskogen 11, Radøy",60.638416,5.039608
269366,"Raunholmskogen 10, Radøy",60.638903,5.038725
269367,"Raunholmskogen 9C, Radøy",60.638325,5.038649
269368,"Raunholmskogen 9B, Radøy",60.638374,5.038497
269369,"Raunholmskogen 9A, Radøy",60.638428,5.038472
269370,"Raunholmskogen 7, Radøy",60.63815,5.039403
269371,"Raunholmskogen 5, Radøy",60.63798,5.038234
269372,"Raunholmskogen 3, Radøy",60.638373,5.037527
269375,"Radøyvegen 1676, Radøy",60.639864,5.04267
269377,"Radøyvegen 1680D, Radøy",60.640417,5.0422
269378,"Hesthaugen 20, Radøy",60.641211,5.0499
269380,"Idrettsvegen 15, Radøy",60.637865,5.045075
269382,"Idrettsvegen 13A, Radøy",60.637538,5.043962
269384,"Idrettsvegen 11, Radøy",60.638135,5.04345
