,Navn,Long,Lat
71713,"Mykingvegen 957, Lindås",60.682407,5.345199
71715,"Mykingvegen 959, Lindås",60.68221,5.345188
71717,"Mykingvegen 961, Lindås",60.679014,5.348992
1667877,"Hodno 69, Lindås",60.702982,5.334095
1667878,"Hodno 16, Lindås",60.704582,5.326228
1667879,"Hodno 18, Lindås",60.704674,5.326621
1667880,"Hodno 68, Lindås",60.703394,5.334671
1667881,"Hodno 59, Lindås",60.703482,5.331984
1667912,"Hodno 85, Lindås",60.703094,5.335861
1667913,"Hodno 81, Lindås",60.702633,5.334483
1667914,"Hodno 83, Lindås",60.702871,5.334969
1667915,"Hodno 70, Lindås",60.70333,5.335321
1668043,"Hodno 43, Lindås",60.703345,5.330258
1668044,"Hodno 28, Lindås",60.704446,5.327792
1668045,"Hodno 45, Lindås",60.703577,5.329578
1668050,"Hodno 39, Lindås",60.702578,5.331794
1668051,"Hodno 37, Lindås",60.702829,5.330133
1668052,"Hodno 40, Lindås",60.704835,5.328565
1668053,"Hodno 79, Lindås",60.702354,5.334112
1668054,"Hodno 20, Lindås",60.704583,5.327237
1668055,"Hodno 71, Lindås",60.702426,5.332801
1668056,"Hodno 77, Lindås",60.702065,5.334089
1669483,"Mykingvegen 1389, Lindås",60.714909,5.304649
1669484,"Mykingvegen 1597, Lindås",60.727438,5.280616
1669485,"Mykingvegen 1346, Lindås",60.712326,5.310742
1669486,"Mykingvegen 1343, Lindås",60.712913,5.312472
1669487,"Mykingvegen 1378, Lindås",60.713842,5.305395
1669488,"Mykingvegen 1401, Lindås",60.715318,5.303831
1669489,"Mykingvegen 1376, Lindås",60.713512,5.30556
1669494,"Mykingvegen 1571, Lindås",60.728639,5.28244
1669496,"Mykingvegen 1595, Lindås",60.727602,5.281019
1669497,"Mykingvegen 1607, Lindås",60.72729,5.279513
1669590,"Mykingvegen 1025, Lindås",60.692023,5.335967
1669592,"Mykingvegen 947, Lindås",60.68439,5.339475
1669649,"Mykingvegen 1609, Lindås",60.727635,5.278648
1669650,"Mykingvegen 1611A, Lindås",60.727825,5.278038
1669652,"Mykingvegen 1615A, Lindås",60.72721,5.27888
1669655,"Mykingvegen 1615B, Lindås",60.727196,5.278878
1669660,"Mykingvegen 1573, Lindås",60.728405,5.282743
1669670,"Mykingvegen 1611B, Lindås",60.727817,5.278039
1669672,"Mykingvegen 1613, Lindås",60.728199,5.277591
1669701,"Mykingvegen 1019, Lindås",60.691615,5.336802
1669703,"Mykingvegen 963, Lindås",60.686034,5.338463
1669709,"Mykingvegen 1072, Lindås",60.694987,5.326353
1669710,"Mykingvegen 1007, Lindås",60.690247,5.339047
1669711,"Mykingvegen 1005, Lindås",60.690199,5.338924
1669712,"Mykingvegen 985, Lindås",60.687221,5.340143
1669713,"Mykingvegen 935, Lindås",60.68347,5.339708
1669714,"Mykingvegen 981, Lindås",60.686004,5.33956
1669715,"Mykingvegen 965, Lindås",60.686396,5.338551
1669736,"Mykingvegen 1387, Lindås",60.715523,5.306706
1669737,"Mykingvegen 1385, Lindås",60.715168,5.306875
1669739,"Mykingvegen 1371, Lindås",60.71505,5.307476
1669741,"Mykingvegen 1373, Lindås",60.714457,5.307819
1669747,"Mykingvegen 1078, Lindås",60.69645,5.326752
1669748,"Mykingvegen 1151, Lindås",60.700596,5.326174
1669749,"Mykingvegen 1082, Lindås",60.696135,5.327723
1669750,"Mykingvegen 1074, Lindås",60.694823,5.327255
1669751,"Mykingvegen 1121, Lindås",60.698879,5.325395
1669753,"Mykingvegen 1283, Lindås",60.712294,5.322614
1669754,"Mykingvegen 1285, Lindås",60.712189,5.320773
1669755,"Mykingvegen 1271, Lindås",60.708621,5.318486
1669756,"Mykingvegen 1421, Lindås",60.722557,5.32421
1669757,"Mykingvegen 1342, Lindås",60.711671,5.312083
1669773,"Mykingvegen 1281, Lindås",60.711447,5.320932
1669776,"Mykingvegen 1344, Lindås",60.712279,5.312029
1669777,"Mykingvegen 1419, Lindås",60.721695,5.325636
1669780,"Mykingvegen 1290, Lindås",60.710796,5.317851
1669782,"Mykingvegen 1288, Lindås",60.710309,5.318421
1669785,"Mykingvegen 933, Lindås",60.683251,5.341237
1669786,"Mykingvegen 951, Lindås",60.683562,5.34175
1669787,"Mykingvegen 1031, Lindås",60.692426,5.335573
1669788,"Mykingvegen 1035, Lindås",60.693029,5.334294
1669790,"Mykingvegen 949, Lindås",60.684293,5.341191
1669791,"Mykingvegen 945, Lindås",60.684005,5.339537
1669792,"Mykingvegen 1157, Lindås",60.70123,5.326556
1669793,"Mykingvegen 953, Lindås",60.684855,5.339056
1669794,"Mykingvegen 1017A, Lindås",60.691365,5.336876
1669795,"Mykingvegen 1017B, Lindås",60.691362,5.336873
1669796,"Mykingvegen 1272, Lindås",60.709892,5.314396
1669799,"Mykingvegen 1274, Lindås",60.710469,5.315101
1669801,"Mykingvegen 1276, Lindås",60.709528,5.316823
1669802,"Mykingvegen 1163, Lindås",60.702178,5.328025
1669803,"Mykingvegen 1341, Lindås",60.713103,5.314221
1669804,"Mykingvegen 1315, Lindås",60.71309,5.316286
1669805,"Mykingvegen 1415, Lindås",60.722542,5.322377
1669806,"Mykingvegen 1338, Lindås",60.712423,5.313262
1669807,"Mykingvegen 1165, Lindås",60.702232,5.327065
1669854,"Mykingvegen 1235, Lindås",60.705897,5.323712
1669870,"Mykingvegen 1167, Lindås",60.701737,5.3267
1669872,"Mykingvegen 1169, Lindås",60.701737,5.3267
1669874,"Mykingvegen 1199, Lindås",60.703201,5.325215
1669876,"Mykingvegen 1203, Lindås",60.703645,5.324814
1669877,"Mykingvegen 1193, Lindås",60.70329,5.324965
1669879,"Mykingvegen 1195, Lindås",60.703257,5.325054
1669880,"Mykingvegen 1206, Lindås",60.704386,5.323023
1669881,"Mykingvegen 1197, Lindås",60.703233,5.325209
1669886,"Mykingvegen 1191, Lindås",60.702811,5.325221
1671581,"Hellebrekkene 69, Lindås",60.698719,5.331372
1671582,"Hellebrekkene 27, Lindås",60.700479,5.329668
1671583,"Hellebrekkene 29, Lindås",60.700625,5.330073
1671584,"Hellebrekkene 75, Lindås",60.698015,5.333231
1671585,"Hellebrekkene 72, Lindås",60.698717,5.333573
1671871,"Hellebrekkene 34, Lindås",60.701905,5.330862
1671872,"Hellebrekkene 10, Lindås",60.701906,5.327616
1671873,"Hellebrekkene 44, Lindås",60.698822,5.344282
1671874,"Hellebrekkene 42, Lindås",60.698802,5.343904
1671875,"Hellebrekkene 40, Lindås",60.698972,5.343225
1671878,"Hellebrekkene 66, Lindås",60.700604,5.331927
1671882,"Hellebrekkene 6, Lindås",60.701197,5.32799
1671883,"Hellebrekkene 26, Lindås",60.701368,5.329694
1671884,"Hellebrekkene 38, Lindås",60.701306,5.33623
1671885,"Hellebrekkene 8, Lindås",60.701535,5.328172
1671970,"Hellebrekkene 60, Lindås",60.700804,5.331334
1671972,"Hellebrekkene 64A, Lindås",60.700726,5.330719
1671973,"Hellebrekkene 62, Lindås",60.700736,5.331243
1671974,"Hellebrekkene 64C, Lindås",60.700853,5.330805
1671975,"Hellebrekkene 64B, Lindås",60.700822,5.330894
1671977,"Hellebrekkene 64D, Lindås",60.700765,5.330654
1671992,"Hellebrekkene 36, Lindås",60.701176,5.333791
1671993,"Hellebrekkene 4, Lindås",60.701167,5.327554
1671994,"Hellebrekkene 56, Lindås",60.700906,5.332773
1671995,"Hellebrekkene 24, Lindås",60.701155,5.329389
1671996,"Hellebrekkene 54B, Lindås",60.700738,5.333196
1671997,"Hellebrekkene 54A, Lindås",60.700716,5.333161
1671998,"Hellebrekkene 32, Lindås",60.701163,5.331002
1671999,"Hellebrekkene 23, Lindås",60.700073,5.329292
1672000,"Hellebrekkene 28, Lindås",60.701222,5.330206
1672001,"Hellebrekkene 12, Lindås",60.701765,5.328696
1677565,"Hodneland 197, Lindås",60.732618,5.287835
1677566,"Hodneland 63, Lindås",60.727538,5.304682
1677567,"Hodneland 101, Lindås",60.730994,5.306469
1677568,"Hodneland 61, Lindås",60.727183,5.304191
1677569,"Hodneland 135, Lindås",60.73503,5.295744
1677609,"Hodneland 125, Lindås",60.732333,5.298991
1677614,"Hodneland 224, Lindås",60.728052,5.296291
1677616,"Hodneland 165, Lindås",60.73384,5.293036
1677618,"Hodneland 179, Lindås",60.733365,5.291126
1677620,"Hodneland 223, Lindås",60.728998,5.296035
1677622,"Hodneland 219, Lindås",60.73012,5.294052
1677624,"Hodneland 217, Lindås",60.730045,5.294593
1677626,"Hodneland 131, Lindås",60.733188,5.296865
1677627,"Hodneland 213, Lindås",60.729787,5.295963
1677636,"Hodneland 185, Lindås",60.734838,5.291415
1677644,"Hodneland 201, Lindås",60.731949,5.291602
1677645,"Hodneland 115, Lindås",60.731637,5.307001
1677646,"Hodneland 126, Lindås",60.730974,5.298928
1677647,"Hodneland 117, Lindås",60.732869,5.305372
1677648,"Hodneland 193, Lindås",60.73479,5.288374
1677649,"Hodneland 195, Lindås",60.734046,5.289432
1677650,"Hodneland 205, Lindås",60.731737,5.291737
1677651,"Hodneland 139, Lindås",60.734067,5.294404
1677685,"Nævdal 31, Lindås",60.696393,5.299442
1677687,"Nævdal 25, Lindås",60.693718,5.300538
1677688,"Nævdal 33, Lindås",60.696315,5.300185
1677689,"Nævdal 23, Lindås",60.69403,5.300759
1677690,"Nævdal 19, Lindås",60.693361,5.301918
1677691,"Nævdal 27, Lindås",60.69303,5.299994
1677692,"Nævdal 21, Lindås",60.693218,5.301571
1677719,"Nævdal 135, Lindås",60.690447,5.317174
1677722,"Nævdal 15, Lindås",60.697691,5.297606
1677724,"Nævdal 35, Lindås",60.696985,5.299374
1677844,"Hodneland 109, Lindås",60.731935,5.309646
1677845,"Hodneland 121, Lindås",60.730878,5.300751
1677846,"Hodneland 177, Lindås",60.733328,5.291699
1677847,"Hodneland 97, Lindås",60.730607,5.303191
1677848,"Nævdal 54, Lindås",60.697933,5.306049
1677849,"Nævdal 60, Lindås",60.697433,5.307314
1677850,"Nævdal 46, Lindås",60.698175,5.30505
1677851,"Nævdal 134, Lindås",60.694039,5.318028
1677852,"Nævdal 133, Lindås",60.692548,5.316902
1677853,"Nævdal 77, Lindås",60.695863,5.308872
1677854,"Nævdal 96, Lindås",60.696023,5.31175
1677855,"Nævdal 127, Lindås",60.692275,5.313702
1677856,"Nævdal 129, Lindås",60.691944,5.313776
1677857,"Nævdal 75, Lindås",60.694898,5.308451
1677889,"Myking 31, Lindås",60.701898,5.319787
1677894,"Myking 41, Lindås",60.702803,5.31741
1677900,"Myking 47, Lindås",60.701973,5.316331
1677902,"Myking 8A, Lindås",60.700476,5.323012
1677904,"Myking 8B, Lindås",60.700476,5.323012
1677936,"Hodneland 123, Lindås",60.731893,5.299978
1677937,"Hodneland 161, Lindås",60.733089,5.295453
1677938,"Hodneland 103, Lindås",60.731309,5.307167
1677939,"Hodneland 67, Lindås",60.729778,5.319108
1677940,"Hodneland 163, Lindås",60.733403,5.293643
1677952,"Myking 16, Lindås",60.700901,5.321441
1677953,"Myking 37, Lindås",60.702027,5.319259
1677956,"Hodneland 169, Lindås",60.732297,5.291525
1677957,"Hodneland 153, Lindås",60.731906,5.293626
1677958,"Hodneland 84, Lindås",60.728186,5.301782
1677959,"Hodneland 157, Lindås",60.732578,5.294521
1677960,"Hodneland 149, Lindås",60.731564,5.295886
1677961,"Hodneland 155, Lindås",60.732077,5.292942
1677962,"Hodneland 171, Lindås",60.732597,5.291325
1677963,"Nævdal 65, Lindås",60.696795,5.30717
1677964,"Hodneland 173, Lindås",60.732884,5.291676
1677965,"Hodneland 120, Lindås",60.730393,5.299674
1677966,"Hodneland 111, Lindås",60.732317,5.308501
1677967,"Nævdal 1, Lindås",60.700085,5.297734
1677969,"Nævdal 72, Lindås",60.697095,5.308566
1677970,"Nævdal 137, Lindås",60.691616,5.316545
1677971,"Nævdal 47, Lindås",60.697838,5.304575
1678197,"Hodneland 143, Lindås",60.732924,5.296317
1678198,"Hodneland 235, Lindås",60.729348,5.292453
1678199,"Hodneland 233, Lindås",60.729368,5.293185
1678200,"Hodneland 93, Lindås",60.72973,5.302044
1678202,"Hodneland 225, Lindås",60.72844,5.295366
1678203,"Hodneland 241, Lindås",60.729235,5.290628
1678204,"Hodneland 127, Lindås",60.732574,5.297936
1678205,"Hodneland 199, Lindås",60.732438,5.286793
1678206,"Hodneland 159, Lindås",60.732928,5.293526
1678256,"Tveiten 62, Lindås",60.70042,5.277922
1678257,"Tveiten 74, Lindås",60.700282,5.277302
1678258,"Tveiten 6, Lindås",60.702534,5.279077
1678260,"Tveiten 45, Lindås",60.703066,5.275881
1678261,"Tveiten 50, Lindås",60.701494,5.277254
1678262,"Tveiten 60, Lindås",60.700665,5.277478
1678264,"Tveiten 8, Lindås",60.702956,5.278405
1678265,"Vefjell 15, Lindås",60.700753,5.283574
1678266,"Tveiten 43, Lindås",60.702656,5.276679
1678307,"Uglåsvegen 46, Lindås",60.714019,5.273585
1678308,"Uglåsvegen 26, Lindås",60.71443,5.268931
1678310,"Uglåsvegen 6, Lindås",60.714478,5.265146
1678336,"Vefjell 85, Lindås",60.697343,5.283915
1678337,"Vefjell 78, Lindås",60.697571,5.287114
1678338,"Vefjell 74, Lindås",60.698449,5.285399
1678339,"Vefjell 81, Lindås",60.697748,5.283463
1678340,"Vefjell 76, Lindås",60.698056,5.286123
1678343,"Vefjell 83, Lindås",60.697453,5.283497
1678403,"Hodneland 105, Lindås",60.731537,5.309233
1678404,"Hodneland 107, Lindås",60.731537,5.309233
1678406,"Hodneland 229, Lindås",60.72883,5.294862
1678407,"Hodneland 191, Lindås",60.735164,5.288954
1678409,"Hodneland 231B, Lindås",60.729159,5.294252
1678410,"Hodneland 187, Lindås",60.735261,5.289806
1678412,"Hodneland 231A, Lindås",60.729146,5.294256
1678415,"Uglåsvegen 8, Lindås",60.714484,5.26698
1678416,"Uglåsvegen 80, Lindås",60.714787,5.28175
1678417,"Uglåsvegen 43, Lindås",60.713967,5.272281
1678418,"Hodneland 99, Lindås",60.730806,5.304215
1678419,"Uglåsvegen 64B, Lindås",60.71364,5.275812
1678420,"Uglåsvegen 64A, Lindås",60.713651,5.275809
1678421,"Hodneland 227, Lindås",60.728559,5.294471
1678422,"Hodneland 129, Lindås",60.732877,5.297534
1678423,"Uglåsvegen 68, Lindås",60.713544,5.277107
1678424,"Uglåsvegen 84, Lindås",60.714578,5.282623
1678425,"Uglåsvegen 47, Lindås",60.713526,5.272907
1678426,"Uglåsvegen 82, Lindås",60.715265,5.281492
1678487,"Skauvegen 159, Lindås",60.701046,5.298357
1678557,"Skauvegen 451, Lindås",60.710156,5.271005
1678558,"Skauvegen 508, Lindås",60.71374,5.259325
1678559,"Skauvegen 521, Lindås",60.715251,5.264295
1678562,"Skauvegen 506, Lindås",60.712656,5.258827
1678563,"Skauvegen 510, Lindås",60.713814,5.263921
1678564,"Skauvegen 491, Lindås",60.713483,5.268674
1678565,"Skauvegen 493, Lindås",60.712924,5.268155
1678566,"Skauvegen 496, Lindås",60.712632,5.2647
1678567,"Skauvegen 502, Lindås",60.712141,5.262263
1678568,"Skauvegen 504, Lindås",60.712865,5.263389
1678569,"Skauvegen 535, Lindås",60.716148,5.262182
1678570,"Skauvegen 537, Lindås",60.716496,5.261793
1678571,"Skauvegen 530, Lindås",60.71528,5.262062
1678572,"Skauvegen 539, Lindås",60.716161,5.260713
1678580,"Skauvegen 499, Lindås",60.713267,5.265011
1678581,"Skauvegen 382, Lindås",60.704517,5.277656
1678637,"Skauvegen 171, Lindås",60.701074,5.296428
1678639,"Skauvegen 161, Lindås",60.701175,5.29781
1678641,"Skauvegen 180, Lindås",60.700393,5.294563
1678643,"Skauvegen 2, Lindås",60.700142,5.325315
1678646,"Skauvegen 4, Lindås",60.699988,5.323893
1678648,"Skauvegen 3, Lindås",60.70113,5.325575
