,Navn,Long,Lat
1557,"129/7, Brekke",60.985914,5.415768
1442510,"Sognefjordvegen 1485, Brekke",61.037841,5.324621
1656268,"Austgulvegen 1609, Brekke",61.020154,5.380366
1656315,"Austre Ortneset 1, Brekke",61.028975,5.463513
1656316,"Austre Ortneset 5, Brekke",61.028671,5.463808
1656318,"Austre Ortneset 4, Brekke",61.029224,5.464845
1656319,"Austre Ortneset 9, Brekke",61.028822,5.464689
1656484,"Austgulvegen 1607, Brekke",61.019693,5.378286
1656557,"Austre Ortneset 15, Brekke",61.028131,5.464653
1656623,"Austre Ortneset 12, Brekke",61.028189,5.465581
1656625,"Austre Ortneset 14, Brekke",61.027952,5.465077
1656626,"Austre Ortneset 16, Brekke",61.027718,5.464566
1656628,"Austre Ortneset 17, Brekke",61.027937,5.464171
1656634,"Austre Ortneset 8, Brekke",61.028876,5.465604
1656638,"Austre Ortneset 10, Brekke",61.028604,5.465647
1659472,"Engesetvegen 131, Brekke",61.011394,5.446564
1659474,"Engesetvegen 129, Brekke",61.011345,5.446534
1659476,"Engesetvegen 127, Brekke",61.01128,5.446954
1659478,"Engesetvegen 125, Brekke",61.011813,5.447104
1659479,"Engesetvegen 119, Brekke",61.012927,5.448314
1659482,"Engesetvegen 117, Brekke",61.013213,5.448353
1659483,"Engesetvegen 112, Brekke",61.013418,5.449674
1659485,"Engesetvegen 87, Brekke",61.015094,5.451001
1659487,"Engesetvegen 83, Brekke",61.016022,5.451436
1659489,"Engesetvegen 43, Brekke",61.01785,5.456952
1659501,"Engesetvegen 15, Brekke",61.019323,5.46011
1659502,"Engesetvegen 13, Brekke",61.019158,5.45859
1659503,"Engesetvegen 6, Brekke",61.020024,5.460877
1659504,"Engesetvegen 5, Brekke",61.020028,5.45992
1659506,"Engesetvegen 4, Brekke",61.020109,5.460621
1659508,"Engesetvegen 2, Brekke",61.020324,5.460313
1659509,"Engesetvegen 3, Brekke",61.020372,5.459752
1659515,"Engesetvegen 33, Brekke",61.018359,5.45831
1659517,"Engesetvegen 27, Brekke",61.018589,5.459201
1659519,"Engesetvegen 25, Brekke",61.018798,5.459446
1659522,"Engesetvegen 143, Brekke",61.011985,5.446055
1659523,"Engesetvegen 139, Brekke",61.011447,5.446251
1659524,"Engesetvegen 137, Brekke",61.011404,5.446237
1659525,"Engesetvegen 135, Brekke",61.011625,5.446695
1659527,"Engesetvegen 133, Brekke",61.011587,5.446672
1659535,"Engesetvegen 153, Brekke",61.010675,5.445269
1659536,"Engesetvegen 151, Brekke",61.010997,5.445329
1659537,"Engesetvegen 147, Brekke",61.011536,5.445698
1659538,"Engesetvegen 145, Brekke",61.011743,5.445875
1659539,"Engesetvegen 141, Brekke",61.012107,5.446042
1659721,"Engesetvegen 159, Brekke",61.010794,5.447048
1659722,"Engesetvegen 155, Brekke",61.010774,5.445632
1660079,"Engesetvegen 303, Brekke",61.000023,5.429652
1660080,"Engesetvegen 304, Brekke",60.999812,5.42962
1660081,"Engesetvegen 294, Brekke",61.00021,5.430476
1660082,"Engesetvegen 295, Brekke",61.001026,5.430342
1660083,"Engesetvegen 277, Brekke",61.001978,5.432243
1660154,"Engesetvegen 214, Brekke",61.0065,5.439011
1660155,"Engesetvegen 201, Brekke",61.00723,5.43988
1660156,"Engesetvegen 161, Brekke",61.010047,5.446137
