,Navn,Long,Lat
2523,"14/1, Bjordal og Ortnevik",61.121515,5.890726
2524,"22/9, Bjordal og Ortnevik",61.072167,5.800262
2525,"23/1, Bjordal og Ortnevik",61.083429,5.817102
2526,"20/6, Bjordal og Ortnevik",61.046831,5.802985
2527,"12/1, Bjordal og Ortnevik",61.127899,5.937399
2528,"2/2, Bjordal og Ortnevik",61.10524,6.129704
2545,"5/5, Bjordal og Ortnevik",61.107941,6.07551
2546,"Østerbø, 16/19, Bjordal og Ortnevik",61.07616,5.917418
2547,"23/6, Bjordal og Ortnevik",61.105677,5.820564
2548,"21/3, Bjordal og Ortnevik",61.070522,5.799445
2559,"109/3-1, Bjordal og Ortnevik",61.058416,5.670115
2561,"6/2-1, Bjordal og Ortnevik",61.103234,6.04049
2563,"110/1-1, Bjordal og Ortnevik",61.056232,5.653752
2566,"8/1-1, Bjordal og Ortnevik",61.11589,6.000847
2570,"Stordalen, 108/30, Bjordal og Ortnevik",60.972664,5.717387
2578,"19/20-1, Bjordal og Ortnevik",61.071428,5.81649
2580,"111/5-1, Bjordal og Ortnevik",61.054744,5.652092
2583,"2/4-2, Bjordal og Ortnevik",61.1025,6.130565
2586,"22/19, Bjordal og Ortnevik",61.079921,5.792281
2589,"19/4, Bjordal og Ortnevik",61.069582,5.807959
2592,"110/17, Bjordal og Ortnevik",61.057632,5.66749
2593,"15/41, Bjordal og Ortnevik",61.100418,5.880567
2594,"15/43, Bjordal og Ortnevik",61.100485,5.880746
2597,"16/20, Bjordal og Ortnevik",61.074933,5.917574
2598,"18/2/1, Bjordal og Ortnevik",61.063759,5.837322
2602,"16/21, Bjordal og Ortnevik",61.075385,5.917716
2623,"108/40/91, Bjordal og Ortnevik",60.960573,5.699135
2624,"108/40/94, Bjordal og Ortnevik",60.960694,5.699695
2625,"108/40/20, Bjordal og Ortnevik",60.971264,5.713001
2627,"20/19, Bjordal og Ortnevik",60.995443,5.738088
2628,"108/40/4, Bjordal og Ortnevik",60.972177,5.713628
2632,"15/44, Bjordal og Ortnevik",61.101216,5.880135
2635,"23/10, Bjordal og Ortnevik",61.085572,5.818464
2636,"23/11, Bjordal og Ortnevik",61.085572,5.818464
2637,"15/45, Bjordal og Ortnevik",61.100972,5.878099
2642,"15/46, Bjordal og Ortnevik",61.093807,5.875205
2644,"4/43, Bjordal og Ortnevik",61.106001,6.124511
2730,"108/40/97, Bjordal og Ortnevik",60.961973,5.702154
2731,"108/40/49-1, Bjordal og Ortnevik",60.97339,5.717681
2732,"108/40/49, Bjordal og Ortnevik",60.973251,5.717492
30437,"108/59, Bjordal og Ortnevik",60.977308,5.720972
30440,"2/1/1, Bjordal og Ortnevik",61.008801,6.12936
30652,"17/7-1, Bjordal og Ortnevik",61.065258,5.905366
31583,"16/23, Bjordal og Ortnevik",61.070496,5.916731
49742,"Tredal, 105/2, Bjordal og Ortnevik",61.098719,5.644378
51992,"Ikjefjord, 110/16, Bjordal og Ortnevik",61.057665,5.646542
51993,"Ikjefjord, 111/1, Bjordal og Ortnevik",61.029117,5.676116
372958,"Bjordalsvegen 40, Bjordal og Ortnevik",61.073967,5.833132
372959,"Bjordalsvegen 18, Bjordal og Ortnevik",61.075205,5.832655
372960,"Bjordalsvegen 44, Bjordal og Ortnevik",61.073477,5.83446
372961,"Sørsidevegen 3601, Bjordal og Ortnevik",61.094331,5.878828
372962,"Sørsidevegen 3210, Bjordal og Ortnevik",61.077099,5.832225
372963,"Kyrkjevegen 1, Bjordal og Ortnevik",61.076305,5.829021
372964,"Sørsidevegen 3187, Bjordal og Ortnevik",61.076376,5.826695
372965,"Kyrkjevegen 23, Bjordal og Ortnevik",61.072107,5.827791
372966,"Kyrkjevegen 13, Bjordal og Ortnevik",61.074309,5.828553
372967,"Bjordalsvegen 124, Bjordal og Ortnevik",61.066609,5.833941
372968,"Bjordalsvegen 106, Bjordal og Ortnevik",61.067548,5.833755
372969,"Sørsidevegen 3663, Bjordal og Ortnevik",61.098258,5.882376
372970,"Søreidevegen 8, Bjordal og Ortnevik",61.095045,5.882631
372971,"Søreidevegen 2, Bjordal og Ortnevik",61.096544,5.883621
372972,"Søreidevegen 3, Bjordal og Ortnevik",61.094297,5.880984
372973,"Sørsidevegen 3934, Bjordal og Ortnevik",61.119816,5.891116
372975,"Sørsidevegen 3928, Bjordal og Ortnevik",61.121419,5.892018
372976,"Sørsidevegen 3936, Bjordal og Ortnevik",61.11899,5.889935
372977,"Sørsidevegen 3598, Bjordal og Ortnevik",61.094139,5.876769
372978,"Sørsidevegen 3659, Bjordal og Ortnevik",61.098823,5.881151
372979,"Sørsidevegen 3670, Bjordal og Ortnevik",61.100677,5.879353
372980,"Sørsidevegen 3664, Bjordal og Ortnevik",61.099442,5.880737
372981,"Søreidevegen 14, Bjordal og Ortnevik",61.093888,5.88086
372982,"Søreidevegen 1, Bjordal og Ortnevik",61.095572,5.881991
372983,"Søreidevegen 4, Bjordal og Ortnevik",61.095698,5.883575
372984,"Sørsidevegen 3642, Bjordal og Ortnevik",61.097561,5.879828
372985,"Sørsidevegen 2923, Bjordal og Ortnevik",61.075633,5.805829
372986,"Sørsidevegen 2979, Bjordal og Ortnevik",61.070995,5.798934
372987,"Sørsidevegen 2967, Bjordal og Ortnevik",61.07225,5.799215
372988,"Osland 12, Bjordal og Ortnevik",61.074055,5.799515
372989,"Osland 31, Bjordal og Ortnevik",61.074867,5.802345
372990,"Sørsidevegen 2975, Bjordal og Ortnevik",61.071782,5.79954
372991,"Osland 14, Bjordal og Ortnevik",61.073164,5.799846
372992,"Sørsidevegen 2925, Bjordal og Ortnevik",61.075333,5.804932
372993,"Sørsidevegen 2044, Bjordal og Ortnevik",61.115931,5.775164
372994,"Sørsidevegen 3039, Bjordal og Ortnevik",61.06837,5.806079
372995,"Fjordsvegen 4, Bjordal og Ortnevik",61.067587,5.804897
372996,"Fjordsvegen 10, Bjordal og Ortnevik",61.06731,5.80422
372997,"Fjordsvegen 28, Bjordal og Ortnevik",61.065254,5.804279
372998,"Kyrkjevegen 3, Bjordal og Ortnevik",61.076192,5.827641
372999,"Bjordalsvegen 36, Bjordal og Ortnevik",61.074773,5.833774
373000,"Bjordalsvegen 56, Bjordal og Ortnevik",61.071939,5.835152
373001,"Sørsidevegen 3237, Bjordal og Ortnevik",61.078487,5.835091
373002,"Fjordsvegen 176, Bjordal og Ortnevik",61.053749,5.809813
373003,"Sørsidevegen 3009, Bjordal og Ortnevik",61.068183,5.800479
373004,"Sørsidevegen 3007, Bjordal og Ortnevik",61.068404,5.799585
373005,"Fjordsvegen 225, Bjordal og Ortnevik",61.049441,5.806225
373006,"Heststronda 5, Bjordal og Ortnevik",61.071428,5.81649
373007,"Fjordsvegen 256, Bjordal og Ortnevik",61.046483,5.805781
373008,"Fjordsvegen 224, Bjordal og Ortnevik",61.049445,5.807132
373009,"Sørsidevegen 5180, Bjordal og Ortnevik",61.109344,6.071871
373010,"Ortnevik 75, Bjordal og Ortnevik",61.107124,6.126637
373011,"Sørsidevegen 4965, Bjordal og Ortnevik",61.10219,6.042463
373012,"Sørsidevegen 5150, Bjordal og Ortnevik",61.112539,6.068809
373013,"Ortnevik 27, Bjordal og Ortnevik",61.110761,6.12911
373014,"Ortnevik 15, Bjordal og Ortnevik",61.111798,6.13013
373015,"Ortnevik 13, Bjordal og Ortnevik",61.112374,6.130171
373016,"Ortnevik 19, Bjordal og Ortnevik",61.11118,6.129369
