,Navn,Long,Lat
269743,"Sleirsvegen 321, Masfjorden",60.864778,5.212178
269744,"Sleirsvegen 383, Masfjorden",60.875097,5.211857
269745,"Frøyset 3, Masfjorden",60.864373,5.209903
269746,"Frøyset 4, Masfjorden",60.864811,5.21046
269747,"Sleirsvegen 264, Masfjorden",60.863059,5.207645
269748,"Sleirsvegen 319, Masfjorden",60.866082,5.21123
269749,"Sleirsvegen 261, Masfjorden",60.862127,5.208072
269750,"Sleirsvegen 335, Masfjorden",60.866515,5.211935
269751,"Sleirsvegen 381, Masfjorden",60.874296,5.213095
269752,"Frøyset 11, Masfjorden",60.863895,5.21429
269753,"Sleirsvegen 323, Masfjorden",60.864961,5.213225
269754,"Tangedalsvegen 27, Masfjorden",60.866799,5.207661
269755,"Tangedalsvegen 59, Masfjorden",60.873324,5.202554
269756,"Tangedalsvegen 63, Masfjorden",60.871274,5.204752
269757,"Tangedalsvegen 20, Masfjorden",60.866067,5.207214
269758,"Tangedalsvegen 131, Masfjorden",60.874175,5.19576
269759,"Dragseidevegen 48, Masfjorden",60.840021,5.198953
269760,"Dragseidevegen 59, Masfjorden",60.839484,5.199275
269761,"Risneskaien 4, Masfjorden",60.84419,5.206138
269762,"Dragseidevegen 61, Masfjorden",60.839627,5.198434
269763,"Dragseidevegen 50, Masfjorden",60.840532,5.199905
269764,"Dragseidevegen 57, Masfjorden",60.839213,5.198741
269765,"Dragseidevegen 55, Masfjorden",60.839117,5.198173
269766,"Dragseidevegen 31, Masfjorden",60.841959,5.199225
269767,"Risneskaien 300, Masfjorden",60.825055,5.184131
269768,"Dragseidevegen 38, Masfjorden",60.841454,5.201072
269769,"Dragseidevegen 25, Masfjorden",60.842362,5.198864
269770,"Dragseidevegen 40, Masfjorden",60.841189,5.200606
269771,"Dragseidevegen 43, Masfjorden",60.840748,5.194218
269772,"Sleirsvegen 5, Masfjorden",60.843813,5.203444
269773,"Dragseidevegen 32, Masfjorden",60.842125,5.200955
269774,"Sleirsvegen 526, Masfjorden",60.883404,5.216385
269775,"Sleirsvegen 617, Masfjorden",60.887942,5.224166
269776,"Sleirsvegen 528, Masfjorden",60.883409,5.215924
269777,"Sleirsvegen 536, Masfjorden",60.883586,5.217102
269778,"Sleirsvegen 729, Masfjorden",60.883631,5.236314
269779,"Sleirsvegen 643, Masfjorden",60.889128,5.227512
269780,"Sleirsvegen 711, Masfjorden",60.884651,5.234755
269781,"Sleirsvegen 614, Masfjorden",60.889224,5.223277
269782,"Sleirsvegen 583, Masfjorden",60.886504,5.222086
269783,"Sleirsvegen 582, Masfjorden",60.886482,5.219728
269784,"Sleirsvegen 506, Masfjorden",60.882977,5.212729
269785,"Sleirsvegen 581, Masfjorden",60.88622,5.222858
