,Navn,Long,Lat
546,"37/23, Ulstein",62.343547,5.777405
549,"5/1-5, Ulstein",62.37584,5.874003
550,"5/1-4, Ulstein",62.37332,5.877171
551,"5/1-7, Ulstein",62.372998,5.865497
552,"5/1-6, Ulstein",62.373303,5.872681
553,"5/1-2, Ulstein",62.378985,5.870038
557,"5/3-3, Ulstein",62.372922,5.879318
558,"5/1-3, Ulstein",62.373842,5.879473
559,"6/2-4, Ulstein",62.366011,5.886419
560,"6/2-3, Ulstein",62.368745,5.894568
561,"6/2-6, Ulstein",62.367907,5.878002
562,"6/2-5, Ulstein",62.367111,5.880154
563,"5/22-1, Ulstein",62.370668,5.86694
564,"5/1-8, Ulstein",62.372706,5.863303
565,"6/2-2, Ulstein",62.370892,5.880922
566,"5/1-9, Ulstein",62.373262,5.883654
569,"6/9-2, Ulstein",62.360861,5.855936
570,"6/2-7, Ulstein",62.368561,5.870719
571,"6/2-8, Ulstein",62.363499,5.888961
30769,"7/370, Ulstein",62.343954,5.836289
32507,"2/5-5, Ulstein",62.393746,5.921034
33279,"39/3-1, Ulstein",62.3705,5.778974
33293,"25/9, Ulstein",62.338499,5.855093
33294,"25/9-1, Ulstein",62.338544,5.855177
34969,"38/2, Ulstein",62.348408,5.791782
35082,"37/35, Ulstein",62.347144,5.78749
35083,"37/36, Ulstein",62.346597,5.787479
35921,"23/113, Ulstein",62.316805,5.863506
43011,"36/1, Ulstein",62.339769,5.778719
43012,"35/1, Ulstein",62.331413,5.800093
43013,"36/5, Ulstein",62.340004,5.783854
43014,"36/2, Ulstein",62.338655,5.777969
43015,"37/31, Ulstein",62.345048,5.791412
43016,"37/6, Ulstein",62.344343,5.789265
43017,"37/12, Ulstein",62.346734,5.783481
43018,"37/9, Ulstein",62.34305,5.778058
43019,"37/1, Ulstein",62.34572,5.785078
43020,"36/6, Ulstein",62.338222,5.781783
43021,"37/5, Ulstein",62.344902,5.784701
43022,"37/3, Ulstein",62.344793,5.783843
43023,"39/3, Ulstein",62.371168,5.781055
43024,"39/2, Ulstein",62.37053,5.781433
43025,"39/7, Ulstein",62.371775,5.784356
43026,"37/20, Ulstein",62.344568,5.792797
43027,"37/15, Ulstein",62.34422,5.782397
43028,"39/1, Ulstein",62.372816,5.78587
43029,"38/1, Ulstein",62.34868,5.793073
43030,"37/22, Ulstein",62.347171,5.789175
43034,"39/4, Ulstein",62.37004,5.777713
43035,"37/11, Ulstein",62.346176,5.79278
43037,"37/24, Ulstein",62.344184,5.778922
43038,"37/27, Ulstein",62.34332,5.778048
43041,"37/21, Ulstein",62.345508,5.793431
43042,"37/19, Ulstein",62.344567,5.791579
43043,"37/17, Ulstein",62.342825,5.776864
43044,"21/14-1, Ulstein",62.306354,5.855842
43045,"37/7, Ulstein",62.344111,5.780805
43049,"36/6-1, Ulstein",62.338554,5.782134
43051,"37/29-1, Ulstein",62.34535,5.792037
43052,"37/25, Ulstein",62.342511,5.772608
43604,"2/1, Ulstein",62.39378,5.919267
43608,"2/4-1, Ulstein",62.40453,5.858674
43609,"2/5-4, Ulstein",62.394028,5.914928
43610,"3/1-2, Ulstein",62.392069,5.914878
43611,"2/8-2, Ulstein",62.390645,5.934963
43612,"2/6-2, Ulstein",62.392575,5.92435
43613,"4/1-1, Ulstein",62.396123,5.848423
43614,"1/8-1, Ulstein",62.430735,5.759026
43615,"1/8, Ulstein",62.430293,5.758202
43616,"2/5-2, Ulstein",62.393302,5.921488
43617,"2/5-3, Ulstein",62.392966,5.922935
45670,"7/8-1, Ulstein",62.346207,5.848196
54740,"6/238, Ulstein",62.355098,5.828044
84320,"Garsholvegen 34, Ulstein",62.314563,5.861703
84321,"Åsen 38, Ulstein",62.31746,5.835352
84322,"Garsholvegen 70, Ulstein",62.311866,5.858046
84323,"Garsholvegen 86, Ulstein",62.310962,5.855824
84324,"Garsholvegen 59, Ulstein",62.312938,5.858743
84325,"Garsholvegen 74, Ulstein",62.311389,5.857428
84326,"Dimnøyvegen 421, Ulstein",62.319301,5.796941
84327,"Dimnøyvegen 410, Ulstein",62.319533,5.7996
84328,"Notanesvegen 3, Ulstein",62.3241,5.798535
84329,"Dimnøyvegen 429, Ulstein",62.319582,5.795095
84330,"Gjerdsbakkvegen 75, Ulstein",62.315056,5.823711
84331,"Gjerdsbakkvegen 76, Ulstein",62.315184,5.822635
84332,"Dimnøyvegen 680, Ulstein",62.303805,5.803242
84333,"Øvste Storegjerdet 11, Ulstein",62.346912,5.85726
84334,"Øvste Storegjerdet 9, Ulstein",62.346942,5.857025
84335,"Gjerdegata 1B, Ulstein",62.343643,5.850954
84336,"Sundgotlegene 29, Ulstein",62.316096,5.837783
84338,"Fløvegen 325, Ulstein",62.370458,5.822045
84339,"Fløvegen 275, Ulstein",62.365651,5.821134
84340,"Fløvegen 685, Ulstein",62.396358,5.848882
84341,"Fløvegen 645, Ulstein",62.394642,5.844145
84342,"Fløvegen 681, Ulstein",62.395981,5.850103
84343,"Fløvegen 675, Ulstein",62.396083,5.849027
84344,"Fløvegen 293, Ulstein",62.36794,5.821557
84345,"Fløvegen 187, Ulstein",62.358794,5.824494
84346,"Fløvegen 313, Ulstein",62.369124,5.821064
84347,"Fløvegen 253, Ulstein",62.363608,5.823428
84348,"Fløvegen 203, Ulstein",62.359684,5.824452
84349,"Fløvegen 341, Ulstein",62.371467,5.82335
84350,"Fløvegen 221, Ulstein",62.360917,5.822823
84351,"Fløvegen 305, Ulstein",62.368237,5.820385
84352,"Fløvegen 234, Ulstein",62.361631,5.821065
84353,"Fløvegen 321, Ulstein",62.370099,5.821657
84354,"Fløvegen 329, Ulstein",62.370075,5.820344
84355,"Fløvegen 273, Ulstein",62.365677,5.821629
84356,"Fløvegen 331, Ulstein",62.370269,5.820072
84357,"Fløvegen 281, Ulstein",62.366274,5.82096
84358,"Ivagarden 14, Ulstein",62.367401,5.823529
84360,"Fløvegen 229, Ulstein",62.361918,5.82496
84361,"Fløvegen 191, Ulstein",62.357959,5.823117
84362,"Fløvegen 193, Ulstein",62.358132,5.822847
84363,"Fløvegen 371, Ulstein",62.374087,5.820442
84364,"Fløvegen 357, Ulstein",62.373172,5.819978
84365,"Fløvegen 385, Ulstein",62.375449,5.820278
84366,"Fløvegen 265, Ulstein",62.36466,5.821112
84367,"Fløvegen 219, Ulstein",62.360893,5.823963
84368,"Fløvegen 231, Ulstein",62.361598,5.824317
84369,"Fløvegen 235, Ulstein",62.361864,5.823767
84370,"Fløvegen 217, Ulstein",62.364933,5.84639
84371,"Fløvegen 274, Ulstein",62.364992,5.81717
84372,"Fløvegen 286, Ulstein",62.366577,5.820096
84373,"Ivagarden 9, Ulstein",62.366439,5.822296
