,Navn,Long,Lat
20514,"60/98, Indre Herøy",62.294023,5.624131
20520,"60/364, Indre Herøy",62.291418,5.628243
20522,"64/7, Indre Herøy",62.315463,5.588895
20523,"64/9, Indre Herøy",62.312908,5.603435
20524,"64/4, Indre Herøy",62.312073,5.605287
20525,"64/6, Indre Herøy",62.313556,5.595792
20526,"64/2, Indre Herøy",62.315211,5.589638
20527,"64/3, Indre Herøy",62.315591,5.582411
20528,"64/1, Indre Herøy",62.313441,5.602081
20530,"60/139, Indre Herøy",62.293967,5.628846
20533,"60/44, Indre Herøy",62.293804,5.628825
20535,"60/92, Indre Herøy",62.291252,5.621393
20536,"60/53, Indre Herøy",62.293825,5.629672
20550,"60/189, Indre Herøy",62.297857,5.652245
20563,"60/397, Indre Herøy",62.287108,5.623556
20586,"64/8, Indre Herøy",62.313617,5.598624
20589,"59/25, Indre Herøy",62.294957,5.678503
1099923,"Munkestranda 53, Indre Herøy",62.297321,5.661709
1099924,"Moltuvegen 195, Indre Herøy",62.295837,5.659745
1099932,"Munkestranda 32, Indre Herøy",62.296789,5.669481
1099933,"Munkestranda 24, Indre Herøy",62.296782,5.67257
1099934,"Munkestranda 30, Indre Herøy",62.296765,5.669986
1099935,"Moltuvegen 52, Indre Herøy",62.297707,5.685321
1099936,"Moltuvegen 270, Indre Herøy",62.298229,5.648085
1099937,"Moltuvegen 274, Indre Herøy",62.298609,5.646159
1099938,"Legemyrane 14, Indre Herøy",62.298658,5.656382
1099939,"Legemyrane 31, Indre Herøy",62.297722,5.652993
1099940,"Moltuvegen 286, Indre Herøy",62.297493,5.641999
1099941,"Moltuvegen 379, Indre Herøy",62.293626,5.625792
1099942,"Moltuvegen 377, Indre Herøy",62.29359,5.626283
1099943,"Moltuvegen 359, Indre Herøy",62.293454,5.629578
1099944,"Moltuvegen 295, Indre Herøy",62.295345,5.641621
1099945,"Moltuvegen 367, Indre Herøy",62.293592,5.627845
1099946,"Munkestranda 51, Indre Herøy",62.297303,5.663191
1099947,"Moltuvegen 318, Indre Herøy",62.295034,5.636542
1099948,"Legemyrane 4, Indre Herøy",62.298741,5.6606
1099949,"Moltuvegen 276, Indre Herøy",62.297803,5.645901
1099950,"Moltuvegen 385, Indre Herøy",62.293502,5.624131
1099951,"Moltuvegen 260, Indre Herøy",62.298913,5.648711
1099952,"Moltuvegen 363, Indre Herøy",62.293376,5.628564
1099953,"Moltuvegen 403, Indre Herøy",62.293854,5.621305
1099954,"Moltuvegen 383, Indre Herøy",62.29345,5.624581
1099955,"Munkestranda 52, Indre Herøy",62.297698,5.662433
1099956,"Moltuvegen 245, Indre Herøy",62.296643,5.648864
1100485,"Moltuvegen 299, Indre Herøy",62.295378,5.640749
1100486,"Moltuvegen 372, Indre Herøy",62.293814,5.62701
1100487,"Moltuvegen 280, Indre Herøy",62.296334,5.644232
1100488,"Moltuvegen 283, Indre Herøy",62.295755,5.644065
1100489,"Moltuvegen 193, Indre Herøy",62.296613,5.660276
1100490,"Moltuvegen 289, Indre Herøy",62.295344,5.64303
1100491,"Moltuvegen 380, Indre Herøy",62.293894,5.625477
1100492,"Moltuvegen 357, Indre Herøy",62.29352,5.630073
1100493,"Legemyrane 1, Indre Herøy",62.297689,5.659076
1100494,"Moltuvegen 436, Indre Herøy",62.295432,5.61523
1100495,"Legemyrane 18, Indre Herøy",62.298785,5.655326
1100496,"Moltuvegen 340, Indre Herøy",62.294446,5.63269
1100497,"Legemyrane 26, Indre Herøy",62.298201,5.653847
1100498,"Moltuvegen 281, Indre Herøy",62.295885,5.644262
1100499,"Moltuvegen 381, Indre Herøy",62.293681,5.625211
1100500,"Moltuvegen 361, Indre Herøy",62.293514,5.629089
1100501,"Moltuvegen 365, Indre Herøy",62.293522,5.628297
1100544,"Munkestranda 28, Indre Herøy",62.296779,5.671297
1100545,"Munkestranda 35, Indre Herøy",62.296413,5.66877
1100546,"Munkestranda 37, Indre Herøy",62.296393,5.667943
1100547,"Munkestranda 26, Indre Herøy",62.296772,5.67178
1100550,"Moltuvegen 45, Indre Herøy",62.297483,5.686098
1100553,"Moltuvegen 44, Indre Herøy",62.298036,5.686307
1100785,"Moltuvegen 191, Indre Herøy",62.296824,5.660465
1100786,"Moltuvegen 439, Indre Herøy",62.295131,5.614647
1100787,"Munkestranda 46, Indre Herøy",62.297861,5.663592
1100788,"Legemyrane 33, Indre Herøy",62.297301,5.652268
1100789,"Legemyrane 25, Indre Herøy",62.297898,5.654691
1100790,"Moltuvegen 293, Indre Herøy",62.294995,5.642741
1100791,"Moltuvegen 441, Indre Herøy",62.295039,5.613847
1100792,"Øygardsvegen 17, Indre Herøy",62.293286,5.616012
1100793,"Øygardsvegen 18, Indre Herøy",62.293465,5.614873
1100794,"Øygardsvegen 22, Indre Herøy",62.292103,5.613945
1100795,"Moltuvegen 284, Indre Herøy",62.297811,5.642137
1100796,"Moltuvegen 368, Indre Herøy",62.293843,5.62808
1100797,"Tarbergvegen 47, Indre Herøy",62.294747,5.59821
1100798,"Tarbergvegen 35, Indre Herøy",62.294127,5.595655
1100799,"Tarbergvegen 41, Indre Herøy",62.294595,5.596413
1100800,"Tarbergvegen 45, Indre Herøy",62.2947,5.597771
1100801,"Tarbergvegen 23, Indre Herøy",62.294767,5.60087
1100802,"Tarbergvegen 39, Indre Herøy",62.294538,5.595937
1100803,"Tarbergvegen 25, Indre Herøy",62.294791,5.600385
1100804,"Tarbergvegen 1, Indre Herøy",62.295159,5.610668
1100805,"Moltuvegen 538, Indre Herøy",62.294916,5.595971
