,Navn,Long,Lat
20501,"37/7, Herøy",62.328483,5.633127
20502,"22/28-1, Herøy",62.32389,5.666614
20513,"38/161, Herøy",62.320777,5.635844
20547,"22/49, Herøy",62.323983,5.669857
31830,"38/78, Herøy",62.324047,5.654775
34130,"38/145, Herøy",62.32546,5.650793
42718,"32/16, Herøy",62.327328,5.66123
1100931,"Mjølstadnesvegen 16, Herøy",62.323242,5.667766
1100968,"Storesteinråsa 14, Herøy",62.320769,5.645947
1100970,"Storesteinråsa 10, Herøy",62.321262,5.646259
1100972,"Storesteinråsa 12, Herøy",62.32097,5.646079
1100974,"Storesteinråsa 9A, Herøy",62.320877,5.645181
1100976,"Storesteinråsa 9B, Herøy",62.321008,5.644645
1100978,"Storesteinråsa 7A, Herøy",62.321278,5.645407
1100980,"Storesteinråsa 8, Herøy",62.321447,5.64647
1100982,"Storesteinråsa 5, Herøy",62.321509,5.645671
1100984,"Storesteinråsa 6, Herøy",62.32172,5.646632
1100988,"Mjølstadnesvegen 12, Herøy",62.324322,5.668413
1101001,"Klokkargardsvegen 2, Herøy",62.330853,5.636011
1101051,"Mjølstadnesvegen 19, Herøy",62.322747,5.67553
1101056,"Mjølstadnesvegen 17, Herøy",62.322325,5.674429
1101058,"Valvegen 8, Herøy",62.322586,5.641919
1101059,"Valvegen 3, Herøy",62.322087,5.643578
1101064,"Valvegen 4, Herøy",62.322409,5.643156
1101066,"Valvegen 6, Herøy",62.322502,5.642528
1101068,"Valvegen 2, Herøy",62.322406,5.643775
1101072,"Storesteinråsa 3, Herøy",62.321983,5.644845
1101074,"Storesteinråsa 4, Herøy",62.321922,5.646031
1101076,"Storesteinråsa 1, Herøy",62.322023,5.644262
1101078,"Storesteinråsa 2, Herøy",62.322151,5.645483
1101080,"Markvegen 9, Herøy",62.321363,5.643254
1101082,"Markvegen 11, Herøy",62.321231,5.643867
1101084,"Markvegen 7, Herøy",62.32143,5.642802
1101086,"Markvegen 8, Herøy",62.321616,5.644153
1101087,"Markvegen 5, Herøy",62.321558,5.64215
1101089,"Markvegen 6, Herøy",62.321655,5.64353
1101091,"Markvegen 3, Herøy",62.321657,5.641791
1101092,"Markvegen 4, Herøy",62.321776,5.642995
1101094,"Markvegen 1, Herøy",62.322048,5.641574
1101096,"Markvegen 2, Herøy",62.321891,5.642538
1101097,"Valvegen 5, Herøy",62.322073,5.642981
1101099,"Valvegen 7, Herøy",62.322257,5.642072
1101118,"Mjølstadnesvegen 15, Herøy",62.322289,5.673649
1101138,"Mjølstadnesvegen 14, Herøy",62.323363,5.664322
1101251,"Dalavegen 4, Herøy",62.329875,5.631252
1101252,"Dalavegen 6, Herøy",62.329589,5.630955
1101254,"Storebakken 14, Herøy",62.327127,5.630555
1101255,"Dalavegen 2, Herøy",62.33016,5.63151
1101256,"Storebakken 3A, Herøy",62.327605,5.631674
1101257,"Storebakken 5, Herøy",62.327286,5.631581
1101259,"Toftestøvegen 24, Herøy",62.325237,5.632293
1101261,"Toftestøvegen 26, Herøy",62.324862,5.632393
1101263,"Toftestøvegen 12, Herøy",62.326915,5.631815
1101266,"Mjølstadnesvegen 5, Herøy",62.325574,5.671991
1101270,"Toftestøvegen 18, Herøy",62.326286,5.631461
1101272,"Toftestøvegen 8, Herøy",62.327399,5.63231
1101273,"Toftestøvegen 10, Herøy",62.327166,5.632174
1101275,"Toftestøvegen 6, Herøy",62.32767,5.632194
1101276,"Øvre Sørlia 9, Herøy",62.323907,5.625604
1101277,"Storesteinråsa 7B, Herøy",62.32143,5.645023
1101278,"Øvre Sørlia 7, Herøy",62.324017,5.626055
1101279,"Øvre Sørlia 4, Herøy",62.324528,5.625303
1101280,"Øvre Sørlia 8, Herøy",62.324022,5.625166
1101281,"Øvre Sørlia 1, Herøy",62.324309,5.627355
1101282,"Øvre Sørlia 3, Herøy",62.3243,5.626642
1101283,"Dalavegen 1, Herøy",62.329699,5.631755
1101284,"Dalavegen 3, Herøy",62.329514,5.631563
1101285,"Storetua 10, Herøy",62.327566,5.630139
1101286,"Toftestøvegen 15, Herøy",62.327074,5.633188
1101288,"Storetua 6, Herøy",62.328015,5.630514
1101289,"Storetua 8, Herøy",62.327786,5.630327
1101290,"Storetua 2, Herøy",62.328483,5.630886
1101291,"Storetua 4, Herøy",62.328252,5.630661
1101292,"Toftestøvegen 13, Herøy",62.327372,5.633271
1101293,"Toftestøvegen 11B, Herøy",62.32771,5.633515
1101295,"Toftestøvegen 23, Herøy",62.326391,5.633207
1101297,"Toftestøvegen 21, Herøy",62.326645,5.633275
1101298,"Toftestøvegen 33, Herøy",62.324967,5.633019
1101301,"Toftestøvegen 27, Herøy",62.325801,5.632964
1101303,"Toftestøvegen 39, Herøy",62.324362,5.633241
1101304,"Toftestøvegen 35, Herøy",62.324698,5.63303
1101306,"Toftestøvegen 28, Herøy",62.324682,5.632375
1101307,"Toftestøvegen 30, Herøy",62.324349,5.632354
1101308,"Nedre Sørlia 14, Herøy",62.323535,5.629915
1101309,"Nedre Sørlia 16, Herøy",62.323663,5.629244
1101311,"Nedre Sørlia 10, Herøy",62.323456,5.630735
1101312,"Nedre Sørlia 12, Herøy",62.323383,5.630666
1101313,"Nedre Sørlia 6, Herøy",62.323378,5.631226
1101314,"Nedre Sørlia 8, Herøy",62.323402,5.631108
1101316,"Nedre Sørlia 2, Herøy",62.323089,5.631143
1101318,"Nedre Sørlia 4, Herøy",62.32324,5.631454
1101319,"Kvithaugsmyra 57, Herøy",62.323799,5.634502
1101321,"Kvithaugsmyra 55, Herøy",62.323776,5.63464
1101324,"Mjølstadnesvegen 21, Herøy",62.322917,5.676245
1101325,"Toftestøvegen 17, Herøy",62.327019,5.633137
1101329,"Nedre Sørlia 13, Herøy",62.323316,5.629012
1101330,"Kvithaugsmyra 13, Herøy",62.325125,5.636188
1101332,"Nedre Sørlia 7, Herøy",62.323136,5.630114
1101334,"Nedre Sørlia 15, Herøy",62.323206,5.628928
1101336,"Nedre Sørlia 27, Herøy",62.323552,5.626919
1101339,"Nedre Sørlia 26, Herøy",62.323862,5.626729
1101341,"Nedre Sørlia 23, Herøy",62.323046,5.627536
1101343,"Nedre Sørlia 25, Herøy",62.323305,5.627101
