,Navn,Long,Lat
20507,"17/74, Herøy",62.337538,5.724426
20531,"21/53, Herøy",62.326393,5.693903
20532,"21/54, Herøy",62.32324,5.701087
20544,"19/85, Herøy",62.321631,5.721949
20569,"21/18, Herøy",62.324557,5.693776
20570,"19/12, Herøy",62.321038,5.711681
20593,"19/81-1, Herøy",62.323798,5.722003
33181,"19/12-1, Herøy",62.321034,5.711668
54639,"16/158, Herøy",62.350034,5.738106
1100149,"Frøystadvågvegen 49, Herøy",62.326644,5.681435
1100150,"Frøystadvågvegen 60, Herøy",62.326209,5.683897
1100151,"Skinnesvegen 22, Herøy",62.32506,5.696
1100152,"Skinnesvegen 27, Herøy",62.324741,5.696576
1100153,"Frøystadvågvegen 119, Herøy",62.327934,5.695607
1100154,"Skinnesvegen 25, Herøy",62.324375,5.696694
1100155,"Skinnesvegen 31, Herøy",62.324202,5.696211
1100168,"Skinnesvegen 29, Herøy",62.324503,5.696004
1100173,"Frøystadvågvegen 58, Herøy",62.325289,5.68452
1100174,"Frøystadvågvegen 104, Herøy",62.326445,5.691907
1100175,"Frøystadvågvegen 98, Herøy",62.326483,5.690126
1100176,"Frøystadvågvegen 72, Herøy",62.326014,5.685503
1100177,"Frøystadvågvegen 51, Herøy",62.326572,5.682544
1100178,"Frøystadvågvegen 109, Herøy",62.327083,5.69232
1100179,"Frøystadvågvegen 84, Herøy",62.326184,5.687397
1100180,"Frøystadvågvegen 74, Herøy",62.326077,5.685921
1100181,"Frøystadvågvegen 56, Herøy",62.325138,5.683842
1100182,"Frøystadvågvegen 102, Herøy",62.326402,5.691255
1100281,"Skulevegen 7, Herøy",62.32834,5.699813
1100282,"Skinnesvegen 77, Herøy",62.322696,5.688051
1100283,"Røyrasundvegen 83, Herøy",62.324787,5.700048
1100284,"Skinnesvegen 20, Herøy",62.32526,5.696481
1100285,"Skulevegen 3, Herøy",62.327993,5.699194
1100286,"Skulevegen 1, Herøy",62.327996,5.698575
1100287,"Frøystadvågvegen 115, Herøy",62.32742,5.693983
1100288,"Frøystadvågvegen 113, Herøy",62.327316,5.693415
1100289,"Skinnesvegen 78, Herøy",62.322963,5.687191
1100290,"Frøystadvågvegen 160, Herøy",62.326222,5.699543
1100291,"Skulevegen 5, Herøy",62.328047,5.69964
1100292,"Skinnesvegen 52, Herøy",62.323819,5.691076
1100293,"Skinnesvegen 80, Herøy",62.322867,5.686565
1100294,"Torvikvegen 101, Herøy",62.336547,5.723916
1100295,"Torvikvegen 201, Herøy",62.344026,5.732475
1100296,"Torvika 55, Herøy",62.343844,5.730851
1100297,"Steinsvikvegen 25, Herøy",62.333308,5.723322
1100298,"Torvika 5, Herøy",62.337487,5.723657
1100299,"Torvika 49, Herøy",62.343318,5.731025
1100300,"Torvika 15, Herøy",62.338052,5.7241
1100301,"Torvika 40, Herøy",62.34106,5.729357
1100302,"Torvikvegen 194, Herøy",62.342942,5.732631
1100303,"Torvika 41, Herøy",62.341299,5.728848
1100304,"Torvika 33, Herøy",62.339786,5.726384
1100305,"Torvika 17, Herøy",62.338317,5.724303
1100306,"Torvikvegen 168, Herøy",62.341275,5.730512
1100307,"Torvika 1, Herøy",62.33749,5.725417
1100308,"Torvika 43, Herøy",62.341911,5.729264
1100309,"Torvika 21, Herøy",62.338861,5.724881
1100310,"Torvika 47, Herøy",62.342799,5.72996
1100311,"Torvika 42, Herøy",62.341335,5.729598
1100312,"Steinsvikvegen 29, Herøy",62.332271,5.727358
1100313,"Steinsvikvegen 16, Herøy",62.33328,5.72176
1100314,"Steinsvikvegen 24, Herøy",62.333278,5.722456
1100315,"Steinsvikvegen 26, Herøy",62.332766,5.722454
1100316,"Steinsvikvegen 5, Herøy",62.334591,5.72212
1100317,"Steinsvikvegen 8, Herøy",62.33281,5.720904
1100318,"Steinsvikvegen 9, Herøy",62.335485,5.723858
1100319,"Torvikvegen 75, Herøy",62.33422,5.720498
1100320,"Steinsvikvegen 14, Herøy",62.332997,5.721984
1100321,"Torvikvegen 53, Herøy",62.333379,5.718368
1100322,"Steinsvikvegen 6, Herøy",62.332868,5.721438
1100323,"Steinsvikvegen 30, Herøy",62.33192,5.726971
1100324,"Steinsvikvegen 1, Herøy",62.333856,5.721041
1100325,"Røyrasundvegen 132, Herøy",62.321532,5.704848
1100326,"Røyravegen 4, Herøy",62.321707,5.71184
1100327,"Torvikvegen 27, Herøy",62.332262,5.709873
1100328,"Torvikvegen 8, Herøy",62.32941,5.710299
1100329,"Torvikvegen 7, Herøy",62.33203,5.706904
1100330,"Røyrasundvegen 130, Herøy",62.321693,5.704444
1100331,"Torvikvegen 41, Herøy",62.333163,5.713388
1100332,"Torvikvegen 14, Herøy",62.329795,5.710394
1100333,"Skulevegen 13, Herøy",62.328598,5.701987
1100335,"Torvikvegen 43, Herøy",62.333062,5.714442
1100336,"Torvikvegen 49, Herøy",62.33315,5.716654
1100338,"Torvikvegen 45, Herøy",62.333003,5.715357
1100339,"Skulevegen 15, Herøy",62.329201,5.70279
1100340,"Torvikvegen 37, Herøy",62.33279,5.71281
1100341,"Grønfjellsvegen 6, Herøy",62.329789,5.704097
1100342,"Skulevegen 9, Herøy",62.32838,5.700736
1100343,"Grønfjellsvegen 4, Herøy",62.330833,5.70605
1100344,"Frøystadvågvegen 121, Herøy",62.327495,5.695269
1100345,"Skinnesvegen 68, Herøy",62.323133,5.689027
1100346,"Torvikvegen 48, Herøy",62.332578,5.716775
1100347,"Frøystadvågvegen 139, Herøy",62.32832,5.697839
1100348,"Torvikvegen 34, Herøy",62.329961,5.714375
1100349,"Grønfjellsvegen 14, Herøy",62.329195,5.698366
1100350,"Torvikvegen 32, Herøy",62.329923,5.713916
1100351,"Torvikvegen 9, Herøy",62.331896,5.706184
1100352,"Torvikvegen 38, Herøy",62.329231,5.714281
1100460,"Bøvegen 59, Herøy",62.355332,5.734918
1101033,"Torvikvegen 52, Herøy",62.332602,5.717391
1101115,"Sandevegen 73, Herøy",62.3567,5.715955
1101119,"Torvikvegen 15, Herøy",62.331735,5.708095
1101130,"Skinnesvegen 23, Herøy",62.324527,5.697411
1101131,"Skinnesvegen 15, Herøy",62.324928,5.697354
1101134,"Røyrasundvegen 174, Herøy",62.321263,5.713974
1101150,"Torvika 7, Herøy",62.337588,5.723781
1101170,"Torvikvegen 116, Herøy",62.336549,5.727433
1101171,"Grønfjellsvegen 2, Herøy",62.331218,5.706761
1101172,"Torvikvegen 196, Herøy",62.342613,5.73315
1101177,"Frøystadvågvegen 90, Herøy",62.325554,5.689224
1101179,"Skinnesvegen 82, Herøy",62.322873,5.686429
1101180,"Frøystadvågvegen 91, Herøy",62.326508,5.689293
