,Navn,Long,Lat
1630,"30/287, Volda",62.139227,6.076299
1660,"30/1-1, Volda",62.138614,6.080869
52928,"Rotset, 30/1, Volda",62.138614,6.080869
297479,"Storebakken 20, Volda",62.139075,6.081861
297482,"Andanesvegen 39, Volda",62.133092,6.078004
297486,"Andanesvegen 40, Volda",62.131749,6.076702
297491,"Lægdavegen 41, Volda",62.136,6.078338
298171,"Bøen 1, Volda",62.142553,6.083234
298172,"Bøen 2, Volda",62.142412,6.08248
298177,"Bøen 3, Volda",62.142278,6.083376
298195,"Hamnegata 39, Volda",62.143207,6.071673
298196,"Hamnegata 41, Volda",62.143103,6.071836
298197,"Hamnegata 35, Volda",62.143438,6.071132
298198,"Hamnegata 37, Volda",62.143433,6.071747
298199,"Hans Strøm vegen 1, Volda",62.143007,6.078334
298200,"Hans Strøm vegen 2, Volda",62.142993,6.077702
298201,"Hamnegata 43, Volda",62.142938,6.072102
298202,"Hamnegata 45, Volda",62.142825,6.072285
298203,"Hamnegata 19, Volda",62.144759,6.067865
298204,"Hamnegata 20, Volda",62.142608,6.070943
298205,"Hamnegata 16, Volda",62.142765,6.070736
298206,"Hamnegata 18, Volda",62.143032,6.07144
298207,"Hamnegata 22, Volda",62.142893,6.071665
298208,"Hamnegata 31, Volda",62.144298,6.069816
298209,"Hamnegata 21A, Volda",62.144714,6.068148
298210,"Hamnegata 21B, Volda",62.144675,6.06844
298211,"Hamnegata 9, Volda",62.145149,6.064804
298212,"Hamnegata 10, Volda",62.144889,6.065827
298213,"Hamnegata 7, Volda",62.145209,6.064414
298214,"Hamnegata 8, Volda",62.14492,6.065594
298215,"Hamnegata 13, Volda",62.145177,6.065838
298216,"Hamnegata 14, Volda",62.14291,6.070338
298217,"Hamnegata 11, Volda",62.145179,6.065108
298218,"Hamnegata 12, Volda",62.143247,6.070555
298219,"Halkjelsgata 24, Volda",62.144636,6.070018
298220,"Halkjelsgata 26A, Volda",62.144536,6.070373
298221,"Halkjelsgata 21, Volda",62.144733,6.071602
298222,"Halkjelsgata 22, Volda",62.144668,6.069823
298223,"Hamnegata 5, Volda",62.145214,6.064203
298224,"Hamnegata 6, Volda",62.144968,6.064879
298225,"Halkjelsgata 30, Volda",62.144472,6.071147
298226,"Hamnegata 3, Volda",62.145177,6.063726
298227,"Halkjelsgata 15A, Volda",62.144869,6.070379
298228,"Halkjelsgata 16, Volda",62.144876,6.069077
298229,"Halkjelsgata 14, Volda",62.144966,6.068604
298230,"Halkjelsgata 15, Volda",62.144757,6.070217
298231,"Halkjelsgata 19, Volda",62.144686,6.071069
298232,"Halkjelsgata 20, Volda",62.144735,6.069586
298233,"Halkjelsgata 17, Volda",62.144722,6.070643
298234,"Halkjelsgata 18, Volda",62.144773,6.069237
298235,"Halkjelsgata 8, Volda",62.14497,6.067528
298236,"Halkjelsgata 9, Volda",62.145024,6.068809
