,Navn,Long,Lat
1600,"Årset, 42/3, Austefjord",62.076053,6.258281
1621,"48/1-1, Austefjord",62.077037,6.334267
1622,"59/8-1, Austefjord",61.983757,6.304138
1628,"72/2, Austefjord",62.062083,6.29599
1638,"43/8, Austefjord",62.082167,6.289088
1644,"74/1-2, Austefjord",62.051522,6.282366
1645,"71/2-3, Austefjord",62.050482,6.282918
1646,"71/2-4, Austefjord",62.051587,6.281977
1650,"85/1-2, Austefjord",62.073697,6.17172
1651,"81/1-3, Austefjord",62.045705,6.225141
1666,"42/3-1, Austefjord",62.076013,6.259453
1667,"46/1-2, Austefjord",62.076287,6.335922
36866,"43/14, Austefjord",62.096862,6.290613
36867,"74/2, Austefjord",62.067341,6.295254
38256,"74/16, Austefjord",62.067725,6.295603
297538,"Årset 101, Austefjord",62.082289,6.259939
297578,"Osdalsvegen 1115, Austefjord",61.975266,6.304926
297580,"Nonshola 11, Austefjord",61.977126,6.316922
297581,"Osdalsvegen 1136, Austefjord",61.975867,6.299394
297583,"Grøndalsvegen 32, Austefjord",61.983826,6.308023
297584,"Osdalsvegen 1086, Austefjord",61.978177,6.303103
297586,"Grøndalsvegen 24, Austefjord",61.982801,6.308537
297594,"Nonshola 18, Austefjord",61.97598,6.316215
297595,"Nonshola 15, Austefjord",61.976958,6.315658
297597,"Grøndalsvegen 46, Austefjord",61.982964,6.305831
297598,"Osdalsvegen 1133, Austefjord",61.974493,6.301234
297763,"Ytre Høydalen 213, Austefjord",62.069556,6.198186
297896,"Follavegen 70, Austefjord",62.066941,6.294065
297918,"Grøndalsvegen 96, Austefjord",61.984262,6.296474
297925,"Grøndalsvegen 18, Austefjord",61.982261,6.309337
299440,"Osdalsvegen 1038, Austefjord",61.980668,6.313861
299442,"Osdalsvegen 960, Austefjord",61.98349,6.326386
299444,"Grøndalsvegen 6, Austefjord",61.980846,6.312375
299497,"Månanesvegen 251, Austefjord",62.038802,6.41078
300054,"Osdalsvegen 955, Austefjord",61.981788,6.328025
300095,"Grøndalsvegen 247, Austefjord",61.981037,6.279522
300097,"Grøndalsvegen 252, Austefjord",61.981331,6.278482
300162,"Osdalsvegen 1119, Austefjord",61.975434,6.302964
300164,"Osdalsvegen 946, Austefjord",61.982327,6.329906
1702934,"Osdalsvegen 177, Austefjord",62.031025,6.398438
1728649,"Fyrdshaugen 10, Austefjord",62.063368,6.326448
1728650,"Fyrdshaugen 4, Austefjord",62.063202,6.326252
1728652,"Fyrdshaugen 18, Austefjord",62.064083,6.325941
1728653,"Fyrdshaugen 14, Austefjord",62.063863,6.325122
1728654,"Fyrdshaugen 24, Austefjord",62.064353,6.324354
1728655,"Fyrdshaugen 22, Austefjord",62.064251,6.324763
1728656,"Fyrdshaugen 26, Austefjord",62.064655,6.324208
1728657,"Fyrdshaugen 32, Austefjord",62.06453,6.325714
1728658,"Fyrdshaugen 30, Austefjord",62.064535,6.325197
1728683,"Fyrdshaugen 28, Austefjord",62.06461,6.32475
1729733,"Gjersdalsvegen 60, Austefjord",62.057937,6.349435
1729740,"Gjersdalsvegen 46, Austefjord",62.059272,6.350218
1729934,"Gjersdalsvegen 75, Austefjord",62.056519,6.351855
1729935,"Gjersdalsvegen 71, Austefjord",62.056785,6.352157
1732465,"Hamrevegen 140, Austefjord",62.076288,6.285667
1732644,"Skjåstaddalen 113, Austefjord",62.045778,6.425052
1732645,"Bueide, Skjåstaddalen 123, Austefjord",62.046922,6.428112
1732647,"Bueide, Skjåstaddalen 125, Austefjord",62.047141,6.427825
1732648,"Hamrevegen 96, Austefjord",62.073056,6.291222
1732649,"Hamrevegen 104, Austefjord",62.074766,6.288216
1735163,"Follavegen 72, Austefjord",62.065315,6.291814
1735164,"Follavegen 64, Austefjord",62.06463,6.291188
1735165,"Follavegen 36, Austefjord",62.063277,6.295501
1735169,"Follavegen 108, Austefjord",62.068032,6.290477
1735170,"Follavegen 105, Austefjord",62.067638,6.290211
1735172,"Follavegen 98, Austefjord",62.067316,6.291094
1753706,"Årset 145, Austefjord",62.081533,6.260603
1753707,"Årset 151, Austefjord",62.082796,6.263611
1753710,"Årset 142, Austefjord",62.081211,6.25931
1753784,"Årset 46, Austefjord",62.084751,6.256552
1753792,"Årset 48, Austefjord",62.084601,6.25759
1753885,"Årset 132, Austefjord",62.080652,6.256487
1753887,"Årset 136, Austefjord",62.081274,6.257025
1753889,"Årset 126, Austefjord",62.080335,6.255884
1753890,"Årset 128, Austefjord",62.080659,6.25595
1753891,"Årset 122, Austefjord",62.080377,6.255098
1753892,"Årset 124, Austefjord",62.080858,6.255109
1753893,"Årset 90, Austefjord",62.083414,6.251295
1753894,"Årset 103, Austefjord",62.082466,6.260538
1753897,"Årset 138, Austefjord",62.081352,6.257822
1753921,"Årset 50, Austefjord",62.084897,6.257196
1754660,"Kolfossvegen 172, Austefjord",62.055901,6.379239
1754808,"Kolfossvegen 48, Austefjord",62.04863,6.393699
1754809,"Kolfossvegen 14, Austefjord",62.050501,6.396715
1754811,"Kolfossvegen 78, Austefjord",62.050946,6.393175
1754812,"Kolfossvegen 77, Austefjord",62.050584,6.392058
1754814,"Kolfossvegen 89, Austefjord",62.051831,6.390554
1754815,"Kolfossvegen 79, Austefjord",62.050737,6.391586
1754817,"Kolfossvegen 168, Austefjord",62.055791,6.380071
1755978,"Håvika, Høydalsvegen 1417, Austefjord",62.065478,6.265641
1755981,"Håvika, Høydalsvegen 1421, Austefjord",62.064811,6.265069
1755988,"Håvika, Høydalsvegen 1413, Austefjord",62.06526,6.264129
