,Navn,Long,Lat
20605,"14/643, Ørsta",62.210499,6.127468
20608,"3/54, Ørsta",62.243738,6.108607
20683,"169/54, Ørsta",62.22013,6.103823
20740,"14/447, Ørsta",62.207676,6.127351
31929,"11/1, Ørsta",62.248314,6.107111
31936,"14/1, Ørsta",62.224462,6.128083
1102920,"Bøvegen 9, Ørsta",62.20651,6.109726
1102921,"Bøvegen 11, Ørsta",62.206569,6.109353
1102922,"Bøvegen 7, Ørsta",62.206225,6.10985
1102923,"Bøvegen 8, Ørsta",62.205876,6.110422
1102924,"Bøvegen 5A, Ørsta",62.20565,6.109405
1102925,"Bøvegen 6, Ørsta",62.205521,6.110109
1102926,"Bøvegen 3, Ørsta",62.205408,6.109428
1102927,"Bøvegen 4, Ørsta",62.205248,6.109962
1102930,"Bøvegen 21, Ørsta",62.208171,6.109683
1102932,"Bøvegen 15, Ørsta",62.20655,6.108626
1102933,"Bøvegen 13, Ørsta",62.206564,6.109073
1102934,"Bøvegen 14, Ørsta",62.206819,6.110416
1103045,"Anders Aarsæter-gata 1, Ørsta",62.201772,6.121263
1103055,"Anders Aarsæter-gata 5, Ørsta",62.202073,6.121133
1103056,"Anders Aarsæter-gata 7, Ørsta",62.202204,6.121217
1103057,"Anders Aarsæter-gata 2, Ørsta",62.201742,6.121597
1103058,"Anders Aarsæter-gata 4, Ørsta",62.201806,6.121845
1103061,"Austlidvegen 17, Ørsta",62.202031,6.124599
1103062,"Austlidvegen 18, Ørsta",62.202283,6.124613
1103063,"Austlidvegen 14, Ørsta",62.202063,6.126577
1103064,"Austlidvegen 16, Ørsta",62.202173,6.125374
1103065,"Austlidvegen 9, Ørsta",62.201733,6.126666
1103066,"Austlidvegen 11, Ørsta",62.201835,6.125945
1103068,"Austlidvegen 7, Ørsta",62.201496,6.126496
1103069,"Austlidvegen 28, Ørsta",62.203091,6.121978
1103070,"Bakkevegen 1, Ørsta",62.203495,6.120109
1103071,"Austlidvegen 23, Ørsta",62.202537,6.122425
1103072,"Austlidvegen 19, Ørsta",62.202143,6.123934
1103073,"Austlidvegen 20, Ørsta",62.202703,6.123227
1103090,"Bakkevegen 31, Ørsta",62.204448,6.114694
1103091,"Bakkevegen 34, Ørsta",62.204906,6.115092
1103092,"Bakkevegen 28, Ørsta",62.204822,6.116235
1103093,"Bakkevegen 30, Ørsta",62.204882,6.115653
1103094,"Bakkevegen 25, Ørsta",62.204516,6.115764
1103095,"Bakkevegen 27, Ørsta",62.20432,6.115418
1103096,"Bakkevegen 22, Ørsta",62.204897,6.117267
1103097,"Bakkevegen 24, Ørsta",62.20473,6.117013
1103100,"Bakkevegen 46, Ørsta",62.205283,6.11294
1103101,"Bakkevegen 52, Ørsta",62.204937,6.110992
1103102,"Bakkevegen 40, Ørsta",62.205193,6.114199
1103103,"Bakkevegen 48, Ørsta",62.205139,6.112473
1103104,"Bakkevegen 36, Ørsta",62.205112,6.115054
1103105,"Bakkevegen 38, Ørsta",62.204983,6.11447
1103106,"Bakkevegen 9, Ørsta",62.203907,6.118881
1103107,"Bakkevegen 10, Ørsta",62.204349,6.119435
1103108,"Bakkevegen 7, Ørsta",62.203807,6.119256
1103109,"Bakkevegen 8, Ørsta",62.204069,6.119769
1103110,"Bakkevegen 5, Ørsta",62.203706,6.119612
1103111,"Bakkevegen 6, Ørsta",62.203766,6.120318
1103112,"Bakkevegen 3, Ørsta",62.203612,6.119851
1103113,"Bakkevegen 4, Ørsta",62.203625,6.12087
1103114,"Bakkevegen 20, Ørsta",62.204524,6.117475
1103115,"Bakkevegen 21, Ørsta",62.204265,6.116654
1103116,"Bakkevegen 18, Ørsta",62.204443,6.117887
1103117,"Bakkevegen 19, Ørsta",62.204284,6.117133
1103118,"Bakkevegen 15, Ørsta",62.204088,6.118113
1103119,"Bakkevegen 17, Ørsta",62.204203,6.117564
1103120,"Bakkevegen 11, Ørsta",62.204024,6.118485
1103121,"Bakkevegen 12, Ørsta",62.204123,6.11936
1103301,"Håkonsgata 77, Ørsta",62.204336,6.122575
1103495,"Håkonsgata 79, Ørsta",62.204316,6.122131
1103496,"Håkonsgata 81, Ørsta",62.204421,6.121602
1103497,"Håkonsgata 78, Ørsta",62.204948,6.123148
1103498,"Håkonsgata 75, Ørsta",62.204221,6.123471
1103499,"Håkonsgata 76, Ørsta",62.204481,6.124162
1103500,"Håkonsgata 71, Ørsta",62.203918,6.124631
1103501,"Håkonsgata 91, Ørsta",62.204922,6.118438
1103502,"Håkonsgata 92, Ørsta",62.206796,6.117413
1103503,"Håkonsgata 89, Ørsta",62.20486,6.118925
1103504,"Håkonsgata 90, Ørsta",62.205123,6.118611
1103505,"Håkonsgata 87, Ørsta",62.204757,6.119588
1103506,"Håkonsgata 88, Ørsta",62.205064,6.119251
1103507,"Håkonsgata 83, Ørsta",62.204533,6.120937
1103508,"Håkonsgata 85, Ørsta",62.204645,6.120253
1103510,"Håkonsgata 55, Ørsta",62.203563,6.129165
1103517,"Håkonsgata 66, Ørsta",62.204097,6.128038
1103518,"Håkonsgata 68, Ørsta",62.204166,6.127473
1103519,"Håkonsgata 64, Ørsta",62.204076,6.12879
1103520,"Håkonsgata 65, Ørsta",62.203812,6.126853
1103521,"Håkonsgata 60, Ørsta",62.203942,6.129245
1103523,"Håkonsgata 59, Ørsta",62.203622,6.128544
1103525,"Ivar Aasen-gata 16, Ørsta",62.197927,6.125931
1103527,"Ivar Aasen-gata 14, Ørsta",62.19819,6.126945
1103528,"Ivar Aasen-gata 7, Ørsta",62.199089,6.127036
1103529,"Ivar Aasen-gata 10, Ørsta",62.198781,6.125946
1103530,"Kyrkjegata 12, Ørsta",62.200701,6.127149
1103531,"Kyrkjegata 13, Ørsta",62.20066,6.126499
1103532,"Kyrkjegata 9, Ørsta",62.200476,6.127132
1103533,"Kyrkjegata 11, Ørsta",62.200612,6.126753
1103534,"Håkonsgata 62, Ørsta",62.204288,6.129287
1103536,"Kyrkjegata 5, Ørsta",62.200249,6.128086
1103539,"Håkonsgata 102, Ørsta",62.205582,6.117375
1103540,"Håkonsgata 103, Ørsta",62.205473,6.115134
1103541,"Håkonsgata 98, Ørsta",62.205871,6.117424
1103542,"Håkonsgata 101, Ørsta",62.205307,6.115804
1103543,"Håkonsgata 96, Ørsta",62.20614,6.117398
1103544,"Håkonsgata 97, Ørsta",62.205162,6.116588
1103545,"Marjamarka 8, Ørsta",62.206491,6.117461
1103546,"Håkonsgata 95, Ørsta",62.205158,6.117357
1103547,"Bøvegen 5C, Ørsta",62.206275,6.108806
1103548,"Ivar Aasen-gata 4, Ørsta",62.200345,6.125605
1103549,"Bøvegen 5B, Ørsta",62.205872,6.10973
1103550,"Bøvegen 5D, Ørsta",62.206251,6.109366
1103551,"Håkonsgata 108, Ørsta",62.205859,6.115155
1103552,"Håkonsgata 110, Ørsta",62.205901,6.114555
1103553,"Håkonsgata 104, Ørsta",62.205682,6.116557
1103554,"Håkonsgata 105, Ørsta",62.20553,6.114437
1103555,"Kyrkjegata 47, Ørsta",62.202499,6.120323
1103556,"Kyrkjegata 48, Ørsta",62.202696,6.121574
1103557,"Kyrkjegata 42, Ørsta",62.201872,6.123421
1103558,"Kyrkjegata 46, Ørsta",62.202164,6.122355
1103559,"Kyrkjegata 39, Ørsta",62.201919,6.122365
1103560,"Kyrkjegata 40, Ørsta",62.201823,6.123638
1103561,"Kyrkjegata 34, Ørsta",62.201833,6.124156
1103562,"Kyrkjegata 38, Ørsta",62.201736,6.1238
1103563,"Kyrkjegata 62, Ørsta",62.203431,6.118022
1103564,"Kyrkjegata 63, Ørsta",62.203211,6.117832
1103565,"Kyrkjegata 58, Ørsta",62.203212,6.119159
1103566,"Kyrkjegata 61, Ørsta",62.203137,6.118166
1103567,"Kyrkjegata 55, Ørsta",62.202803,6.119344
1103568,"Kyrkjegata 57, Ørsta",62.202926,6.118801
1103569,"Kyrkjegata 51, Ørsta",62.202667,6.11973
1103570,"Kyrkjegata 52, Ørsta",62.202828,6.120118
1103571,"Kyrkjegata 23, Ørsta",62.201287,6.124548
1103572,"Kyrkjegata 24, Ørsta",62.201119,6.125647
1103573,"Kyrkjegata 21, Ørsta",62.20115,6.12499
1103574,"Kyrkjegata 22, Ørsta",62.201107,6.125918
1103575,"Kyrkjegata 17, Ørsta",62.200796,6.12612
1103576,"Kyrkjegata 19, Ørsta",62.200872,6.125882
1103577,"Kyrkjegata 14, Ørsta",62.200759,6.126912
1103578,"Kyrkjegata 15, Ørsta",62.200729,6.126319
1103579,"Kyrkjegata 32, Ørsta",62.201889,6.124814
1103580,"Kyrkjegata 33, Ørsta",62.20163,6.123373
1103581,"Kyrkjegata 30, Ørsta",62.201693,6.124727
1103582,"Kyrkjegata 27, Ørsta",62.201374,6.124084
1103583,"Kyrkjegata 28, Ørsta",62.201569,6.124816
1103584,"Kyrkjegata 25, Ørsta",62.20124,6.124136
1103585,"Kyrkjegata 26, Ørsta",62.201279,6.125503
1103586,"Kyrkjegata 109, Ørsta",62.204686,6.106284
1103588,"Kyrkjegata 105, Ørsta",62.204562,6.10722
1103589,"Kyrkjegata 107, Ørsta",62.204644,6.106827
1103590,"Øvre Strandgate 7, Ørsta",62.204279,6.107776
1103591,"Vinjevollvegen 57, Ørsta",62.204942,6.106824
1103592,"Kyrkjegata 97, Ørsta",62.204396,6.108755
1103593,"Kyrkjegata 99, Ørsta",62.204513,6.107897
1103602,"Kyrkjegata 78, Ørsta",62.203912,6.114379
1103603,"Kyrkjegata 81, Ørsta",62.20398,6.112046
1103604,"Kyrkjegata 73, Ørsta",62.20355,6.11482
1103605,"Kyrkjegata 76, Ørsta",62.203865,6.114711
1103606,"Kyrkjegata 68, Ørsta",62.203577,6.116854
1103607,"Kyrkjegata 70, Ørsta",62.203682,6.116196
1103608,"Kyrkjegata 64, Ørsta",62.203476,6.117614
1103609,"Kyrkjegata 66, Ørsta",62.203531,6.117243
1103610,"Kyrkjegata 94, Ørsta",62.204508,6.109783
1103611,"Kyrkjegata 95, Ørsta",62.20416,6.109066
1103612,"Kyrkjegata 91, Ørsta",62.204305,6.109533
1103613,"Kyrkjegata 93A, Ørsta",62.204378,6.10919
1103614,"Kyrkjegata 86, Ørsta",62.204183,6.112315
1103615,"Kyrkjegata 88, Ørsta",62.204238,6.111944
1103616,"Kyrkjegata 84, Ørsta",62.204129,6.112724
1103617,"Kyrkjegata 85, Ørsta",62.204095,6.111092
1103628,"Haraldsgata 14, Ørsta",62.208556,6.122612
1103629,"Haraldsgata 15, Ørsta",62.208092,6.12231
1103630,"Haraldsgata 10, Ørsta",62.208477,6.123543
1103631,"Haraldsgata 12A, Ørsta",62.208347,6.123011
1103632,"Haraldsgata 8, Ørsta",62.20848,6.123697
1103633,"Haraldsgata 9, Ørsta",62.208051,6.123814
1103635,"Haraldsgata 24, Ørsta",62.208615,6.119355
1103636,"Haraldsgata 25, Ørsta",62.2082,6.119279
1103637,"Haraldsgata 22, Ørsta",62.20865,6.120179
1103638,"Haraldsgata 23, Ørsta",62.208184,6.120243
1103639,"Haraldsgata 20, Ørsta",62.208588,6.120685
1103640,"Haraldsgata 21, Ørsta",62.208169,6.120841
1103641,"Haraldsgata 16, Ørsta",62.208579,6.121975
1103642,"Haraldsgata 18, Ørsta",62.208625,6.121163
1103648,"Grepalivegen 37, Ørsta",62.207759,6.120957
1103673,"Haraldsgata 38, Ørsta",62.208695,6.117616
1103674,"Haraldsgata 40, Ørsta",62.209244,6.117641
1103675,"Haraldsgata 36, Ørsta",62.208688,6.118156
1103676,"Haraldsgata 37, Ørsta",62.208337,6.115534
1103677,"Haraldsgata 31, Ørsta",62.208273,6.117599
1103678,"Haraldsgata 33, Ørsta",62.208304,6.116942
1103679,"Haraldsgata 27, Ørsta",62.20825,6.118678
1103680,"Haraldsgata 29, Ørsta",62.208266,6.118138
1103687,"Haraldsgata 42, Ørsta",62.208595,6.117106
1103807,"Grepalivegen 1E, Ørsta",62.205044,6.119984
1103808,"Grepalivegen 1F, Ørsta",62.20505,6.119849
1103809,"Grepalivegen 1C, Ørsta",62.205022,6.120256
1103810,"Grepalivegen 1D, Ørsta",62.205029,6.12014
1103811,"Grepalivegen 1A, Ørsta",62.205028,6.120544
1103813,"Grepalivegen 1B, Ørsta",62.205034,6.120389
1103831,"Grepalivegen 22, Ørsta",62.207371,6.123494
1103832,"Grepalivegen 24, Ørsta",62.207394,6.124146
1103833,"Grepalivegen 18, Ørsta",62.207369,6.122356
1103834,"Grepalivegen 20, Ørsta",62.207379,6.123032
1103835,"Grepalivegen 12, Ørsta",62.206098,6.121865
1103836,"Grepalivegen 15, Ørsta",62.206206,6.121008
1103837,"Grepalivegen 9, Ørsta",62.205835,6.120909
1103838,"Grepalivegen 33, Ørsta",62.207699,6.121963
1103839,"Grepalivegen 35, Ørsta",62.207734,6.121498
1103840,"Grepalivegen 30, Ørsta",62.207695,6.123944
1103841,"Grepalivegen 32, Ørsta",62.20802,6.123144
1103842,"Grepalivegen 27, Ørsta",62.207171,6.121628
