,Navn,Long,Lat
20732,"111/1, Hjørundfjord",62.32325,6.443938
43889,"117/4, Hjørundfjord",62.250918,6.503662
1102792,"Rynningen 101, Hjørundfjord",62.254337,6.504161
1102793,"Rynningen 97, Hjørundfjord",62.253813,6.504975
1102794,"Rynningen 113, Hjørundfjord",62.253718,6.504193
1102795,"Rynningen 100, Hjørundfjord",62.254812,6.50364
1102796,"Rynningen 16, Hjørundfjord",62.26178,6.502524
1102797,"Rynningen 102, Hjørundfjord",62.253701,6.503289
1102798,"Trandal 125, Hjørundfjord",62.265282,6.500499
1102799,"Ytre-Trandal 33, Hjørundfjord",62.262945,6.499441
1102804,"Rynningen 163, Hjørundfjord",62.249544,6.504827
1102805,"Rynningen 104, Hjørundfjord",62.255366,6.503459
1102806,"Rynningen 152, Hjørundfjord",62.250441,6.504271
1102807,"Ytre-Trandal 9, Hjørundfjord",62.263086,6.50124
1102808,"Nes 146, Hjørundfjord",62.273893,6.477599
1102809,"Nes 126, Hjørundfjord",62.272854,6.479189
1102810,"Nes 158, Hjørundfjord",62.274375,6.474937
1102811,"Nes 149, Hjørundfjord",62.273566,6.476874
1102812,"Trandal 108, Hjørundfjord",62.26461,6.502097
1102813,"Trandal 93, Hjørundfjord",62.26493,6.498948
1102814,"Ytre-Trandal 17, Hjørundfjord",62.262712,6.500462
1102816,"Trandal 149, Hjørundfjord",62.265763,6.502747
1102817,"Trandal 82, Hjørundfjord",62.26457,6.498901
1102818,"Ytre-Trandal 15, Hjørundfjord",62.262692,6.499808
1102819,"Trandal 95, Hjørundfjord",62.264514,6.499754
1102820,"Trandal 76, Hjørundfjord",62.264336,6.499364
1104376,"Trandal 109, Hjørundfjord",62.264515,6.500794
1105109,"Ytre-Trandal 45, Hjørundfjord",62.264465,6.496939
1105549,"Ytre-Trandal 26, Hjørundfjord",62.264375,6.497888
1105699,"Trandal 113, Hjørundfjord",62.264792,6.500251
1105807,"Rynningen 167, Hjørundfjord",62.247882,6.506794
1106018,"Trandal 129, Hjørundfjord",62.265562,6.500091
1106059,"Ytre-Trandal 24, Hjørundfjord",62.264119,6.498289
1106121,"Ytre-Trandal 43, Hjørundfjord",62.264212,6.497285
1106122,"Ytre-Trandal 41, Hjørundfjord",62.26399,6.4976
1949793,"Ytre-Trandal 12, Hjørundfjord",62.263504,6.499682
1949796,"Trandal 127, Hjørundfjord",62.265145,6.501047
