,Navn,Long,Lat
20637,"125/9, Hjørundfjord",62.18678,6.680348
20640,"128/5, Hjørundfjord",62.190103,6.662472
20780,"119/37, Hjørundfjord",62.221238,6.571761
20792,"127/4, Hjørundfjord",62.185518,6.685422
34054,"120/11, Hjørundfjord",62.219195,6.573237
43801,"125/24, Hjørundfjord",62.192859,6.660342
44800,"123/27, Hjørundfjord",62.213523,6.57925
1102656,"Norangdal 42, Hjørundfjord",62.192703,6.659366
1102657,"Norangdal 86, Hjørundfjord",62.190124,6.665561
1102658,"Norangdal 96, Hjørundfjord",62.19043,6.667209
1102659,"Norangdal 147, Hjørundfjord",62.187161,6.675176
1102660,"Norangdal 88, Hjørundfjord",62.190065,6.665815
1102661,"Norangdal 205, Hjørundfjord",62.187505,6.683925
1102662,"Norangdal 255, Hjørundfjord",62.186421,6.692733
1102663,"Norangdal 220, Hjørundfjord",62.185886,6.687028
1102664,"Norangdal 260, Hjørundfjord",62.186159,6.693138
1102665,"Norangdal 248, Hjørundfjord",62.18654,6.690149
1102666,"Norangdal 250, Hjørundfjord",62.186362,6.691335
1102667,"Norangdal 243, Hjørundfjord",62.186951,6.690021
1102668,"Norangdal 262, Hjørundfjord",62.185887,6.693562
1102669,"Norangdal 83, Hjørundfjord",62.190563,6.66583
1102670,"Urkevegen 434, Hjørundfjord",62.207375,6.610705
1102672,"Urkevegen 431, Hjørundfjord",62.208282,6.609633
1102673,"Urkevegen 224, Hjørundfjord",62.212152,6.572914
1102674,"Urkevegen 234, Hjørundfjord",62.211929,6.575048
1102675,"Klokksvegen 8, Hjørundfjord",62.213105,6.572491
1102676,"Urkevegen 226, Hjørundfjord",62.210884,6.574343
1102677,"Klokksvegen 10, Hjørundfjord",62.212844,6.572954
1102678,"Norangdal 141, Hjørundfjord",62.187661,6.674496
1102679,"Norangdal 181, Hjørundfjord",62.186182,6.6768
1102680,"Norangdal 53, Hjørundfjord",62.192268,6.661185
1102681,"Norangdal 84, Hjørundfjord",62.190324,6.665143
1102682,"Norangdal 50, Hjørundfjord",62.192353,6.659795
1102683,"Norangdal 32, Hjørundfjord",62.193206,6.657134
1102684,"Urkevegen 315, Hjørundfjord",62.21225,6.589853
1102685,"Urkevegen 441, Hjørundfjord",62.207627,6.611447
1102699,"Norang 35, Hjørundfjord",62.188783,6.660609
1102700,"Norang 21, Hjørundfjord",62.188558,6.663909
1102701,"Norang 39, Hjørundfjord",62.189163,6.660734
1102702,"Norang 30, Hjørundfjord",62.188921,6.661867
1102703,"Norang 41, Hjørundfjord",62.189515,6.660841
1102704,"Norangdal 212, Hjørundfjord",62.186107,6.684147
1102705,"Norang 24, Hjørundfjord",62.188773,6.663724
1102710,"Stenes 375, Hjørundfjord",62.203103,6.598928
1102712,"Norang 8, Hjørundfjord",62.189387,6.664964
1102713,"Stenes 372, Hjørundfjord",62.203328,6.599448
1102800,"Urkevegen 7, Hjørundfjord",62.205906,6.53049
1102801,"Urkevegen 166, Hjørundfjord",62.211251,6.56458
1102802,"Urkevegen 15, Hjørundfjord",62.20649,6.536558
1102803,"Urkevegen 11, Hjørundfjord",62.206417,6.535487
1102821,"Skulebakken 15, Hjørundfjord",62.214036,6.569723
1102822,"Skulebakken 13, Hjørundfjord",62.213858,6.569314
1102823,"Indre-Urke 26, Hjørundfjord",62.209548,6.570892
1102824,"Urkevegen 217, Hjørundfjord",62.212666,6.572007
1102825,"Urkevegen 206, Hjørundfjord",62.212458,6.569888
1102826,"Klokksvegen 3, Hjørundfjord",62.212851,6.570761
1102827,"Urkegjerde 58, Hjørundfjord",62.217572,6.571132
1102828,"Urkegjerde 55, Hjørundfjord",62.217642,6.569972
1102829,"Skulebakken 5, Hjørundfjord",62.213184,6.569811
1102830,"Klokksvegen 9, Hjørundfjord",62.213265,6.571362
1102831,"Indre-Urke 43, Hjørundfjord",62.209145,6.572482
1102832,"Indre-Urke 22, Hjørundfjord",62.210508,6.570353
1102833,"Klokksvegen 14, Hjørundfjord",62.213496,6.572229
1102834,"Skulebakken 9, Hjørundfjord",62.213562,6.568799
1102835,"Skulebakken 7, Hjørundfjord",62.213415,6.569677
1102836,"Urkegjerde 3, Hjørundfjord",62.213183,6.566675
1102837,"Urkevegen 168, Hjørundfjord",62.210764,6.564447
1102838,"Urkevegen 187, Hjørundfjord",62.212769,6.566112
1102839,"Urkevegen 185, Hjørundfjord",62.212595,6.565934
1102840,"Urkevegen 170, Hjørundfjord",62.211066,6.565269
1102841,"Urkevegen 159, Hjørundfjord",62.211335,6.563208
1102842,"Urkevegen 172, Hjørundfjord",62.211409,6.564875
1102843,"Ytre-Urke 77, Hjørundfjord",62.216967,6.565313
1102844,"Urkegjerde 59, Hjørundfjord",62.217775,6.570923
1102845,"Urkevegen 137, Hjørundfjord",62.209864,6.55771
1102846,"Urkevegen 139, Hjørundfjord",62.209935,6.558185
1102847,"Urkegjerde 48, Hjørundfjord",62.21662,6.571131
1102848,"Urkevegen 150, Hjørundfjord",62.209431,6.565227
1102849,"Urkegjerde 24, Hjørundfjord",62.215364,6.568645
1102850,"Urkegjerde 38, Hjørundfjord",62.215928,6.570356
1104391,"Indre-Urke 28, Hjørundfjord",62.209184,6.569575
1104434,"Urkevegen 302, Hjørundfjord",62.21198,6.587778
1104470,"Klokksvegen 2, Hjørundfjord",62.212705,6.571254
1104472,"Urkevegen 178, Hjørundfjord",62.211988,6.565598
1104964,"Norangdal 295, Hjørundfjord",62.186985,6.701262
1104965,"Norangdal 297, Hjørundfjord",62.187799,6.702161
1104975,"Urkevegen 13, Hjørundfjord",62.206309,6.535976
1104976,"Urkevegen 9A, Hjørundfjord",62.207381,6.538178
1104980,"Norangdal 52, Hjørundfjord",62.192265,6.660436
1104981,"Lisjeholen 18, Hjørundfjord",62.187347,6.660105
1105108,"Urkegjerde 70, Hjørundfjord",62.218189,6.573045
1105432,"Urkevegen 304, Hjørundfjord",62.211951,6.588184
1105465,"Urkevegen 16, Hjørundfjord",62.206041,6.537075
1105507,"Haugemyrvegen 30, Hjørundfjord",62.212911,6.579855
1105554,"Haugemyrvegen 34, Hjørundfjord",62.212884,6.580376
1105646,"Haugemyrvegen 70, Hjørundfjord",62.214247,6.57819
1105677,"Norang 28, Hjørundfjord",62.18894,6.662423
1105678,"Stenes 376, Hjørundfjord",62.203241,6.599109
1105679,"Norang 26, Hjørundfjord",62.188876,6.662908
1105680,"Norangdal 189, Hjørundfjord",62.186002,6.680085
1105681,"Norangdal 183, Hjørundfjord",62.18651,6.677063
1105682,"Norangdal 47, Hjørundfjord",62.192645,6.66008
1105683,"Norangdal 56, Hjørundfjord",62.191893,6.66131
1105694,"Klokksvegen 38, Hjørundfjord",62.213691,6.575416
1105695,"Urkevegen 426, Hjørundfjord",62.207885,6.60953
1105696,"Urkevegen 5, Hjørundfjord",62.206251,6.531692
1105697,"Urkegjerde 56, Hjørundfjord",62.217363,6.571514
1105725,"Ytre-Urke 54, Hjørundfjord",62.214678,6.565401
1105812,"Urkevegen 1, Hjørundfjord",62.205871,6.534031
1105813,"Norangdal 266, Hjørundfjord",62.185281,6.694934
1105860,"Lisjeholen 20, Hjørundfjord",62.186934,6.662809
1105876,"Haugemyrvegen 23, Hjørundfjord",62.212924,6.577546
1105887,"Lisjeholen 16, Hjørundfjord",62.187538,6.662157
1105893,"Urkegjerde 89, Hjørundfjord",62.220706,6.571111
1105895,"Urkegjerde 87, Hjørundfjord",62.220531,6.570836
1105900,"Urkegjerde 93, Hjørundfjord",62.221029,6.571585
1105901,"Haugemyrvegen 22, Hjørundfjord",62.212884,6.578337
1105914,"Urkegjerde 91, Hjørundfjord",62.220891,6.571404
1105915,"Urkevegen 310, Hjørundfjord",62.211973,6.588913
1105927,"Urkevegen 248, Hjørundfjord",62.212153,6.577588
1105930,"Urkevegen 246, Hjørundfjord",62.212066,6.577268
1105933,"Haugemyrvegen 29, Hjørundfjord",62.213251,6.579289
1105934,"Haugemyrvegen 38, Hjørundfjord",62.212868,6.581013
1105935,"Haugemyrvegen 26, Hjørundfjord",62.212937,6.579295
1105941,"Haugemyrvegen 62, Hjørundfjord",62.213958,6.580175
1106017,"Norang 47, Hjørundfjord",62.189994,6.66174
1106113,"Norangdal 203, Hjørundfjord",62.187486,6.683369
1106127,"Norangdal 222, Hjørundfjord",62.185369,6.68593
1106132,"Norangdal 41, Hjørundfjord",62.19307,6.659605
1106138,"Haugemyrvegen 56, Hjørundfjord",62.213896,6.580738
1106187,"Klokksvegen 16, Hjørundfjord",62.213473,6.572481
1106199,"Urkegjerde 63, Hjørundfjord",62.218193,6.569639
1106200,"Urkevegen 218, Hjørundfjord",62.212205,6.571871
1106202,"Urkevegen 157, Hjørundfjord",62.210915,6.562319
1106234,"Urkevegen 290, Hjørundfjord",62.212191,6.586472
1106335,"Klokksvegen 23, Hjørundfjord",62.213343,6.573261
1655615,"Haugemyrvegen 39, Hjørundfjord",62.213198,6.581005
1830528,"Haugemyrvegen 40, Hjørundfjord",62.212906,6.581564
1857173,"Norangdal 98, Hjørundfjord",62.190589,6.666978
1920268,"Urkevegen 198, Hjørundfjord",62.212407,6.56753
1928186,"Haugemyrvegen 52, Hjørundfjord",62.213779,6.581353
1932748,"Indre-Urke 30, Hjørundfjord",62.208856,6.56985
1933127,"Norangdal 81, Hjørundfjord",62.190794,6.665219
1949711,"Skulebakken 17, Hjørundfjord",62.214272,6.569956
1949713,"Klokksvegen 36, Hjørundfjord",62.213707,6.574712
1949799,"Urkevegen 3, Hjørundfjord",62.206268,6.532595
1950111,"Norangdal 58, Hjørundfjord",62.191622,6.661178
1950127,"Norang 51, Hjørundfjord",62.189854,6.662407
1950128,"Norang 45, Hjørundfjord",62.190002,6.661072
1950129,"Norang 57, Hjørundfjord",62.189867,6.663719
1950130,"Lisjeholen 15, Hjørundfjord",62.187099,6.665278
2005207,"Urkevegen 19, Hjørundfjord",62.206552,6.537838
2005208,"Urkevegen 17, Hjørundfjord",62.206538,6.537617
2012566,"Indre-Urke 46, Hjørundfjord",62.209005,6.573145
2013458,"Urkegjerde 107, Hjørundfjord",62.221066,6.570174
2013471,"Urkegjerde 111, Hjørundfjord",62.220954,6.569784
2013472,"Urkegjerde 109, Hjørundfjord",62.221268,6.569988
2013473,"Urkevegen 105, Hjørundfjord",62.221254,6.570464
2022008,"Norang 27, Hjørundfjord",62.187848,6.662552
2023737,"Urkevegen 9B, Hjørundfjord",62.207332,6.539443
2032760,"Haugemyrvegen 49, Hjørundfjord",62.213451,6.581149
2045293,"Urkevegen 312, Hjørundfjord",62.211933,6.589311
2049694,"Norangdal 254, Hjørundfjord",62.186074,6.690084
2049696,"Norangdal 252, Hjørundfjord",62.186241,6.690838
2107126,"Haugemyrvegen 68, Hjørundfjord",62.214125,6.578909
2184945,"Urkevegen 183, Hjørundfjord",62.21241,6.565603
2386021,"Urkevegen 358, Hjørundfjord",62.210635,6.598235
2461093,"Norangdal 207, Hjørundfjord",62.1887,6.685621
2461094,"Norangdal 211, Hjørundfjord",62.188755,6.686822
2461095,"Norangdal 209, Hjørundfjord",62.188706,6.686485
