,Navn,Long,Lat
5285,"49/55, Norddal",62.252747,7.236212
5286,"49/58, Norddal",62.252154,7.23825
5287,"49/64, Norddal",62.243364,7.251757
5288,"49/71, Norddal",62.24483,7.24755
5289,"52/3, Norddal",62.224678,7.289835
5290,"53/1-3, Norddal",62.253799,7.231356
5291,"53/33, Norddal",62.253847,7.232316
5292,"53/1-4, Norddal",62.254126,7.231664
5299,"53/4-1, Norddal",62.247317,7.238455
5329,"72/8, Norddal",62.252739,7.290845
5332,"50/2, Norddal",62.192573,7.341752
5367,"50/1, Norddal",62.188879,7.339149
5390,"53/7-2, Norddal",62.242784,7.247113
5391,"54/4-2, Norddal",62.213437,7.323665
5394,"6/10, Norddal",62.232792,7.262165
5403,"52/2-1, Norddal",62.222427,7.253969
5407,"52/7-2, Norddal",62.223435,7.254489
5421,"49/86, Norddal",62.244555,7.247973
5428,"52/20, Norddal",62.236781,7.261823
5435,"49/88, Norddal",62.251741,7.238293
5436,"49/87, Norddal",62.251794,7.238232
5437,"54/10, Norddal",62.249478,7.219286
5438,"54/9, Norddal",62.249592,7.219741
5445,"49/89, Norddal",62.251895,7.23838
31157,"49/75, Norddal",62.245137,7.247305
40611,"52/44, Norddal",62.223351,7.254905
45533,"49/93, Norddal",62.246997,7.245601
513441,"Dalssida 6, Norddal",62.254504,7.235282
513443,"Dalsvegen 57, Norddal",62.248818,7.246416
513444,"Dalssida 40, Norddal",62.251472,7.239041
513445,"Dalssida 138, Norddal",62.24492,7.248394
513446,"Dalssida 102, Norddal",62.24719,7.243295
513461,"Dalssida 162, Norddal",62.24392,7.252418
513462,"Dalssida 17, Norddal",62.253388,7.235582
513463,"Dalssida 21, Norddal",62.25312,7.235902
513464,"Dalssida 23, Norddal",62.252926,7.236144
513465,"Gullsmedvegen 29, Norddal",62.256345,7.237133
513466,"Dalssida 1, Norddal",62.254326,7.233633
513467,"Dalssida 33, Norddal",62.251982,7.237451
513468,"Dalhusvegen 26, Norddal",62.242122,7.252946
513469,"Holebrauta 79, Norddal",62.23979,7.261723
513470,"Dalhusvegen 16, Norddal",62.242843,7.252442
513471,"Holebrauta 29, Norddal",62.239853,7.256753
513472,"Dalsvegen 10, Norddal",62.250373,7.242282
513473,"Dalsvegen 59, Norddal",62.248468,7.246378
513474,"Dalssida 22, Norddal",62.253255,7.236626
513475,"Dalssida 143, Norddal",62.244519,7.248649
513476,"Dalssida 150, Norddal",62.244058,7.250523
513477,"Dalsvegen 61, Norddal",62.248332,7.246983
513478,"Gullsmedvegen 41, Norddal",62.257479,7.237611
513479,"Dalsvegen 37, Norddal",62.24958,7.244908
513480,"Dalssida 202, Norddal",62.242352,7.260555
513481,"Dalssida 220, Norddal",62.241577,7.263199
513482,"Dalssida 46, Norddal",62.251053,7.239258
513483,"Dalssida 127, Norddal",62.245538,7.246857
513484,"Dalssida 2, Norddal",62.254809,7.234551
513485,"Dalssida 38, Norddal",62.251888,7.239286
513486,"Dalssida 35, Norddal",62.251797,7.23777
513487,"Dalssida 30, Norddal",62.252566,7.237475
513488,"Rellingsvegen 131, Norddal",62.24637,7.241668
513489,"Rellingsvegen 48, Norddal",62.252388,7.234808
513490,"Rellingsvegen 45, Norddal",62.252303,7.233773
513491,"Rellingsvegen 46, Norddal",62.252481,7.234341
513492,"Rellingsvegen 111, Norddal",62.247821,7.239292
513493,"Rellingsvegen 133, Norddal",62.246127,7.241663
513494,"Rellingsvegen 1, Norddal",62.252424,7.228432
513495,"Rellingsvegen 32, Norddal",62.253719,7.232805
513496,"Hatlestadfjellvegen 207, Norddal",62.243127,7.232347
513497,"Hatlestadfjellvegen 319, Norddal",62.247931,7.21905
513498,"Hatlestadfjellvegen 477, Norddal",62.251777,7.19843
513499,"Hatlestadfjellvegen 451, Norddal",62.250824,7.203592
513501,"Hatlestadfjellvegen 449, Norddal",62.251071,7.204172
513502,"Holebrauta 38, Norddal",62.239077,7.257838
513503,"Holebrauta 15, Norddal",62.240991,7.256534
