,Navn,Long,Lat
16495,"56/18, Ikornnes",62.364392,6.41039
16499,"56/16, Ikornnes",62.343252,6.486588
16500,"53/7, Ikornnes",62.377371,6.425979
16741,"57/5-1, Ikornnes",62.342539,6.486193
28991,"55/36, Ikornnes",62.362233,6.438411
29682,"53/3, Ikornnes",62.378956,6.432211
37761,"51/28, Ikornnes",62.379362,6.414519
44401,"51/16, Ikornnes",62.379638,6.414056
1472390,"Leirskogen 23, Ikornnes",62.374606,6.432351
1472391,"Leirskogen 20, Ikornnes",62.374996,6.43253
1472392,"Leirskogen 25, Ikornnes",62.37419,6.432677
1472393,"Blikhaugen 29, Ikornnes",62.374412,6.436932
1472415,"Leirskogen 9A, Ikornnes",62.374381,6.428251
1472416,"Leirskogen 15, Ikornnes",62.374536,6.42903
1492214,"Kursetstranda 195, Ikornnes",62.385462,6.412344
1492216,"Kursetstranda 190, Ikornnes",62.385618,6.410087
1492217,"Kursetstranda 184, Ikornnes",62.385035,6.410621
1492219,"Kursetstranda 97, Ikornnes",62.378523,6.41687
1492513,"Kursetstranda 177, Ikornnes",62.384511,6.411382
1537991,"Gjævenesvegen 34, Ikornnes",62.366653,6.432548
1537992,"Gjævenesvegen 36, Ikornnes",62.366647,6.433225
1537995,"Gjævenesvegen 40, Ikornnes",62.367916,6.426059
1537996,"Gjævenesvegen 7, Ikornnes",62.370226,6.426151
1537997,"Gjævenesvegen 28, Ikornnes",62.368441,6.426284
1538002,"Gjævenesvegen 138, Ikornnes",62.363315,6.409459
1538005,"Gjævenesvegen 108, Ikornnes",62.364474,6.41338
1538007,"Gjævenesvegen 106, Ikornnes",62.36465,6.414138
1538008,"Gjævenesvegen 136, Ikornnes",62.363545,6.409787
1538009,"Gjævenesvegen 110, Ikornnes",62.364391,6.412749
1538010,"Gjævenesvegen 80, Ikornnes",62.364241,6.422101
1538011,"Gjævenesvegen 78, Ikornnes",62.364428,6.422472
1538012,"Gjævenesvegen 104, Ikornnes",62.364771,6.414824
1538013,"Gjævenesvegen 102, Ikornnes",62.364854,6.415436
1538031,"Gjævenesvegen 74, Ikornnes",62.36533,6.420789
1538032,"Kursetvegen 18, Ikornnes",62.375998,6.423586
1538089,"Gjævenesvegen 228, Ikornnes",62.359448,6.406796
1538093,"Gjævenesvegen 211, Ikornnes",62.357866,6.405753
1538094,"Gjævenesvegen 213, Ikornnes",62.358057,6.405891
