,Navn,Long,Lat
1695,"35/185, Vike",62.617665,7.208096
1813,"35/133, Vike",62.617909,7.208566
1814,"35/132, Vike",62.618232,7.207884
1830,"35/131, Vike",62.617932,7.207551
17215,"201/11-1, Vågstranda",62.580178,7.223784
34027,"190/4-1, Vågstranda",62.589322,7.325972
34029,"196/31-8, Vågstranda",62.586058,7.239465
34030,"196/31-6, Vågstranda",62.586215,7.239429
34031,"196/31-2, Vågstranda",62.587039,7.238706
34032,"196/31-3, Vågstranda",62.586819,7.239631
34038,"Reistadsetra, 193/1-5, Vågstranda",62.584973,7.294907
34039,"Reistadsetra, 194/1-1, Vågstranda",62.584859,7.294896
34040,"Reistadsetra, 193/1-3, Vågstranda",62.585084,7.294898
34112,"191/2-1, Vågstranda",62.604662,7.325488
35596,"Hjelvika, 201/72, Vågstranda",62.58137,7.226653
40023,"195/4, Vågstranda",62.602673,7.283264
40024,"196/3, Vågstranda",62.605496,7.277646
40225,"196/31-4, Vågstranda",62.586569,7.23776
40227,"196/31-9, Vågstranda",62.585998,7.238281
40587,"196/1-12, Vågstranda",62.584801,7.239464
40588,"Reistad Øvre, 192/11, Vågstranda",62.58666,7.321949
40589,"Reistad Øvre, 192/10, Vågstranda",62.586616,7.32127
40590,"Reistadsetra, 194/1, Vågstranda",62.585183,7.29483
40591,"Lomtjønna, 189/1-1, Vågstranda",62.574151,7.317257
40592,"192/1-3, Vågstranda",62.574512,7.307313
40593,"192/1-4, Vågstranda",62.574398,7.307269
40594,"192/1-5, Vågstranda",62.574085,7.30733
40595,"192/3-1, Vågstranda",62.586902,7.30457
40596,"190/5-2, Vågstranda",62.589311,7.326401
40597,"192/1, Vågstranda",62.574955,7.307747
40598,"192/1-1, Vågstranda",62.574811,7.306934
40599,"192/1-2, Vågstranda",62.574513,7.306842
40600,"185/1-1, Vågstranda",62.578008,7.341878
40601,"185/1-2, Vågstranda",62.578101,7.341702
40602,"185/1-3, Vågstranda",62.578145,7.341793
40603,"196/31-7, Vågstranda",62.58628,7.239803
40604,"196/31-10, Vågstranda",62.586532,7.239492
40605,"196/31-5, Vågstranda",62.586242,7.239053
40606,"190/5-3, Vågstranda",62.58927,7.327042
40607,"Reistadsetra, 193/1-4, Vågstranda",62.585081,7.294893
40608,"Bjerke, 190/3-1, Vågstranda",62.588364,7.326396
41609,"201/80, Vågstranda",62.609335,7.236356
300645,"Vestnesvegen 640, Vike",62.616841,7.205753
301761,"Vestnesvegen 643, Vike",62.617091,7.206738
302247,"Vestnesvegen 641, Vike",62.61733,7.206106
899203,"Vikåsvegen 150, Vågstranda",62.606051,7.27864
900658,"Vågstrandsvegen 325, Vågstranda",62.605659,7.314563
900793,"Hjelviksvingan 414, Vågstranda",62.609692,7.238859
900962,"Øver-Vågsvegen 74, Vågstranda",62.57958,7.359187
901168,"Vikåsvegen 364, Vågstranda",62.600176,7.244332
901236,"Vikåsvegen 130, Vågstranda",62.603745,7.283589
901359,"Hjelviksvingan 343, Vågstranda",62.613953,7.248632
901374,"Øvre veg 9, Vågstranda",62.605067,7.319117
901375,"Øver-Vågsvegen 99, Vågstranda",62.581805,7.361768
