,Navn,Long,Lat
1681,"20/34, Tresfjord",62.518587,7.100931
1682,"13/48, Tresfjord",62.515307,7.142811
1683,"15/4, Tresfjord",62.484961,7.1708
1684,"15/10, Tresfjord",62.480458,7.1794
1691,"18/40, Tresfjord",62.470074,7.028963
1692,"17/17, Tresfjord",62.493201,7.075795
1693,"18/13/1, Tresfjord",62.471102,7.029154
1694,"18/13/2, Tresfjord",62.471344,7.028646
1804,"18/31, Tresfjord",62.477008,7.040632
1808,"21/8, Tresfjord",62.535987,7.091638
1809,"22/16, Tresfjord",62.536283,7.090466
1827,"23/27, Tresfjord",62.542717,7.086113
1837,"18/1/3, Tresfjord",62.469553,7.028318
1838,"18/21, Tresfjord",62.467631,7.038531
1839,"13/8-1, Tresfjord",62.517211,7.136067
1841,"18/1-1, Tresfjord",62.502188,7.124558
1842,"19/4-1, Tresfjord",62.51276,7.127526
1845,"18/10/4, Tresfjord",62.471931,7.030799
1851,"18/10/5, Tresfjord",62.47244,7.02933
1854,"18/7/1, Tresfjord",62.475538,7.035044
1875,"18/34, Tresfjord",62.46815,7.038982
1882,"18/19/2, Tresfjord",62.473594,7.032489
1894,"23/7-1, Tresfjord",62.539569,7.125434
1897,"23/33, Tresfjord",62.543414,7.087799
1901,"18/10/2, Tresfjord",62.47212,7.028944
1903,"18/13/3, Tresfjord",62.471792,7.028597
1904,"18/10/6, Tresfjord",62.473205,7.032127
1905,"18/3/1, Tresfjord",62.474427,7.032866
1912,"18/10/8, Tresfjord",62.472468,7.031494
1916,"18/10/3, Tresfjord",62.473606,7.030495
1921,"18/10/9, Tresfjord",62.472032,7.029668
21057,"18/10/7, Tresfjord",62.473044,7.03044
26878,"18/10/10, Tresfjord",62.472596,7.030908
29969,"23/34, Tresfjord",62.543201,7.087941
30260,"17/16, Tresfjord",62.476669,7.038056
30264,"17/20, Tresfjord",62.47609,7.03503
30269,"18/29, Tresfjord",62.483038,7.051671
30399,"15/14-1, Tresfjord",62.484431,7.166826
30513,"22/4-1, Tresfjord",62.536258,7.0921
30514,"22/18, Tresfjord",62.536661,7.092315
30522,"21/1-2, Tresfjord",62.536446,7.092775
31714,"18/47, Tresfjord",62.467115,7.039789
32281,"18/48, Tresfjord",62.479904,7.042785
32855,"18/10/11, Tresfjord",62.472258,7.030509
32870,"13/2-1, Tresfjord",62.514406,7.160438
