,Navn,Long,Lat
1068,"133/33, Molde Domkirke",62.738316,7.03337
1136,"135/1-7, Molde Domkirke",62.753043,7.066524
1178,"15/14, Aukra",62.771921,6.978808
1179,"21/8, Aukra",62.750293,6.993369
1180,"21/2/1, Aukra",62.761798,6.993547
40410,"131/39-1, Molde Domkirke",62.752841,7.043401
42705,"135/3-2, Molde Domkirke",62.748463,7.062236
60664,"Jendemsbukta 136, Vågøy og Myrbostad",62.790074,6.984276
60665,"Jendemsbukta 130, Vågøy og Myrbostad",62.790158,6.986237
60666,"Jendemsbukta 128, Vågøy og Myrbostad",62.790003,6.986793
60692,"Jendemsbukta 43, Vågøy og Myrbostad",62.788898,7.000772
60693,"Jendemsbukta 74, Vågøy og Myrbostad",62.79078,6.990928
60695,"Hoemsvegen 848, Vågøy og Myrbostad",62.790465,7.00917
60696,"Jendemsbukta 21, Vågøy og Myrbostad",62.788352,7.004272
60697,"Jendemsbukta 56, Vågøy og Myrbostad",62.790464,6.99724
60700,"Jendemsbukta 17, Vågøy og Myrbostad",62.79001,7.004354
60706,"Jendemsbukta 70, Vågøy og Myrbostad",62.791295,6.991815
60707,"Jendemsbukta 147, Vågøy og Myrbostad",62.790281,6.982433
60708,"Jendemsbukta 132, Vågøy og Myrbostad",62.790189,6.9854
60709,"Jendemsbukta 102, Vågøy og Myrbostad",62.78889,6.98939
60710,"Jendemsbukta 107, Vågøy og Myrbostad",62.787511,6.987759
60726,"Hoemsvegen 827, Vågøy og Myrbostad",62.79166,7.006105
60731,"Jendemsbukta 80, Vågøy og Myrbostad",62.789505,6.992172
63814,"Hoemsvegen 847, Vågøy og Myrbostad",62.790743,7.009254
63818,"Jendemsbukta 58, Vågøy og Myrbostad",62.790982,6.99819
64049,"Jendemsbukta 45, Vågøy og Myrbostad",62.788724,7.001029
64435,"Jendemsbukta 79, Vågøy og Myrbostad",62.786969,6.991121
64582,"Trafovegen 16, Vågøy og Myrbostad",62.787371,7.008219
118379,"Nybyggervegen 13, Vågøy og Myrbostad",62.785378,7.004644
200943,"Barvegen 6, Molde Domkirke",62.728088,7.010335
200944,"Haukabøvegen 57, Molde Domkirke",62.730445,7.035538
200945,"Barvegen 2, Molde Domkirke",62.72823,7.011499
200946,"Barvegen 18, Molde Domkirke",62.727883,7.015553
200947,"Julsundvegen 722, Molde Domkirke",62.728275,7.02064
200948,"Haukabøvegen 37, Molde Domkirke",62.729947,7.031009
200949,"Haukabøvegen 85, Molde Domkirke",62.732892,7.040835
200950,"Haukabøvegen 77, Molde Domkirke",62.731232,7.037892
200951,"Haukabøvegen 91, Molde Domkirke",62.731872,7.040022
200952,"Haukabøvegen 83, Molde Domkirke",62.732618,7.040031
200953,"Haukabøvegen 87, Molde Domkirke",62.733679,7.041605
200956,"Julsundvegen 724, Molde Domkirke",62.727297,7.023899
201021,"Mordalslia 16, Molde Domkirke",62.733854,7.009203
201022,"Mordalslia 69, Molde Domkirke",62.734775,7.015817
201023,"Julsundvegen 770, Molde Domkirke",62.730974,7.004896
201024,"Mordalslia 5, Molde Domkirke",62.733286,7.005856
201025,"Julsundvegen 909, Molde Domkirke",62.732671,6.987125
201026,"Mordalslia 61, Molde Domkirke",62.734369,7.014177
201027,"Mordalslia 4, Molde Domkirke",62.732895,7.010559
201028,"Julsundvegen 802, Molde Domkirke",62.732064,7.008971
201029,"Julsundvegen 910, Molde Domkirke",62.731528,6.988398
201030,"Julsundvegen 912, Molde Domkirke",62.731504,6.987306
201031,"Julsundvegen 879, Molde Domkirke",62.732354,6.99398
201032,"Julsundvegen 877, Molde Domkirke",62.732303,6.993612
201033,"Barvegen 16, Molde Domkirke",62.727772,7.0147
201034,"Julsundvegen 863, Molde Domkirke",62.732426,6.996717
201035,"Barvegen 10, Molde Domkirke",62.727758,7.010474
201044,"Gausetbuktvegen 31, Molde Domkirke",62.747301,6.996036
201045,"Gausetbuktvegen 12, Molde Domkirke",62.749076,6.995024
201046,"Julsundvegen 1089, Molde Domkirke",62.745124,6.99539
201047,"Julsundvegen 1044, Molde Domkirke",62.741914,6.991354
201048,"Julsundvegen 982, Molde Domkirke",62.736186,6.979452
201049,"Julsundvegen 842, Molde Domkirke",62.732271,7.000777
201050,"Julsundvegen 1042, Molde Domkirke",62.743477,6.991346
201051,"Julsundvegen 980, Molde Domkirke",62.735746,6.98322
205882,"Gausetbuktvegen 61, Molde Domkirke",62.748441,6.993808
205883,"Gausetbuktvegen 39, Molde Domkirke",62.746032,6.99362
206065,"Gausetbuktvegen 59, Molde Domkirke",62.748275,6.994094
206156,"Barvegen 8, Molde Domkirke",62.728032,7.009575
206220,"Barvegen 20, Molde Domkirke",62.727895,7.016224
206242,"Barbuktvegen 4, Molde Domkirke",62.726307,7.012762
206243,"Barbuktvegen 7, Molde Domkirke",62.725057,7.012364
206244,"Gausetbuktvegen 65, Molde Domkirke",62.748731,6.993338
206245,"Gausetbuktvegen 28, Molde Domkirke",62.748304,6.99556
206246,"Julsundvegen 841, Molde Domkirke",62.732829,7.003401
206247,"Gausetbuktvegen 32, Molde Domkirke",62.747947,6.995702
206248,"Gausetbuktvegen 57, Molde Domkirke",62.747866,6.994376
206249,"Gausetbuktvegen 51, Molde Domkirke",62.747011,6.994258
206250,"Gausetbuktvegen 67, Molde Domkirke",62.748964,6.992696
206251,"Gausetbuktvegen 53, Molde Domkirke",62.747525,6.99445
206253,"Gausetbuktvegen 38, Molde Domkirke",62.747424,6.995522
206254,"Julsundvegen 1034, Molde Domkirke",62.741391,6.989878
206259,"Barbuktvegen 1, Molde Domkirke",62.727102,7.013776
206260,"Barbuktvegen 3, Molde Domkirke",62.726707,7.01303
206263,"Barbuktvegen 2, Molde Domkirke",62.726928,7.013367
206264,"Barbuktvegen 6, Molde Domkirke",62.725356,7.012602
206265,"Barbuktvegen 5, Molde Domkirke",62.72679,7.014349
206266,"Barvegen 12, Molde Domkirke",62.726645,7.006753
206638,"Gausetbuktvegen 64, Molde Domkirke",62.748973,6.993968
206642,"Gausetbuktvegen 26, Molde Domkirke",62.748463,6.995315
206653,"Julsundvegen 903, Molde Domkirke",62.732517,6.989057
206987,"Gausetbuktvegen 66, Molde Domkirke",62.749211,6.993658
207178,"Haukabøvegen 79, Molde Domkirke",62.731762,7.038542
207257,"Haukabøvegen 89, Molde Domkirke",62.733769,7.042452
207381,"Mordalslia 63, Molde Domkirke",62.734461,7.014662
207420,"Gausetbuktvegen 24, Molde Domkirke",62.748775,6.995176
207539,"Gausetbuktvegen 76, Molde Domkirke",62.749712,6.992861
207541,"Gausetbuktvegen 75, Molde Domkirke",62.749476,6.992093
207542,"Gausetbuktvegen 77, Molde Domkirke",62.749672,6.992002
207603,"Julsundvegen 984, Molde Domkirke",62.73639,6.983685
207705,"Julsundvegen 845, Molde Domkirke",62.7326,7.001851
207706,"Mordalslia 7, Molde Domkirke",62.733363,7.006222
207707,"Julsundvegen 840, Molde Domkirke",62.732204,7.000508
207708,"Julsundvegen 900, Molde Domkirke",62.731225,6.992942
207709,"Haukabøvegen 56, Molde Domkirke",62.729101,7.029952
207710,"Haukabøvegen 52, Molde Domkirke",62.728754,7.027647
207711,"Mordalslia 2, Molde Domkirke",62.733069,7.010446
207712,"Haukabøvegen 54, Molde Domkirke",62.728859,7.028716
207759,"Barbuktvegen 8, Molde Domkirke",62.724952,7.012111
207871,"Gausetbuktvegen 70, Molde Domkirke",62.749459,6.99332
208060,"Gausetbuktvegen 73, Molde Domkirke",62.749341,6.99267
208062,"Gausetbuktvegen 80, Molde Domkirke",62.750008,6.992233
208318,"Ramshaugen 3, Aukra",62.755358,6.994651
208319,"Ramshaugen 2, Aukra",62.754677,6.994756
208320,"Ramshaugen 1, Aukra",62.75522,6.994445
208321,"Naustskaret 25, Aukra",62.756244,6.994473
208323,"Naustskaret 23, Aukra",62.756193,6.994007
208324,"Naustskaret 21, Aukra",62.756028,6.993822
208325,"Naustskaret 19, Aukra",62.755809,6.993582
208326,"Naustskaret 17, Aukra",62.755578,6.993324
208327,"Naustskaret 15, Aukra",62.755331,6.993419
208328,"Naustskaret 13, Aukra",62.755129,6.993687
208329,"Naustskaret 11, Aukra",62.754915,6.9938
208330,"Naustskaret 10, Aukra",62.756216,6.995043
208331,"Naustskaret 9, Aukra",62.7547,6.993873
208332,"Naustskaret 8, Aukra",62.755814,6.994541
208333,"Naustskaret 7, Aukra",62.754468,6.993987
208334,"Naustskaret 6, Aukra",62.755641,6.994338
208335,"Naustskaret 5, Aukra",62.754237,6.99412
208336,"Naustskaret 4, Aukra",62.755448,6.994057
208337,"Naustskaret 2, Aukra",62.754357,6.994954
208354,"Stormyra 15, Aukra",62.778104,6.987303
208355,"Stormyra 12, Aukra",62.778404,6.987577
208356,"Stormyra 10, Aukra",62.778459,6.988278
208357,"Stormyra 8, Aukra",62.778682,6.988773
208358,"Stormyra 6, Aukra",62.778807,6.989372
208359,"Stormyra 4, Aukra",62.779254,6.989283
208360,"Stormyra 3, Aukra",62.778583,6.990054
208361,"Korsberget 16, Aukra",62.755178,6.99717
208362,"Korsberget 15, Aukra",62.755853,6.996635
208363,"Korsberget 13, Aukra",62.755437,6.996408
208365,"Korsberget 12, Aukra",62.754885,6.996759
208366,"Korsberget 11, Aukra",62.755235,6.996148
208367,"Korsberget 10, Aukra",62.754693,6.996517
208368,"Korsberget 9, Aukra",62.75507,6.995885
208369,"Korsberget 8, Aukra",62.754554,6.996233
208370,"Korsberget 7, Aukra",62.754871,6.9958
208371,"Korsberget 6, Aukra",62.75437,6.995932
208372,"Korsberget 5, Aukra",62.754671,6.995579
208373,"Korsberget 4, Aukra",62.754161,6.995692
208374,"Korsberget 3, Aukra",62.754497,6.995336
208375,"Korsberget 2, Aukra",62.753995,6.995429
208376,"Ramshaugen 14, Aukra",62.755962,6.996118
208377,"Ramshaugen 12, Aukra",62.755546,6.995911
208378,"Ramshaugen 10, Aukra",62.755337,6.99569
