,Navn,Long,Lat
958,"69/11, Kleive",62.818409,7.654938
1061,"66/10, Kleive",62.795374,7.631616
1062,"68/17, Kleive",62.823013,7.639747
1063,"82/14, Kleive",62.852176,7.76361
1064,"86/5, Kleive",62.798162,7.730831
1072,"Solli, 82/5, Kleive",62.831217,7.788165
1073,"Istad, 78/94, Kleive",62.846984,7.723599
1074,"Solli, 82/16, Kleive",62.845437,7.767545
1075,"Solli, 82/8, Kleive",62.856275,7.77106
1076,"Aspelund, 84/13, Kleive",62.81046,7.801436
1091,"70/9, Kleive",62.798364,7.658735
1092,"69/12, Kleive",62.81816,7.654184
1130,"69/6-2, Kleive",62.817083,7.651467
1131,"69/6-5, Kleive",62.81749,7.652665
1133,"69/6-7, Kleive",62.817829,7.653336
1134,"69/6-4, Kleive",62.817462,7.652193
1139,"78/7-1, Kleive",62.836232,7.71788
1166,"80/24, Kleive",62.845525,7.761256
1170,"78/67, Kleive",62.822436,7.727221
1189,"209/2, Nesset",62.804934,7.810311
29788,"67/4-1, Kleive",62.819582,7.631938
32718,"212/2-2, Nesset",62.789359,7.849168
40411,"67/1-1, Kleive",62.824058,7.631802
40425,"70/1, Kleive",62.817533,7.661786
40475,"77/1, Kleive",62.840843,7.71364
42708,"67/3-1, Kleive",62.821103,7.635035
44319,"Botterli, 83/5, Kleive",62.847441,7.789117
45154,"Istad, 78/11, Kleive",62.821364,7.73287
45424,"69/6-3, Kleive",62.817545,7.651903
198855,"Eidshalsen 6, Kleive",62.786997,7.572213
199066,"Osvegen 30, Kleive",62.794535,7.641994
199927,"Osvegen 80, Kleive",62.794868,7.653047
199972,"Istadvegen 276, Kleive",62.786115,7.571578
199978,"Istadvegen 305, Kleive",62.788262,7.577133
199980,"Istadvegen 241, Kleive",62.786774,7.564032
199982,"Istadvegen 280, Kleive",62.786119,7.572181
199986,"Røsbergvegen 27, Kleive",62.78904,7.585453
199989,"Istadvegen 309, Kleive",62.787505,7.577327
200002,"Istadvegen 245, Kleive",62.785158,7.564947
200003,"Eidshalsen 2, Kleive",62.786254,7.569407
200011,"Eidshalsen 10, Kleive",62.788624,7.574869
200012,"Istadvegen 235, Kleive",62.784915,7.56355
200057,"Kleivbakken 30, Kleive",62.792525,7.657262
200343,"Istadvegen 465, Kleive",62.791802,7.608319
200345,"Røsbergvegen 1, Kleive",62.789059,7.590047
200347,"Istadvegen 503, Kleive",62.791242,7.613717
200348,"Istadvegen 449, Kleive",62.791705,7.603457
200349,"Istadvegen 469, Kleive",62.791015,7.606958
200386,"Istadvegen 430, Kleive",62.79045,7.599494
200390,"Røsbergvegen 56, Kleive",62.792005,7.594971
200392,"Istadvegen 437, Kleive",62.791067,7.600703
200394,"Istadvegen 404, Kleive",62.789927,7.595533
200396,"Istadvegen 313, Kleive",62.788278,7.578618
200412,"Istadvegen 549, Kleive",62.79285,7.622286
200413,"Istadvegen 562, Kleive",62.793037,7.628275
200414,"Istadvegen 604, Kleive",62.794351,7.632177
200415,"Istadvegen 545, Kleive",62.792672,7.621644
200416,"Istadvegen 614, Kleive",62.794655,7.634047
200417,"Istadvegen 594, Kleive",62.793965,7.630522
200418,"Istadvegen 550, Kleive",62.792383,7.622255
200419,"Istadvegen 669, Kleive",62.796498,7.643764
200420,"Nesvegen 20, Kleive",62.796218,7.637385
200421,"Istadvegen 643, Kleive",62.795559,7.638839
200422,"Osvegen 18, Kleive",62.794132,7.638897
200423,"Istadvegen 665, Kleive",62.796404,7.643312
200424,"Nesvegen 6, Kleive",62.794943,7.634222
200425,"Istadvegen 631, Kleive",62.795389,7.636811
200432,"Istadvegen 612, Kleive",62.794418,7.633786
200433,"Istadvegen 611, Kleive",62.794798,7.633617
200434,"Istadvegen 657, Kleive",62.796172,7.640815
200435,"Istadvegen 645, Kleive",62.795571,7.639325
200436,"Istadvegen 629, Kleive",62.795376,7.636339
200437,"Istadvegen 663, Kleive",62.796271,7.642692
200438,"Osvegen 16, Kleive",62.793895,7.638555
200439,"Istadvegen 685, Kleive",62.797202,7.64595
200440,"Istadvegen 627, Kleive",62.7953,7.635898
200441,"Ytre Romoldveg 15, Kleive",62.79878,7.644028
200442,"Istadvegen 703, Kleive",62.797726,7.648473
200443,"Istadvegen 683, Kleive",62.796964,7.645622
200444,"Ytre Romoldveg 18, Kleive",62.799986,7.647169
200445,"Ytre Romoldveg 50, Kleive",62.799538,7.640699
200446,"Istadvegen 688, Kleive",62.797001,7.647797
200447,"Indre Romoldveg 3, Kleive",62.798572,7.649529
200448,"Istadvegen 689, Kleive",62.797494,7.647176
200449,"Istadvegen 620, Kleive",62.794866,7.635063
200450,"Istadvegen 649, Kleive",62.795635,7.63989
200451,"Istadvegen 637, Kleive",62.79547,7.638208
200452,"Nesvegen 16, Kleive",62.795745,7.638113
200453,"Istadvegen 634, Kleive",62.795181,7.637878
200454,"Istadvegen 659, Kleive",62.796176,7.641167
200455,"Osvegen 14, Kleive",62.793479,7.638645
200456,"Istadvegen 618, Kleive",62.79484,7.634854
200457,"Skulesvingen 10, Kleive",62.795211,7.642975
200458,"Nesvegen 18, Kleive",62.795867,7.63795
200459,"Osvegen 35, Kleive",62.795127,7.644159
200460,"Osvegen 33, Kleive",62.795065,7.643713
200463,"Istadvegen 846, Kleive",62.803053,7.67517
200464,"Kleivsetervegen 32, Kleive",62.801396,7.656636
200465,"Istadvegen 877, Kleive",62.80543,7.678806
200466,"Istadvegen 879, Kleive",62.805599,7.679126
200467,"Grøndalsvegen 15, Kleive",62.806985,7.683785
200468,"Istadvegen 912, Kleive",62.805455,7.687166
200469,"Istadvegen 945, Kleive",62.808016,7.691184
200470,"Grøndalsvegen 315, Kleive",62.829343,7.700228
200471,"Istadvegen 960, Kleive",62.808392,7.694376
200472,"Istadvegen 953, Kleive",62.808267,7.69276
200473,"Istadvegen 968, Kleive",62.808808,7.697124
200474,"Istadvegen 975, Kleive",62.809156,7.696106
