,Navn,Long,Lat
200279,"Nakkvegen 16, Røvik og Veøy",62.777236,7.624677
200280,"Nakkvegen 10, Røvik og Veøy",62.777612,7.62368
200281,"Osvegen 1169, Røvik og Veøy",62.778266,7.624741
200282,"Nakkvegen 14, Røvik og Veøy",62.77741,7.624159
200283,"Osvegen 1233, Røvik og Veøy",62.777444,7.614205
200284,"Risanvegen 236, Røvik og Veøy",62.778108,7.61329
200285,"Nakkvegen 7, Røvik og Veøy",62.777849,7.625021
200286,"Osvegen 1181, Røvik og Veøy",62.777486,7.620031
200287,"Risanvegen 233, Røvik og Veøy",62.778422,7.613183
200288,"Osvegen 1231, Røvik og Veøy",62.777608,7.614734
200289,"Risanvegen 242, Røvik og Veøy",62.778168,7.614463
200290,"Risanvegen 235, Røvik og Veøy",62.778755,7.613063
200291,"Risanvegen 172, Røvik og Veøy",62.776948,7.600881
200292,"Risanvegen 261, Røvik og Veøy",62.779302,7.620824
200293,"Risanvegen 214, Røvik og Veøy",62.777738,7.608882
200294,"Vasslivegen 171, Røvik og Veøy",62.76197,7.622372
200295,"Nakkvegen 63, Røvik og Veøy",62.775514,7.625988
200296,"Osvegen 1124, Røvik og Veøy",62.778746,7.633437
200297,"Nakkvegen 98, Røvik og Veøy",62.775501,7.630872
200298,"Osvegen 1155, Røvik og Veøy",62.778285,7.62767
200299,"Nakkvegen 22, Røvik og Veøy",62.777122,7.625956
200300,"Osvegen 1143, Røvik og Veøy",62.777773,7.63008
200301,"Osvegen 1159, Røvik og Veøy",62.778306,7.626761
200302,"Nakkvegen 31, Røvik og Veøy",62.777214,7.628911
200303,"Osvegen 1140, Røvik og Veøy",62.778867,7.630645
200304,"Nakkvegen 24, Røvik og Veøy",62.777038,7.626509
200305,"Nakkvegen 44, Røvik og Veøy",62.776743,7.62666
200306,"Osvegen 1173, Røvik og Veøy",62.778269,7.623884
200307,"Nakkvegen 20, Røvik og Veøy",62.777169,7.625229
200308,"Nakkvegen 40, Røvik og Veøy",62.776867,7.62832
200309,"Nakkvegen 25, Røvik og Veøy",62.777346,7.626657
200310,"Osvegen 1486, Røvik og Veøy",62.774319,7.563325
200311,"Osvegen 1480, Røvik og Veøy",62.774466,7.564064
200312,"Risanvegen 48, Røvik og Veøy",62.775574,7.576746
200313,"Risanvegen 142, Røvik og Veøy",62.77658,7.595549
200314,"Vasslivegen 240, Røvik og Veøy",62.758704,7.607658
200315,"Vasslivegen 239, Røvik og Veøy",62.758977,7.606531
200316,"Risanvegen 95, Røvik og Veøy",62.776115,7.585969
200317,"Risanvegen 58, Røvik og Veøy",62.775465,7.579279
200318,"Vasslivegen 244, Røvik og Veøy",62.759094,7.607455
200319,"Risanvegen 24, Røvik og Veøy",62.775083,7.572108
200320,"Vasslivegen 233, Røvik og Veøy",62.759455,7.606763
200321,"Vasslivegen 228, Røvik og Veøy",62.759894,7.606624
200322,"Osvegen 1540, Røvik og Veøy",62.773166,7.552839
200323,"Osvegen 1552, Røvik og Veøy",62.773064,7.550364
200324,"Vasslivegen 243, Røvik og Veøy",62.759115,7.606896
200325,"Risanvegen 124, Røvik og Veøy",62.776305,7.59237
200326,"Risanvegen 198, Røvik og Veøy",62.777348,7.606055
200327,"Risanvegen 194, Røvik og Veøy",62.777266,7.60502
200328,"Risanvegen 204, Røvik og Veøy",62.777333,7.606877
200329,"Risanvegen 226, Røvik og Veøy",62.777907,7.611193
200330,"Osvegen 1262, Røvik og Veøy",62.776819,7.60588
200331,"Risanvegen 152, Røvik og Veøy",62.776619,7.597116
200332,"Risanvegen 180, Røvik og Veøy",62.776786,7.602329
200333,"Risanvegen 196, Røvik og Veøy",62.776727,7.604948
200334,"Risanvegen 190, Røvik og Veøy",62.776684,7.604225
200335,"Vasslivegen 166, Røvik og Veøy",62.762764,7.606399
200336,"Risanvegen 156, Røvik og Veøy",62.776666,7.597712
200337,"Risanvegen 188, Røvik og Veøy",62.776994,7.604114
200338,"Risanvegen 109, Røvik og Veøy",62.77635,7.588754
200339,"Risanvegen 132, Røvik og Veøy",62.776458,7.59298
200340,"Risanvegen 90, Røvik og Veøy",62.775719,7.584969
200341,"Risanvegen 69, Røvik og Veøy",62.775765,7.581479
200659,"Osvegen 1129, Røvik og Veøy",62.778169,7.633166
200660,"Osvegen 1051, Røvik og Veøy",62.776727,7.647613
200661,"Ullalandsvegen 8, Røvik og Veøy",62.776922,7.644652
200662,"Osvegen 1126, Røvik og Veøy",62.778846,7.631498
200663,"Osvegen 1001, Røvik og Veøy",62.77679,7.657043
200664,"Osvegen 1003, Røvik og Veøy",62.77672,7.656609
200665,"Osvegen 1117, Røvik og Veøy",62.778241,7.634889
200666,"Osvegen 1123, Røvik og Veøy",62.77827,7.634267
200667,"Ullalandsvegen 26, Røvik og Veøy",62.775667,7.646262
200668,"Osvegen 1007, Røvik og Veøy",62.776589,7.655687
200669,"Osvegen 1041, Røvik og Veøy",62.776636,7.649171
200670,"Osvegen 1090, Røvik og Veøy",62.778173,7.641369
200671,"Osvegen 1092, Røvik og Veøy",62.778404,7.639865
200672,"Osvegen 1035, Røvik og Veøy",62.7765,7.650061
200673,"Osvegen 1133, Røvik og Veøy",62.778201,7.6323
200674,"Osvegen 1111, Røvik og Veøy",62.778173,7.635649
200686,"Ullalandsvegen 1, Røvik og Veøy",62.777517,7.644413
200687,"Osvegen 1031, Røvik og Veøy",62.775811,7.650359
205875,"Osvegen 1128, Røvik og Veøy",62.778478,7.631425
205878,"Nakkvegen 15, Røvik og Veøy",62.777525,7.625771
205889,"Osvegen 1109, Røvik og Veøy",62.77819,7.637034
205914,"Vasslivegen 232, Røvik og Veøy",62.760009,7.605448
205915,"Vasslivegen 230, Røvik og Veøy",62.760022,7.605953
206136,"Ullalandsvegen 30, Røvik og Veøy",62.775413,7.647273
206138,"Osvegen 1021, Røvik og Veøy",62.776385,7.653097
206144,"Nakkvegen 46, Røvik og Veøy",62.77672,7.626171
206146,"Osvegen 1036, Røvik og Veøy",62.776971,7.651164
206150,"Osvegen 1492, Røvik og Veøy",62.77416,7.562
206152,"Osvegen 1519, Røvik og Veøy",62.773448,7.558208
