,Navn,Long,Lat
9897,"437/3, Midsund",62.713053,6.890165
9898,"441/22-1, Midsund",62.689542,6.843843
9899,"448/150, Midsund",62.671354,6.678247
9900,"459/66, Midsund",62.718071,6.729455
42650,"437/2, Midsund",62.703972,6.906063
43797,"453/1-2, Midsund",62.693749,6.630885
633503,"Innsidevegen 1276, Midsund",62.698139,6.895919
633504,"Stavikvegen 37, Midsund",62.747548,6.923138
633505,"Innsidevegen 1365, Midsund",62.702361,6.904059
633506,"Innsidevegen 1432, Midsund",62.703352,6.916494
633507,"Innsidevegen 1302, Midsund",62.697875,6.894264
633508,"Innsidevegen 1324, Midsund",62.699205,6.900101
633509,"Innsidevegen 1454, Midsund",62.704428,6.917803
633511,"Innsidevegen 1534, Midsund",62.708693,6.933015
633512,"Innsidevegen 1514, Midsund",62.708106,6.933534
633513,"Innsidevegen 1535, Midsund",62.710158,6.929089
633514,"Utsidevegen 1987, Midsund",62.731624,6.937954
633515,"Utsidevegen 1971, Midsund",62.73344,6.933079
633516,"Innsidevegen 1494, Midsund",62.706553,6.926934
641007,"Utsidevegen 1390, Midsund",62.735239,6.847955
641009,"Utsidevegen 1347, Midsund",62.735131,6.837987
641011,"Ræstadvegen 37, Midsund",62.733405,6.841053
641013,"Holmevegen 68, Midsund",62.741577,6.845847
641016,"Holmevegen 43, Midsund",62.740402,6.841305
641018,"Ræstadvegen 30, Midsund",62.734368,6.841583
641021,"Utsidevegen 1333, Midsund",62.733858,6.836102
641119,"Breivikvegen 35, Midsund",62.680707,6.66591
641120,"Breivikvegen 33, Midsund",62.680796,6.666403
641121,"Stuttnesvegen 34, Midsund",62.679677,6.66837
641122,"Breivikvegen 38, Midsund",62.680775,6.664715
641123,"Stuttnesvegen 47, Midsund",62.678824,6.668657
641124,"Gjerdevegen 1, Midsund",62.679694,6.66714
641125,"Utsidevegen 184, Midsund",62.680742,6.675144
641126,"Industrivegen 9, Midsund",62.681368,6.666911
641127,"Stuttnesvegen 32, Midsund",62.679753,6.668933
641128,"Bakkevegen 2, Midsund",62.679424,6.668921
641129,"Stuttnesvegen 30, Midsund",62.679862,6.669513
641130,"Bakkevegen 4, Midsund",62.679172,6.66944
641131,"Bakkevegen 12, Midsund",62.67881,6.670599
641132,"Breivikvegen 36, Midsund",62.680965,6.665313
641133,"Breivikvegen 15, Midsund",62.680646,6.669097
641134,"Breivikvegen 34, Midsund",62.681094,6.665865
641135,"Stuttnesvegen 28, Midsund",62.679931,6.669934
