,Navn,Long,Lat
640131,"Kvernesveien 605, Kvernes",63.015876,7.675231
640132,"Kvernesveien 592, Kvernes",63.018279,7.683558
640133,"Kvernesveien 660, Kvernes",63.017575,7.691888
640134,"Kvernesveien 606, Kvernes",63.016143,7.681718
640135,"Kvernesveien 520, Kvernes",63.023377,7.672025
640136,"Kvernesveien 509, Kvernes",63.021884,7.670729
640137,"Kvernesveien 518, Kvernes",63.02277,7.672309
640138,"Kvernesveien 432, Kvernes",63.028397,7.669346
640139,"Kvernesveien 524, Kvernes",63.024336,7.676469
640140,"Kvernesveien 460, Kvernes",63.02619,7.66662
640141,"Kvernesveien 480, Kvernes",63.024411,7.66929
640142,"Kvernesveien 526, Kvernes",63.023725,7.675645
640143,"Kvernesveien 504, Kvernes",63.022825,7.670548
640144,"Kvernesveien 439, Kvernes",63.027765,7.667102
640145,"Kvernesveien 457, Kvernes",63.026426,7.663072
640146,"Kvernesveien 496, Kvernes",63.023307,7.670329
640147,"Kvernesveien 528, Kvernes",63.023291,7.677186
640148,"Kvernesveien 459, Kvernes",63.026128,7.665753
640149,"Kvernesveien 456, Kvernes",63.02729,7.670977
640150,"Kvernesveien 470, Kvernes",63.025256,7.66939
640151,"Kvernesveien 546, Kvernes",63.022829,7.679579
640152,"Kvernesveien 532, Kvernes",63.021894,7.67472
640153,"Kvernesveien 534, Kvernes",63.022141,7.676112
643635,"Kvernesveien 1717, Kvernes",62.962442,7.595751
643637,"Kvernesveien 1711, Kvernes",62.963516,7.597198
643639,"Kvernesveien 1734, Kvernes",62.960973,7.594322
643641,"Kvernesveien 1697, Kvernes",62.964657,7.59736
643720,"Kvernesveien 1425, Kvernes",62.977446,7.642009
643721,"Kvernesveien 1459, Kvernes",62.975676,7.635363
643722,"Lyshaugveien 100, Kvernes",62.979198,7.647847
643723,"Kvernesveien 1411, Kvernes",62.978028,7.644744
643724,"Kvernesveien 1454, Kvernes",62.975665,7.637988
643725,"Kvernesveien 1446, Kvernes",62.976259,7.639992
643727,"Blindtarmen 23, Kvernes",62.974772,7.628185
643728,"Blindtarmen 35, Kvernes",62.97257,7.626138
643729,"Blindtarmen 39, Kvernes",62.972861,7.619141
643730,"Kvernesveien 1461, Kvernes",62.975578,7.634559
643731,"Kvernesveien 1463, Kvernes",62.975285,7.633961
643732,"Kvernesveien 1465, Kvernes",62.975129,7.633613
643733,"Blindtarmen 1, Kvernes",62.974518,7.632596
643734,"Blindtarmen 3, Kvernes",62.974366,7.631696
643735,"Lyshaugveien 67, Kvernes",62.980163,7.655873
643736,"Lyshaugveien 61, Kvernes",62.980262,7.656776
643737,"Kvernesveien 1260, Kvernes",62.982703,7.672905
643738,"Kvernesveien 1283, Kvernes",62.982902,7.668239
643740,"Kvernesveien 1346, Kvernes",62.979215,7.65714
643742,"Kvernesveien 1316, Kvernes",62.980604,7.662621
643743,"Kvernesveien 1344, Kvernes",62.97964,7.65933
643744,"Kvernesveien 1282, Kvernes",62.982005,7.668358
643745,"Kvernesveien 1253, Kvernes",62.983436,7.672615
643750,"Øvre Mekveien 10, Kvernes",62.966286,7.606868
643753,"Kvernesveien 1603, Kvernes",62.967193,7.615976
643756,"Kvernesveien 1698, Kvernes",62.963151,7.60114
643758,"Kvernesveien 1702, Kvernes",62.962789,7.600842
643761,"Kvernesveien 1607, Kvernes",62.967093,7.614936
643763,"Kvernesveien 1700, Kvernes",62.963529,7.60122
643766,"Øvre Mekveien 48, Kvernes",62.968531,7.610548
643769,"Kvernesveien 1605, Kvernes",62.967114,7.61525
643772,"Kvernesveien 1595, Kvernes",62.967631,7.617632
643775,"Kvernesveien 1561, Kvernes",62.969909,7.618313
643778,"Kvernesveien 1621, Kvernes",62.967221,7.612425
643781,"Øvre Mekveien 38, Kvernes",62.96884,7.609074
643783,"Kvernesveien 1657, Kvernes",62.965667,7.598653
643785,"Øvre Mekveien 37, Kvernes",62.967779,7.608039
643788,"Kvernesveien 1677, Kvernes",62.964704,7.603018
643791,"Kvernesveien 1642, Kvernes",62.965204,7.609128
643793,"Øvre Mekveien 24, Kvernes",62.967755,7.606541
643795,"Kvernesveien 1693, Kvernes",62.964328,7.599447
643797,"Kvernesveien 1625, Kvernes",62.967439,7.610856
643799,"Kvernesveien 1636, Kvernes",62.965731,7.610681
643801,"Kvernesveien 1726, Kvernes",62.962113,7.59693
643803,"Øvre Mekveien 54, Kvernes",62.969788,7.611514
643806,"Kvernesveien 1770, Kvernes",62.95887,7.590381
643809,"Kvernesveien 1715, Kvernes",62.962636,7.596353
643811,"Kvernesveien 1748, Kvernes",62.959806,7.592505
643813,"Kvernesveien 1745, Kvernes",62.960199,7.591362
643815,"Kvernesveien 1751, Kvernes",62.959908,7.591889
643818,"Kvernesveien 1739, Kvernes",62.961038,7.59357
643820,"Kvernesveien 1785, Kvernes",62.958291,7.586387
643822,"Kvernesveien 1735, Kvernes",62.963211,7.591829
643824,"Kvernesveien 1741, Kvernes",62.960849,7.593187
643826,"Kvernesveien 1798, Kvernes",62.957246,7.584268
643827,"Kvernesveien 1467, Kvernes",62.975214,7.634951
643829,"Blindtarmen 5, Kvernes",62.974111,7.630425
643830,"Blindtarmen 21, Kvernes",62.974964,7.629478
643831,"Blindtarmen 17, Kvernes",62.974656,7.630143
643832,"Kvernesveien 1519, Kvernes",62.972088,7.627344
643833,"Blindtarmen 36, Kvernes",62.972663,7.627317
643834,"Blindtarmen 46, Kvernes",62.972196,7.626372
643835,"Kvernesveien 1496, Kvernes",62.973444,7.631088
643837,"Kvernesveien 1476, Kvernes",62.974537,7.635476
643839,"Blindtarmen 29, Kvernes",62.973465,7.627654
643840,"Blindtarmen 43, Kvernes",62.972481,7.617916
643841,"Blindtarmen 33B, Kvernes",62.973571,7.623447
643842,"Kvernesveien 1537, Kvernes",62.971292,7.624856
643843,"Kvernesveien 1533, Kvernes",62.971774,7.625524
643844,"Kvernesveien 1506, Kvernes",62.973009,7.630674
643845,"Blindtarmen 20, Kvernes",62.973533,7.62915
643846,"Kvernesveien 1559, Kvernes",62.971058,7.622915
643848,"Kvernesveien 1492, Kvernes",62.974127,7.633976
643849,"Kvernesveien 1560, Kvernes",62.969272,7.623906
643852,"Kvernesveien 1590, Kvernes",62.967102,7.620458
643854,"Kvernesveien 1588, Kvernes",62.967343,7.619362
643856,"Kvernesveien 1558, Kvernes",62.969451,7.624746
643858,"Kvernesveien 1574, Kvernes",62.968425,7.62081
643861,"Kvernesveien 1557, Kvernes",62.970087,7.622743
643864,"Kvernesveien 1696, Kvernes",62.962964,7.600459
643867,"Øvre Mekveien 75, Kvernes",62.968238,7.616341
643870,"Kvernesveien 1659, Kvernes",62.96506,7.601759
643873,"Øvre Mekveien 73, Kvernes",62.968185,7.615535
643874,"Kvernesveien 1694, Kvernes",62.963275,7.600049
643877,"Kvernesveien 1593, Kvernes",62.967902,7.618743
643879,"Kvernesveien 1630, Kvernes",62.96597,7.611241
643881,"Kvernesveien 1665, Kvernes",62.965155,7.605028
643940,"Kvernesveien 543, Kvernes",63.02076,7.676313
643941,"Kvernesveien 545, Kvernes",63.020513,7.676759
643942,"Kvernesveien 538, Kvernes",63.02135,7.677017
643943,"Kvernesveien 550, Kvernes",63.020843,7.678483
643944,"Kvernesveien 552, Kvernes",63.02055,7.678753
643945,"Kvernesveien 572, Kvernes",63.020621,7.681536
643946,"Kvernesveien 566, Kvernes",63.020073,7.678676
643947,"Kvernesveien 564, Kvernes",63.019426,7.678638
643948,"Kvernesveien 568, Kvernes",63.020192,7.680174
643949,"Kvernesveien 576, Kvernes",63.019712,7.681373
643950,"Kvernesveien 575, Kvernes",63.018429,7.675648
643951,"Kvernesveien 413, Kvernes",63.031031,7.668791
643952,"Kvernesveien 387, Kvernes",63.032001,7.668806
643953,"Kvernesveien 401, Kvernes",63.030942,7.669803
643954,"Kvernesveien 410, Kvernes",63.02944,7.674279
643955,"Kvernesveien 408, Kvernes",63.028832,7.678437
643956,"Kvernesveien 404, Kvernes",63.030462,7.673217
643957,"Kvernesveien 416, Kvernes",63.029722,7.670985
643958,"Kvernesveien 117, Bremsnes",63.044207,7.644063
643959,"Kvernesveien 247, Bremsnes",63.043984,7.665945
643960,"Kvernesveien 1243, Kvernes",62.984074,7.675487
643961,"Lyshaugveien 37, Kvernes",62.981482,7.660469
643962,"Lyshaugveien 33, Kvernes",62.981687,7.661328
643963,"Lyshaugveien 57, Kvernes",62.980585,7.657767
643964,"Lyshaugveien 19, Kvernes",62.982271,7.664182
643965,"Lyshaugveien 90, Kvernes",62.979345,7.651964
643966,"Kvernesveien 1314, Kvernes",62.981041,7.663272
643967,"Kvernesveien 1348, Kvernes",62.978289,7.65515
643968,"Lyshaugveien 55, Kvernes",62.980572,7.658222
643969,"Lyshaugveien 75, Kvernes",62.979936,7.654581
643970,"Lyshaugveien 51, Kvernes",62.980683,7.658592
643971,"Kvernesveien 1307, Kvernes",62.981572,7.663366
643972,"Lyshaugveien 20, Kvernes",62.981705,7.664189
643973,"Kvernesveien 1285, Kvernes",62.982343,7.667988
643974,"Kvernesveien 1262, Kvernes",62.982466,7.672521
643975,"Kvernesveien 1266, Kvernes",62.982483,7.671494
643976,"Kvernesveien 1286, Kvernes",62.980728,7.665299
643977,"Lyshaugveien 25, Kvernes",62.981999,7.662932
643978,"Kvernesveien 1272, Kvernes",62.982556,7.670662
643980,"Kvernesveien 661, Kvernes",63.015395,7.691057
643981,"Kvernesveien 648, Kvernes",63.015409,7.688765
643982,"Kvernesveien 595, Kvernes",63.017134,7.680212
643983,"Kvernesveien 668, Kvernes",63.015985,7.691762
643984,"Kvernesveien 594, Kvernes",63.017583,7.683036
643985,"Kvernesveien 614, Kvernes",63.017907,7.687032
643986,"Kvernesveien 610, Kvernes",63.016739,7.684062
643987,"Kvernesveien 623, Kvernes",63.014731,7.683362
643988,"Kvernesveien 621, Kvernes",63.013587,7.683868
643989,"Kvernesveien 656, Kvernes",63.018074,7.689554
643990,"Kvernesveien 617, Kvernes",63.014771,7.680931
