,Navn,Long,Lat
1358,"95/1-2, Ålvundeid",62.761951,8.492599
43329,"90/2, Ålvundeid",62.7908,8.339221
43330,"90/5, Ålvundeid",62.755853,8.460222
43331,"90/4, Ålvundeid",62.74839,8.449944
43332,"90/6, Ålvundeid",62.749324,8.450044
43334,"98/22, Ålvundeid",62.801706,8.545254
43335,"98/23, Ålvundeid",62.799019,8.544295
43336,"98/26, Ålvundeid",62.796807,8.529409
43337,"99/2, Ålvundeid",62.797709,8.555609
43338,"96/1, Ålvundeid",62.776725,8.508577
43339,"97/6, Ålvundeid",62.803375,8.542346
43340,"98/4, Ålvundeid",62.799857,8.551804
43341,"96/4, Ålvundeid",62.791672,8.488109
43390,"98/33, Ålvundeid",62.79878,8.534397
43403,"97/9, Ålvundeid",62.800775,8.532542
43404,"93/1/1, Ålvundeid",62.755867,8.502983
43431,"100/1/1, Ålvundeid",62.781958,8.561863
43432,"104/1, Ålvundeid",62.745506,8.710527
43453,"97/5, Ålvundeid",62.799494,8.533111
43454,"98/1, Ålvundeid",62.800735,8.544877
210373,"Bråttavegen 20, Ålvundeid",62.765189,8.528997
210374,"Nordmørsvegen 1170, Ålvundeid",62.774686,8.523849
210375,"Nordmørsvegen 1144, Ålvundeid",62.77246,8.527352
210376,"Nordmørsvegen 1154, Ålvundeid",62.77399,8.527781
210377,"Nordmørsvegen 1115, Ålvundeid",62.771015,8.531617
210378,"Viromdalsvegen 138, Ålvundeid",62.763474,8.564791
210379,"Nordmørsvegen 1125, Ålvundeid",62.771859,8.530882
210380,"Viromdalsvegen 50, Ålvundeid",62.76153,8.547613
210381,"Viromdalsvegen 45, Ålvundeid",62.760823,8.547767
210382,"Eidavegen 66, Ålvundeid",62.762585,8.535082
210383,"Nordmørsvegen 1085, Ålvundeid",62.768332,8.532522
210384,"Viromdalsvegen 134, Ålvundeid",62.763256,8.564276
210385,"Horrvikvegen 7, Ålvundeid",62.749627,8.531657
210386,"Horrvikvegen 41, Ålvundeid",62.746621,8.531094
210387,"Eidavegen 36, Ålvundeid",62.759838,8.536569
210388,"Horrvikvegen 1, Ålvundeid",62.751646,8.532967
210389,"Eidavegen 31, Ålvundeid",62.759041,8.541512
210390,"Oppdølstrøa 57, Ålvundeid",62.740416,8.528853
210391,"Horrvikvegen 45, Ålvundeid",62.747538,8.52979
210392,"Horrvikvegen 63, Ålvundeid",62.743441,8.523746
210393,"Oppdølsvegen 37, Ålvundeid",62.738144,8.516863
210394,"Horrvikvegen 198, Ålvundeid",62.735934,8.528569
210395,"Oppdølsvegen 25, Ålvundeid",62.739114,8.517291
210396,"Horrvikvegen 174, Ålvundeid",62.736859,8.525157
210397,"Horrvikvegen 50, Ålvundeid",62.745325,8.531516
210398,"Horrvikvegen 200, Ålvundeid",62.736468,8.527573
210399,"Oppdølstrøa 61, Ålvundeid",62.74086,8.52911
210400,"Horrvikvegen 86, Ålvundeid",62.742869,8.527086
210401,"Horrvikvegen 213, Ålvundeid",62.734172,8.53176
210465,"Bergvegen 3, Ålvundeid",62.739452,8.513591
210466,"Bergvegen 1, Ålvundeid",62.739004,8.514029
210468,"Bergvegen 33, Ålvundeid",62.740624,8.504981
210475,"Bergvegen 20, Ålvundeid",62.740181,8.509137
210476,"Bergvegen 19, Ålvundeid",62.740541,8.509444
210477,"Bergvegen 22, Ålvundeid",62.740251,8.508627
210478,"Bergvegen 21, Ålvundeid",62.740602,8.508856
210479,"Bergvegen 25, Ålvundeid",62.740624,8.507564
210480,"Bergvegen 23, Ålvundeid",62.7406,8.508171
210481,"Bergvegen 31, Ålvundeid",62.740636,8.505861
210482,"Bergvegen 27, Ålvundeid",62.740649,8.506996
210483,"Børsetlauvet 15, Ålvundeid",62.770803,8.545534
210484,"Børsetlauvet 14, Ålvundeid",62.771109,8.545902
210485,"Børsetlauvet 16, Ålvundeid",62.770459,8.547263
