,Navn,Long,Lat
13834,"59/18, Tingvoll",62.939397,8.293355
13839,"59/5, Tingvoll",62.934222,8.290565
13841,"79/138, Tingvoll",62.895654,8.227539
13843,"79/136, Tingvoll",62.896953,8.204427
13850,"31/24, Tingvoll",62.975629,8.151541
13851,"31/35, Tingvoll",62.972231,8.15451
13852,"31/53, Tingvoll",62.972792,8.152225
13855,"53/22, Tingvoll",62.927649,8.217105
13856,"80/111, Tingvoll",62.903375,8.226136
13867,"80/35, Tingvoll",62.907139,8.205746
13868,"79/61, Tingvoll",62.90299,8.191198
13872,"50/3, Tingvoll",62.925275,8.179831
13873,"50/4, Tingvoll",62.929335,8.186551
13874,"53/15, Tingvoll",62.929733,8.22867
13889,"77/25, Tingvoll",62.895089,8.208216
13891,"79/148, Tingvoll",62.898462,8.224022
13895,"87/1-2, Tingvoll",62.862357,8.163782
13899,"56/3-1, Tingvoll",62.931719,8.261001
13900,"79/50-1, Tingvoll",62.903499,8.198543
13901,"80/114, Tingvoll",62.901031,8.222794
13905,"59/46, Tingvoll",62.941741,8.300885
13907,"79/150, Tingvoll",62.901938,8.187665
13910,"30/1-2, Tingvoll",62.967393,8.090929
13911,"74/1-4, Tingvoll",62.888792,8.223471
13917,"74/1-2, Tingvoll",62.887952,8.225873
13918,"74/1-3, Tingvoll",62.887331,8.225457
13920,"59/2-1, Tingvoll",62.950868,8.272127
13921,"64/1-3, Tingvoll",62.912063,8.287557
13922,"31/62, Tingvoll",62.968472,8.129709
13926,"28/1-1, Tingvoll",62.989751,8.100517
26932,"81/156, Tingvoll",62.903698,8.22574
30044,"60/29-1, Tingvoll",62.953505,8.323358
32538,"31/54, Tingvoll",62.976531,8.124316
35586,"31/70, Tingvoll",62.975417,8.153141
35590,"52/35, Tingvoll",62.930474,8.212557
37940,"31/78, Tingvoll",62.976171,8.147702
37945,"79/126, Tingvoll",62.89738,8.227801
37947,"31/75, Tingvoll",62.977461,8.150819
37949,"31/79, Tingvoll",62.97297,8.149989
37950,"31/71, Tingvoll",62.97839,8.159882
37951,"31/3-1, Tingvoll",62.976314,8.124743
37959,"31/73, Tingvoll",62.984052,8.16026
37968,"31/80, Tingvoll",62.976768,8.123826
37974,"31/4-1, Tingvoll",62.975923,8.130691
37976,"31/4, Tingvoll",62.975956,8.125847
37977,"31/3, Tingvoll",62.976845,8.1267
37979,"59/19, Tingvoll",62.946486,8.311098
37980,"80/48, Tingvoll",62.902825,8.223905
37981,"79/154, Tingvoll",62.900486,8.224526
37986,"31/77, Tingvoll",62.976396,8.154889
38002,"45/1, Tingvoll",62.941121,8.146263
38217,"31/72, Tingvoll",62.974758,8.155922
763402,"Holmeidstranda 153, Tingvoll",62.937355,8.294331
780453,"Tørrlendvegen 42, Tingvoll",62.923019,8.228689
780454,"Tørrlendvegen 52, Tingvoll",62.921877,8.231712
780455,"Tørrlendvegen 65, Tingvoll",62.92153,8.235502
780456,"Tørrlendvegen 40, Tingvoll",62.92168,8.229638
780457,"Tørrlendvegen 10, Tingvoll",62.919603,8.224428
780458,"Tørrlendvegen 46, Tingvoll",62.924588,8.226777
780459,"Tørrlendvegen 36, Tingvoll",62.920479,8.23043
780460,"Tørrlendvegen 98, Tingvoll",62.927166,8.230432
780461,"Tørrlendvegen 192, Tingvoll",62.932142,8.252855
780462,"Tørrlendvegen 272, Tingvoll",62.930585,8.268163
780463,"Holmeidstranda 10, Tingvoll",62.926938,8.278432
780464,"Tørrlendvegen 209, Tingvoll",62.929835,8.257838
780465,"Tørrlendvegen 226, Tingvoll",62.931719,8.261001
780466,"Tørrlendvegen 254, Tingvoll",62.931617,8.265612
780467,"Tørrlendvegen 170, Tingvoll",62.928237,8.250985
780468,"Tørrlendvegen 152, Tingvoll",62.927143,8.247803
780469,"Vågbøvegen 204, Tingvoll",62.920625,8.242728
780470,"Vågbøvegen 209, Tingvoll",62.919259,8.243772
780471,"Tørrlendvegen 227, Tingvoll",62.92978,8.261109
780472,"Tørrlendvegen 93, Tingvoll",62.923097,8.239734
780473,"Tørrlendvegen 96, Tingvoll",62.924305,8.239034
780474,"Tørrlendvegen 128, Tingvoll",62.929242,8.239083
780475,"Tørrlendvegen 140, Tingvoll",62.926686,8.24618
780476,"Holmeidstranda 236, Tingvoll",62.943684,8.300293
780477,"Holmeidstranda 238, Tingvoll",62.943542,8.302024
780478,"Holmeidstranda 93, Tingvoll",62.932617,8.289107
780479,"Holmeidstranda 15, Tingvoll",62.927112,8.279708
780480,"Holmeidstranda 20, Tingvoll",62.927611,8.280096
780481,"Holmeidstranda 250, Tingvoll",62.944469,8.302877
780482,"Vågbøvegen 357, Tingvoll",62.925134,8.270135
780483,"Vågbøvegen 361, Tingvoll",62.925351,8.270673
780484,"Tørrlendvegen 281, Tingvoll",62.929076,8.268985
780485,"Holmeidstranda 50, Tingvoll",62.929169,8.285389
780486,"Vågbøvegen 382, Tingvoll",62.926649,8.273398
780487,"Vågbøvegen 343, Tingvoll",62.924188,8.267846
780488,"Tørrlendvegen 287, Tingvoll",62.928192,8.269854
780489,"Vågbøvegen 330, Tingvoll",62.923886,8.265156
780606,"Tingvollvegen 2627, Tingvoll",62.939232,8.14496
780607,"Tingvollvegen 2629, Tingvoll",62.938473,8.142658
780608,"Tingvollvegen 2690, Tingvoll",62.934784,8.157718
780609,"Tingvollvegen 2634, Tingvoll",62.939598,8.165756
780610,"Tingvollvegen 2697, Tingvoll",62.938435,8.147263
780611,"Tingvollvegen 2619, Tingvoll",62.941259,8.149256
780612,"Tingvollvegen 2633, Tingvoll",62.939246,8.151777
780613,"Tingvollvegen 2669, Tingvoll",62.937287,8.154375
780616,"Tingvollvegen 2623, Tingvoll",62.940342,8.147549
