,Navn,Long,Lat
1203171,"Haugavegen 7, Åsskard",63.006614,8.356849
1203200,"Nordstrandsvegen 123, Åsskard",63.020836,8.360306
1203201,"Nordstrandsvegen 131, Åsskard",63.021345,8.361109
1203202,"Nordstrandsvegen 96, Åsskard",63.019548,8.365269
1203203,"Nordstrandsvegen 149, Åsskard",63.020962,8.35665
1203204,"Nordstrandsvegen 94, Åsskard",63.019446,8.366134
1203205,"Nordstrandsvegen 70, Åsskard",63.019996,8.369642
1203206,"Nordstrandsvegen 167, Åsskard",63.020757,8.351149
1203215,"Bølandsvegen 194, Åsskard",63.007467,8.367021
1203216,"Haugavegen 29, Åsskard",63.005291,8.358341
1203217,"Haugavegen 11, Åsskard",63.006751,8.357817
1203218,"Bølandsvegen 217, Åsskard",63.008882,8.364452
1203219,"Bøkleppvegen 32, Åsskard",63.006485,8.35092
1203220,"Haugavegen 2, Åsskard",63.00715,8.358783
1203221,"Solbakkvegen 2, Åsskard",63.021311,8.349543
1203222,"Nordstrandsvegen 103, Åsskard",63.020281,8.36372
1203223,"Nordstrandsvegen 143, Åsskard",63.021561,8.35784
1203224,"Bølandsvegen 132, Åsskard",63.009211,8.379175
1203225,"Bøkleppvegen 29, Åsskard",63.00702,8.351181
1203226,"Bølandsvegen 312, Åsskard",63.006698,8.345392
1203227,"Bøkleppvegen 23, Åsskard",63.00719,8.352065
1203228,"Bøkleppvegen 28, Åsskard",63.006802,8.351575
1203249,"Skabekkvegen 2, Åsskard",63.007039,8.352463
1203360,"Haugavegen 15, Åsskard",63.006217,8.357747
1203400,"Bølandsvegen 182, Åsskard",63.007029,8.366785
1203401,"Bølandsvegen 183, Åsskard",63.009234,8.365838
1203402,"Bølandsvegen 232, Åsskard",63.007029,8.359757
1203403,"Bølandsvegen 187, Åsskard",63.008891,8.367315
1203404,"Bølandsvegen 199, Åsskard",63.007973,8.36627
1203405,"Bølandsvegen 211, Åsskard",63.008272,8.363885
1203406,"Bølandsvegen 245, Åsskard",63.007542,8.357484
1203407,"Haugavegen 4, Åsskard",63.00705,8.358436
1203408,"Bølandsvegen 266, Åsskard",63.00789,8.353175
1203409,"Bølandsvegen 236, Åsskard",63.007088,8.359135
1203410,"Haugavegen 28, Åsskard",63.005273,8.358747
1203411,"Bølandsvegen 143, Åsskard",63.009981,8.377086
1203412,"Haugavegen 10, Åsskard",63.007025,8.357962
1203413,"Bølandsvegen 149, Åsskard",63.009234,8.375672
1203422,"Bølandsvegen 310, Åsskard",63.006812,8.345064
1203423,"Mikkelgarden, Bølandsvegen 139, Åsskard",63.009245,8.377437
1203424,"Bølandsvegen 130, Åsskard",63.00892,8.380804
1203425,"Haugavegen 36, Åsskard",63.005059,8.357512
1203426,"Bølandsvegen 208, Åsskard",63.006622,8.366219
1203427,"Bølandsvegen 154, Åsskard",63.008867,8.374604
1203428,"Søgarden Bø, Bølandsvegen 188, Åsskard",63.00742,8.368724
1203683,"Nordstrandsvegen 2325, Åsskard",63.035239,8.364215
1203688,"Skabekkvegen 28, Åsskard",63.00571,8.354426
1203690,"Skabekkvegen 21, Åsskard",63.00582,8.353523
1203691,"Skabekkvegen 24, Åsskard",63.006332,8.354604
1203692,"Skabekkvegen 18, Åsskard",63.006394,8.355728
1203693,"Nordstrandsvegen 59, Åsskard",63.020078,8.371804
1203694,"Sagbakkvegen 3, Åsskard",63.017301,8.383108
1203695,"Bølandsvegen 58, Åsskard",63.015288,8.382872
1203696,"Bøfjordvegen 220, Åsskard",63.026341,8.406063
1203697,"Bøfjordvegen 313, Åsskard",63.022099,8.390539
1203698,"Settem, Bølandsvegen 3, Åsskard",63.020123,8.382417
1203707,"Solbakkvegen 7, Åsskard",63.021499,8.351692
1203708,"Solbakkvegen 10, Åsskard",63.02186,8.351858
1203709,"Solbakkvegen 6, Åsskard",63.021838,8.350407
1203715,"Åsskardvegen 2268, Åsskard",63.036531,8.438797
1203716,"Åsskardvegen 2316, Åsskard",63.040747,8.43605
1203717,"Nedgarden Settemsdal, Bøfjordvegen 39, Åsskard",63.037941,8.4305
1203718,"Bøfjordvegen 51, Åsskard",63.038065,8.42585
1203719,"Settemsdal, Bøfjordvegen 22, Åsskard",63.037998,8.434458
1203720,"Steinholmlia 37, Åsskard",63.014987,8.388601
1203721,"Sagbakkvegen 24, Åsskard",63.018228,8.38543
