,Navn,Long,Lat
55519,"64/2, Øye og Ranes",62.979384,8.697818
1197764,"Skeisnebba 410, Øye og Ranes",62.963499,8.742404
1197765,"Skeisnebba 334, Øye og Ranes",62.959392,8.734028
1197766,"Skeisnebba 292, Øye og Ranes",62.957894,8.732894
1197768,"Ytre Nordmarksvegen 378, Øye og Ranes",63.027209,8.720292
1197769,"Ytre Nordmarksvegen 387, Øye og Ranes",63.023886,8.725841
1197770,"Ytre Nordmarksvegen 448, Øye og Ranes",63.029384,8.732131
1202790,"Nordsida 910, Øye og Ranes",62.995655,8.88141
1202791,"Nordsida 952, Øye og Ranes",62.995769,8.889313
1202792,"Gulla, Nordsida 821, Øye og Ranes",62.995411,8.864206
1202793,"Nordsida 861, Øye og Ranes",62.994535,8.871455
1202794,"Gulla, Nordsida 835, Øye og Ranes",62.995376,8.866755
1202795,"Nordsida 847, Øye og Ranes",62.994724,8.868587
1202796,"Surnadalsvegen 821, Øye og Ranes",62.990289,8.883822
1202797,"Surnadalsvegen 737, Øye og Ranes",62.989082,8.867723
1202798,"Surnadalsvegen 743, Øye og Ranes",62.988283,8.868139
1202799,"Honnstadvegen 141, Øye og Ranes",62.98824,8.834995
1202800,"Honnstadvegen 140, Øye og Ranes",62.988575,8.832451
1202801,"Honnstadvegen 153, Øye og Ranes",62.988775,8.836425
1202802,"Ytre Nordmarksvegen 1309, Øye og Ranes",63.031052,8.882958
1202803,"Ytre Nordmarksvegen 1390, Øye og Ranes",63.041367,8.895119
1202804,"Ytre Nordmarksvegen 1382, Øye og Ranes",63.039693,8.895171
1202805,"Ytre Nordmarksvegen 1578, Øye og Ranes",63.049145,8.913512
1202806,"Ytre Nordmarksvegen 1351, Øye og Ranes",63.037966,8.889867
1202810,"Surnadalsvegen 819, Øye og Ranes",62.990956,8.884319
1202811,"Surnadalsvegen 747, Øye og Ranes",62.989442,8.869608
1202812,"Surnadalsvegen 948, Øye og Ranes",62.992738,8.908767
1202815,"Surnadalsvegen 930, Øye og Ranes",62.992029,8.905435
1202816,"Surnadalsvegen 926, Øye og Ranes",62.992238,8.904488
1202817,"Surnadalsvegen 820, Øye og Ranes",62.991849,8.884132
1202818,"Honnstadvegen 172, Øye og Ranes",62.989746,8.838072
1202819,"Honnstadvegen 82, Øye og Ranes",62.987089,8.823019
1202820,"Honnstadvegen 66, Øye og Ranes",62.985864,8.821157
1202821,"Surnadalsvegen 751, Øye og Ranes",62.989438,8.871028
1202822,"Surnadalsvegen 642, Øye og Ranes",62.988178,8.849521
1202823,"Surnadalsvegen 720, Øye og Ranes",62.990055,8.864306
1202824,"Honnstadvegen 69, Øye og Ranes",62.985685,8.821772
1202825,"Honnstadvegen 78, Øye og Ranes",62.986413,8.822832
1202832,"Østbødalsvegen 456, Øye og Ranes",62.938211,8.767145
1202833,"Østbødalsvegen 260, Øye og Ranes",62.934385,8.731526
1202834,"Østbødalsvegen 291, Øye og Ranes",62.934937,8.736971
1202835,"Østbødalsvegen 223, Øye og Ranes",62.934,8.724435
1202836,"Østbødalsvegen 236, Øye og Ranes",62.93453,8.727069
1202837,"Mellingan, Østbødalsvegen 246, Øye og Ranes",62.934206,8.728664
1202838,"Østbødalsvegen 206, Øye og Ranes",62.934736,8.721261
1202839,"Østbødalsvegen 212, Øye og Ranes",62.93435,8.721559
1202841,"Seterøyvegen 72, Øye og Ranes",62.977318,8.687337
1202842,"Seterøyvegen 62, Øye og Ranes",62.978234,8.68763
1202843,"Østbødalsvegen 409, Øye og Ranes",62.937103,8.758628
1202844,"Østbødalsvegen 428, Øye og Ranes",62.938247,8.761664
1202845,"Østbødalsvegen 398, Øye og Ranes",62.937705,8.75562
1202846,"Østbødalsvegen 446, Øye og Ranes",62.937737,8.765476
1202878,"Ranesvegen 63, Øye og Ranes",62.97326,8.764803
