,Navn,Long,Lat
21097,"211/49, Halsa",63.056911,8.314259
21098,"221/9, Halsa",63.113928,8.28407
21099,"211/15, Halsa",63.048257,8.346171
21165,"219/2-2, Halsa",63.117277,8.226298
30806,"211/5-1, Halsa",63.05862,8.332209
31043,"211/3-2, Halsa",63.059333,8.329048
31046,"211/1-2, Halsa",63.057396,8.330044
31047,"211/48, Halsa",63.066405,8.320213
34576,"Ytter Volemsetra, 209/1-1, Halsa",63.053612,8.297028
44817,"209/2, Halsa",63.05294,8.297018
1207631,"Vullumstranda 500, Halsa",63.02819,8.235596
1207632,"Vullumstranda 310, Halsa",63.042711,8.236975
1207633,"Vullumstranda 202, Halsa",63.051313,8.239242
1207634,"Vullumstranda 316, Halsa",63.042092,8.237071
1207635,"Vullumstranda 303, Halsa",63.043246,8.236289
1207636,"Vullumstranda 165, Halsa",63.054153,8.236577
1207637,"Vullumstranda 139, Halsa",63.056337,8.238059
1207638,"Vullumstranda 192, Halsa",63.051625,8.238839
1207639,"Vullumstranda 210, Halsa",63.050297,8.237252
1207640,"Vullumstranda 126, Halsa",63.057058,8.241982
1207641,"Vullumstranda 124, Halsa",63.057154,8.240495
1207642,"Vullumstranda 111, Halsa",63.058206,8.235096
1207643,"Vullumstranda 157, Halsa",63.054529,8.238031
1207644,"Vullumstranda 133, Halsa",63.0569,8.237633
1207645,"Vullumstranda 129, Halsa",63.057158,8.236221
1207646,"Vullumstranda 130, Halsa",63.057141,8.23822
1207647,"Vullumstranda 127, Halsa",63.05725,8.236775
1207648,"Vullumstranda 135, Halsa",63.056683,8.236333
1207649,"Vullumstranda 128, Halsa",63.056903,8.239167
1207650,"Vullumstranda 137, Halsa",63.056622,8.236789
1207651,"Vullumstranda 131, Halsa",63.056937,8.236037
1207652,"Vullumstranda 28, Halsa",63.065939,8.237521
1207653,"Vullumstranda 106, Halsa",63.058921,8.237971
1207654,"Vullumstranda 76, Halsa",63.061532,8.235217
1207655,"Vullumstranda 56, Halsa",63.063196,8.23546
1207656,"Landvegen 83, Halsa",63.07004,8.243286
1207657,"Landvegen 71, Halsa",63.069332,8.241919
1207658,"Halsabakkan 81, Halsa",63.074778,8.235714
1207659,"Halsabakkan 20, Halsa",63.070194,8.228617
1207660,"Landvegen 70, Halsa",63.069906,8.240182
1207661,"Landvegen 63, Halsa",63.067571,8.239926
1207662,"Landvegen 68, Halsa",63.069912,8.239588
1207663,"Halsahagan 45, Halsa",63.072065,8.222847
1207664,"Halsabakkan 10, Halsa",63.069256,8.227895
1207665,"Vullumstranda 16, Halsa",63.06679,8.234223
1207666,"Halsahagan 35, Halsa",63.071804,8.224319
1207667,"Landvegen 49, Halsa",63.06866,8.237107
1207668,"Landvegen 65, Halsa",63.069183,8.239132
1207669,"Landvegen 4, Halsa",63.068852,8.227681
1207670,"Halsabakkan 31, Halsa",63.070754,8.230878
1207671,"Landvegen 90, Halsa",63.070857,8.243383
1207672,"Halsavegen 2135, Halsa",63.074302,8.229676
1207673,"Halsabakkan 40, Halsa",63.071481,8.230958
1207674,"Halsavegen 2188, Halsa",63.075357,8.238912
1207675,"Halsabakkan 46, Halsa",63.072175,8.230527
1207676,"Halsavegen 2204, Halsa",63.075587,8.241637
1207677,"Halsabakkan 42, Halsa",63.071826,8.228964
1207678,"Landvegen 60, Halsa",63.06967,8.237991
1207679,"Landvegen 62, Halsa",63.0698,8.238681
1207680,"Vullumstranda 22, Halsa",63.066609,8.233915
1207681,"Vullumstranda 20, Halsa",63.066888,8.235127
1207682,"Landvegen 8, Halsa",63.06881,8.229199
1207683,"Vullumstranda 18, Halsa",63.066909,8.234808
1207684,"Landvegen 12, Halsa",63.068581,8.23012
1207685,"Landvegen 54, Halsa",63.069476,8.236928
1207686,"Vullumstranda 24, Halsa",63.066566,8.235001
1207687,"Halsavegen 2221, Halsa",63.075541,8.244726
1207688,"Vullumstranda 26, Halsa",63.066448,8.234298
1207689,"Vullumstranda 90, Halsa",63.060455,8.236788
1207690,"Landvegen 186, Halsa",63.073856,8.258668
1207691,"Halsavegen 60, Halsa",63.076474,8.251433
1207692,"Halsavegen 12, Halsa",63.073085,8.248749
