,Navn,Long,Lat
25268,"9/5/1, Aure",63.204355,8.523856
25385,"12/8, Aure",63.192528,8.56467
29462,"12/8/39, Aure",63.192257,8.56817
37808,"9/5-1, Aure",63.205662,8.52739
1305758,"Mjosundvegen 120, Aure",63.240548,8.484064
1305759,"Mjosundvegen 273, Aure",63.231048,8.500412
1305760,"Mjosundvegen 104, Aure",63.241549,8.482921
1305761,"Slettavegen 3, Aure",63.23169,8.499386
1305770,"Sjøheimvegen 17, Aure",63.252171,8.477956
1305771,"Gisethøgda 11, Aure",63.255817,8.474889
1305772,"Sjøheimvegen 11, Aure",63.251619,8.478366
1305773,"Sjøheimvegen 7, Aure",63.251176,8.477956
1305774,"Sjøheimvegen 33, Aure",63.251714,8.479563
1305775,"Gisetvegen 3, Aure",63.252893,8.477037
1305776,"Tømmervågvegen 665, Aure",63.261305,8.471089
1305777,"Ånesvegen 49, Aure",63.266755,8.463368
1305778,"Ånesvegen 133, Aure",63.269803,8.461738
1305779,"Ånesvegen 131, Aure",63.269652,8.462141
1305780,"Ånesvegen 129, Aure",63.269432,8.460702
1305781,"Ånesvegen 158, Aure",63.271108,8.464419
1305782,"Ånesvegen 165, Aure",63.270825,8.465688
1305783,"Ånesvegen 163, Aure",63.270513,8.464684
1305784,"Ånesvegen 151, Aure",63.270263,8.463463
1305785,"Ertvågsvegen 41, Aure",63.212707,8.540025
1305786,"Ertvågsvegen 40, Aure",63.212589,8.538577
1305787,"Ertvågsvegen 54, Aure",63.214122,8.537824
1305788,"Krokavegen 18, Aure",63.224023,8.519814
1305789,"Krokavegen 14, Aure",63.223717,8.518056
1305790,"Espvikvegen 111, Aure",63.222605,8.532351
1305791,"Krokavegen 20, Aure",63.225438,8.52138
1305792,"Mjosundvegen 146, Aure",63.238304,8.484164
1305793,"Slåvegen 34, Aure",63.228194,8.500462
1305794,"Slåvegen 31, Aure",63.228675,8.500686
1305795,"Mjosundvegen 81, Aure",63.241614,8.481119
1305796,"Slåvegen 13, Aure",63.229736,8.501762
1305797,"Mjosundvegen 124, Aure",63.239668,8.483564
1305798,"Slåvegen 11, Aure",63.229965,8.501679
1305799,"Mjosundvegen 290, Aure",63.230212,8.502655
1305800,"Slåvegen 20, Aure",63.229143,8.502025
1305801,"Mjosundvegen 301, Aure",63.228653,8.50281
1305802,"Mjosundvegen 119, Aure",63.240618,8.482934
1305803,"Mjosundvegen 328, Aure",63.226667,8.50244
1305804,"Mjosundvegen 255, Aure",63.232339,8.497984
1305805,"Mjosundvegen 259, Aure",63.232353,8.498897
1305806,"Mjosundvegen 262, Aure",63.23225,8.500037
1305807,"Mjosundvegen 272, Aure",63.231272,8.501893
1305808,"Slåvegen 26, Aure",63.228094,8.50151
1305809,"Mjosundvegen 303, Aure",63.228291,8.50209
1305810,"Mjosundvegen 302, Aure",63.229226,8.503216
1305811,"Mjosundvegen 310, Aure",63.228427,8.503269
1305812,"Mjosundvegen 121, Aure",63.240185,8.482936
1305813,"Mjosundvegen 292, Aure",63.231011,8.502395
1305814,"Mjosundvegen 156, Aure",63.238066,8.484821
1305815,"Slåvegen 22, Aure",63.228882,8.50228
1305821,"Mjosundvegen 1164, Aure",63.1767,8.565307
1305822,"Mjosundvegen 972, Aure",63.19,8.570592
1305823,"Mjosundvegen 1013, Aure",63.185863,8.570912
1305824,"Mjosundvegen 952, Aure",63.19104,8.567397
1305825,"Lindåsvegen 35, Aure",63.20037,8.564226
1305826,"Mjosundvegen 662, Aure",63.207764,8.551101
1305827,"Mjosundvegen 664, Aure",63.208168,8.551606
1305828,"Kvernhuståa 8, Aure",63.225091,8.51368
1305829,"Kvernhuståa 9, Aure",63.225255,8.514223
1305830,"Kvernhuståa 5, Aure",63.224918,8.514571
1305831,"Kvernhuståa 6, Aure",63.225006,8.513907
1305832,"Bugørvegen 24, Aure",63.225489,8.507796
1305833,"Bugørvegen 18, Aure",63.225169,8.505607
1305834,"Bugørvegen 23, Aure",63.224743,8.504361
1305835,"Bugørvegen 17, Aure",63.224892,8.503344
1305836,"Mjosundvegen 404, Aure",63.224558,8.514404
1305837,"Mjosundvegen 351, Aure",63.225629,8.506296
1305838,"Mjosundvegen 347, Aure",63.225406,8.504658
