,Navn,Long,Lat
25328,"51/29, Stemshaug",63.403579,8.676108
29637,"53/3-1, Stemshaug",63.389458,8.721913
37769,"51/6/1, Stemshaug",63.412782,8.700408
481971,"Taftøyveien 30, Heim",63.423661,8.8075
481972,"Taftøyveien 61, Heim",63.42427,8.809423
481973,"Mistfjordveien 960, Heim",63.42523,8.843276
481974,"Mistfjordveien 1189, Heim",63.426153,8.804177
481975,"Mistfjordveien 962, Heim",63.425059,8.843758
481976,"Mistfjordveien 982, Heim",63.424581,8.842642
481977,"Mistfjordveien 817, Heim",63.423354,8.869508
481978,"Mistfjordveien 855, Heim",63.427436,8.867943
481997,"Mistfjordveien 1299, Heim",63.424036,8.783746
481998,"Mistfjordveien 1000, Heim",63.424323,8.839197
481999,"Taftøyveien 41, Heim",63.425898,8.816882
482000,"Mistfjordveien 984, Heim",63.425176,8.842385
482001,"Mistfjordveien 1305, Heim",63.42471,8.782648
482002,"Mistfjordveien 1293, Heim",63.423706,8.785193
482003,"Mistfjordveien 1136, Heim",63.427381,8.814489
482004,"Taftøyveien 1, Heim",63.427447,8.822402
483186,"Mistfjordveien 1294, Heim",63.422802,8.784939
483187,"Litjbølveien 5, Heim",63.424552,8.779068
483188,"Mistfjordveien 1024, Heim",63.425822,8.835656
483189,"Taftøyveien 20, Heim",63.424919,8.815411
483190,"Mistfjordveien 1022, Heim",63.425807,8.834921
483191,"Mistfjordveien 1042, Heim",63.425948,8.833537
483297,"Mistfjordveien 679, Heim",63.41449,8.875505
483298,"Mistfjordveien 631, Heim",63.411062,8.87169
483301,"Rennsjøveien 576, Heim",63.400884,8.830833
483303,"Taftøyveien 160, Heim",63.4233,8.794587
483304,"Taftøyveien 76, Heim",63.420049,8.786007
483305,"Taftøyveien 74, Heim",63.419951,8.784964
483306,"Taftøyveien 58, Heim",63.42073,8.795059
483307,"Taftøyveien 114, Heim",63.420341,8.787514
483308,"Taftøyveien 66, Heim",63.419813,8.790606
483309,"Taftøyveien 98, Heim",63.421975,8.791044
483310,"Taftøyveien 80, Heim",63.420289,8.7839
483311,"Litjbølveien 38, Heim",63.423648,8.772065
483312,"Taftøyveien 94, Heim",63.42173,8.788946
483329,"Taftøyveien 50, Heim",63.421766,8.799506
483330,"Taftøyveien 102, Heim",63.421647,8.793649
483331,"Taftøyveien 108, Heim",63.420937,8.790637
483332,"Mistfjordveien 1082, Heim",63.426736,8.824553
483333,"Mistfjordveien 1004, Heim",63.424354,8.838289
483334,"Mistfjordveien 998, Heim",63.424181,8.839884
483335,"Mistfjordveien 1154, Heim",63.426708,8.811124
483336,"Taftøyveien 77, Heim",63.424272,8.802405
483337,"Mistfjordveien 1006, Heim",63.424137,8.837367
483338,"Mistfjordveien 996, Heim",63.424431,8.840515
483339,"Mistfjordveien 1026, Heim",63.425474,8.836333
483340,"Taftøyveien 71, Heim",63.424818,8.804823
483341,"Litjbølveien 36, Heim",63.423467,8.772872
483342,"Litjbølveien 7, Heim",63.424778,8.778414
483343,"Litjbølveien 2, Heim",63.423934,8.776749
483344,"Litjbølveien 4, Heim",63.423874,8.776067
483345,"Mistfjordveien 1080, Heim",63.427189,8.825074
483346,"Mistfjordveien 986, Heim",63.425156,8.841872
483347,"Mistfjordveien 1028, Heim",63.425265,8.835313
483348,"Taftøyveien 31, Heim",63.426519,8.816983
483349,"Taftøyveien 55, Heim",63.426201,8.811381
483350,"Taftøyveien 33, Heim",63.426413,8.81633
483351,"Taftøyveien 17, Heim",63.426746,8.818294
483352,"Taftøyveien 22, Heim",63.424616,8.813919
483353,"Taftøyveien 15, Heim",63.427001,8.818918
483354,"Mistfjordveien 1365, Heim",63.42303,8.770486
483355,"Taftøyveien 11, Heim",63.427456,8.819394
483356,"Taftøyveien 13, Heim",63.427181,8.819611
483357,"Taftøyveien 54, Heim",63.421427,8.797838
483358,"Taftøyveien 10, Heim",63.426446,8.81984
483359,"Taftøyveien 35, Heim",63.426174,8.815271
483360,"Mistfjordveien 1078, Heim",63.426998,8.825389
483456,"Taftøyveien 158, Heim",63.42294,8.793645
483457,"Taftøyveien 150, Heim",63.422934,8.794971
483458,"Mistfjordveien 807, Heim",63.42325,8.870944
483459,"Taftøyveien 156, Heim",63.422664,8.792669
483461,"Mistfjordveien 825, Heim",63.423493,8.868562
483504,"Mistfjordveien 1206, Heim",63.424754,8.802077
483505,"Taftøyveien 49, Heim",63.426302,8.812733
483506,"Taftøyveien 47, Heim",63.425862,8.812798
483507,"Taftøyveien 75, Heim",63.42396,8.802822
483508,"Taftøyveien 42, Heim",63.421786,8.802581
483509,"Taftøyveien 136, Heim",63.423495,8.799062
483510,"Taftøyveien 152, Heim",63.423265,8.796008
483511,"Taftøyveien 52, Heim",63.421603,8.798897
483512,"Taftøyveien 130, Heim",63.423424,8.80003
483513,"Taftøyveien 36, Heim",63.422813,8.806781
483514,"Mistfjordveien 1210, Heim",63.424486,8.801511
483515,"Taftøyveien 128, Heim",63.423079,8.799441
483516,"Taftøyveien 21, Heim",63.427069,8.817984
483517,"Taftøyveien 124, Heim",63.422683,8.797753
483518,"Mistfjordveien 1118, Heim",63.427862,8.81755
483519,"Taftøyveien 51, Heim",63.426554,8.812245
483520,"Mistfjordveien 1289, Heim",63.424703,8.785719
483521,"Taftøyveien 45, Heim",63.425935,8.813716
483522,"Taftøyveien 48, Heim",63.421795,8.800531
483523,"Taftøyveien 38, Heim",63.4224,8.805909
483524,"Taftøyveien 44, Heim",63.422114,8.802102
483525,"Mistfjordveien 1016, Heim",63.426701,8.835764
483526,"Mistfjordveien 1046, Heim",63.426828,8.832543
483527,"Taftøyveien 118, Heim",63.421924,8.794747
483528,"Mistfjordveien 1076, Heim",63.427388,8.82584
483529,"Taftøyveien 67, Heim",63.424963,8.806917
483530,"Taftøyveien 144, Heim",63.422273,8.793208
483531,"Taftøyveien 106, Heim",63.421211,8.791508
483532,"Taftøyveien 134, Heim",63.423763,8.799707
483533,"Mistfjordveien 1018, Heim",63.426955,8.834271
483534,"Taftøyveien 104, Heim",63.421242,8.79232
483535,"Taftøyveien 126, Heim",63.422922,8.798768
483536,"Mistfjordveien 990, Heim",63.424956,8.83794
483537,"Litjbølveien 8, Heim",63.424491,8.775057
483538,"Mistfjordveien 1286, Heim",63.423096,8.786563
483539,"Taftøyveien 116, Heim",63.420601,8.788965
483540,"Taftøyveien 120, Heim",63.422307,8.795882
483541,"Mistfjordveien 1306, Heim",63.422303,8.782563
483542,"Taftøyveien 64, Heim",63.419949,8.79165
483543,"Taftøyveien 62, Heim",63.42022,8.792747
483544,"Taftøyveien 78, Heim",63.419847,8.782948
483545,"Taftøyveien 68, Heim",63.419637,8.789667
483546,"Taftøyveien 154, Heim",63.422362,8.791527
483547,"Mistfjordveien 1312, Heim",63.422168,8.781718
483548,"Taftøyveien 148, Heim",63.422681,8.794564
483549,"Mistfjordveien 1302, Heim",63.422491,8.78342
483550,"Mistfjordveien 1290, Heim",63.423065,8.785796
483551,"Taftøyveien 82, Heim",63.420404,8.78475
483552,"Taftøyveien 132, Heim",63.423705,8.800763
483553,"Taftøyveien 23, Heim",63.427619,8.818026
483554,"Mistfjordveien 1107, Heim",63.428385,8.820005
483555,"Taftøyveien 73, Heim",63.4248,8.803365
483556,"Mistfjordveien 1307, Heim",63.42401,8.782224
483557,"Taftøyveien 43, Heim",63.425689,8.81512
483558,"Taftøyveien 59, Heim",63.425858,8.809633
483559,"Mistfjordveien 992, Heim",63.42491,8.840296
483560,"Mistfjordveien 1431, Heim",63.423229,8.756877
483561,"Mistfjordveien 1423, Heim",63.421695,8.759401
