,Navn,Long,Lat
604790,"Sørpollen 36, Sør-Vågsøy",61.932654,5.221655
604791,"Sørpollen 30, Sør-Vågsøy",61.933171,5.224289
604793,"Sørpollen 28, Sør-Vågsøy",61.933315,5.224759
604794,"Seljevegen 25, Sør-Vågsøy",61.952097,5.204744
604795,"Seljevegen 16, Sør-Vågsøy",61.95206,5.209291
606661,"Seljevegen 13, Sør-Vågsøy",61.948217,5.208108
606698,"Seljevegen 15, Sør-Vågsøy",61.949457,5.203527
606916,"Sørpollen 15, Sør-Vågsøy",61.935523,5.227958
606973,"Sørpollen 17, Sør-Vågsøy",61.935205,5.227806
607794,"Seljevegen 991, Selje",61.973875,5.255609
607817,"Seljevegen 792, Selje",61.973083,5.227993
607818,"Seljevegen 771, Selje",61.974836,5.224839
607819,"Seljevegen 849, Selje",61.976401,5.23889
607821,"Seljevegen 790, Selje",61.973372,5.228377
607822,"Seljevegen 847, Selje",61.976204,5.238914
607823,"Pernesvegen 22, Selje",61.975269,5.229059
607824,"Seljevegen 786, Selje",61.973906,5.228158
607825,"Seljevegen 804, Selje",61.973645,5.232087
607826,"Seljevegen 819, Selje",61.97514,5.23385
607827,"Seljevegen 811, Selje",61.974474,5.232519
607828,"Keilevegen 15, Selje",61.975552,5.232512
607829,"Seljevegen 851, Selje",61.976618,5.239264
607830,"Seljevegen 865, Selje",61.977373,5.240585
607831,"Seljevegen 899, Selje",61.978468,5.240526
607832,"Pernesvegen 76, Selje",61.973261,5.229197
607833,"Øvregardsbakkane 34, Selje",61.972449,5.230115
607834,"Seljevegen 810, Selje",61.97428,5.232982
607835,"Keilevegen 2, Selje",61.974947,5.233702
607836,"Seljevegen 826, Selje",61.974559,5.236271
607837,"Pernesvegen 79, Selje",61.972885,5.229602
607838,"Fosselida 30, Selje",61.969716,5.234676
607839,"Fosselida 4, Selje",61.970902,5.234679
607840,"Fosselida 20, Selje",61.970618,5.23479
607841,"Fosselida 1, Selje",61.971275,5.234499
607842,"Seljevegen 832, Selje",61.975053,5.237261
607843,"Pernesvegen 75, Selje",61.973438,5.229782
607844,"Seljevegen 1405, Selje",61.954281,5.2975
607845,"Seljevegen 1415, Selje",61.955769,5.299381
607846,"Seljevegen 1362, Selje",61.950479,5.294832
607847,"Seljevegen 1414, Selje",61.955145,5.300564
607848,"Seljevegen 1217, Selje",61.957361,5.279394
607849,"Seljevegen 1159, Selje",61.959726,5.268835
607850,"Seljevegen 1185, Selje",61.958287,5.27176
607851,"Seljevegen 1175, Selje",61.958587,5.270578
607852,"Seljevegen 1195, Selje",61.957817,5.274986
607853,"Seljevegen 1193, Selje",61.957857,5.274828
607854,"Seljevegen 1199, Selje",61.958117,5.275465
607855,"Seljevegen 1201, Selje",61.95798,5.276035
607856,"Seljevegen 989, Selje",61.97381,5.255271
607857,"Seljevegen 961, Selje",61.974797,5.254902
607858,"Seljevegen 1057, Selje",61.967366,5.262555
607859,"Seljevegen 1055, Selje",61.967968,5.261801
607860,"Seljevegen 1430, Selje",61.95601,5.301299
607861,"Seljevegen 1476, Selje",61.960625,5.303488
607862,"Seljevegen 1538, Selje",61.964547,5.301963
607863,"Seljevegen 1472, Selje",61.960024,5.303523
607864,"Seljevegen 1474, Selje",61.960217,5.303022
607865,"Seljevegen 1458, Selje",61.958461,5.304552
607866,"Seljevegen 1348, Selje",61.950137,5.294148
607867,"Seljevegen 1382, Selje",61.952252,5.297231
607868,"Seljevegen 1500, Selje",61.961344,5.30048
607869,"Seljevegen 1432, Selje",61.956323,5.301929
607870,"Seljevegen 1383, Selje",61.952662,5.295445
607871,"Seljevegen 1410, Selje",61.954592,5.300058
607872,"Seljevegen 1360, Selje",61.950657,5.294085
607873,"Seljevegen 1573, Selje",61.966388,5.295878
607874,"Seljevegen 1561, Selje",61.966194,5.300137
607875,"Venøya 81, Selje",61.983871,5.270351
607876,"Seljevegen 1545, Selje",61.965412,5.301037
607877,"Seljevegen 1583, Selje",61.967503,5.295052
607878,"Seljevegen 1600, Selje",61.968703,5.294738
607879,"Seljevegen 1595, Selje",61.967083,5.29398
607880,"Seljevegen 1616, Selje",61.969739,5.29254
607881,"Seljevegen 1587, Selje",61.967594,5.293956
607882,"Seljevegen 1610, Selje",61.969401,5.293641
607883,"Seljevegen 1617, Selje",61.969555,5.291331
607884,"Seljevegen 1599, Selje",61.966491,5.294701
607885,"Seljevegen 1521, Selje",61.9632,5.300981
607886,"Seljevegen 1460, Selje",61.958671,5.304699
607887,"Seljevegen 1490, Selje",61.96074,5.301737
607888,"Seljevegen 1464, Selje",61.958899,5.304824
607889,"Seljevegen 1896, Selje",61.986371,5.294731
607890,"Seljevegen 1860, Selje",61.984717,5.289716
607891,"Seljevegen 1817, Selje",61.981969,5.283097
607892,"Seljevegen 1919, Selje",61.986625,5.298483
607893,"Seljevegen 1450, Selje",61.958026,5.304433
607894,"Seljevegen 1793, Selje",61.981427,5.281443
607895,"Venøya 145, Selje",61.986792,5.259409
607896,"Seljevegen 1819, Selje",61.982201,5.283191
607897,"Seljevegen 1769, Selje",61.980762,5.280791
607898,"Venøya 170, Selje",61.987827,5.26509
607899,"Venøya 165, Selje",61.987199,5.252557
607900,"Venøya 173, Selje",61.987622,5.26053
607901,"Venøya 34, Selje",61.980626,5.275638
607902,"Venøya 141, Selje",61.986235,5.259764
607903,"Venøya 155, Selje",61.987826,5.256288
607904,"Venøya 204, Selje",61.989004,5.255808
607905,"Venøya 184, Selje",61.988099,5.258236
607914,"Seljevegen 2009, Selje",61.980349,5.307764
607915,"Seljevegen 2104, Selje",61.97842,5.316593
607917,"Seljevegen 1977, Selje",61.982587,5.306099
607918,"Seljevegen 2108, Selje",61.978712,5.316443
607919,"Seljevegen 2110, Selje",61.978656,5.317348
607920,"Seljevegen 2116, Selje",61.978998,5.317039
607921,"Seljevegen 2130, Selje",61.979871,5.31743
607997,"Seljevegen 788, Selje",61.973442,5.227948
607998,"Seljevegen 897, Selje",61.978577,5.240914
607999,"Seljevegen 816, Selje",61.974351,5.233604
608000,"Seljevegen 784, Selje",61.973493,5.227522
608002,"Seljevegen 799, Selje",61.974334,5.2311
608005,"Seljevegen 752, Selje",61.973447,5.222581
608007,"Seljevegen 708, Selje",61.974454,5.213796
608022,"Seljevegen 1563, Selje",61.966009,5.300163
608023,"Seljevegen 1593, Selje",61.967268,5.294187
608026,"Seljevegen 1581, Selje",61.967623,5.295347
608027,"Seljevegen 1466, Selje",61.958899,5.304824
608082,"Fosselida 50, Selje",61.96919,5.236132
608083,"Pernesvegen 11, Selje",61.974516,5.229044
608100,"Keilevegen 20, Selje",61.976123,5.233652
608101,"Fosselida 51, Selje",61.969588,5.235911
608105,"Seljevegen 855, Selje",61.976953,5.240655
608107,"Seljevegen 705, Selje",61.975147,5.213145
608122,"Keilevegen 1, Selje",61.974674,5.232934
608147,"Fosselida 53, Selje",61.969811,5.23617
608155,"Venøya 167, Selje",61.987403,5.261053
608162,"Fosselida 52, Selje",61.969422,5.236408
608164,"Seljevegen 776, Selje",61.973162,5.226608
608170,"Fosselida 48, Selje",61.968964,5.235777
608173,"Fosselida 35, Selje",61.969423,5.235129
608175,"Venøya 37, Selje",61.980488,5.264751
608178,"Seljevegen 1631, Selje",61.969766,5.29016
608186,"Seljevegen 772, Selje",61.973818,5.22561
608197,"Seljevegen 762, Selje",61.97387,5.224878
608208,"Seljevegen 895, Selje",61.978907,5.241484
608215,"Fosselida 39, Selje",61.969089,5.235075
608222,"Seljevegen 1211, Selje",61.957302,5.276557
608231,"Seljevegen 739, Selje",61.975254,5.21997
608244,"Seljevegen 754, Selje",61.973279,5.222659
608245,"Seljevegen 758, Selje",61.97364,5.224047
608246,"Fosselida 25, Selje",61.969974,5.235576
608247,"Pernesvegen 85, Selje",61.971807,5.229252
608248,"Seljevegen 751, Selje",61.975157,5.222331
608249,"Seljevegen 757, Selje",61.975188,5.223798
608250,"Seljevegen 764, Selje",61.973573,5.224876
608251,"Seljevegen 753, Selje",61.975404,5.222491
608252,"Seljevegen 710, Selje",61.974427,5.214419
608253,"Seljevegen 740, Selje",61.974217,5.219831
608254,"Seljevegen 759, Selje",61.975626,5.223705
608255,"Seljevegen 761, Selje",61.975883,5.223578
608256,"Seljevegen 689, Selje",61.975052,5.211323
608257,"Seljevegen 692, Selje",61.974531,5.212305
608258,"Seljevegen 738, Selje",61.974889,5.219461
608259,"Seljevegen 730, Selje",61.974814,5.218687
608260,"Fosselida 9, Selje",61.972156,5.236148
608261,"Pernesvegen 37, Selje",61.976662,5.226249
608262,"Pernesvegen 39, Selje",61.976615,5.225684
608263,"Pernesvegen 35, Selje",61.97663,5.227422
608264,"Seljevegen 859, Selje",61.977122,5.238481
608265,"Fosselida 6, Selje",61.971111,5.23505
608266,"Fosselida 21, Selje",61.970495,5.23531
608267,"Fosselida 11, Selje",61.971523,5.235672
608268,"Fosselida 17, Selje",61.970996,5.235794
608269,"Keilevegen 16, Selje",61.975833,5.233555
608270,"Fosselida 19, Selje",61.970712,5.2356
608271,"Fosselida 15, Selje",61.971295,5.235872
608272,"Seljevegen 770, Selje",61.974108,5.226032
608273,"Seljevegen 867, Selje",61.977265,5.241228
608274,"Pernesvegen 23, Selje",61.975274,5.228237
608275,"Øvregardsbakkane 36, Selje",61.971971,5.230059
608276,"Pernesvegen 15, Selje",61.974931,5.228528
608277,"Seljevegen 787, Selje",61.97439,5.228442
608278,"Pernesvegen 17, Selje",61.974643,5.228506
608279,"Fosselida 7, Selje",61.971835,5.23592
608280,"Pernesvegen 40, Selje",61.976798,5.229028
608290,"Seljevegen 1407, Selje",61.954065,5.297145
608293,"Øvregardsbakkane 49, Selje",61.971589,5.227585
608295,"Seljevegen 861, Selje",61.978121,5.239021
608310,"Seljevegen 1381, Selje",61.952728,5.295914
608314,"Øvregardsbakkane 47, Selje",61.971662,5.226965
608315,"Seljevegen 955, Selje",61.974226,5.255392
608319,"Seljevegen 957, Selje",61.974395,5.255314
608320,"Seljevegen 959, Selje",61.974574,5.255273
608321,"Seljevegen 1565, Selje",61.965692,5.299743
608325,"Pernesvegen 29, Selje",61.975425,5.227669
608335,"Seljevegen 1781, Selje",61.98031,5.279622
608339,"Seljevegen 1541, Selje",61.965087,5.300962
608359,"Seljevegen 975, Selje",61.975886,5.254291
608360,"Seljevegen 973, Selje",61.975942,5.255405
608364,"Seljevegen 747, Selje",61.97523,5.221061
608371,"Øvregardsbakkane 41, Selje",61.97112,5.228159
608376,"Øvregardsbakkane 43, Selje",61.971234,5.227419
608380,"Seljevegen 1177, Selje",61.958345,5.270913
608388,"Pernesvegen 20, Selje",61.975073,5.229446
608389,"Pernesvegen 10, Selje",61.974482,5.230513
608406,"Seljevegen 1589, Selje",61.96779,5.293875
608408,"Seljevegen 716, Selje",61.974081,5.215875
608409,"Seljevegen 728, Selje",61.97478,5.218019
608412,"Seljevegen 693, Selje",61.975741,5.210858
608413,"Seljevegen 695, Selje",61.975749,5.211561
608434,"Venøya 73, Selje",61.983881,5.274056
608443,"Seljevegen 1090, Selje",61.964766,5.263101
608452,"Seljevegen 741, Selje",61.975062,5.220165
608626,"Seljevegen 1515, Selje",61.96286,5.30106
608629,"Venøya 163, Selje",61.985899,5.25564
608632,"Seljevegen 780, Selje",61.973877,5.227522
608633,"Seljevegen 1244, Selje",61.95508,5.280817
608634,"Fosselida 42, Selje",61.967086,5.23347
608635,"Seljevegen 1133, Selje",61.961911,5.26622
608636,"Seljevegen 830, Selje",61.974824,5.236773
608637,"Seljevegen 782, Selje",61.97387,5.227727
608653,"Seljevegen 1526, Selje",61.963613,5.302477
608663,"Seljevegen 1575, Selje",61.966138,5.296271
608686,"Venøya 196, Selje",61.988575,5.257222
608703,"Venøya 159, Selje",61.98654,5.256421
608724,"Seljevegen 1444, Selje",61.957365,5.303902
608727,"Seljevegen 1346, Selje",61.950154,5.293421
608729,"Seljevegen 1340, Selje",61.949673,5.291914
608730,"Seljevegen 1338, Selje",61.949546,5.291195
1641841,"Seljevegen 1549, Selje",61.965645,5.300627
1650943,"Fosselida 54, Selje",61.969659,5.236646
1650946,"Øvregardsbakkane 52, Selje",61.972039,5.228461
1650947,"Øvregardsbakkane 50, Selje",61.971991,5.228571
1651478,"Venøya 111, Selje",61.985313,5.265916
1652401,"Seljevegen 1468, Selje",61.959228,5.304846
1654159,"Seljevegen 969, Selje",61.97563,5.254645
