,Navn,Long,Lat
7155,"201/5, Hornindal",61.992013,6.611646
7156,"196/4, Hornindal",62.025717,6.717188
7157,"199/7, Hornindal",61.998416,6.651389
7158,"199/6, Hornindal",61.997835,6.652083
7159,"195/2, Hornindal",62.002123,6.648639
7160,"194/4, Hornindal",62.000997,6.638449
7161,"194/2, Hornindal",62.001038,6.64133
7162,"190/2, Hornindal",61.997662,6.59875
7163,"191/1, Hornindal",61.998201,6.613721
7164,"192/10, Hornindal",61.998653,6.622777
7165,"192/7, Hornindal",61.99789,6.617346
7166,"185/1, Hornindal",61.992983,6.556818
7167,"181/13, Hornindal",61.989268,6.514743
7168,"182/7, Hornindal",61.990265,6.528754
7175,"182/57, Hornindal",61.996502,6.534693
7176,"182/41, Hornindal",62.019215,6.565304
7177,"182/53, Hornindal",62.019572,6.565696
7178,"192/4, Hornindal",61.997698,6.621534
7179,"182/51, Hornindal",62.018052,6.558994
7180,"190/7, Hornindal",62.014157,6.581073
7181,"181/30, Hornindal",62.019972,6.563963
7182,"181/1/1, Hornindal",62.022446,6.560687
7183,"181/39, Hornindal",62.022144,6.565166
7184,"193/12, Hornindal",62.028373,6.671032
7185,"194/6, Hornindal",62.029542,6.672506
7186,"191/11, Hornindal",62.028816,6.673116
7187,"188/2, Hornindal",61.999949,6.587871
7188,"189/6, Hornindal",61.997804,6.593467
7189,"195/5, Hornindal",62.029699,6.671175
7190,"183/10, Hornindal",62.019999,6.563463
7191,"182/40, Hornindal",62.01545,6.562145
7192,"182/42, Hornindal",62.014908,6.561998
7193,"182/36, Hornindal",62.015139,6.562361
7194,"182/38, Hornindal",62.015895,6.563467
7195,"182/33, Hornindal",62.018537,6.558496
7196,"182/34, Hornindal",62.017748,6.559572
7197,"186/2, Hornindal",61.997863,6.572242
7198,"185/14, Hornindal",62.018459,6.573392
7199,"185/15, Hornindal",62.018471,6.57255
7200,"185/12, Hornindal",61.992364,6.559885
7201,"181/15, Hornindal",62.020024,6.560804
7202,"182/28, Hornindal",62.015085,6.561334
7203,"182/32, Hornindal",62.015696,6.562355
7204,"182/25, Hornindal",62.018121,6.559848
7205,"182/26, Hornindal",62.0142,6.562054
7206,"182/24, Hornindal",62.014451,6.562072
7207,"181/24, Hornindal",62.019954,6.566487
7208,"181/26, Hornindal",62.021317,6.5691
7209,"195/4, Hornindal",62.029274,6.671552
7210,"186/7, Hornindal",62.013431,6.578199
7214,"206/3, Hornindal",61.968473,6.524259
7215,"206/62, Hornindal",61.967616,6.52534
7216,"191/7, Hornindal",62.028599,6.672483
7217,"189/4, Hornindal",62.017408,6.580012
7218,"186/5, Hornindal",62.016597,6.577324
7219,"205/1/2, Hornindal",61.977288,6.528813
7220,"181/1/2, Hornindal",62.021973,6.560801
7221,"204/20, Hornindal",61.982785,6.515347
7222,"185/5, Hornindal",62.016674,6.565392
