,Navn,Long,Lat
28,"79/2, Stårheim",61.956586,5.729608
29,"69/6, Stårheim",61.922177,5.724444
30,"69/3, Stårheim",61.92174,5.721575
64,"85/21, Stårheim",61.951213,5.831051
69,"83/5-1, Stårheim",61.959133,5.73548
74,"90/16, Stårheim",61.953438,5.831336
96,"79/1, Stårheim",61.956242,5.729892
97,"71/2, Stårheim",61.921082,5.733558
99,"81/2, Stårheim",61.958167,5.76001
103,"79/7/4, Stårheim",61.955642,5.729232
104,"79/7/6, Stårheim",61.956147,5.727384
121,"90/18, Stårheim",61.953581,5.831664
124,"90/13, Stårheim",61.947763,5.827938
29881,"79/7/3, Stårheim",61.955918,5.729807
32101,"79/7/7, Stårheim",61.955509,5.728321
32153,"73/3-1, Stårheim",61.922977,5.741514
33473,"83/3-2, Stårheim",61.948882,5.757855
33474,"83/7-2, Stårheim",61.948609,5.75784
33475,"83/8-1, Stårheim",61.948465,5.757628
33514,"78/1-3, Stårheim",61.956997,5.730218
33515,"78/2, Stårheim",61.956584,5.729976
38241,"83/1, Stårheim",61.949999,5.758747
56456,"Nordfjordvegen 5614, Stårheim",61.919145,5.802205
56457,"Nordfjordvegen 5610, Stårheim",61.919274,5.801825
56458,"Nordfjordvegen 5590, Stårheim",61.918955,5.803311
56459,"Nordfjordvegen 5597, Stårheim",61.918376,5.802361
56460,"Remmedalsvegen 140, Stårheim",61.923572,5.812549
56461,"Nordfjordvegen 5621, Stårheim",61.919346,5.798486
56462,"Nordfjordvegen 5622, Stårheim",61.920956,5.803578
56463,"Nordfjordvegen 5474, Stårheim",61.917428,5.819993
56464,"Nordfjordvegen 5524, Stårheim",61.917211,5.818358
56465,"Nordfjordvegen 5538, Stårheim",61.916513,5.812713
56466,"Nordfjordvegen 5564, Stårheim",61.916617,5.809386
56467,"Nordfjordvegen 5548, Stårheim",61.916398,5.810438
56468,"Nordfjordvegen 5562, Stårheim",61.916685,5.808865
56469,"Nordfjordvegen 5566, Stårheim",61.916558,5.809945
56470,"Remmedalsvegen 281, Stårheim",61.936679,5.827296
56471,"Remmedalsvegen 301, Stårheim",61.937128,5.830758
56472,"Remmedalsvegen 335, Stårheim",61.939025,5.835119
56473,"Remmedalsvegen 303, Stårheim",61.937105,5.831714
56474,"Remmedalsvegen 319, Stårheim",61.937249,5.833701
56475,"Remmedalsvegen 279, Stårheim",61.94016,5.826267
56476,"Remmedalsvegen 287, Stårheim",61.938226,5.830081
56477,"Remmedalsvegen 359, Stårheim",61.938286,5.842461
56478,"Remmedalsvegen 350, Stårheim",61.93479,5.840076
56479,"Remmedalsvegen 401, Stårheim",61.936768,5.84781
56480,"Remmedalsvegen 138, Stårheim",61.922624,5.810399
56481,"Remmedalsvegen 352, Stårheim",61.934184,5.838347
56482,"Remmedalsvegen 441, Stårheim",61.936876,5.853095
56483,"Remmedalsvegen 280, Stårheim",61.932786,5.822475
56484,"Remmedalsvegen 469, Stårheim",61.937391,5.850086
56485,"Remmedalsvegen 399, Stårheim",61.935766,5.845391
56499,"Nordfjordvegen 5512, Stårheim",61.916313,5.814525
56500,"Nordfjordvegen 5510, Stårheim",61.916353,5.815093
56502,"Nordfjordvegen 5466, Stårheim",61.91677,5.822615
56503,"Nordfjordvegen 5514, Stårheim",61.916233,5.813771
56504,"Nordfjordvegen 5454, Stårheim",61.916921,5.826048
56505,"Nordfjordvegen 5508, Stårheim",61.916319,5.815535
56506,"Nordfjordvegen 5518, Stårheim",61.916856,5.815079
56513,"Øvre Torvika 2, Stårheim",61.92399,5.798839
56514,"Øvre Torvika 20, Stårheim",61.924123,5.799149
56515,"Remmedalsvegen 189, Stårheim",61.93038,5.81325
56516,"Myrold 135, Stårheim",61.923506,5.797326
56517,"Remmedalsvegen 29, Stårheim",61.921318,5.792505
56518,"Nordfjordvegen 5652, Stårheim",61.920721,5.793082
56519,"Øvre Torvika 4, Stårheim",61.923905,5.798276
56520,"Nordfjordvegen 5628, Stårheim",61.920859,5.79707
56521,"Remmedalsvegen 271, Stårheim",61.936573,5.824618
56522,"Remmedalsvegen 255, Stårheim",61.935472,5.824027
56523,"Remmedalsvegen 275, Stårheim",61.939437,5.825184
56524,"Remmedalsvegen 245, Stårheim",61.934602,5.821371
56525,"Remmedalsvegen 229, Stårheim",61.933099,5.818935
56526,"Remmedalsvegen 187, Stårheim",61.930401,5.813744
56527,"Remmedalsvegen 199, Stårheim",61.931486,5.815594
56528,"Remmedalsvegen 197, Stårheim",61.931537,5.816049
56529,"Remmedalsvegen 27, Stårheim",61.921237,5.792113
56530,"Nordfjordvegen 5656, Stårheim",61.920558,5.792279
56531,"Myrold 130, Stårheim",61.922825,5.796235
56532,"Remmedalsvegen 43, Stårheim",61.922202,5.794184
56533,"Øvre Torvika 7, Stårheim",61.923585,5.795336
56534,"Myrold 116, Stårheim",61.922654,5.795071
56579,"Nordfjordvegen 5839, Stårheim",61.918445,5.758844
56580,"Vikabakken 35, Stårheim",61.919729,5.764521
56581,"Kleivavegen 41, Stårheim",61.920025,5.759935
56582,"Orheimsvegen 169, Stårheim",61.923261,5.756542
56583,"Orheimsvegen 165, Stårheim",61.921717,5.755848
56584,"Kleivavegen 36, Stårheim",61.919269,5.758719
56585,"Kleivavegen 34, Stårheim",61.919096,5.758261
56586,"Kleivavegen 40B, Stårheim",61.919683,5.759698
56587,"Nordfjordvegen 5833, Stårheim",61.918651,5.759585
56588,"Nordfjordvegen 5819, Stårheim",61.918361,5.762531
56589,"Vikabakken 8, Stårheim",61.919082,5.764513
56590,"Kleivavegen 42, Stårheim",61.919747,5.760726
56591,"Vikabakken 36, Stårheim",61.919772,5.765222
56592,"Kleivavegen 43, Stårheim",61.920163,5.760816
56593,"Vikabakken 10, Stårheim",61.919114,5.765139
56594,"Kleivavegen 26, Stårheim",61.918506,5.756074
56595,"Kleivavegen 10, Stårheim",61.91809,5.755585
56596,"Kleivavegen 21, Stårheim",61.917897,5.753128
56597,"Nordfjordvegen 5863, Stårheim",61.91738,5.754803
56598,"Kleivavegen 32, Stårheim",61.918927,5.757573
56599,"Orheimsvegen 134, Stårheim",61.919512,5.751127
56600,"Kleivavegen 29, Stårheim",61.918581,5.755094
56601,"Kleivavegen 7, Stårheim",61.917503,5.75317
56602,"Kleivavegen 3, Stårheim",61.917702,5.751719
56603,"Kleivavegen 19, Stårheim",61.917711,5.752416
56604,"Kleivavegen 5, Stårheim",61.917425,5.75253
56605,"Kleivavegen 9, Stårheim",61.917669,5.753743
56606,"Kleivavegen 15, Stårheim",61.918257,5.755053
56607,"Kleivavegen 27, Stårheim",61.918431,5.754443
56608,"Kleivavegen 30, Stårheim",61.918816,5.757032
56609,"Kleivavegen 28, Stårheim",61.918757,5.756448
56610,"Myrold 13, Stårheim",61.920408,5.776247
56611,"Stårheimsdalen 27, Stårheim",61.91925,5.771281
56612,"Stårheimsdalen 73, Stårheim",61.923643,5.773943
56613,"Stårheimsdalen 9, Stårheim",61.91864,5.770945
56614,"Solheimsbakkane 16, Stårheim",61.931572,5.769941
56615,"Solheimsbakkane 128, Stårheim",61.939757,5.758071
56616,"Solheimsbakkane 6, Stårheim",61.928783,5.772847
56617,"Myrold 42, Stårheim",61.920033,5.781337
56618,"Stårheimsdalen 33, Stårheim",61.919985,5.772385
56619,"Nordfjordvegen 5724, Stårheim",61.918619,5.779256
56620,"Nordfjordvegen 5805, Stårheim",61.918158,5.764247
56621,"Stårheimsdalen 35, Stårheim",61.920236,5.772339
56622,"Stårheimsdalen 44, Stårheim",61.920812,5.773155
56623,"Vikabakken 20, Stårheim",61.918512,5.767013
56624,"Stårheimsdalen 130, Stårheim",61.927327,5.767854
56625,"Stårheimsdalen 194, Stårheim",61.924086,5.766024
56626,"Stårheimsdalen 214, Stårheim",61.924425,5.767177
56627,"Stårheimsdalen 200, Stårheim",61.925885,5.762688
56628,"Stårheimsdalen 219, Stårheim",61.924868,5.768743
56629,"Vikabakken 26, Stårheim",61.919216,5.762955
56630,"Vikabakken 30, Stårheim",61.919383,5.764729
56631,"Stårheimsdalen 233, Stårheim",61.92389,5.769552
56632,"Solheimsbakkane 164, Stårheim",61.941052,5.761939
56633,"Solheimsbakkane 124, Stårheim",61.93976,5.760493
56634,"Solheimsbakkane 158, Stårheim",61.940765,5.760081
56635,"Solheimsbakkane 168, Stårheim",61.941188,5.763164
56636,"Stårheimsdalen 184, Stårheim",61.927942,5.762661
