,Navn,Long,Lat
22997,"125/6, Innvik",61.843981,6.635697
22998,"123/3, Innvik",61.842505,6.660685
23064,"123/6, Innvik",61.842644,6.660409
23082,"129/20, Innvik",61.823944,6.594298
23083,"128/19, Innvik",61.825455,6.62172
23084,"129/23, Innvik",61.821497,6.597111
23085,"129/21, Innvik",61.822792,6.593629
23217,"130/1/1, Innvik",61.8229,6.591113
38697,"129/2, Innvik",61.822606,6.595339
38718,"129/1, Innvik",61.822602,6.59507
38722,"128/25, Innvik",61.822285,6.616796
38728,"128/7, Innvik",61.822317,6.615452
38742,"129/3, Innvik",61.822911,6.595048
38749,"129/4, Innvik",61.822663,6.594328
1289738,"Fjordvegen 3453, Innvik",61.845007,6.606236
1289739,"Gamlevegen 47, Innvik",61.848337,6.610747
1289740,"Heggdalsvegen 106, Innvik",61.84125,6.612249
1289741,"Skådivegen 15, Innvik",61.847384,6.613805
1289742,"Heggdalsvegen 118, Innvik",61.83975,6.605031
1289743,"Heggdalsvegen 5, Innvik",61.847238,6.612144
1289744,"Heggdalsvegen 7, Innvik",61.847237,6.6126
1289745,"Gamlevegen 19, Innvik",61.850621,6.611976
1289746,"Fjordvegen 3406, Innvik",61.848018,6.612045
1289747,"Skådivegen 17, Innvik",61.847604,6.614092
1289748,"Fjordvegen 3426, Innvik",61.845869,6.610882
1289749,"Heggdalsvegen 12, Innvik",61.84715,6.613272
1289750,"Skådivegen 18, Innvik",61.847997,6.614442
1289751,"Fjordvegen 3390, Innvik",61.849375,6.613137
1289752,"Gamlevegen 46, Innvik",61.848459,6.611593
1289753,"Gamlevegen 45, Innvik",61.848664,6.610988
1289754,"Gamlevegen 43, Innvik",61.84877,6.610903
1289755,"Fjordvegen 3432, Innvik",61.845282,6.60916
1289756,"Heggdalsvegen 50, Innvik",61.843574,6.622007
1289757,"Skådivegen 11, Innvik",61.848373,6.613899
1289758,"Fjordvegen 3457, Innvik",61.84488,6.605676
1289759,"Gamlevegen 30, Innvik",61.849642,6.612489
1289760,"Gamlevegen 33, Innvik",61.849488,6.610847
1289761,"Skådivegen 26, Innvik",61.847929,6.615702
1289762,"Gamlevegen 53, Innvik",61.847352,6.610597
1289763,"Heggdalsvegen 46, Innvik",61.844176,6.620953
1289764,"Skådivegen 12, Innvik",61.848962,6.615752
1289765,"Gamlevegen 26, Innvik",61.849673,6.611861
1289766,"Gamlevegen 21, Innvik",61.850115,6.611274
1289767,"Fjordvegen 3450, Innvik",61.844612,6.605716
1289768,"Gamlevegen 18, Innvik",61.850046,6.611964
1289769,"Heggdalsvegen 42, Innvik",61.845763,6.614083
1289770,"Heggdalsvegen 59, Innvik",61.84359,6.610984
1289771,"Gamlevegen 48, Innvik",61.848227,6.611668
1289772,"Skådivegen 13, Innvik",61.848103,6.613825
1289773,"Dragesetvegen 575, Innvik",61.822682,6.669239
1289774,"Heggdalsvegen 34, Innvik",61.845461,6.613746
1289815,"Fjordvegen 3566, Innvik",61.838157,6.589954
1289816,"Fjordvegen 3604, Innvik",61.836253,6.584803
1289817,"Fjordvegen 3588, Innvik",61.836831,6.586049
1289820,"Fjordvegen 3584, Innvik",61.837181,6.588093
1289821,"Heggdalsvegen 132, Innvik",61.839066,6.601873
1289822,"Heggdalsvegen 175, Innvik",61.837219,6.593828
1289823,"Fjordvegen 3494, Innvik",61.842465,6.600562
1289824,"Fjordvegen 3465, Innvik",61.844304,6.604029
1289825,"Fjordvegen 3616, Innvik",61.835661,6.584374
1289826,"Heggdalsvegen 160, Innvik",61.837653,6.597017
1289827,"Fjordvegen 3558, Innvik",61.839012,6.592604
1289828,"Heggdalsvegen 144, Innvik",61.838061,6.599185
1289829,"Fjordvegen 3466, Innvik",61.844066,6.604939
1289830,"Heggdalsvegen 100, Innvik",61.841244,6.609874
1289831,"Heggdalsvegen 92, Innvik",61.840601,6.606428
1289832,"Fjordvegen 3470, Innvik",61.842802,6.604378
