,Navn,Long,Lat
22851,"3/11, Stedje",61.270432,7.203716
22864,"64/227, Stedje",61.226599,7.09572
22868,"23/42/4, Stedje",61.233728,7.072148
22876,"64/42, Stedje",61.219626,7.086475
22884,"22/38, Stedje",61.236845,7.089268
22908,"3/70, Stedje",61.254008,7.184873
22910,"3/40, Stedje",61.271347,7.205007
22911,"1/191, Stedje",61.210842,7.12821
22931,"2/18-1, Stedje",61.222748,7.126721
22952,"23/139/1, Stedje",61.230481,7.079333
22956,"64/6, Stedje",61.22617,7.095243
22963,"3/14-3, Stedje",61.271383,7.205042
30176,"Kjørnes, 1/211, Stedje",61.211767,7.120898
30177,"Kjørnes, 1/211-2, Stedje",61.211914,7.120219
30178,"Kjørnes, 1/211-1, Stedje",61.211833,7.120304
30179,"Kjørnes, 1/211-4, Stedje",61.212089,7.120099
31504,"23/226, Stedje",61.233672,7.085607
35009,"64/96, Stedje",61.227282,7.088881
35701,"64/1, Stedje",61.226187,7.097412
38094,"18/36, Stedje",61.228375,7.104135
38302,"18/21, Stedje",61.229673,7.103816
40071,"64/5/41, Stedje",61.227883,7.101465
40072,"18/13, Stedje",61.229049,7.102853
40105,"Kjørnes, 1/1, Stedje",61.2106,7.122038
40106,"Kjørnes, 1/211-3, Stedje",61.211951,7.120163
40250,"Kjørnes, 1/211-5, Stedje",61.212181,7.120179
42828,"64/46, Norum",61.218641,7.081582
43720,"3/5, Stedje",61.246585,7.135934
43776,"19/17-1, Stedje",61.229032,7.100446
43777,"19/17-2, Stedje",61.228953,7.100696
43778,"19/17-3, Stedje",61.228864,7.100935
43779,"19/17-6, Stedje",61.228939,7.100656
43780,"19/17-7, Stedje",61.228902,7.100776
43781,"19/17-10, Stedje",61.228782,7.101087
43782,"19/17-11, Stedje",61.228989,7.100396
43783,"19/17-14, Stedje",61.228812,7.100902
43786,"19/17-4, Stedje",61.22879,7.101142
43787,"19/17-9, Stedje",61.228834,7.100981
43788,"19/17-13, Stedje",61.228844,7.100819
43789,"19/17-15, Stedje",61.228795,7.100963
43790,"19/17-16, Stedje",61.22876,7.101047
43792,"19/17-5, Stedje",61.229008,7.100416
43793,"19/17-8, Stedje",61.22887,7.100832
43794,"19/17-12, Stedje",61.228959,7.100504
44315,"23/303, Stedje",61.234571,7.083155
44485,"Kjørnes, 1/273, Stedje",61.210025,7.123445
45029,"18/36-1, Stedje",61.228755,7.104075
45915,"18/36-2, Stedje",61.229126,7.103983
1276899,"Dalavegen 52, Stedje",61.234092,7.084497
1276900,"Elvebakken 1, Stedje",61.229755,7.100484
1276901,"Elvebakken 2, Stedje",61.229718,7.101064
1276902,"Elvebakken 3, Stedje",61.229681,7.100302
1276903,"Dalavegen 39, Stedje",61.234503,7.087528
1276904,"Dalavegen 41A, Stedje",61.234402,7.085484
1276905,"Dalavegen 44A, Stedje",61.233852,7.082127
1276906,"Dalavegen 46, Stedje",61.234102,7.082652
1276907,"Elvebakken 8, Stedje",61.229447,7.100316
1276908,"Elvebakken 9, Stedje",61.229724,7.101436
1276909,"Elvebakken 10, Stedje",61.22964,7.101255
1276910,"Elvebakken 11, Stedje",61.229549,7.10113
1276911,"Elvebakken 4, Stedje",61.229623,7.100697
1276912,"Elvebakken 5, Stedje",61.229607,7.100139
1276913,"Elvebakken 6, Stedje",61.229531,7.100516
1276914,"Ulvahaugen 2, Stedje",61.233458,7.093647
1276915,"Dalavegen 24, Stedje",61.233476,7.085354
1276916,"Elvebakken 7, Stedje",61.229273,7.10001
1286823,"Barsnes 25, Stedje",61.240029,7.134505
1286824,"Barsnes 71, Stedje",61.244055,7.138926
1286825,"Barsnes 61, Stedje",61.243091,7.138035
1286827,"Barsnes 111, Stedje",61.247064,7.136364
1286828,"Barsnes 57, Stedje",61.242803,7.138014
1286829,"Barsnes 55, Stedje",61.242922,7.13879
1286830,"Barsnes 27, Stedje",61.240382,7.134356
1286839,"Barsnes 124, Stedje",61.248752,7.136932
1286840,"Barsnes 140, Stedje",61.248206,7.14174
1286841,"Einehaugvegen 23, Stedje",61.246013,7.140786
1286842,"Mannhellervegen 110, Stedje",61.223169,7.126659
1286843,"Mannhellervegen 112, Stedje",61.222929,7.12661
1286844,"Ytre Loftesnes 33, Stedje",61.225589,7.126999
1286845,"Loftesnes 58, Stedje",61.234384,7.1305
1286846,"Barsnes 67, Stedje",61.24385,7.138418
1286847,"Barsnes 52, Stedje",61.242759,7.135473
1286848,"Barsnes 65, Stedje",61.243682,7.137944
1286849,"Barsnes 126, Stedje",61.2498,7.137489
1286850,"Einehaugvegen 45, Stedje",61.244694,7.140916
1286851,"Barsnes 100, Stedje",61.246771,7.135282
1286852,"Loftesnes 7, Stedje",61.23064,7.12526
1286853,"Ytre Loftesnes 19, Stedje",61.226944,7.125615
1286854,"Mannhellervegen 91, Stedje",61.224801,7.125835
1286855,"Mannhellervegen 95, Stedje",61.224477,7.125817
1286857,"Loftesnes 20, Stedje",61.232352,7.12574
1286858,"Mannhellervegen 116, Stedje",61.22232,7.126318
1286859,"Mannhellervegen 114, Stedje",61.222673,7.126539
1286860,"Barsnes 101, Stedje",61.246441,7.136297
1286861,"Mannhellervegen 108, Stedje",61.22343,7.126755
1286862,"Ytre Loftesnes 14, Stedje",61.227425,7.125977
1286863,"Loftesnes 12, Stedje",61.231022,7.124051
1286864,"Loftesnes 8, Stedje",61.230636,7.123737
1286866,"Loftesnes 2, Stedje",61.231628,7.123417
1286873,"Mannhellervegen 149, Stedje",61.219582,7.125714
1286874,"Skuleholten 14, Stedje",61.211316,7.12282
1286875,"Mannhellervegen 145, Stedje",61.219997,7.125801
1286876,"Mannhellervegen 139, Stedje",61.220391,7.125818
1286891,"Åbergevegen 188, Stedje",61.2392,7.098386
1286892,"Åbergevegen 182, Stedje",61.239129,7.100403
1286893,"Årøyvegen 10, Stedje",61.23262,7.11788
1286894,"Årøyvegen 20, Stedje",61.233619,7.118715
1286895,"Åbergevegen 196, Stedje",61.24027,7.099196
1286896,"Åbergevegen 185, Stedje",61.242102,7.101733
1286897,"Åbergevegen 147, Stedje",61.237569,7.103777
1286898,"Åbergevegen 217, Stedje",61.242199,7.099006
1286966,"Norafjordvegen 116, Stedje",61.213024,7.093745
1287039,"Kvåle 51, Stedje",61.232348,7.072959
1287040,"Kvåle 63, Stedje",61.231433,7.070481
1287042,"Kvåle 20, Stedje",61.232873,7.075144
1287045,"Kvåle 53, Stedje",61.232411,7.073626
1287054,"Kvåle 22, Stedje",61.232912,7.074694
1287059,"Kvåle 17, Stedje",61.233332,7.075209
1287060,"Kvåle 47, Stedje",61.231986,7.071915
1287061,"Kvåle 45, Stedje",61.232902,7.068938
1287062,"Kvåle 41, Stedje",61.232477,7.068163
1287063,"Kvåle 11, Stedje",61.233612,7.076608
1287124,"Dalavegen 25, Stedje",61.233042,7.093448
1287125,"Dalavegen 29, Stedje",61.233971,7.091255
1287126,"Ulvahaugen 4, Stedje",61.233866,7.094609
1287127,"Dalavegen 20B, Stedje",61.233782,7.086063
1287128,"Dalavegen 21, Stedje",61.233512,7.094277
1287129,"Dalavegen 22, Stedje",61.234013,7.085918
1287130,"Dalavegen 35, Stedje",61.233361,7.089926
1287131,"Dalavegen 36, Stedje",61.233877,7.084548
1287132,"Dalavegen 37, Stedje",61.234395,7.088112
1287133,"Dalavegen 38A, Stedje",61.233693,7.084205
1287134,"Dalavegen 31B, Stedje",61.233284,7.091477
1287135,"Dalavegen 32, Stedje",61.233647,7.084748
1287136,"Dalavegen 33, Stedje",61.233331,7.090357
1287137,"Dalavegen 34, Stedje",61.233848,7.085034
1287138,"Dalavegen 16, Stedje",61.232704,7.091773
1287139,"Ulvahaugen 6, Stedje",61.234009,7.09516
1287140,"Granden 4, Stedje",61.228216,7.100204
1287141,"Skulevegen 1, Stedje",61.232102,7.100734
1287142,"Skulevegen 2, Stedje",61.231802,7.101106
1287143,"Rødstokken 5, Stedje",61.225038,7.097732
1287144,"Rødstokken 6, Stedje",61.224972,7.098146
1287145,"Rødstokken 7, Stedje",61.225181,7.098357
1287146,"Rødstokken 8, Stedje",61.22516,7.098787
1287147,"Rødstokken 1, Stedje",61.22537,7.097079
1287148,"Rødstokken 2, Stedje",61.225131,7.097317
1287149,"Rødstokken 3, Stedje",61.225322,7.097492
1287150,"Rødstokken 4, Stedje",61.225257,7.097961
1287151,"Rødstokken 13, Stedje",61.224611,7.096771
1287152,"Rødstokken 14, Stedje",61.224632,7.096323
1287153,"Rødstokken 15, Stedje",61.224743,7.095925
1287154,"Rødstokken 16, Stedje",61.224985,7.096506
1287155,"Rødstokken 9, Stedje",61.22492,7.096995
1287156,"Rødstokken 10, Stedje",61.224863,7.097426
1287157,"Rødstokken 11, Stedje",61.224724,7.097751
1287158,"Rødstokken 12, Stedje",61.224635,7.097217
1287159,"Rutlinslid 39, Stedje",61.235718,7.08833
1287160,"Rutlinslid 40, Stedje",61.235466,7.08637
1287161,"Rutlinslid 41, Stedje",61.235613,7.087889
1287162,"Rutlinslid 42, Stedje",61.235508,7.085928
1287163,"Rutlinslid 33, Stedje",61.235376,7.08891
1287164,"Rutlinslid 34, Stedje",61.235155,7.090469
1287165,"Rutlinslid 35, Stedje",61.235707,7.089449
1287166,"Rutlinslid 37, Stedje",61.235681,7.088928
1287167,"Rutlinslid 48, Stedje",61.235413,7.084585
1287168,"Rutlinslid 49, Stedje",61.23577,7.085699
1287169,"Rutlinslid 51, Stedje",61.235729,7.085292
1287170,"Rutlinslid 53, Stedje",61.235704,7.08479
1287171,"Rutlinslid 44, Stedje",61.235462,7.085457
1287172,"Rutlinslid 45, Stedje",61.235801,7.086573
1287173,"Rutlinslid 46, Stedje",61.235437,7.085012
1287174,"Rutlinslid 47, Stedje",61.235804,7.086145
1287175,"Dalavegen 10, Stedje",61.233129,7.095133
1287176,"Ulvahaugen 10, Stedje",61.233899,7.096767
1287177,"Dalavegen 14, Stedje",61.232548,7.092155
1287178,"Dalavegen 15, Stedje",61.233639,7.095033
1287179,"Bryggjegota 2, Stedje",61.229621,7.103752
1287180,"Bryggjegota 3, Stedje",61.229842,7.104093
1287181,"Bryggjegota 4, Stedje",61.229971,7.104346
1287182,"Bryggjegota 5, Stedje",61.230074,7.104638
1287183,"Almenningen 8, Stedje",61.229718,7.101697
1287184,"Almenningen 9, Stedje",61.229718,7.101697
1287185,"Almenningen 10, Stedje",61.229634,7.101479
1287186,"Bryggjegota 1, Stedje",61.22989,7.103736
1287187,"Dalavegen 3, Stedje",61.231632,7.096645
1287188,"Dalavegen 5, Stedje",61.232812,7.096257
1287189,"Dalavegen 7, Stedje",61.233228,7.095803
1287190,"Dalavegen 8, Stedje",61.232648,7.09548
1287191,"Bryggjegota 6, Stedje",61.229731,7.10451
1287192,"Bryggjegota 7, Stedje",61.22953,7.103627
1287193,"Bryggjegota 8, Stedje",61.22878,7.1033
1287194,"Dalavegen 1, Stedje",61.230532,7.096935
1287195,"Almenningen 1, Stedje",61.23003,7.100244
