,Navn,Long,Lat
25912,"31/4, Dale",61.448597,7.473667
25914,"37/5, Dale",61.466963,7.442307
31842,"42/2-2, Dale",61.497896,7.409407
42732,"34/2, Dale",61.521942,7.439913
42733,"49/13, Dale",61.423888,7.43975
42763,"49/3, Dale",61.423982,7.435397
42766,"53/5/1, Dale",61.516466,7.366401
42767,"31/1/1, Dale",61.481787,7.470033
42779,"43/26, Dale",61.509686,7.460543
1325043,"Ottane 89, Dale",61.454277,7.498295
1325071,"Lustravegen 3272, Dale",61.442196,7.457027
1325089,"Bergsvegen 3, Dale",61.447591,7.460118
1325097,"Dalsdalen 212, Dale",61.461021,7.455927
1325098,"Dalsdalen 214, Dale",61.461389,7.457485
1325099,"Dalsdalen 222, Dale",61.461967,7.457775
1325100,"Lustravegen 3307A, Dale",61.44367,7.46515
1325101,"Bringevegen 86, Dale",61.442988,7.448548
1325102,"Heltnabakkane 38, Dale",61.441192,7.4501
1325103,"Heltnabakkane 45, Dale",61.441963,7.450005
1325104,"Bringebakkane 51, Dale",61.445832,7.45861
1325105,"Lustravegen 3303, Dale",61.443332,7.464253
1325106,"Bringevegen 116, Dale",61.44423,7.445598
1325107,"Bringebakkane 43, Dale",61.446417,7.461057
1325108,"Dalsdalen 74, Dale",61.446136,7.457676
1325147,"Lustravegen 3224, Dale",61.439276,7.450533
1325148,"Lustravegen 3244, Dale",61.440571,7.453075
1325159,"Lustravegen 3204, Dale",61.43714,7.448295
1325214,"Skildheimsvegen 436, Dale",61.421749,7.439594
1325215,"Lustravegen 3040, Dale",61.424682,7.4432
1325684,"Heltnabakkane 5, Dale",61.44287,7.454743
1325685,"Heltnabakkane 3, Dale",61.442666,7.454171
1325686,"Sanatorievegen 461, Dale",61.439752,7.430181
1325872,"Bringebakkane 1, Dale",61.441966,7.456532
1325993,"Ottane 92, Dale",61.453667,7.497658
1326013,"Lustravegen 3020, Dale",61.421747,7.441787
1326014,"Lustravegen 3011, Dale",61.421067,7.441971
1326031,"Lustravegen 2846, Dale",61.407842,7.431165
1326127,"Solstrand 3, Dale",61.444429,7.468713
1326143,"Bergsvegen 177, Dale",61.454081,7.464713
1326242,"Lustravegen 3426, Dale",61.447557,7.478651
1326264,"Dalsdalen 131, Dale",61.454139,7.456342
1326265,"Bringevegen 42, Dale",61.447587,7.453421
1326266,"Bringevegen 54, Dale",61.445166,7.451887
1326416,"Solstrand 28, Dale",61.444244,7.473055
1326418,"Dalsdalen 733, Dale",61.497977,7.408122
1326584,"Skildheimsvegen 425, Dale",61.420191,7.439953
1326606,"Lustravegen 3270, Dale",61.442319,7.456795
1661248,"Solstrand 13, Dale",61.444303,7.470554
1782402,"Dalsdalen 11, Dale",61.446778,7.462684
1798685,"Solstrand 17B, Dale",61.444245,7.47108
1798686,"Solstrand 17C, Dale",61.444242,7.471183
1798724,"Solstrand 19C, Dale",61.444213,7.471502
1810611,"Solstrand 15, Dale",61.444262,7.470807
1922138,"Lustravegen 3036, Dale",61.426185,7.437285
1932406,"Heltnabakkane 54, Dale",61.440958,7.451741
1945458,"Dalsdalen 1, Dale",61.44666,7.464042
1945459,"Lustravegen 3265A, Dale",61.441495,7.45687
1945460,"Dalsdalen 279, Dale",61.467959,7.458082
1945461,"Dalsdalen 12, Dale",61.44673,7.461884
1946092,"Dalsdalen 686, Dale",61.495527,7.415083
1946120,"Dalsdalen 643, Dale",61.493342,7.42036
1946121,"Dalsdalen 632, Dale",61.491887,7.421787
1946122,"Dalsdalen 463, Dale",61.479529,7.437999
1946123,"Dalsdalen 468, Dale",61.479729,7.436657
1946244,"Dalsdalen 787, Dale",61.499697,7.399353
1955643,"Dalsdalen 465B, Dale",61.484115,7.440836
1958517,"Bergsvegen 28, Dale",61.449063,7.458989
1959231,"Lustravegen 3722, Dale",61.458437,7.522294
1959232,"Lustravegen 3720, Dale",61.458455,7.52238
1964954,"Skildheimsvegen 413, Dale",61.419468,7.438338
2003936,"Solstrand 24, Dale",61.444237,7.471969
2003937,"Solstrand 26, Dale",61.444237,7.472543
2004300,"Steinabakken 42, Dale",61.433236,7.447264
2004637,"Lustravegen 3042, Dale",61.424546,7.443224
2004771,"Lustravegen 3422, Dale",61.446669,7.476855
2007176,"Sanatorievegen 541, Dale",61.44076,7.427537
2007314,"Sanatorievegen 66, Dale",61.430611,7.445053
2008000,"Lustravegen 3300B, Dale",61.44394,7.458955
2040528,"Bringevegen 56, Dale",61.445524,7.451715
2040972,"Steinabakken 24, Dale",61.434377,7.448867
2040973,"Steinabakken 17, Dale",61.43596,7.448132
2040974,"Steinabakken 19, Dale",61.435581,7.448222
2040975,"Steinabakken 15, Dale",61.43581,7.448706
2043565,"Bringebakkane 63, Dale",61.444521,7.45616
2043566,"Bringebakkane 75, Dale",61.445567,7.456331
2043567,"Bringebakkane 77, Dale",61.445747,7.45666
2069858,"Ottane 130, Dale",61.451113,7.493463
2071027,"Kvitevodl 4, Dale",61.440143,7.451874
2071448,"Kvitevodl 5, Dale",61.441023,7.452544
2071449,"Kvitevodl 9, Dale",61.440597,7.451962
2071450,"Kvitevodl 11, Dale",61.440438,7.451388
2078887,"Bergsvegen 7, Dale",61.448395,7.462282
2107518,"Dalsdalen 34, Dale",61.446388,7.460139
2331898,"Ottane 88, Dale",61.454053,7.498484
2331899,"Ottane 98, Dale",61.453242,7.496593
2331900,"Lustravegen 3614, Dale",61.454639,7.505998
2331901,"Ottane 7, Dale",61.454647,7.505097
2331994,"Bringevegen 144, Dale",61.442163,7.442306
2331995,"Dalsdalen 195, Dale",61.460167,7.46295
2331996,"Dalsdalen 32, Dale",61.446211,7.460317
2331997,"Dalsdalen 197, Dale",61.46235,7.462279
2331998,"Lustravegen 3281, Dale",61.442558,7.458847
2331999,"Bringevegen 29, Dale",61.448755,7.452707
2332000,"Lustravegen 3318, Dale",61.445856,7.461315
2332001,"Bringebakkane 53, Dale",61.445874,7.459096
2332002,"Lustravegen 3314, Dale",61.445285,7.461
2332003,"Bringebakkane 55, Dale",61.445532,7.459056
2332004,"Bringebakkane 49, Dale",61.44611,7.458578
2332005,"Bringebakkane 39, Dale",61.445549,7.460593
2332006,"Lustravegen 3300A, Dale",61.444346,7.459931
2332007,"Bringebakkane 47, Dale",61.446476,7.459141
2332008,"Dalsdalen 266, Dale",61.465643,7.456486
2332009,"Dalsdalen 277, Dale",61.468178,7.45835
2332010,"Dalsdalen 304, Dale",61.469256,7.455874
2332011,"Dalsdalen 297, Dale",61.468608,7.456659
2332012,"Heltnabakkane 27, Dale",61.442369,7.452536
2332013,"Bringevegen 112, Dale",61.44498,7.446029
2332014,"Dalsdalen 466, Dale",61.479539,7.436515
2332015,"Heltnabakkane 29, Dale",61.442106,7.452286
2332016,"Heltnabakkane 25, Dale",61.442228,7.452749
2332017,"Lustravegen 3348, Dale",61.445343,7.467806
2332019,"Berge, Bergsvegen 253, Dale",61.451916,7.468571
2332020,"Sanatorievegen 33, Dale",61.427609,7.447137
2332022,"Lustravegen 3450, Dale",61.447488,7.481337
2332026,"Dalsdalen 10, Dale",61.446814,7.461838
2332028,"Bergsvegen 11, Dale",61.447666,7.458763
2332030,"Bergsvegen 15, Dale",61.44811,7.459098
2332031,"Ottane 21, Dale",61.453908,7.504025
2332032,"Lustravegen 3424, Dale",61.447678,7.479021
2332033,"Lustravegen 3411, Dale",61.446296,7.477512
2332035,"Lustravegen 3341, Dale",61.445703,7.464693
2332037,"Lustravegen 3355, Dale",61.444623,7.467087
2332039,"Dalsdalen 5, Dale",61.446328,7.462749
2332041,"Solstrand 11, Dale",61.444382,7.47016
2332049,"Dalsdalen 17, Dale",61.448135,7.462961
2332051,"Dalsdalen 465A, Dale",61.48501,7.439865
2332058,"Dalsdalen 109, Dale",61.452436,7.457365
2332060,"Dalsdalen 135, Dale",61.453799,7.457896
2332061,"Dalsdalen 150, Dale",61.455492,7.457683
2332063,"Dalsdalen 243, Dale",61.463839,7.458152
2332065,"Dalsdalen 171, Dale",61.457369,7.458528
2332068,"Bringevegen 52, Dale",61.445264,7.452017
2332070,"Bringevegen 158, Dale",61.442876,7.441877
