,Navn,Long,Lat
38052,"324/3/2, Balestrand",61.262587,6.494555
42806,"336/1-1, Balestrand",61.230887,6.596414
42807,"310/6, Balestrand",61.22758,6.606485
42808,"312/2, Balestrand",61.198904,6.452539
42809,"325/11, Balestrand",61.283319,6.49766
42810,"329/7, Balestrand",61.351388,6.55923
42811,"330/4, Balestrand",61.323485,6.573285
42812,"336/1, Balestrand",61.230378,6.59254
42813,"337/1, Balestrand",61.227424,6.606273
42814,"335/1, Balestrand",61.27066,6.610221
46287,"323/17, Balestrand",61.262008,6.539184
48766,"Gaularfjellet, 326/12, Balestrand",61.340289,6.437896
48767,"Gaularfjellet, 326/13, Balestrand",61.338852,6.436948
48768,"Gaularfjellet, 326/14, Balestrand",61.340338,6.433672
1286600,"Villavegen 55, Balestrand",61.197589,6.528406
1286601,"Villavegen 57, Balestrand",61.197262,6.528748
1286618,"Villavegen 65, Balestrand",61.196372,6.527682
1286635,"Villavegen 47, Balestrand",61.19867,6.52713
1286636,"Villavegen 51, Balestrand",61.19821,6.528488
1286637,"Villavegen 53, Balestrand",61.197707,6.52849
1286638,"Villavegen 62, Balestrand",61.197638,6.529147
1286639,"Villavegen 23, Balestrand",61.20065,6.528799
1286640,"Villavegen 25, Balestrand",61.200702,6.529707
1286641,"Villavegen 27, Balestrand",61.20064,6.530717
1286642,"Villavegen 29, Balestrand",61.200616,6.530905
1286643,"Villavegen 20, Balestrand",61.200338,6.531877
1286668,"Villavegen 1, Balestrand",61.203042,6.532894
1286692,"Hittunsvegen 2, Balestrand",61.203885,6.531878
1286778,"Skrovlevegen 8, Balestrand",61.216928,6.554697
1286779,"Sygnavegen 4, Balestrand",61.20773,6.526456
1286780,"Sygnavegen 6, Balestrand",61.207562,6.526153
1286781,"Sygnavegen 8, Balestrand",61.207432,6.525903
1286782,"Sygnavegen 10, Balestrand",61.207307,6.525628
1286783,"Sygnavegen 12, Balestrand",61.20719,6.525419
1286784,"Sygnavegen 17, Balestrand",61.207734,6.526177
1286785,"Sygnavegen 19, Balestrand",61.207603,6.525908
1286786,"Sygnavegen 14, Balestrand",61.207152,6.52531
1286787,"Sygnavegen 16, Balestrand",61.207115,6.525239
1286788,"Sygnavegen 21, Balestrand",61.207463,6.525621
1286789,"Fjærestadvegen 4, Balestrand",61.199138,6.525213
1286790,"Fjærestadvegen 8, Balestrand",61.198768,6.524646
1286791,"Fjærestadvegen 12, Balestrand",61.196816,6.523962
1286792,"Fjærestadvegen 13, Balestrand",61.19668,6.523396
1350896,"Skåsheimsvegen 9, Balestrand",61.193111,6.524177
1634348,"Jordmorvegen 12, Balestrand",61.206641,6.530729
1673964,"Villavegen 67C, Balestrand",61.195862,6.527899
1673965,"Villavegen 67D, Balestrand",61.195969,6.527913
1803584,"Villavegen 69, Balestrand",61.195939,6.526536
1886729,"Farnes 24, Balestrand",61.262389,6.535987
1913227,"Farnes 30, Balestrand",61.259913,6.539393
