,Navn,Long,Lat
3118,"23/9, Kinn",61.600538,5.135049
395419,"Florøvegen 487, Kinn",61.601904,5.139292
395420,"Florøvegen 501, Kinn",61.602026,5.142976
395421,"Florøvegen 509, Kinn",61.60177,5.14631
395422,"Florøvegen 507, Kinn",61.60193,5.144988
395423,"Florøvegen 485, Kinn",61.602305,5.139469
395424,"Florøvegen 505, Kinn",61.601848,5.144319
395425,"Florøvegen 503, Kinn",61.602028,5.143674
396258,"Bjørndalvegen 3, Kinn",61.596014,5.081978
396261,"Bjørndalvegen 11, Kinn",61.596934,5.07948
396262,"Bjørndalvegen 13, Kinn",61.597127,5.080171
396263,"Bjørndalvegen 5, Kinn",61.596498,5.07859
396264,"Bjørndalvegen 7, Kinn",61.59665,5.078892
396267,"Bjørndalvegen 15, Kinn",61.59725,5.080665
396542,"Eikedalen 3, Kinn",61.593461,5.060826
396545,"Eikedalen 7, Kinn",61.593546,5.061928
396546,"Eikedalen 8, Kinn",61.593819,5.062969
396547,"Eikedalen 5, Kinn",61.593545,5.061268
396548,"Eikedalen 6, Kinn",61.593887,5.062205
396549,"Eikedalen 11, Kinn",61.593482,5.063125
396550,"Eikedalen 12, Kinn",61.594017,5.063906
396551,"Eikedalen 9, Kinn",61.593509,5.062499
396552,"Eikedalen 10, Kinn",61.59385,5.063417
396554,"Eikedalen 15, Kinn",61.593854,5.064492
396555,"Eikedalen 16, Kinn",61.594461,5.064981
396556,"Eikedalen 13, Kinn",61.593654,5.064103
396557,"Eikedalen 14, Kinn",61.594269,5.064534
396558,"Eikedalen 19, Kinn",61.593834,5.065985
396559,"Eikedalen 20, Kinn",61.593868,5.066528
396560,"Eikedalen 17, Kinn",61.593644,5.065311
396561,"Eikedalen 18, Kinn",61.594645,5.06543
396564,"Eikedalen 22, Kinn",61.594142,5.06638
396747,"Hammaren 2B, Kinn",61.594983,5.085951
396749,"Hammaren 1, Kinn",61.59538,5.083486
396750,"Hammaren 6, Kinn",61.595379,5.085566
396751,"Hammaren 7, Kinn",61.595099,5.084448
396752,"Hammaren 4, Kinn",61.595258,5.085822
396753,"Hammaren 5, Kinn",61.595381,5.084448
396754,"Hammaren 8, Kinn",61.595352,5.085018
396755,"Hammaren 9, Kinn",61.595157,5.083873
397182,"Knatten 1, Kinn",61.593822,5.060572
397183,"Knatten 2, Kinn",61.593473,5.060315
397186,"Knatten 5, Kinn",61.593912,5.059285
397187,"Knatten 6, Kinn",61.593783,5.058926
397188,"Knatten 3, Kinn",61.593864,5.059854
397189,"Knatten 4, Kinn",61.593564,5.059756
397190,"Krokavegen 3, Kinn",61.59291,5.059518
397191,"Knatten 7, Kinn",61.59419,5.060563
397192,"Krokavegen 1, Kinn",61.592924,5.059045
397193,"Krokavegen 7, Kinn",61.592793,5.060741
397194,"Krokavegen 5, Kinn",61.592796,5.060231
397195,"Brandsøyvegen 2, Kinn",61.592754,5.061851
397196,"Krokavegen 9, Kinn",61.592779,5.061177
397197,"Krokavegen 15, Kinn",61.59294,5.063024
397198,"Krokavegen 13, Kinn",61.592901,5.062312
397199,"Brandsøyvegen 8, Kinn",61.592874,5.064707
397200,"Krokavegen 17, Kinn",61.592872,5.063787
397201,"Krokavegen 23, Kinn",61.593081,5.066364
397202,"Brandsøyvegen 10, Kinn",61.593042,5.065639
397203,"Krokavegen 27, Kinn",61.593321,5.067522
397204,"Krokavegen 25, Kinn",61.593219,5.066799
397205,"Krokavegen 31, Kinn",61.593563,5.068435
397206,"Krokavegen 29, Kinn",61.593488,5.068029
397207,"Krokavegen 35, Kinn",61.593777,5.069313
397208,"Krokavegen 33, Kinn",61.593685,5.068928
397209,"Krokavegen 39, Kinn",61.5939,5.070146
397210,"Krokavegen 37, Kinn",61.593833,5.069683
397211,"Krokavegen 43, Kinn",61.594078,5.071112
397212,"Krokavegen 41, Kinn",61.594035,5.070748
397213,"Krokavegen 45, Kinn",61.594129,5.071532
397216,"Krokavegen 52, Kinn",61.594643,5.073807
397390,"Nygård 1, Kinn",61.593171,5.057033
397393,"Nygård 4, Kinn",61.592902,5.056746
397394,"Nygård 5, Kinn",61.593691,5.05574
397395,"Nygård 2, Kinn",61.592879,5.057183
397396,"Nygård 3, Kinn",61.593528,5.056006
397397,"Nygård 9, Kinn",61.594543,5.055651
397398,"Nygård 12, Kinn",61.593077,5.055328
397399,"Nygård 7, Kinn",61.593947,5.055557
397400,"Nygård 8, Kinn",61.593128,5.05585
397401,"Nygård 20, Kinn",61.594382,5.054766
397402,"Nygård 22, Kinn",61.594584,5.05491
397403,"Nygård 14, Kinn",61.593443,5.055244
