,Navn,Long,Lat
3140,"114/4, Bru",61.495557,5.054465
3141,"117/8, Bru",61.501119,5.107736
3142,"117/10, Bru",61.505847,5.098002
3143,"117/30, Bru",61.506467,5.094538
3144,"117/33, Bru",61.504925,5.099716
3159,"117/10-1, Bru",61.505917,5.097617
3165,"114/1-2, Bru",61.495258,5.054627
396092,"Kvalstadvegen 271, Bru",61.479548,5.079588
396094,"Kvalstadvegen 180, Bru",61.479545,5.096393
396095,"Greplandsvegen 105, Bru",61.493203,5.059702
396096,"Greplandsvegen 101, Bru",61.493718,5.058245
396097,"Kvalstadvegen 212, Bru",61.478429,5.092523
396098,"Erikstadvegen 81, Bru",61.498864,5.076144
396099,"Erikstadvegen 72, Bru",61.499816,5.074852
396100,"Greplandsvegen 91, Bru",61.493794,5.054662
396101,"Biskop Svanes veg 93, Bru",61.492974,5.129459
396102,"Biskop Svanes veg 143, Bru",61.492565,5.121085
396103,"Erikstadvegen 74, Bru",61.500389,5.074159
396104,"Biskop Svanes veg 341, Bru",61.490861,5.087602
396105,"Marøyvegen 120, Bru",61.502357,5.102315
396106,"Bruhøgda 2, Bru",61.498376,5.127545
396107,"Biskop Svanes veg 321, Bru",61.4914,5.090411
396108,"G.R.Mellingens veg 3, Bru",61.496939,5.130432
396109,"Biskop Svanes veg 33, Bru",61.496336,5.128213
396110,"Biskop Svanes veg 103, Bru",61.493085,5.126417
396111,"Marøyvegen 23, Bru",61.495504,5.108138
396112,"G.R.Mellingens veg 6, Bru",61.497272,5.134265
396113,"Bruhøgda 3, Bru",61.497614,5.128421
396114,"Ole Torjussens veg 51, Bru",61.491662,5.141263
396115,"G.R.Mellingens veg 4, Bru",61.497221,5.133087
396116,"Marøyvegen 140, Bru",61.504094,5.101651
396117,"Biskop Svanes veg 71, Bru",61.493592,5.132221
396118,"Biskop Svanes veg 145, Bru",61.495082,5.121073
396119,"Ole Torjussens veg 54, Bru",61.492037,5.143001
396120,"Bruhøgda 4, Bru",61.498089,5.12854
396121,"Ole Torjussens veg 130, Bru",61.492273,5.155495
396122,"Ole Torjussens veg 37, Bru",61.491837,5.137855
396123,"Marøyvegen 153, Bru",61.503939,5.108266
396124,"Biskop Svanes veg 100, Bru",61.492111,5.129839
396134,"Marøyvegen 122, Bru",61.5026,5.100339
397936,"Marøyvegen 89, Bru",61.500608,5.105617
397940,"Bruhøgda 10, Bru",61.497826,5.130106
397968,"Ole Torjussens veg 141, Bru",61.491976,5.157085
397970,"Marøyvegen 56, Bru",61.497186,5.10285
398101,"Ole Torjussens veg 35, Bru",61.491695,5.136632
398112,"Marøyvegen 79, Bru",61.49956,5.107612
398167,"Bruhøgda 6, Bru",61.498084,5.1294
398246,"Kvalstadvegen 206, Bru",61.479141,5.089793
398247,"Ole Torjussens veg 121, Bru",61.492282,5.153617
398248,"Marøyvegen 83, Bru",61.500327,5.107083
398250,"Bruhøgda 1, Bru",61.497758,5.127961
398260,"Kvalstadøyna 8, Bru",61.475249,5.086087
398378,"Ole Torjussens veg 41, Bru",61.491778,5.139555
398642,"Bruhøgda 8, Bru",61.498115,5.129308
398647,"Bruhøgda 18, Bru",61.498197,5.130107
398814,"Bruhøgda 22, Bru",61.498659,5.130237
398848,"Marøyvegen 151, Bru",61.503233,5.109009
399064,"Biskop Svanes veg 92, Bru",61.49169,5.133979
399113,"G.R.Mellingens veg 2, Bru",61.497375,5.131682
399196,"Biskop Svanes veg 95, Bru",61.492966,5.129178
399231,"Ole Torjussens veg 20, Bru",61.493119,5.141594
399259,"Kvalstadøyna 7, Bru",61.475425,5.086572
399270,"Greplandsvegen 103, Bru",61.493459,5.059463
399271,"Erikstadvegen 101, Bru",61.498734,5.078807
399277,"Marøyvegen 108, Bru",61.500005,5.102325
399278,"Biskop Svanes veg 73, Bru",61.493451,5.131914
399316,"Biskop Svanes veg 121, Bru",61.49279,5.124574
399319,"Ole Torjussens veg 53, Bru",61.491617,5.142134
399325,"Kvalstadøyna 10, Bru",61.474673,5.087343
399326,"Kvalstadøyna 1, Bru",61.475088,5.090486
399327,"Kvalstadøyna 3, Bru",61.47492,5.089624
399372,"Kvalstadvegen 280, Bru",61.476769,5.079562
399373,"Kvalstadvegen 276, Bru",61.477246,5.081438
399378,"Marøyvegen 85, Bru",61.500348,5.106535
399524,"Biskop Svanes veg 43, Bru",61.494296,5.126003
1657871,"Erikstadvegen 70, Bru",61.499613,5.074011
1739663,"Marøyvegen 53, Bru",61.497656,5.105875
1749939,"Marøyvegen 41, Bru",61.49884,5.109
1827255,"Kvalstadøyna 11, Bru",61.474187,5.087288
2003215,"Biskop Svanes veg 96, Bru",61.491704,5.132635
2039875,"Ole Torjussens veg 50, Bru",61.492444,5.141666
2052776,"Biskop Svanes veg 41, Bru",61.495136,5.128105
2052794,"Biskop Svanes veg 101, Bru",61.492753,5.127486
2052885,"Bruhøgda 11, Bru",61.498178,5.131386
2052886,"Biskop Svanes veg 1, Bru",61.497332,5.127435
2052896,"Marøyvegen 47, Bru",61.498591,5.106273
2052897,"Kvalstadvegen 252, Bru",61.478776,5.08177
2052898,"Kvalstadvegen 191, Bru",61.480084,5.091504
2059510,"Greplandsvegen 89, Bru",61.493785,5.055096
2059540,"Bruhøgda 12, Bru",61.497862,5.129919
2059541,"Kvalstadvegen 214, Bru",61.477328,5.089643
2059917,"Bruhøgda 14, Bru",61.497794,5.129879
2059918,"Bruhøgda 16, Bru",61.49776,5.130044
2061148,"Biskop Svanes veg 147, Bru",61.496396,5.122432
2091852,"Marøyvegen 106, Bru",61.499736,5.102402
2094560,"Kvalstadvegen 183, Bru",61.479616,5.09523
2097566,"Biskop Svanes veg 105, Bru",61.493572,5.126067
2111371,"Ole Torjussens veg 22, Bru",61.493848,5.147901
2117607,"Biskop Svanes veg 45, Bru",61.494588,5.124515
2181100,"Biskop Svanes veg 30, Bru",61.495842,5.133286
2460621,"Bruhøgda 5, Bru",61.497494,5.129745
