,Navn,Long,Lat
393564,"Vevlingen 55, Kinn",61.628742,4.840678
393878,"Lauvåsvågen 4, Kinn",61.621965,4.818057
394373,"Vevlingen 28, Kinn",61.620998,4.850492
394414,"Fanøyvegen 32, Kinn",61.621643,4.818119
394797,"Lauvåsvågen 15, Kinn",61.624727,4.815776
394901,"Fanøyvegen 4, Kinn",61.617989,4.822107
395004,"Vevlingen 56, Kinn",61.629052,4.840542
395066,"Store Batalden 6, Kinn",61.63777,4.810458
395069,"Russøya 1, Kinn",61.63374,4.836832
395070,"Vevlingen 10, Kinn",61.621896,4.844073
395071,"Store Batalden 5, Kinn",61.638914,4.811445
395072,"Fugløya 1, Kinn",61.620269,4.832582
395073,"Fanøyvegen 2, Kinn",61.617612,4.822705
395074,"Fanøyvegen 8, Kinn",61.618817,4.820087
395075,"Vevlingen 16, Kinn",61.623614,4.849735
395077,"Sanderneset 1, Kinn",61.620802,4.818915
395078,"Fanøyvegen 10, Kinn",61.619418,4.818552
395079,"Fanøyvegen 20, Kinn",61.621046,4.816236
395080,"Lauvåsvågen 22, Kinn",61.625481,4.814578
395081,"Lauvåsvågen 8, Kinn",61.622825,4.816486
395082,"Lauvåsvågen 17, Kinn",61.624648,4.815205
395083,"Kuggen 1, Kinn",61.623608,4.828582
395084,"Kvernhusvågen 2, Kinn",61.621743,4.816104
395085,"Kvernhusvågen 21, Kinn",61.622104,4.810276
395086,"Lauvåsvågen 13, Kinn",61.624469,4.81617
395087,"Kvernhusvågen 3, Kinn",61.622549,4.815693
395088,"Fanøyvegen 6, Kinn",61.617914,4.821701
395089,"Fanøyvegen 35, Kinn",61.622044,4.819784
395090,"Fanøyvegen 18, Kinn",61.620535,4.816305
395091,"Kvernhusvågen 11, Kinn",61.623629,4.812524
395092,"Vevlingen 30, Kinn",61.620583,4.850557
395093,"Vevlingen 3, Kinn",61.619976,4.845671
395094,"Vevlingen 22, Kinn",61.622075,4.850838
395095,"Vevlingen 61, Kinn",61.628239,4.844035
395096,"Vevlingen 42, Kinn",61.62382,4.838469
395097,"Vevlingen 82, Kinn",61.632538,4.841135
395098,"Vevlingen 4, Kinn",61.620882,4.841773
395099,"Vevlingen 52, Kinn",61.627181,4.841398
395100,"Kjelda 1, Kinn",61.628494,4.832551
395101,"Vevlingen 47, Kinn",61.62603,4.837549
395102,"Vevlingen 80, Kinn",61.631855,4.841941
395103,"Lauvåsvågen 9, Kinn",61.624146,4.816194
395104,"Sanderneset 7, Kinn",61.620302,4.820434
395105,"Fanøyvegen 34, Kinn",61.622091,4.818946
395106,"Lauvåsvågen 24, Kinn",61.625598,4.816036
395107,"Kvernhusvågen 17, Kinn",61.623171,4.810773
395108,"Store Buarøya 2, Kinn",61.61544,4.834592
395109,"Fanøyvegen 5, Kinn",61.618517,4.82145
395110,"Vevlingen 54, Kinn",61.628176,4.840981
395111,"Fanøyvegen 26, Kinn",61.62149,4.815483
395112,"Kvernhusvågen 23, Kinn",61.621857,4.811337
395113,"Vevlingen 1, Kinn",61.620144,4.844705
395116,"Litle Batalden 2, Kinn",61.616957,4.795223
397928,"Lauvåsvågen 26, Kinn",61.62605,4.816711
397953,"Lauvåsvågen 16, Kinn",61.626619,4.812403
397955,"Vevlingen 60, Kinn",61.627774,4.843434
397957,"Fanøyvegen 40, Kinn",61.623807,4.820395
397958,"Fanøyvegen 28, Kinn",61.621634,4.814477
398003,"Lauvåsvågen 18, Kinn",61.627312,4.812423
398140,"Vevlingen 50, Kinn",61.626522,4.839806
398146,"Fanøyvegen 16, Kinn",61.620256,4.81594
398163,"Vevlingen 34, Kinn",61.619416,4.84975
398180,"Kvernhusvågen 6, Kinn",61.622979,4.814199
398216,"Kvernhusvågen 38, Kinn",61.620182,4.809459
398222,"Fanøyvegen 39, Kinn",61.623069,4.821604
398245,"Sanderneset 2, Kinn",61.621468,4.818861
398587,"Kvernhusvågen 24, Kinn",61.621544,4.811673
398588,"Kvernhusvågen 30, Kinn",61.621433,4.81129
398749,"Kvernhusvågen 5, Kinn",61.622951,4.815317
398840,"Fanøyvegen 22, Kinn",61.620351,4.814622
398843,"Fanøyvegen 24, Kinn",61.620764,4.814608
398867,"Kvernhusvågen 19, Kinn",61.622473,4.81032
398872,"Vevlingen 110, Kinn",61.6372,4.850513
398873,"Lauvåsvågen 12, Kinn",61.625422,4.812095
398877,"Lauvåsvågen 2, Kinn",61.621649,4.817722
398886,"Vevlingen 18, Kinn",61.623892,4.851411
398891,"Vevlingen 92, Kinn",61.632575,4.838816
398892,"Vevlingen 91, Kinn",61.63251,4.838802
399031,"Kvernhusvågen 32, Kinn",61.621086,4.811178
399041,"Vevlingen 88, Kinn",61.632046,4.838761
399043,"Sanderneset 4, Kinn",61.621104,4.81959
399154,"Store Langøya 1, Kinn",61.612268,4.834358
399156,"Store Buarøya 1, Kinn",61.61611,4.834181
399161,"Vevlingen 70, Kinn",61.627608,4.852057
399163,"Vevlingen 72, Kinn",61.629923,4.852912
399188,"Store Langøya 2, Kinn",61.609315,4.838928
399209,"Store Batalden 4, Kinn",61.63871,4.811503
399339,"Vevlingen 48, Kinn",61.6254,4.839295
399340,"Vevlingen 46, Kinn",61.625846,4.837101
399341,"Vevlingen 51, Kinn",61.626927,4.839525
399342,"Høgholmen 1, Kinn",61.630369,4.838306
399343,"Lauvåsvågen 6, Kinn",61.62244,4.816859
399344,"Sanderneset 3, Kinn",61.620469,4.819109
399383,"Store Batalden 1, Kinn",61.637942,4.813137
399384,"Fanøyvegen 14, Kinn",61.620345,4.817124
399399,"Fanøyvegen 36, Kinn",61.622652,4.81938
399400,"Kvernhusvågen 35, Kinn",61.620993,4.80952
399532,"Kvernhusvågen 18, Kinn",61.622358,4.811809
399629,"Kvernhusvågen 36, Kinn",61.620683,4.809675
455965,"Vevlingen 26, Kinn",61.621257,4.850466
1784588,"Vevlingen 90, Kinn",61.632385,4.838783
1834222,"Vevlingen 19, Kinn",61.622424,4.849843
1872612,"Fanøyvegen 11, Kinn",61.620044,4.818092
1963186,"Lauvåsvågen 10, Kinn",61.62471,4.813649
1968394,"Lauvåsvågen 11, Kinn",61.624853,4.816157
1971989,"Kvernhusvågen 7, Kinn",61.623286,4.814545
1988430,"Fanøyvegen 1, Kinn",61.61793,4.822938
1998900,"Vevlingen 83, Kinn",61.632589,4.840586
2023812,"Lauvåsvågen 28, Kinn",61.626276,4.816598
2031243,"Kvernhusvågen 15, Kinn",61.62322,4.811615
2053637,"Litle Batalden 1, Kinn",61.615797,4.796401
2053658,"Kvernhusvågen 33, Kinn",61.621365,4.809979
2055708,"Kvernhusvågen 13, Kinn",61.623235,4.812449
2057348,"Sanderneset 5, Kinn",61.620685,4.820028
2057840,"Store Batalden 3, Kinn",61.638198,4.812723
2057841,"Store Batalden 2, Kinn",61.638044,4.812935
2058172,"Kvernhusvågen 25, Kinn",61.621807,4.811198
2063242,"Vevlingen 89, Kinn",61.632271,4.839089
2063243,"Vevlingen 87, Kinn",61.631886,4.838108
2063244,"Vevlingen 86, Kinn",61.631991,4.83932
2063245,"Vevlingen 85, Kinn",61.63171,4.839527
2063247,"Vevlingen 53, Kinn",61.62805,4.840785
2063248,"Vevlingen 43, Kinn",61.624187,4.838246
2063249,"Vevlingen 8, Kinn",61.62218,4.843797
2096524,"Vevlingen 5, Kinn",61.620265,4.846301
2359645,"Fanøyvegen 30, Kinn",61.621508,4.817514
